target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C141599,1,,,,COC(=O)c1cc(C)ncc1Br,CNN,COC(=O)c1cc(C)ncc1N(C)N,N-nucleophilic_aromatic_substitution,,,
C193943,1,,,,Cc1cccc(Br)c1,CC(C)B1OC(C)(C)C(C)(C)O1,Cc1cccc(C(C)C)c1,Sp3-sp2_Suzuki_coupling,,,
C204781,1,,,,NCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCc2cocn2)c2ccccc21,Amidation,,,
C107,1,,,,NCCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,,
C205067,1,,,,NCC1Cc2ccccc2CN1,Cn1nc(C(=O)O)c2cc(F)ccc21,Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2cc(F)ccc21,Amidation,,,
C205775,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCCn1cncn1,Cn1nc(C(=O)NCCn2cncn2)c2cc(F)ccc21,Amidation,,,
C209837,1,,,,CC1CCC(C(N)=O)CN1,Cn1cc2c(CC(=O)O)cccc2n1,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc2nn(C)cc12,Amidation,,,
C266892,1,,,,NCCc1cocn1,Cc1ccccc1C(=O)O,Cc1ccccc1C(=O)NCCc1cocn1,Amidation,,,
C264727,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,Cn1cnc(CCN)c1,Cn1cnc(CCNC(=O)c2nn(C)c3ccc(F)cc23)c1,Amidation,,,
C176894,1,,,,NC(=O)C1CCCNC1,COc1ccc(Br)cc1C(=O)C(=O)O,COc1ccc(Br)cc1C(=O)C(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C195109,1,,,,CC(=O)O,NC(=O)NC1CCNC1,CC(=O)N1CCC(NC(N)=O)C1,Amidation,,,
C50543,1,,,,NCCCNc1ncccn1,N#CC1CCNCC1,N#CC1CCN(C(=O)NCCCNc2ncccn2)CC1,Formation_of_urea_from_two_amines,,,
C125028,1,,,,O=S(=O)(Cl)CCc1cnoc1,CC(CN)Cn1cc(C(F)(F)F)cn1,CC(CNS(=O)(=O)CCc1cnoc1)Cn1cc(C(F)(F)F)cn1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,
C55900,1,,,,NCCc1c[nH]cn1,CN(C)C(=O)N1CCC(C(=O)O)CC1,CN(C)C(=O)N1CCC(C(=O)NCCc2c[nH]cn2)CC1,Amidation,,,
C53753,1,,,,C1CCN(C2CCNC2)CC1,O=C(O)COc1ccccc1,O=C(COc1ccccc1)N1CCC(N2CCCCC2)C1,Amidation,,,
C55108,1,,,,O=C(O)CCCN1CCCCC1,CN(C)C(=O)Cc1cccc(N)c1,CN(C)C(=O)Cc1cccc(NC(=O)CCCN2CCCCC2)c1,Amidation,,,
C52055,1,,,,O=C(O)CCc1cccnc1,CC1CC2CCC(C1)N2,CC1CC2CCC(C1)N2C(=O)CCc1cccnc1,Amidation,,,
C48060,1,,,,Clc1nc(-c2cccnc2)cs1,CC(=O)NC(C)C1CCNCC1,CC(=O)NC(C)C1CCN(c2nc(-c3cccnc3)cs2)CC1,N-nucleophilic_aromatic_substitution,,,
C52315,1,,,,C1CCN(C2CCNC2)C1,O=C(O)C(O)C1CCCCC1,O=C(C(O)C1CCCCC1)N1CCC(N2CCCC2)C1,Amidation,,,
C114736,1,,,,NCC1CCCN1CCCO,CC(C(=O)O)N1CCCCC1=O,CC(C(=O)NCC1CCCN1CCCO)N1CCCCC1=O,Amidation,,,
C47019,1,,,,NCC(O)CN1CCCCC1,CCCN1CCCC(C(=O)O)C1,CCCN1CCCC(C(=O)NCC(O)CN2CCCCC2)C1,Amidation,,,
C51690,1,,,,O=C(O)C1CCCNC1,CC(N)C1CC1C,CC1CC1C(C)NC(=O)C1CCCNC1,Amidation,,,
C75387,1,,,,O=C(O)c1ccc2c(c1)CCN2,CC(N)c1ncccc1Cl,CC(NC(=O)c1ccc2c(c1)CCN2)c1ncccc1Cl,Amidation,,,
C51476,1,,,,Nc1cccnc1N1CCCCC1,CC(N)c1ncco1,CC(NC(=O)Nc1cccnc1N1CCCCC1)c1ncco1,Formation_of_urea_from_two_amines,,,
C53713,1,,,,CCC(=O)N1CCCNCC1,O=C(O)CCN1CCOCC1,CCC(=O)N1CCCN(C(=O)CCN2CCOCC2)CC1,Amidation,,,
C13618,1,,,,CC1Cc2cnccc2N1,CC(Sc1ccccn1)C(=O)O,CC(Sc1ccccn1)C(=O)N1c2ccncc2CC1C,Amidation,,,
C53762,1,,,,NCCN1CCCCC1,CC(C)OC(=O)N1CCCC1C(=O)O,CC(C)OC(=O)N1CCCC1C(=O)NCCN1CCCCC1,Amidation,,,
