hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
282932,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,3.0,100.0,EUR,326.0,10,Enamine,Global catalog,EN300-37274749,Cl.Cl.NCCc1cocn1,,3,3,"[99, 177, 676]","[107, 72495, 266892]",Amidation,"[107, 72495, 266892]"
282943,Cn1nc(C(=O)O)c2ccccc21,OVVDFORZEGKEJM-UHFFFAOYSA-N,2.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-129568,Cn1nc(C(=O)O)c2ccccc21,,2,2,"[98, 99]","[107, 204781]",Amidation,"[107, 204781]"
6221,C1CC(N2CCNCC2)C1,WJJKCJYVIICABH-UHFFFAOYSA-N,1.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-76377,C1CC(N2CCNCC2)C1,,1,1,[1010],[533],Amidation,[533]
284850,O=C(O)Cc1ccc2ncsc2c1,OAYOVBXHLNEPOD-UHFFFAOYSA-N,1.0,50.0,EUR,208.0,2,Enamine,EU stock,EN300-173015,O=C(O)Cc1ccc2ncsc2c1,,1,1,[1010],[533],Amidation,[533]
284554,OCc1ccc2cn[nH]c2c1,WZCQPVLAXQMTJO-UHFFFAOYSA-N,2.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-91253,OCc1ccc2cn[nH]c2c1,,2,2,"[1213, 1299]","[678, 5645]",Steglich_esterification,"[678, 5645]"
285253,O=C(O)C1(n2cccn2)CCC1,ZYVKQFYWVKXQGD-UHFFFAOYSA-N,1.0,50.0,EUR,272.0,2,Enamine,EU stock,EN300-1072450,O=C(O)C1(n2cccn2)CCC1,,1,1,[1213],[678],Steglich_esterification,[678]
286127,Nc1n[nH]c2cccc(-n3cccn3)c12,PDIXJKQMWMZREX-UHFFFAOYSA-N,1.0,100.0,EUR,245.0,10,Enamine,Global catalog,EN300-5232400,Nc1[nH]nc2cccc(-n3cccn3)c12,,1,1,[1664],[684],Amidation,[684]
286128,CC(OC(F)F)C(=O)O,BCEZHAQNRKKRFF-UHFFFAOYSA-N,1.0,100.0,EUR,712.0,10,Enamine,Global catalog,EN300-344271,C[C@H](OC(F)F)C(=O)O,,1,1,[1664],[684],Amidation,[684]
283111,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,3.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-19152,CC=O,,3,3,"[497, 845, 1273]","[686, 5666, 97404]",Petasis-borono_Mannich_reaction,"[686, 5666, 97404]"
284486,OB(O)c1cccc2[nH]ncc12,BGZZJZIZRARGGZ-UHFFFAOYSA-N,2.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-147710,OB(O)c1cccc2[nH]ncc12,,2,2,"[839, 845]","[686, 131861]","Petasis-borono_Mannich_reaction, Sp2-sp2_Suzuki_coupling","[686, 131861]"
