compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
282932,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,3.0,18.5,24765,Enamine,Advanced,EN300-37274749,73.8,EUR,10,0.9,Cl.Cl.NCCC1=COC=N1,2025-10-07,1,3,3,{'Amidation'},"{177, 99, 676}","{107, 266892, 72495}"
282943,Cn1nc(C(=O)O)c2ccccc21,OVVDFORZEGKEJM-UHFFFAOYSA-N,2.0,100.0,4591,Enamine,Global catalog,EN300-129568,18.0,EUR,10,,Cn1nc(C(=O)O)c2ccccc21,2025-09-29,1,2,2,{'Amidation'},"{98, 99}","{107, 204781}"
6221,C1CC(N2CCNCC2)C1,WJJKCJYVIICABH-UHFFFAOYSA-N,1.0,100.0,4822,Enamine,Global catalog,EN300-76377,18.0,EUR,10,,C1CC(N2CCNCC2)C1,2025-09-29,1,1,1,{'Amidation'},{1010},{533}
284850,O=C(O)Cc1ccc2ncsc2c1,OAYOVBXHLNEPOD-UHFFFAOYSA-N,1.0,19.3,24725,Enamine,HTS,EN300-173015,47.2,EUR,10,0.9,O=C(O)CC=1C=CC=2N=CSC2C1,2025-10-07,1,1,1,{'Amidation'},{1010},{533}
284554,OCc1ccc2cn[nH]c2c1,WZCQPVLAXQMTJO-UHFFFAOYSA-N,2.0,100.0,13814,Enamine,Global catalog,EN300-91253,18.0,EUR,10,,OCc1ccc2cn[nH]c2c1,2025-09-29,1,2,2,{'Steglich_esterification'},"{1299, 1213}","{5645, 678}"
285253,O=C(O)C1(n2cccn2)CCC1,ZYVKQFYWVKXQGD-UHFFFAOYSA-N,1.0,16.6,24903,Enamine,Functional,EN300-1072450,202.9,EUR,10,0.9,O=C(O)C1(CCC1)N2C=CC=N2,2025-10-07,1,1,1,{'Steglich_esterification'},{1213},{678}
286127,Nc1n[nH]c2cccc(-n3cccn3)c12,PDIXJKQMWMZREX-UHFFFAOYSA-N,1.0,19.9,24683,Enamine,Advanced,EN300-5232400,76.9,EUR,10,0.9,NC=1NN=C2C=CC=C(C12)N3C=CC=N3,2025-10-07,1,1,1,{'Amidation'},{1664},{684}
286128,CC(OC(F)F)C(=O)O,BCEZHAQNRKKRFF-UHFFFAOYSA-N,1.0,14.0,25081,Enamine,Functional,EN300-344271,315.2,EUR,10,0.9,C[C@H](OC(F)F)C(=O)O,2025-10-07,1,1,1,{'Amidation'},{1664},{684}
283111,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,2.0,100.0,8322,Enamine,Global catalog,EN300-19152,18.0,EUR,10,,CC=O,2025-09-29,1,2,2,{'Petasis-borono_Mannich_reaction'},"{497, 845}","{97404, 686}"
284486,OB(O)c1cccc2[nH]ncc12,BGZZJZIZRARGGZ-UHFFFAOYSA-N,2.0,100.0,5599,Enamine,Global catalog,EN300-147710,18.0,EUR,10,,OB(O)c1cccc2[nH]ncc12,2025-09-29,2,2,2,"{'Sp2-sp2_Suzuki_coupling', 'Petasis-borono_Mannich_reaction'}","{845, 839}","{131861, 686}"
284497,NCC(n1cccn1)C(F)(F)F,LOJZGVKHBJWXMS-UHFFFAOYSA-N,1.0,21.6,24586,Enamine,Legacy,EN300-313371,47.3,EUR,10,0.9,Cl.NCC(N1C=CC=N1)C(F)(F)F,2025-10-07,1,1,1,{'Petasis-borono_Mannich_reaction'},{845},{686}
284654,Ic1ccccn1,CCZWSTFVHJPCEM-UHFFFAOYSA-N,5.0,100.0,5508,Enamine,Global catalog,EN300-88338,18.0,EUR,10,,Ic1ccccn1,2025-09-29,3,5,5,"{'Sp3-sp2_Suzuki_coupling', 'Sp2-sp2_Suzuki_coupling', 'N-nucleophilic_aromatic_substitution'}","{1507, 912, 1142, 1302, 987}","{712, 6282, 6258, 3732, 733}"
285410,C1CC2CCC1N2,SNZSSCZJMVIOCR-UHFFFAOYSA-N,1.0,100.0,909,Enamine,Global catalog,EN300-27295,18.0,EUR,10,,C1CC2CCC1N2.Cl,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{1302},{712}
284655,C1CC2CC2CN1,MZFQJBMXUXJUHF-UHFFFAOYSA-N,2.0,13.4,25127,Enamine,Functional,EN300-300197,163.9,EUR,10,0.9,Cl.C1C2CCNCC12,2025-10-07,2,2,2,"{'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol', 'N-nucleophilic_aromatic_substitution'}","{912, 1326}","{7642, 733}"
283760,CS(=O)(=O)OC1CCCNC1,NBFIAMNDAAXUFC-UHFFFAOYSA-N,3.0,21.6,24587,Enamine,HTS,EN300-45587936,52.6,EUR,10,0.9,Cl.CS(=O)(=O)OC1CCCNC1,2025-10-07,1,3,3,{'Amine_alkylation'},"{1433, 1154, 807}","{2040, 46497, 759}"
285705,CCC=C1CCNC1,ZSIXFAYVZOLAHC-UHFFFAOYSA-N,1.0,11.1,25235,Enamine,Legacy,EN300-1244016,33.0,EUR,10,0.9,CCC=C1CCNC1,2025-10-07,1,1,1,{'Amine_alkylation'},{1433},{759}
285099,IC1CCNCC1,FGQSHUZAYIVLMB-UHFFFAOYSA-N,1.0,50.0,21493,Enamine,EU stock,EN300-7364343,25.0,EUR,2,,Cl.IC1CCNCC1,2025-09-29,1,1,1,{'Amine_alkylation'},{1485},{760}
285802,C1CNCC2(C1)CC2,UNOMGZZFCMNBCN-UHFFFAOYSA-N,1.0,14.8,25022,Enamine,HTS,EN300-141475,40.9,EUR,10,0.9,Cl.C1CC12CCCNC2,2025-10-07,1,1,1,{'Amine_alkylation'},{1485},{760}
284504,C1=CCNC1,JVQIKJMSUIMUDI-UHFFFAOYSA-N,1.0,100.0,3947,Enamine,Global catalog,EN300-206299,18.0,EUR,10,,C1=CCNC1.Cl,2025-09-29,1,1,1,{'Amine_alkylation'},{1128},{795}
284510,BrC1CCNCC1,FIHYVUSUEHIGOM-UHFFFAOYSA-N,3.0,100.0,7006,Enamine,Global catalog,EN300-142176,18.0,EUR,10,,Br.BrC1CCNCC1,2025-09-29,1,2,2,{'Amine_alkylation'},"{1128, 1349}","{5169, 795}"
284871,O=Cc1c[nH]nc1-c1ccc2c(c1)OCO2,KNGSJLHOXNAMTI-UHFFFAOYSA-N,1.0,50.0,15582,Enamine,EU stock,EN300-44085,73.0,EUR,2,,O=Cc1c[nH]nc1-c1ccc2c(c1)OCO2,2025-09-29,1,1,1,{'Reductive_amination'},{1024},{875}
284872,NC1CCCCC1,PAFZNILMFXTMIY-UHFFFAOYSA-N,1.0,100.0,2631,Enamine,Global catalog,EN300-29994,18.0,EUR,10,,Cl.NC1CCCCC1,2025-09-29,1,1,1,{'Reductive_amination'},{1024},{875}
285290,O=C(O)CCc1ccc2c(c1)OCO2,UIYJGLLTSVRSBM-UHFFFAOYSA-N,2.0,100.0,881,Enamine,Global catalog,EN300-24326,18.0,EUR,10,,O=C(O)CCc1ccc2c(c1)OCO2,2025-09-29,1,2,2,{'Amidation'},"{1234, 1642}","{899, 901}"
285291,NC1CCC1C1CCC1,FCDCYVAHYWSBAR-UHFFFAOYSA-N,1.0,16.2,24935,Enamine,Functional,EN300-46617490,239.8,EUR,10,0.9,"Cl.N[C@@H]1CC[C@H]1C2CCC2 |&1:2,5,r|",2025-10-07,1,1,1,{'Amidation'},{1234},{899}
286085,Nc1ccn(C2CCC2)n1,DRAPDGUWMFFWOJ-UHFFFAOYSA-N,1.0,13.7,25099,Enamine,Functional,EN300-783793,161.5,EUR,10,0.9,NC=1C=CN(N1)C2CCC2,2025-10-07,1,1,1,{'Amidation'},{1642},{901}
285327,O=C(O)CCC1CCNC1,VQCUMONTEGWEIX-UHFFFAOYSA-N,1.0,18.0,24787,Enamine,Legacy,EN300-113245,40.0,EUR,10,0.9,Cl.O=C(O)CCC1CCNC1,2025-10-07,1,1,1,{'Amidation'},{1312},{934}
285427,NCC1CCn2cnnc2C1,QCAHQEGOYONBHI-UHFFFAOYSA-N,2.0,18.9,24747,Enamine,HTS,EN300-26677710,46.1,EUR,10,0.9,Cl.NCC1CCN2C=NN=C2C1,2025-10-07,1,2,2,{'Amidation'},"{1312, 1469}","{38131, 934}"
285614,Cc1nnc2n1CC(C(=O)O)CC2,BSCMOTNOTCLFAK-UHFFFAOYSA-N,1.0,18.1,24783,Enamine,HTS,EN300-50561,44.7,EUR,10,0.9,CC1=NN=C2CCC(CN12)C(=O)O,2025-10-07,1,1,1,{'Amidation'},{1390},{1002}
285615,C#CC(N)C1CCC1,DGDPNQUTOGWWCW-UHFFFAOYSA-N,1.0,14.6,25035,Enamine,Functional,EN300-26667423,166.1,EUR,10,0.9,Cl.C#C[C@@H](N)C1CCC1,2025-10-07,1,1,1,{'Amidation'},{1390},{1002}
284495,O=C(O)COC1CNC1,BMJZBVHEFOIQFN-UHFFFAOYSA-N,1.0,50.0,17050,Enamine,EU stock,EN300-265953,47.0,EUR,2,,O=C(O)C(F)(F)F.O=C(O)COC1CNC1,2025-09-29,1,1,1,{'Amidation'},{844},{1120}
284496,NCCN1CCCc2ccccc21,ALWARSIRJIEZMK-UHFFFAOYSA-N,1.0,100.0,3898,Enamine,Global catalog,EN300-43429,18.0,EUR,10,,Cl.Cl.NCCN1CCCc2ccccc21,2025-09-29,1,1,1,{'Amidation'},{844},{1120}
285187,COc1ccc2c(c1)CCCN2C(=O)CCl,XJPUWRWIBSSPSL-UHFFFAOYSA-N,2.0,50.0,15588,Enamine,EU stock,EN300-24641,44.0,EUR,2,,COc1ccc2c(c1)CCCN2C(=O)CCl,2025-09-29,2,2,2,"{'Williamson_ether_synthesis', 'Nucleophilic_substitution_with_thiol'}","{1178, 1365}","{43016, 1132}"
285542,SCC1CCNCC1,XXBKZJAODFDWKG-UHFFFAOYSA-N,1.0,16.8,24882,Enamine,HTS,EN300-19347957,43.1,EUR,10,0.9,Cl.SCC1CCNCC1,2025-10-07,1,1,1,{'Nucleophilic_substitution_with_thiol'},{1365},{1132}
284930,O=C(O)C1CCCCCN1,OPFURXRZISKMJV-UHFFFAOYSA-N,1.0,50.0,22166,Enamine,EU stock,EN300-82395,43.0,EUR,2,,Cl.O=C(O)C1CCCCCN1,2025-09-29,1,1,1,{'Amidation'},{1255},{1142}
285334,COc1ccc2c(c1)C(N)CCN2,LLBCBFNOFUVCAU-UHFFFAOYSA-N,1.0,17.8,24808,Enamine,Advanced,EN300-80448,72.4,EUR,10,0.9,COC=1C=CC=2NCCC(N)C2C1,2025-10-07,1,1,1,{'Amidation'},{1255},{1142}
285423,FC(F)(F)c1cccc2c1CNCC2,ZISQRAKOWZOXDR-UHFFFAOYSA-N,1.0,50.0,24423,Enamine,EU stock,EN300-320933,36.0,EUR,2,,FC(F)(F)c1cccc2c1CNCC2,2025-09-29,1,1,1,{'Ester_amidation'},{1310},{1238}
285424,CCOC(=O)C(F)C1CCNC1,ZVUDYIXTIYAWSV-UHFFFAOYSA-N,1.0,28.9,24456,Enamine,Functional,EN300-295243,325.3,EUR,10,0.9,O=C(O)C(F)(F)F.CCOC(=O)C(F)C1CCNC1,2025-10-07,1,1,1,{'Ester_amidation'},{1310},{1238}
284302,NOC1CCCC1,HWWCBAWGNJYHPP-UHFFFAOYSA-N,4.0,10.1,25254,Enamine,HTS,EN300-92053,35.4,EUR,10,0.9,NOC1CCCC1,2025-10-07,1,4,4,{'Amidation'},"{1240, 745, 1274, 995}","{1360, 1366, 32955, 1318}"
284827,CC(C(=O)O)C1CNC1,AYXWYUKDVYYPKN-UHFFFAOYSA-N,1.0,24.3,24505,Enamine,Legacy,EN300-155416,53.1,EUR,10,0.9,O=C(O)C(F)(F)F.CC(C(=O)O)C1CNC1,2025-10-07,1,1,1,{'Amidation'},{995},{1318}
284054,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,2.0,100.0,10958,Enamine,Global catalog,EN300-19540,18.0,EUR,10,,CCC(=O)O,2025-09-29,1,2,2,{'Amidation'},"{1585, 886}","{1322, 4708}"
285378,NOC1CCCCC1,KYKNGOPXRHUCHC-UHFFFAOYSA-N,4.0,11.5,25214,Enamine,HTS,EN300-141060,37.0,EUR,10,0.9,NOC1CCCCC1,2025-10-07,1,4,4,{'Amidation'},"{1280, 1585, 1446, 1511}","{1353, 1322, 1357, 1349}"
285447,ONC1CCCC1,XDYRBRLMIGIKQW-UHFFFAOYSA-N,1.0,13.8,25094,Enamine,Advanced,EN300-126718,63.6,EUR,10,0.9,Cl.ONC1CCCC1,2025-10-07,1,1,1,{'Amidation'},{1320},{1338}
285448,CN1CCCCC1CCC(=O)O,ZYWHDXBOSGFUFC-UHFFFAOYSA-N,1.0,50.0,16068,Enamine,EU stock,EN300-176384,25.0,EUR,2,,CN1CCCCC1CCC(=O)O.Cl,2025-09-29,1,1,1,{'Amidation'},{1320},{1338}
285379,COc1ccc(CCC(=O)O)cn1,AVKMBNIMMCMCBT-UHFFFAOYSA-N,1.0,18.1,24780,Enamine,Legacy,EN300-194664,40.2,EUR,10,0.9,COC=1C=CC(=CN1)CCC(=O)O,2025-10-07,1,1,1,{'Amidation'},{1280},{1349}
285868,Cc1cc(CCC(=O)O)no1,XSJUUJCTQWMNNG-UHFFFAOYSA-N,1.0,15.5,24979,Enamine,Legacy,EN300-637493,37.5,EUR,10,0.9,CC1=CC(CCC(=O)O)=NO1,2025-10-07,1,1,1,{'Amidation'},{1511},{1353}
285736,CC(C(=O)O)N1CCN(C)CC1,LZRLSYGKEOASIP-UHFFFAOYSA-N,1.0,50.0,14852,Enamine,EU stock,EN300-45384,18.0,EUR,2,,CC(C(=O)O)N1CCN(C)CC1.Cl.Cl,2025-09-29,1,1,1,{'Amidation'},{1446},{1357}
284904,NOC1CCC1,WHFMUIWBJFYAGJ-UHFFFAOYSA-N,1.0,12.4,25186,Enamine,Advanced,EN300-216882,60.6,EUR,10,0.9,Cl.NOC1CCC1,2025-10-07,1,1,1,{'Amidation'},{1286},{1359}
