compound_id,amount,quote_id,quoted_amount,price,score,score_min,smiles
15,1,,,,3.6,3.714,COC(=O)c1ccncc1N
107,1,,,,5.753,5.786,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21
498,1,333,5.0,101.0,4.575,4.662,CC(C)(CNS(=O)(=O)c1ccc2scnc2c1)C1CCCN1
525,1,409,5.0,101.0,3.918,3.84,CC(NC(=O)C(=O)NCCc1ccc2ncsc2c1)C1CCC1
532,1,,,,4.48,4.187,O=C(c1ccc2scnc2c1)N1CCN(C2CCSCC2)CC1
533,1,123,5.0,101.0,4.507,4.28,O=C(Cc1ccc2ncsc2c1)N1CCN(C2CCC2)CC1
540,1,,,,4.312,4.175,c1ccc2sc(N3CCN(C4CCSCC4)CC3)nc2c1
678,1,407,5.0,101.0,3.304,4.71,O=C(OCc1ccc2cn[nH]c2c1)C1(n2cccn2)CCC1
684,1,,,,2.97,4.926,CC(OC(F)F)C(=O)Nc1n[nH]c2cccc(-n3cccn3)c12
686,1,622,5.0,151.6,4.311,4.097,CC(NCC(n1cccn1)C(F)(F)F)c1cccc2[nH]ncc12
712,1,76,5.0,101.0,3.921,3.636,c1ccc(N2C3CCC2CC3)nc1
717,1,77,5.0,101.0,3.833,3.458,C=C1CCCN(c2ccccn2)C1
722,1,,,,3.916,3.685,c1cncc(C2SCCCS2)c1
733,1,232,5.0,101.0,4.015,3.944,c1ccc(N2CCC3CC3C2)nc1
736,1,38,5.0,27.2,4.073,4.032,c1ccc(N2CCCCC2)nc1
748,1,,,,,,c1ccc([S+]2CCCC2)nc1
758,1,,,,5.068,4.959,CC(C)(C)C=C1CCCC1C1CCCCN1
759,1,,,,3.638,3.84,CCC=C1CCN(C2CCCNC2)C1
760,1,,,,4.51,3.95,C1CN(C2CCNCC2)CC2(C1)CC2
765,1,,,,4.224,4.278,C#CC=C1CCCC1C1CCCCN1
787,1,,,,,,C1CNCC(C2CCC3CC32)C1
795,1,34,5.0,27.2,3.806,3.914,C1=CCN(C2CCNCC2)C1
798,1,,,,3.868,3.674,CC=C1CCN(C2CCCNC2)C1
805,1,,,,4.16,4.028,C1CNCC(N2CCC3(CC3)C2)C1
872,1,260,5.0,101.0,4.409,4.517,CN(Cc1ccc2c(c1)OCO2)C(=O)C(=O)NCCC1CCCS1
875,1,129,5.0,101.0,5.084,5.097,c1cc2c(cc1-c1n[nH]cc1CNC1CCCCC1)OCO2
899,1,611,5.0,151.6,4.202,4.633,O=C(CCc1ccc2c(c1)OCO2)NC1CCC1C1CCC1
901,1,387,5.0,101.0,4.564,4.168,O=C(CCc1ccc2c(c1)OCO2)Nc1ccn(C2CCC2)n1
934,1,415,5.0,101.0,4.169,3.622,O=C(CCC1CCNC1)NCC1CCn2cnnc2C1
936,1,,,,4.351,3.728,c1ccc(-c2nnc3n2CC(c2nc(C4CCCN4)no2)CC3)cc1
947,1,332,5.0,101.0,4.884,5.152,CCCN(C(=O)C1CCc2nncn2C1)C1CCNC1
961,1,347,5.0,101.0,3.986,3.549,O=C(NNC1=NCCS1)C1CCCn2cnnc21
973,1,,,,3.978,3.899,OC1CCCc2nnc(CC3CCSCC3)n21
1002,1,,,,4.094,4.189,C#CC(NC(=O)C1CCc2nnc(C)n2C1)C1CCC1
1109,1,,,,4.465,4.236,c1cc2c(cc1C1CCNCC1)CCCN2
1120,1,196,5.0,101.0,4.37,4.656,O=C(COC1CNC1)NCCN1CCCc2ccccc21
1132,1,216,5.0,101.0,4.464,4.438,COc1ccc2c(c1)CCCN2C(=O)CSCC1CCNCC1
1142,1,335,5.0,101.0,3.836,3.965,COc1ccc2c(c1)C(NC(=O)C1CCCCCN1)CCN2
1169,1,,,,4.003,3.647,c1cc2c(c(N3CCCCCCC3)c1)NCCC2
1192,1,,,,4.299,4.415,c1cc2c(c(N3CCCCCC3)c1)NCCC2
