name,score,score_min
P810,3.407,5.183
P944,3.293,4.752
P1411,3.871,3.628
P2537,4.261,3.952
P2540,3.935,3.845
P3246,3.774,5.008
P4097,3.898,5.224
P4129,4.925,5.851
P4539,4.437,4.209
P5890,4.848,4.880
P6803,4.222,4.436
P7453,4.795,5.041
P8090,4.272,4.782
P8760,4.387,4.651
P8892,5.477,5.666
P9109,4.497,4.299
P11635,2.572,4.773
P15274,5.386,5.258
P15275,5.461,5.428
P15638,5.037,4.734
P15897,3.322,3.129
P16706,5.988,6.172
P18206,4.302,4.145
P19678,4.020,3.926
P19748,3.936,3.816
P19749,4.037,4.034
P23693,4.389,4.091
P23697,4.286,3.756
P23703,4.513,3.953
P23706,4.508,4.051
P23709,4.356,4.065
P23722,4.263,3.832
P23724,4.558,3.967
P23728,4.320,3.791
P23741,4.287,3.946
P26724,2.423,4.199
P26728,1.695,4.030
P26805,4.176,3.936
P26816,4.466,4.179
P26819,4.441,4.478
P26820,3.448,4.906
P26830,3.887,4.745
P26831,3.472,5.398
P26870,3.028,4.801
P26874,3.352,3.983
P26875,3.167,4.293
P26877,3.610,4.612
P26878,3.548,4.634
P26880,3.965,4.783
P26881,3.298,4.385
P26889,3.818,4.998
P26890,3.918,4.939
P26893,3.962,4.863
P26906,4.022,4.974
P26912,4.120,4.851
P26924,4.095,4.872
P27400,3.777,4.116
P28690,3.861,4.028
P30306,4.611,5.127
P31267,4.948,5.291
P31487,4.234,4.243
P31494,4.174,3.620
P31842,2.441,4.198
P31846,2.563,3.891
P33051,4.617,4.550
P34113,5.081,5.057
P34116,4.688,4.610
P34458,3.962,4.306
P34468,3.579,3.553
P34471,3.600,3.714
P36471,2.805,3.187
P36501,3.199,3.114
P36508,5.517,5.298
P36514,5.265,5.135
P36843,4.693,4.182
P37149,2.664,3.345
P37352,5.093,4.902
P37435,5.069,4.526
P39158,3.761,4.262
P39709,3.906,3.897
P42916,4.711,5.314
P45204,5.692,5.716
P45214,5.679,5.644
P45216,5.753,5.786
P45418,5.695,4.743
P45427,5.549,4.599
P45445,5.894,6.172
P45448,5.495,6.101
P46636,3.313,3.578
P48155,5.633,5.995
P48171,5.643,6.028
P48172,5.767,6.415
P48293,5.678,5.893
P51261,5.530,5.506
P52293,5.395,5.910
P52296,5.485,6.449
P52339,5.261,5.938
P53507,4.967,6.035
P54413,4.353,5.224
P54491,3.541,4.521
P55680,5.856,5.950
P56471,6.062,6.215
P67648,3.500,3.603
P71485,5.449,5.573
P80496,5.174,4.974
P81034,3.751,3.796
P82751,3.084,3.143
P87181,4.335,4.053
P89241,4.087,3.954
P96790,4.269,3.666
P98521,3.625,3.607
P119597,4.074,3.703
P119965,4.683,4.688
P119976,3.616,3.667
C45982-P611,3.407,5.183
C33321-P170,3.293,4.752
C46327-P296,3.887,3.930
C97401-P9,4.335,3.927
C97404-P9,4.004,3.760
C132369-P220,3.774,5.008
C13210-P270,3.247,4.332
C56215-P205,2.552,3.653
C118307-P200,3.898,5.224
C132547-P200,4.925,5.851
C68035-P51,4.295,4.252
C64769-P219,3.445,5.266
C51427-P138,4.094,5.884
C47239-P208,3.791,3.593
C46501-P481,3.501,3.362
C51402-P120,3.767,4.241
C51406-P120,4.002,4.397
C51421-P120,4.134,4.450
C51187-P481,3.765,3.941
C95583-P404,2.643,4.787
C53037-P106,3.815,3.920
C68901-P103,4.227,3.646
C11630-P405,3.683,3.471
C45658-P207,3.301,4.878
C55769-P616,3.737,4.700
C45903-P109,2.315,5.258
C45903-P535,2.313,5.035
C66335-P153,3.697,5.008
C57914-P234,5.526,5.325
C57919-P234,5.552,5.480
C45662-P439,4.001,3.925
C54524-P305,4.229,3.782
C45982-P197,5.647,5.905
C65274-P174,4.607,4.523
C15317-P103,4.067,4.283
C71039-P103,3.803,4.626
C3689-P239,3.804,3.524
C46556-P493,3.682,4.387
C46573-P493,3.581,4.779
C9335-P174,2.572,4.773
C46353-P372,2.998,3.957
C47846-P481,4.148,3.898
C47877-P481,4.388,4.169
C46339-P374,3.084,3.472
C54239-P153,3.540,4.601
C60323-P153,4.003,4.431
C48580-P124,3.677,4.125
C45982-P173,3.788,5.278
C45874-P159,4.168,4.690
C3275-P159,3.384,3.747
C46500-P219,2.559,4.474
C46501-P219,3.245,4.526
C13204-P195,2.915,3.532
C36518-P207,2.578,3.990
C63643-P219,3.023,5.324
C102812-P76,3.878,4.302
C40513-P76,4.438,4.008
C40525-P76,4.513,3.941
C40527-P76,4.572,4.123
C102839-P76,4.281,4.042
C45903-P363,3.868,3.579
C51842-P135,3.073,4.111
C51851-P135,3.051,4.216
C51859-P135,2.838,4.049
C51872-P391,3.748,4.273
C51876-P135,2.868,4.191
C45780-P328,3.575,5.108
C50807-P183,3.670,5.244
C50814-P183,3.753,4.824
C66327-P229,5.184,5.230
C51400-P344,5.386,5.258
C51401-P344,5.461,5.428
C52381-P344,5.254,5.026
C48046-P344,5.200,5.038
C52382-P229,5.110,5.353
C45790-P228,4.550,4.693
C45958-P228,4.829,5.228
C45959-P228,4.673,5.435
C45966-P228,4.754,5.034
C45979-P228,5.058,5.362
C52374-P401,2.240,4.198
C119628-P106,5.944,5.998
C55786-P322,4.642,4.821
C63883-P224,2.528,3.932
C105131-P135,2.888,5.288
C51401-P213,4.413,4.881
C107104-P174,5.473,5.232
C52375-P405,3.688,3.551
C50753-P248,4.020,3.926
C74114-P9,3.936,3.816
C74115-P9,4.037,4.034
C106645-P363,5.141,4.728
C52382-P224,5.500,5.644
C52408-P224,4.870,5.474
C66854-P120,4.387,4.236
C2716-P8,2.789,3.725
C3806-P190,3.559,3.869
C46321-P322,4.346,4.050
C46339-P322,3.599,3.314
C46343-P322,3.673,3.738
C46353-P322,3.427,3.308
C54664-P617,4.018,3.910
C56883-P444,4.945,4.578
C57129-P322,4.383,4.199
C57139-P322,4.385,3.970
C53768-P257,4.518,4.487
C48170-P128,3.854,3.696
C48181-P128,4.715,4.590
C58995-P337,4.423,3.912
C117753-P445,3.864,3.566
C117762-P445,4.052,3.775
C715-P557,3.170,3.721
C9536-P122,3.523,3.213
C46023-P304,3.805,4.005
C46024-P304,3.910,4.168
C46025-P304,3.879,4.052
C45863-P322,3.512,3.291
C47239-P196,3.577,3.376
C124407-P214,3.697,3.619
C124416-P214,3.854,4.018
C47045-P198,4.555,4.946
C12359-P152,4.289,3.977
C39959-P100,4.389,4.091
C124666-P76,4.316,3.768
C124672-P100,4.513,3.953
C124674-P100,4.508,4.051
C124675-P76,4.208,3.814
C124677-P100,4.356,4.065
C124687-P76,4.235,3.742
C124689-P100,4.558,3.967
C124693-P100,4.320,3.791
C39918-P76,4.101,3.938
C39932-P100,4.287,3.946
C39946-P76,4.330,3.901
C32372-P76,4.562,4.091
C63894-P229,4.473,4.198
C63895-P229,4.546,4.543
C46328-P354,4.502,4.418
C54664-P557,4.223,3.878
C46023-P308,4.538,4.969
C46024-P308,4.545,4.608
C47049-P481,4.594,4.210
C47057-P481,4.320,4.958
C47072-P481,4.601,4.447
C46343-P371,4.176,4.570
C46353-P371,2.987,3.605
C13210-P291,3.313,3.717
C64564-P152,4.479,4.053
C51867-P219,2.285,3.915
C43441-P128,4.546,4.398
C60693-P128,4.401,4.368
C60696-P128,3.984,5.256
C60700-P128,4.408,4.442
C24948-P137,3.536,3.235
C54664-P384,3.912,3.944
C45615-P339,2.921,4.641
C55223-P339,2.939,3.885
C51875-P363,4.383,4.128
C75223-P136,3.233,3.193
C55392-P183,4.736,4.386
C48157-P405,4.033,4.420
C9559-P391,3.816,3.435
C65388-P220,4.855,5.393
C50814-P220,4.773,5.318
C16362-P220,5.063,5.515
C46023-P225,4.665,4.667
C46024-P225,4.698,4.559
C46025-P225,4.621,4.736
C46033-P225,4.721,4.798
C57129-P481,3.995,4.157
C57137-P481,3.863,3.955
C57140-P481,4.000,4.169
C79212-P220,4.072,3.605
C13210-P271,3.311,4.353
C63652-P229,2.916,4.258
C24948-P174,3.387,3.312
C45815-P469,4.319,4.200
C95588-P135,4.887,4.961
C56176-P71,4.349,3.896
C95867-P543,4.269,4.304
C79259-P174,4.683,5.432
C72495-P174,5.104,5.095
C72496-P174,5.153,4.998
C59884-P322,3.563,3.664
C55138-P204,4.683,4.683
C45792-P497,4.900,5.434
C19322-P22,4.016,4.190
C76028-P273,4.514,4.927
C51396-P274,4.689,4.383
C51403-P274,4.903,4.889
C45982-P244,4.860,5.045
C98152-P58,2.020,3.760
C45884-P374,3.764,3.650
C51427-P384,5.594,5.214
C48037-P492,4.695,4.619
C99430-P339,4.173,4.233
C51749-P174,4.784,4.850
C45982-P401,5.596,5.533
C78052-P22,2.421,5.279
C12359-P239,3.386,4.371
C69744-P182,3.203,4.661
C35464-P248,2.934,3.773
C35473-P248,3.756,4.575
C54505-P214,3.097,4.716
C101512-P38,2.867,2.959
C48908-P374,4.419,4.461
C59012-P256,3.661,4.208
C46501-P322,3.975,3.515
C46024-P325,3.463,4.269
C46033-P325,3.383,4.252
C45835-P252,3.581,5.082
C46024-P303,4.619,4.740
C46025-P303,4.637,4.472
C55226-P87,3.606,4.083
C55237-P87,3.539,3.978
C12359-P320,3.895,4.290
C37158-P124,4.619,4.335
C37167-P124,4.683,4.516
C37174-P124,4.798,4.607
C46502-P159,4.479,4.184
C48482-P487,5.558,4.916
C48489-P487,5.121,4.858
C48494-P487,5.186,4.751
C48501-P487,5.477,4.691
C54239-P151,4.246,5.097
C3756-P159,3.109,3.166
C3275-P439,4.113,3.988
C45912-P439,4.984,4.967
C1794-P481,3.953,3.632
C715-P481,4.052,4.008
C48047-P481,4.133,3.738
C736-P439,3.925,3.628
C46475-P481,3.769,3.739
C47047-P322,3.761,3.756
C47049-P322,4.129,3.737
C47054-P322,3.970,4.058
C47072-P322,4.315,3.763
C51714-P354,4.695,4.460
C45903-P405,4.172,3.635
C27143-P405,3.629,3.892
C70623-P205,5.129,5.439
C97238-P252,3.971,3.957
C79798-P234,4.255,3.907
C79880-P200,4.007,3.618
C58995-P336,4.065,3.828
C58997-P336,4.106,3.729
C109281-P200,5.336,5.353
C3275-P465,4.309,4.144
C55918-P109,3.969,3.567
C109280-P136,4.866,4.558
C45658-P197,4.944,4.943
C64747-P344,3.760,4.880
C108276-P28,4.304,4.442
C104338-P12,4.960,5.342
C12359-P348,3.858,4.286
C51862-P384,3.770,3.503
C46321-P374,4.186,3.926
