name,gnina_score,gnina_score_min,smina_score_min,min_rmsd,
P810,5.630,5.567,-7.526,0.553
P944,4.463,4.347,-5.610,0.652
P1410,3.491,3.274,-2.857,2.045
P1411,3.509,3.495,-2.406,1.582
P2537,4.326,3.984,-4.300,0.648
P2540,4.033,3.875,-4.092,2.139
P3246,5.329,5.390,-6.692,0.923
P4097,5.345,5.510,-3.879,1.216
P4129,5.915,6.071,-5.827,0.521
P4539,4.427,4.189,-4.972,0.969
P5890,5.246,5.206,-6.553,0.394
P6803,4.311,4.473,-5.983,1.080
P7453,5.014,5.005,-5.426,0.665
P8090,4.373,4.562,-4.750,1.280
P8760,4.608,4.689,-4.086,1.157
P8892,5.620,5.707,-6.134,1.157
P9109,4.348,4.402,-5.800,0.822
P11635,5.680,5.773,-6.495,0.416
P15274,5.357,5.326,-6.480,0.523
P15275,5.490,5.417,-6.508,0.501
P15638,5.391,4.825,-4.862,2.376
P15897,3.117,3.256,-3.046,1.693
P16706,6.102,4.905,-6.440,2.166
P18206,4.639,4.640,-5.894,0.327
P19678,3.605,3.674,-5.074,0.572
P19748,3.843,3.831,-4.368,0.340
P19749,3.925,3.933,-4.553,1.745
P23693,4.294,3.817,-3.795,1.924
P23697,4.077,3.692,-4.417,1.743
P23703,4.380,3.696,-4.155,2.126
P23706,4.098,3.789,-4.168,1.355
P23709,4.307,4.012,-3.636,1.712
P23722,4.018,3.814,-3.380,0.718
P23724,4.155,3.979,-4.036,1.117
P23728,4.047,3.696,-4.037,1.273
P23741,4.274,3.994,-3.919,0.740
P26724,3.860,3.881,-4.876,1.208
P26728,4.086,3.913,-4.474,1.500
P26805,4.634,4.605,-5.047,0.750
P26816,4.847,4.837,-5.636,1.037
P26819,5.067,4.969,-5.531,0.788
P26820,5.542,5.567,-6.883,0.418
P26830,5.546,5.598,-7.244,0.388
P26831,5.496,5.489,-7.082,0.680
P26870,5.288,5.438,-3.525,0.774
P26874,4.666,4.656,-5.819,0.423
P26875,4.868,4.910,-5.458,0.636
P26877,5.183,5.141,-6.722,0.555
P26878,5.326,5.471,-6.478,0.646
P26880,5.416,5.278,-6.772,0.285
P26881,5.054,5.080,-6.671,0.422
P26889,5.687,5.807,-5.531,0.477
P26890,5.571,5.419,-5.902,0.396
P26891,5.815,5.951,-5.850,0.545
P26893,5.642,5.564,-6.295,0.463
P26906,5.587,5.636,-6.915,0.372
P26912,5.467,5.407,-6.136,0.308
P26924,5.476,5.503,-6.847,0.444
P27400,4.376,3.929,-4.164,0.630
P28690,4.660,4.501,-4.449,0.513
P30306,4.514,4.499,-5.257,0.748
P31267,5.250,5.572,-6.281,0.654
P31487,4.155,4.152,-4.653,1.571
P31494,4.135,3.779,-3.176,2.683
P31842,4.873,5.035,-6.854,0.594
P31846,5.413,5.404,-7.965,0.476
P33051,4.634,4.702,-5.013,0.713
P33919,5.428,5.470,-6.885,0.515
P34113,5.014,5.016,-6.104,0.460
P34116,4.813,4.791,-6.427,0.278
P34239,4.281,4.188,-4.262,0.644
P34455,4.346,4.352,-4.925,0.334
P34458,4.036,4.204,-4.554,1.079
P34468,3.701,3.561,-3.751,1.550
P34471,3.661,3.685,-4.178,0.159
P34950,4.702,4.747,-6.660,0.754
P35200,4.806,4.373,-4.540,1.664
P36471,3.011,2.991,-2.606,0.440
P36501,3.114,2.979,-3.150,0.696
P36503,3.277,3.306,-3.913,1.594
P36508,5.501,5.410,-6.112,0.737
P36509,5.705,5.806,-5.945,0.472
P36514,5.039,4.823,-5.220,1.136
P36519,4.969,4.995,-5.016,0.758
P36522,4.970,5.010,-5.452,1.724
P36817,4.669,4.487,-5.619,0.954
P36843,4.702,4.212,-4.793,2.601
P36852,5.533,5.165,-3.784,1.196
P37022,4.989,4.925,-5.167,1.126
P37149,3.290,3.372,-2.823,3.225
P37158,5.847,5.458,-5.850,0.691
P37352,4.781,5.004,-5.555,0.572
P37435,5.255,5.111,-4.456,0.895
P38313,5.944,5.961,-6.178,1.013
P38543,4.642,4.547,-5.572,0.903
P39158,3.988,4.214,-5.399,1.285
P39163,3.885,4.094,-4.456,1.221
P39709,4.044,3.941,-4.091,0.453
P42916,4.903,4.880,-6.314,1.257
P44243,6.940,6.882,-7.713,0.476
P44244,6.901,6.643,-6.545,0.854
P44246,6.784,6.408,-6.606,1.029
P44248,6.569,6.678,-7.953,0.674
P44258,6.725,6.854,-8.723,0.491
P44331,7.101,6.611,-7.680,0.818
P44353,6.864,6.776,-7.614,0.583
P44370,6.607,6.700,-5.831,0.313
P44377,6.640,6.664,-7.989,1.006
P44391,7.368,7.387,-11.458,0.301
P44672,6.330,6.325,-6.699,0.926
P44686,5.804,5.634,-5.163,0.842
P45189,4.728,4.905,-6.008,0.466
P45193,5.883,5.932,-6.909,0.257
P45194,4.738,4.926,-5.730,0.859
P45204,5.692,5.716,-6.332,0.823
P45214,5.679,5.644,-6.578,0.216
P45216,5.753,5.786,-6.567,0.268
P45418,6.652,6.620,-10.576,0.382
P45427,6.525,6.495,-10.544,0.272
P45445,6.944,6.966,-9.910,0.205
P45448,6.340,6.327,-9.588,0.324
P45449,6.601,6.582,-9.621,0.364
P45479,6.900,7.029,-11.256,0.378
P45536,6.852,6.893,-11.654,0.178
P45567,7.179,7.161,-11.157,0.254
P45653,7.081,7.039,-9.081,0.275
P45819,5.509,5.472,-6.004,1.159
P45862,5.145,5.059,-7.045,0.436
P46636,3.230,3.509,-4.320,0.904
P47252,6.773,6.772,-8.156,0.278
P47449,5.440,5.420,-6.488,0.330
P47459,5.167,4.973,-6.424,0.737
P47964,5.569,5.468,-7.756,0.504
P48078,4.885,4.788,-6.110,0.807
P48148,5.748,5.612,-7.261,0.970
P48155,5.878,5.868,-7.052,0.171
P48170,6.544,6.741,-7.366,0.719
P48171,5.875,5.865,-7.125,0.139
P48172,6.196,6.261,-9.092,0.248
P48175,6.536,6.520,-8.334,0.164
P48240,6.143,6.214,-6.138,0.353
P48278,4.576,4.611,-6.452,0.398
P48293,5.905,5.857,-6.919,0.673
P48299,6.336,6.388,-7.836,0.500
P50205,6.035,6.003,-8.783,0.193
P51261,5.820,5.868,-6.897,0.280
P51464,6.611,6.406,-6.766,0.732
P51627,6.471,6.430,-7.632,0.265
P51643,6.330,6.462,-8.377,0.690
P51713,5.728,5.975,-8.054,0.822
P51773,4.877,4.908,-6.365,0.777
P51785,5.568,5.558,-6.734,0.472
P52040,6.209,6.238,-7.681,0.419
P52073,7.213,7.256,-7.281,0.347
P52135,6.441,6.377,-7.817,0.225
P52196,6.415,6.389,-7.344,0.305
P52198,6.405,6.302,-9.432,0.497
P52222,6.160,6.180,-8.119,0.258
P52259,6.424,6.446,-9.733,0.263
P52274,6.767,6.796,-7.736,0.179
P52275,6.930,7.057,-8.355,0.660
P52287,6.777,6.535,-7.845,0.584
P52293,6.623,6.602,-9.285,0.312
P52296,6.480,6.473,-7.824,0.378
P52339,6.542,6.638,-5.915,0.630
P52375,6.773,6.488,-7.392,1.487
P52472,7.503,7.484,-10.968,0.517
P52481,7.237,7.216,-10.521,0.223
P53248,6.233,6.128,-8.103,0.356
P53454,6.590,6.484,-7.960,0.686
P53455,6.565,6.468,-8.206,0.420
P53460,6.208,6.208,-7.637,0.326
P53461,6.305,6.309,-8.139,0.293
P53476,6.380,6.320,-8.089,0.688
P53494,6.026,5.963,-7.561,0.289
P53507,6.514,6.403,-7.717,0.334
P53818,4.073,4.072,-5.038,0.350
P54413,5.920,5.871,-6.283,0.554
P54414,5.178,5.298,-6.883,1.222
P54415,5.190,5.298,-7.107,0.988
P54491,4.887,5.172,-6.986,1.017
P55680,6.087,6.045,-7.554,0.469
P55724,6.522,6.436,-5.051,0.460
P55730,6.388,6.424,-7.622,0.660
P56101,5.772,5.838,-7.815,0.285
P56424,5.565,5.518,-6.013,1.602
P56433,6.582,6.562,-9.724,0.187
P56434,6.401,6.384,-6.866,0.472
P56471,6.448,6.467,-8.389,0.307
P57629,6.218,5.894,-6.279,0.779
P57640,6.740,6.666,-6.173,0.206
P58797,6.057,6.009,-9.311,0.828
P59537,6.453,6.567,-6.997,0.432
P59549,6.945,6.885,-7.956,0.690
P60395,5.760,5.830,-7.676,0.378
P60402,6.121,6.253,-7.337,0.847
P60418,6.038,6.179,-7.855,0.433
P60429,5.993,6.079,-7.034,0.678
P60452,6.235,6.381,-8.801,0.493
P60453,5.496,5.503,-8.115,0.421
P60461,5.878,5.895,-7.842,0.415
P60464,5.644,5.685,-8.342,0.396
P62257,6.005,6.029,-7.271,0.324
P62380,5.617,5.683,-7.120,0.899
P62739,5.986,5.951,-8.167,0.184
P67648,3.512,3.601,-4.063,0.894
P68546,6.576,6.645,-9.222,0.209
P69030,5.946,6.160,-7.974,1.233
P69715,5.544,5.367,-6.145,2.163
P69735,5.473,5.349,-6.787,1.205
P69742,5.811,6.001,-5.904,0.478
P69784,5.179,5.196,-7.380,0.291
P70192,4.221,4.164,-4.211,1.291
P70193,4.212,4.042,-4.158,2.491
P71075,6.157,6.174,-7.762,0.320
P71485,5.389,5.638,-6.927,0.700
P72126,5.985,6.018,-8.280,0.510
P75349,6.452,6.592,-6.370,0.415
P75418,6.702,6.734,-6.078,0.359
P75423,6.200,6.024,-7.307,1.032
P77468,6.214,6.131,-9.091,0.716
P78117,3.939,4.231,-4.735,1.694
P79138,6.034,6.329,-8.760,0.441
P79214,5.538,5.624,-8.111,0.758
P79970,5.536,5.594,-6.715,0.399
P80496,5.087,5.059,-5.999,1.949
P81034,3.739,3.869,-4.524,1.994
P81110,6.101,6.034,-7.232,0.315
P81113,6.192,6.171,-8.840,0.183
P81114,6.638,6.585,-7.226,0.325
P81120,6.254,6.236,-8.970,0.395
P81149,5.534,5.639,-7.657,0.341
P81154,6.147,6.185,-8.969,0.323
P81159,6.184,6.120,-8.856,0.255
P81173,5.847,5.835,-7.521,0.565
P81184,6.056,6.148,-7.678,0.350
P81190,6.065,6.004,-6.897,0.398
P81193,6.013,5.961,-8.650,0.318
P81212,6.259,6.214,-8.128,0.384
P81226,6.087,6.032,-7.690,0.373
P81232,6.144,6.190,-7.746,0.364
P81261,5.719,5.642,-8.102,0.274
P81262,5.754,5.393,-7.189,2.017
P81266,6.164,6.226,-9.120,0.304
P81272,6.358,6.363,-8.104,0.218
P81279,6.343,6.331,-7.879,0.249
P81281,6.418,6.278,-8.228,0.854
P81344,6.417,6.489,-7.335,0.633
P82751,3.137,3.232,-2.197,1.633
P83486,5.791,5.799,-7.957,0.429
