target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C306370,1,,,,Cc1nc(CCN)c(C)o1,CCc1ccccc1C(=O)O,CCc1ccccc1C(=O)NCCc1nc(C)oc1C,Amidation,,
C289723,1,,,,Cc1c(C=O)ccc2cnn(C)c12,Cn1ccc(-c2ccc(CN)cc2)n1,Cc1c(CNCc2ccc(-c3ccn(C)n3)cc2)ccc2cnn(C)c12,Reductive_amination,,
C289724,1,,,,Cc1c(C=O)ccc2cnn(C)c12,Cn1nccc1-c1ccc(CN)cc1,Cc1c(CNCc2ccc(-c3ccnn3C)cc2)ccc2cnn(C)c12,Reductive_amination,,
C289725,1,,,,Cn1ncc2ccc(C(=O)O)cc21,Cn1ccc(-c2ccc(CN)cc2)n1,Cn1ccc(-c2ccc(CNC(O)c3ccc4cnn(C)c4c3)cc2)n1,Reductive_amination,,
C289726,1,,,,Cn1ncc2ccc(C(=O)O)cc21,Cn1nccc1-c1ccc(CN)cc1,Cn1nccc1-c1ccc(CNC(O)c2ccc3cnn(C)c3c2)cc1,Reductive_amination,,
C289727,1,,,,Cc1c2ccc(C=O)cc2nn1C,Cn1ccc(-c2ccc(CN)cc2)n1,Cc1c2ccc(CNCc3ccc(-c4ccn(C)n4)cc3)cc2nn1C,Reductive_amination,,
C289728,1,,,,Cc1c2ccc(C=O)cc2nn1C,Cn1nccc1-c1ccc(CN)cc1,Cc1c2ccc(CNCc3ccc(-c4ccnn4C)cc3)cc2nn1C,Reductive_amination,,
C289729,1,,,,Cn1cc2ccc(C(=O)O)cc2n1,Cn1ccc(-c2ccc(CN)cc2)n1,Cn1ccc(-c2ccc(CNC(O)c3ccc4cn(C)nc4c3)cc2)n1,Reductive_amination,,
C289730,1,,,,Cn1cc2ccc(C(=O)O)cc2n1,Cn1nccc1-c1ccc(CN)cc1,Cn1cc2ccc(C(O)NCc3ccc(-c4ccnn4C)cc3)cc2n1,Reductive_amination,,
C289731,1,,,,CCn1cc2ccc(C(=O)O)cc2n1,Cn1ccc(-c2ccc(CN)cc2)n1,CCn1cc2ccc(C(O)NCc3ccc(-c4ccn(C)n4)cc3)cc2n1,Reductive_amination,,
