compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
284054,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,1.0,1.0,1173,Enamine,,Z104474154,14.0,EUR,,,CCC(=O)O,2025-12-09,1,1,1,{'Amidation'},{886},{4708}
284590,C=C1CCNC1,XGJYZAAIQYBIKF-UHFFFAOYSA-N,1.0,1.0,1724,Enamine,,Z1203820567,92.0,EUR,,,C=C1CCNC1,2025-12-09,1,1,1,{'Amidation'},{886},{4708}
283835,CC(S)C(=O)O,PMNLUUOXGOOLSP-UHFFFAOYSA-N,1.0,1.0,1227,Enamine,,Z104477082,14.0,EUR,,,CC(S)C(=O)O,2025-12-09,1,1,1,{'Amidation'},{18682},{5989}
285705,CCC=C1CCNC1,ZSIXFAYVZOLAHC-UHFFFAOYSA-N,1.0,1.0,16,Enamine,,EN300-1244016,33.0,EUR,,,CCC=C1CCNC1,2025-12-01,1,1,1,{'Amidation'},{18682},{5989}
284540,O=C(O)c1ccc2[nH]ncc2c1,MAVGBUDLHOOROM-UHFFFAOYSA-N,1.0,1.0,1714,Enamine,,Z235353827,14.0,EUR,,,O=C(O)c1ccc2[nH]ncc2c1,2025-12-09,1,1,1,{'Amidation'},{864},{18032}
284541,NCc1cnc[nH]1,MPCYZPCWSYUWMJ-UHFFFAOYSA-N,1.0,1.0,1715,Enamine,,Z1013332166,15.0,EUR,,,NCc1cnc[nH]1,2025-12-09,1,1,1,{'Amidation'},{864},{18032}
282946,Cn1nc(C(=O)O)c2cc(F)ccc21,MZEJUCPSOXTCSZ-UHFFFAOYSA-N,35.0,35.0,,Enamine,,Z1198169925,59.5,EUR,,,Cn1nc(C(=O)O)c2cc(F)ccc21,2025-12-09,1,35,35,{'Amidation'},"{9540, 1861, 1862, 1863, 9543, 9544, 9547, 1868, 9548, 9550, 9552, 9553, 9554, 9558, 9559, 9560, 9562, 9563, 1884, 9564, 9566, 9567, 9568, 1889, 9573, 9575, 1898, 1899, 1900, 9066, 9584, 9585, 9589, 1912, 9595}","{250891, 299790, 191887, 299793, 299794, 299797, 299798, 299800, 299802, 299803, 299804, 299808, 289825, 299809, 299810, 299812, 299813, 289830, 299814, 299816, 299817, 299818, 299823, 299825, 289846, 299834, 289851, 299835, 299839, 289860, 289861, 289862, 299845, 289874, 299225}"
282967,CC(N)Cc1cocn1,UNZJZHNXWNIIIJ-UHFFFAOYSA-N,15.0,15.0,,Enamine,,Z2732444687,259.5,EUR,,,CC(N)Cc1cocn1,2025-12-09,1,15,15,{'Amidation'},"{14021, 1863, 1896, 1866, 14091, 1870, 13935, 1873, 13938, 13973, 1879, 1880, 14010, 13950, 14015}","{289858, 306243, 289828, 306308, 289832, 306314, 289835, 191887, 306384, 289841, 289842, 306228, 306231, 306266, 306303}"
282956,Cc1ocnc1CCN,PCFQXPHLIDJWIJ-UHFFFAOYSA-N,17.0,17.0,,Enamine,,Z2471213795,74.80000000000001,EUR,,,Cc1ocnc1CCN,2025-12-09,1,17,17,{'Amidation'},"{13980, 1891, 1861, 14022, 14023, 1864, 13962, 13995, 1869, 13965, 14093, 1874, 13971, 1878, 1882, 13948, 14013}","{306241, 289826, 306273, 306306, 289831, 250891, 289836, 306315, 306316, 306255, 289840, 306288, 306258, 306386, 289844, 306264, 289853}"
282932,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,1.0,1.0,1645,Enamine,,Z1251352421,112.0,EUR,,,NCCc1cocn1,2025-12-09,1,1,1,{'Amidation'},{177},{266892}
