target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C290556,1,,,,O=C(O)C1CCN2CCCCC2C1,CN1CC(N)C1c1ccccc1,CN1CC(NC(=O)C2CCN3CCCCC3C2)C1c1ccccc1,Amidation,,
C292583,1,,,,CC(CO)CNN,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)CC(C)CO,N-nucleophilic_aromatic_substitution,,
C290570,1,,,,O=C(O)CCCN1CCCCC1=O,COc1cc(C2CCN2)ccc1Br,COc1cc(C2CCN2C(=O)CCCN2CCCCC2=O)ccc1Br,Amidation,,
C292585,1,,,,CCC(O)CNN,COC(=O)c1cc(C2CC2)ncc1Br,CCC(O)CN(N)c1cnc(C2CC2)cc1C(=O)OC,N-nucleophilic_aromatic_substitution,,
C291534,1,,,,CC(Sc1ccc(Br)c(Br)n1)C(=O)O,COCC12CCC(CC1)N2,COCC12CCC(CC1)N2C(=O)C(C)Sc1ccc(Br)c(Br)n1,Amidation,,
C292530,1,,,,NNC1CC1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)C1CC1,N-nucleophilic_aromatic_substitution,,
C292533,1,,,,CC(C)NN,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)C(C)C,N-nucleophilic_aromatic_substitution,,
C292587,1,,,,NNCC1CCC1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)CC1CCC1,N-nucleophilic_aromatic_substitution,,
C292536,1,,,,CC(C)CNN,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)CC(C)C,N-nucleophilic_aromatic_substitution,,
C292588,1,,,,NNC1CCCC1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)C1CCCC1,N-nucleophilic_aromatic_substitution,,
C289750,1,,,,Cc1c(C(=O)O)ccc2cn(C)nc12,Cn1ccc(-c2ccc(CN)cc2)n1,Cc1c(C(O)NCc2ccc(-c3ccn(C)n3)cc2)ccc2cn(C)nc12,Reductive_amination,,
C291537,1,,,,CC(Sc1ccc(Br)c(Br)n1)C(=O)O,COCC1CC(C)(C)CN1,COCC1CC(C)(C)CN1C(=O)C(C)Sc1ccc(Br)c(Br)n1,Amidation,,
