compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
282946,Cn1nc(C(=O)O)c2cc(F)ccc21,MZEJUCPSOXTCSZ-UHFFFAOYSA-N,10.0,10.0,311,Enamine,,EN300-1725142,22.0,EUR,,,Cn1nc(C(=O)O)c2cc(F)ccc21,2025-12-01,1,10,10,{'Amidation'},"{1889, 1861, 1862, 1863, 1898, 1899, 1868, 1900, 1912, 1884}","{289825, 289860, 289861, 289830, 289862, 250891, 191887, 289874, 289846, 289851}"
282967,CC(N)Cc1cocn1,UNZJZHNXWNIIIJ-UHFFFAOYSA-N,7.0,10.0,312,Enamine,,EN300-46897099,62.0,EUR,,,CC(N)Cc1cocn1.Cl.Cl,2025-12-01,1,7,7,{'Amidation'},"{1863, 1896, 1866, 1870, 1873, 1879, 1880}","{289858, 289828, 289832, 289835, 191887, 289841, 289842}"
282956,Cc1ocnc1CCN,PCFQXPHLIDJWIJ-UHFFFAOYSA-N,7.0,10.0,313,Enamine,,EN300-7493904,56.0,EUR,,,Cc1ocnc1CCN.Cl,2025-12-01,1,7,7,{'Amidation'},"{1891, 1861, 1864, 1869, 1874, 1878, 1882}","{289826, 289831, 250891, 289836, 289840, 289844, 289853}"
289508,O=C(O)C(F)n1cc(Br)cn1,MEHNVKKDIXEVTN-UHFFFAOYSA-N,1.0,1.0,21,Enamine,,EN300-4338650,39.0,EUR,,,O=C(O)C(F)n1cc(Br)cn1,2025-12-01,1,1,1,{'Amidation'},{1677},{289510}
289509,NCCN1CCC(NS(=O)(=O)C2CC2)CC1,KWULACQSSCHSLU-UHFFFAOYSA-N,1.0,1.0,22,Enamine,,EN300-694927,39.0,EUR,,,NCCN1CCC(NS(=O)(=O)C2CC2)CC1,2025-12-01,1,1,1,{'Amidation'},{1677},{289510}
289707,Cc1c(C(=O)O)ccc2cn(C)nc12,RAWFBSDRJHJNBD-UHFFFAOYSA-N,1.0,1.0,37,Enamine,,EN300-28736258,31.0,EUR,,,Cc1c(C(=O)O)ccc2cn(C)nc12,2025-12-01,1,1,1,{'Reductive_amination'},{1818},{289750}
289719,Cn1ccc(-c2ccc(CN)cc2)n1,ABWRSDPFKICMIH-UHFFFAOYSA-N,2.0,10.0,316,Enamine,,EN300-25898489,15.0,EUR,,,Cl.Cl.Cn1ccc(-c2ccc(CN)cc2)n1,2025-12-01,1,2,2,{'Reductive_amination'},"{1818, 1831}","{289763, 289750}"
289714,CC(C)(C)n1cc2ccc(C=O)cc2n1,IGDMDEXMSKJHEC-UHFFFAOYSA-N,1.0,1.0,44,Enamine,,EN300-51834710,34.0,EUR,,,CC(C)(C)n1cc2ccc(C=O)cc2n1,2025-12-01,1,1,1,{'Reductive_amination'},{1831},{289763}
289813,Cc1nc(CCN)co1,VQAPYBXJPGJFFQ-UHFFFAOYSA-N,8.0,10.0,341,Enamine,,EN300-2488768,78.0,EUR,,,Cc1nc(CCN)co1,2025-12-01,1,8,8,{'Amidation'},"{1892, 1862, 1865, 1871, 1872, 1877, 1881, 1914}","{289825, 289827, 289833, 289834, 289839, 289843, 289876, 289854}"
289805,Cn1nc(C(=O)O)c2cc(Br)ccc21,PRXFQVZMBVERDQ-UHFFFAOYSA-N,9.0,10.0,342,Enamine,,EN300-330071,14.0,EUR,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,2025-12-01,1,9,9,{'Amidation'},"{1894, 1864, 1865, 1866, 1867, 1901, 1904, 1875, 1909}","{289856, 289826, 289827, 289828, 289829, 289863, 289866, 289837, 289871}"
