name,gnina_score,gnina_score_min,smina_score_min,min_rmsd
P5840,4.919,4.986,-6.092,0.940
P12401,5.019,5.118,19.537,0.474
P20859,3.989,4.061,16.739,1.006
P21244,2.504,3.020,61.806,2.903
P23665,3.992,5.234,5.447,5.818
P34458,4.036,4.204,-4.554,1.079
P54398,4.776,4.671,-5.601,0.644
P58203,3.506,3.529,-3.627,0.647
C50277-P616,2.586,2.639,36.302,0.948
C1120-P31,2.602,2.630,33.019,2.421
C43009-P543,4.489,4.487,-4.659,0.610
C114736-P550,5.541,5.421,-4.599,0.734
C47059-P440,4.947,4.726,8.483,1.488
C13612-P153,5.037,5.060,-6.413,0.503
C124499-P141,4.508,4.330,-4.185,0.643
C48075-P87,4.492,4.557,-4.961,0.553
C45999-P441,5.023,4.995,-4.390,0.542
C45686-P271,5.430,4.695,-5.446,1.408
C102808-P9,4.217,3.761,-4.051,2.483
C47021-P439,4.932,4.983,-5.981,0.685
C46596-P257,5.366,5.398,-5.974,0.615
C4120-P465,5.328,5.246,-5.601,0.244
C45979-P228,5.329,5.553,-7.535,1.415
C46686-P93,4.917,4.838,-6.042,0.882
C105126-P273,4.954,4.994,-5.478,0.417
C2124-P138,4.400,4.251,11.302,1.186
C46492-P557,5.019,5.035,-4.032,0.840
C124752-P87,5.080,5.043,-2.786,0.890
C46019-P439,4.617,4.471,-5.387,1.230
C21631-P384,5.127,5.171,-6.423,1.337
C45868-P363,5.087,4.810,-5.483,1.105
C48106-P344,3.613,5.367,5.048,2.865
C18492-P7,3.629,4.468,-1.016,4.911
C48114-P275,4.014,5.061,11.616,3.826
C26549-P87,4.561,4.241,-0.983,0.963
C12140-P71,3.741,3.570,-3.697,1.736
C46745-P151,5.400,5.145,-5.235,0.796
C45746-P325,6.035,5.973,-6.750,0.512
C48099-P265,3.388,4.181,16.083,0.976
C28778-P464,6.016,5.941,-1.875,0.441
C45975-P303,5.625,5.573,-2.077,2.585
C4100-P87,4.863,4.781,-5.431,0.321
C47450-P255,4.084,4.682,7.132,2.485
C45698-P198,4.968,4.775,-5.818,0.893
C45621-P423,4.852,4.726,-6.232,0.482
C3473-P356,3.354,3.419,29.508,0.775
C119126-P296,5.202,5.147,-5.663,1.300
C45810-P208,5.265,5.013,-6.200,0.889
C21091-P489,5.786,5.901,-7.280,0.276
C47038-P373,3.176,3.895,-2.974,2.834
C47019-P328,5.214,4.626,-5.552,1.128
C107313-P87,4.539,4.297,-3.989,1.472
C35612-P128,4.436,4.598,24.906,0.751
C47627-P303,5.217,5.229,-3.151,0.553
C1613-P198,4.777,4.976,-5.920,0.549
C13863-P127,5.498,5.524,-7.294,0.709
C1719-P144,4.996,5.207,-7.177,1.432
C15998-P239,4.624,4.407,-3.624,1.633
C24648-P145,3.960,4.842,8.760,2.589
C39872-P118,4.402,5.310,-2.945,3.309
C2418-P339,4.101,3.963,-4.636,0.313
C15324-P103,4.594,4.331,-4.596,1.167
C137292-P58,2.146,3.364,42.798,7.844
C16607-P320,2.739,2.901,51.479,0.605
C25407-P78,3.112,4.073,8.960,4.019
C20719-P151,3.731,4.547,-3.583,2.940
C137594-P9,4.414,4.481,-3.770,1.692
C13878-P127,5.312,5.801,-7.520,0.981
C39011-P115,4.228,4.387,-4.415,2.887
C20947-P123,4.345,3.632,-5.298,2.818
C2306-P51,3.898,3.628,-4.080,2.737
C13648-P2,5.497,5.525,-4.076,1.094
C2404-P278,5.253,5.143,-5.344,0.432
C4560-P564,4.026,4.010,11.644,0.526
C17161-P103,4.901,5.150,-6.376,1.474
C13635-P338,4.444,4.226,-4.258,1.476
C31914-P338,4.848,4.783,-5.168,2.345
C29365-P115,3.689,4.869,2.223,2.963
C23517-P115,4.494,4.411,17.334,1.100
C37776-P273,5.394,5.518,-7.299,1.366
C34425-P31,4.099,3.932,-4.191,1.917
C2081-P363,5.167,5.129,-6.085,0.247
C12016-P161,5.389,5.177,-6.160,0.919
C11989-P134,5.168,5.307,-6.532,0.356
C12012-P344,5.111,5.062,-6.427,0.412
C3782-P487,4.976,5.095,-6.008,0.466
C3542-P195,1.591,2.333,32.425,4.207
C13624-P161,5.092,4.681,-3.935,2.020
C10379-P310,3.433,3.822,31.051,0.827
C11248-P103,4.953,4.942,-5.590,0.894
C5989-P214,4.232,4.202,-5.147,0.720
C1373-P168,4.843,4.766,-4.950,1.134
C40319-P113,3.456,3.635,28.464,0.939
C1603-P183,4.125,4.075,-4.678,0.838
C31867-P115,5.055,4.865,-5.608,1.340
C21294-P9,4.748,5.043,54.792,0.544
C9987-P363,4.871,4.234,-5.215,1.462
C22847-P54,2.074,3.196,67.103,3.119
C15735-P103,4.738,4.558,-3.685,0.771
C13636-P494,4.924,4.855,-4.992,0.948
C4708-P437,3.668,3.676,-4.149,0.753
C12411-P219,5.736,5.934,-7.970,1.503
C22220-P145,4.101,4.504,-3.773,5.366
C32415-P95,4.415,4.043,-5.246,1.668
C13629-P136,5.149,4.985,-5.649,0.715
C10571-P136,5.087,5.123,-4.185,0.485
C39794-P38,3.971,3.789,-4.209,0.672
C23295-P45,2.726,4.286,5.584,5.148
C12352-P183,5.544,5.337,-3.552,0.758
C13816-P106,5.060,4.935,-7.440,0.468
C23130-P37,5.099,5.231,-6.066,1.447
C25347-P198,4.232,4.412,-4.477,1.374
C27189-P16,4.189,3.812,-3.489,0.710
C27676-P109,1.931,3.865,-1.252,11.598
C27907-P259,5.054,4.995,-6.403,0.408
C28573-P76,3.881,4.527,32.469,2.213
C22223-P136,4.624,4.704,9.674,1.267
C29440-P77,5.169,5.105,-4.846,0.428
C10549-P176,4.823,4.885,10.520,1.514
C20145-P356,5.432,5.087,-7.212,1.354
