compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
285785,OC(CCCl)c1ccccc1,JZFUHAGLMZWKTF-UHFFFAOYSA-N,1.0,17.1,25702,Enamine,Functional - BRC,EN300-207538,19.0,EUR,10.0,0.9,O[C@H](CCCl)C=1C=CC=CC1,2025-10-07,1,1,1,{'Amine_alkylation'},{1476},{12946}
285786,Nc1ccnc(-c2ccccn2)n1,CRLLPKLYUMUJHY-UHFFFAOYSA-N,1.0,17.2,25698,Enamine,Legacy,EN300-316218,39.2,EUR,10.0,0.9,NC=1C=CN=C(N1)C=2C=CC=CN2,2025-10-07,1,1,1,{'Amine_alkylation'},{1476},{12946}
285585,CS(=O)(=NS(=O)(=O)Cl)C1CCCCC1,YETOGHMTRXVYOL-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{1382},{7479}
285586,CC(C)c1ocnc1CN,BWKKOGZKDBHSMN-UHFFFAOYSA-N,1.0,17.7,25664,Enamine,HTS,EN300-6482400,44.1,EUR,10.0,0.9,Cl.CC(C)C=1OC=NC1CN,2025-10-07,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{1382},{7479}
283929,O=C(O)CC1CCCNC1,WKXRHAACRPUBIC-UHFFFAOYSA-N,2.0,18.0,25629,Enamine,Legacy,EN300-65801,40.0,EUR,10.0,0.9,Cl.O=C(O)CC1CCCNC1,2025-10-07,1,2,2,{'Amidation'},"{723, 1220}","{1401, 45621}"
285261,CCNC(C)CC,KFYKZKISJBGVMR-UHFFFAOYSA-N,1.0,13.8,25931,Enamine,Legacy,EN300-216040,35.7,EUR,10.0,0.9,Cl.CCNC(C)CC,2025-10-07,1,1,1,{'Amidation'},{1220},{1401}
284255,O=C(O)c1cncc(N2CCCC2)n1,FWCGWRFACFLWNM-UHFFFAOYSA-N,1.0,19.3,25566,Enamine,Legacy,EN300-332965,42.5,EUR,10.0,0.9,O=C(O)C=1C=NC=C(N1)N2CCCC2,2025-10-07,1,1,1,{'Amidation'},{724},{73035}
284256,NCc1nnc2n1CCCC2,DKRJNDYSGMPAAB-UHFFFAOYSA-N,1.0,22.5,25400,Enamine,HTS,EN300-22261983,54.8,EUR,10.0,0.9,Cl.Cl.NCC1=NN=C2CCCCN12,2025-10-07,1,1,1,{'Amidation'},{724},{73035}
283012,O=S(=O)(Cl)CCc1cnoc1,BHFVZKUFSOJLCL-UHFFFAOYSA-N,1.0,19.6,25552,Enamine,Functional,EN300-1585255,194.4,EUR,10.0,0.9,O=S(=O)(Cl)CCC=1C=NOC1,2025-10-07,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{428},{125028}
283013,CC(CN)Cn1cc(C(F)(F)F)cn1,IUSZBSGUGNBXLM-UHFFFAOYSA-N,1.0,20.7,25485,Enamine,Functional,EN300-4271673,462.3,EUR,10.0,0.9,CC(CN)CN1C=C(C=N1)C(F)(F)F,2025-10-07,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{428},{125028}
284808,O=C(O)CCC1CCCN1,HIDODKLFTVMWQL-UHFFFAOYSA-N,1.0,18.0,25637,Enamine,Advanced,EN300-266554,72.7,EUR,10.0,0.9,Cl.O=C(O)CCC1CCCN1,2025-10-07,1,1,1,{'Amidation'},{1334},{9801}
285477,C=CCNCC(F)(F)F,NWXJQPBOJWODIW-UHFFFAOYSA-N,1.0,17.6,25670,Enamine,Legacy,EN300-53181,39.6,EUR,10.0,0.9,Cl.C=CCNCC(F)(F)F,2025-10-07,1,1,1,{'Amidation'},{1334},{9801}
45790,O=S(=O)(C1CCCNC1)N1CCc2ccccc21,DSRSUBHKUWCDAA-UHFFFAOYSA-N,3.0,30.3,25296,Enamine,sRDB,EN300-135383,238.0,EUR,20.0,0.9,Cl.O=S(=O)(C1CCCNC1)N2CCC=3C=CC=CC32,2025-10-07,3,3,3,"{'Amidation', 'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol', 'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'}","{466, 459, 709}","{45979, 45987, 45975}"
283733,CC(F)(F)CO,CKLONJANQGBREW-UHFFFAOYSA-N,1.0,9.6,26106,Enamine,HTS,EN300-188820,34.9,EUR,10.0,0.9,CC(F)(F)CO,2025-10-07,1,1,1,{'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol'},{466},{45979}
