compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
283111,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,1.0,4.4,26134,Enamine,HTS,EN300-19152,28.2,EUR,10,0.9,CC=O,2025-10-07,1,1,1,{'Petasis-borono_Mannich_reaction'},{845},{686}
284486,OB(O)c1cccc2[nH]ncc12,BGZZJZIZRARGGZ-UHFFFAOYSA-N,1.0,16.2,25775,Enamine,Functional - Covalent0,EN300-147710,95.0,EUR,10,0.9,OB(O)C=1C=CC=C2NN=CC12,2025-10-07,1,1,1,{'Petasis-borono_Mannich_reaction'},{845},{686}
284497,NCC(n1cccn1)C(F)(F)F,LOJZGVKHBJWXMS-UHFFFAOYSA-N,1.0,21.6,25430,Enamine,Legacy,EN300-313371,47.3,EUR,10,0.9,Cl.NCC(N1C=CC=N1)C(F)(F)F,2025-10-07,1,1,1,{'Petasis-borono_Mannich_reaction'},{845},{686}
285421,OB(O)C1CCCC1,VTTDFSNKIMAQTB-UHFFFAOYSA-N,1.0,11.4,26065,Enamine,Functional - Covalent0,EN300-115787,86.5,EUR,10,0.9,OB(O)C1CCCC1,2025-10-07,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{1309},{2514}
285422,O=C1Nc2ccc(I)cc2C1=O,OEUGDMOJQQLVAZ-UHFFFAOYSA-N,1.0,27.3,25309,Enamine,Functional - BRC,EN300-181682,19.0,EUR,10,0.9,O=C1NC=2C=CC(I)=CC2C1=O,2025-10-07,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{1309},{2514}
284092,CC(C)(C)OC(=O)N1CCCC(C2CCCNC2)C1,VFMSLOWWMDXQQG-UHFFFAOYSA-N,1.0,26.8,25313,Enamine,Legacy,EN300-222410,58.6,EUR,10,0.9,CC(C)(C)OC(=O)N1CCCC(C1)C2CCCNC2,2025-10-07,1,1,1,{'N-Boc_deprotection'},{632},{2619}
285096,OB(O)c1cc[nH]n1,NEUWPDLMDVINSN-UHFFFAOYSA-N,1.0,11.2,26073,Enamine,HTS,EN300-200298,36.7,EUR,10,0.9,OB(O)C=1C=CNN1,2025-10-07,1,1,1,{'Sp2-sp2_Suzuki_coupling'},{1126},{4781}
285097,IC1=CCCC1,TYOSEWMRNVIYNB-UHFFFAOYSA-N,1.0,19.4,25562,Enamine,HTS,EN300-207849,47.4,EUR,10,0.9,IC1=CCCC1,2025-10-07,1,1,1,{'Sp2-sp2_Suzuki_coupling'},{1126},{4781}
285149,CCN=C=O,WUDNUHPRLBTKOJ-UHFFFAOYSA-N,1.0,7.1,26126,Enamine,HTS,EN300-21141,31.8,EUR,10,0.9,CCN=C=O,2025-10-07,1,1,1,{'Isocyanate_to_urea'},{1160},{5539}
285150,C=C1CC2CCC(C1)N2,MXQPENUGELTBFF-UHFFFAOYSA-N,1.0,16.0,25787,Enamine,HTS,EN300-305734,42.2,EUR,10,0.9,Cl.C=C1CC2CCC(C1)N2,2025-10-07,1,1,1,{'Isocyanate_to_urea'},{1160},{5539}
284490,CCCI,PVWOIHVRPOBWPI-UHFFFAOYSA-N,1.0,17.0,25718,Enamine,HTS,EN300-19282,43.3,EUR,10,0.9,CCCI,2025-10-07,1,1,1,{'Formation_of_sulfonamide_from_halide_-_Shavnya_reaction'},{1165},{7655}
285165,NC1CC2(C1)N=N2,OZTAUFXHBPAJIX-UHFFFAOYSA-N,1.0,13.4,25962,Enamine,Functional - BRC,EN300-6478226,19.0,EUR,10,0.9,Cl.NC1CC2(C1)N=N2,2025-10-07,1,1,1,{'Formation_of_sulfonamide_from_halide_-_Shavnya_reaction'},{1165},{7655}
284526,Oc1ccc2c(c1)CCCN2,CTJSPUFGQNVJJP-UHFFFAOYSA-N,1.0,14.9,25858,Enamine,HTS,EN300-1697101,41.0,EUR,10,0.9,OC=1C=CC=2NCCCC2C1,2025-10-07,1,1,1,{'Mitsunobu_aryl_ether_synthesis'},{859},{8912}
284527,CC1(CO)CCCCN1,RPUZRRCAXCJUNW-UHFFFAOYSA-N,1.0,12.9,25997,Enamine,HTS,EN300-170900,38.7,EUR,10,0.9,CC1(CO)CCCCN1,2025-10-07,1,1,1,{'Mitsunobu_aryl_ether_synthesis'},{859},{8912}
285785,OC(CCCl)c1ccccc1,JZFUHAGLMZWKTF-UHFFFAOYSA-N,1.0,17.1,25702,Enamine,Functional - BRC,EN300-207538,19.0,EUR,10,0.9,O[C@H](CCCl)C=1C=CC=CC1,2025-10-07,1,1,1,{'Amine_alkylation'},{1476},{12946}
285786,Nc1ccnc(-c2ccccn2)n1,CRLLPKLYUMUJHY-UHFFFAOYSA-N,1.0,17.2,25698,Enamine,Legacy,EN300-316218,39.2,EUR,10,0.9,NC=1C=CN=C(N1)C=2C=CC=CN2,2025-10-07,1,1,1,{'Amine_alkylation'},{1476},{12946}
284786,O=S(=O)(Cl)c1cccnc1,CDRNYKLYADJTMN-UHFFFAOYSA-N,1.0,21.4,25444,Enamine,HTS,EN300-33581,52.2,EUR,10,0.9,Cl.O=S(=O)(Cl)C=1C=CC=NC1,2025-10-07,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{973},{15036}
284787,N#CCCN,AGSPXMVUFBBBMO-UHFFFAOYSA-N,1.0,7.0,26128,Enamine,Functional - BRC,EN300-21136,19.0,EUR,10,0.9,N#CCCN,2025-10-07,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{973},{15036}
284638,OCc1ccccn1,SHNUBALDGXWUJI-UHFFFAOYSA-N,1.0,10.9,26082,Enamine,Functional - BRC,EN300-18423,19.0,EUR,10,0.9,OCC=1C=CC=CN1,2025-10-07,1,1,1,{'Ester_Schotten-Baumann'},{905},{15058}
284639,CN(CC#N)C(=O)Cl,KKLOBNYTSKNJQI-UHFFFAOYSA-N,1.0,13.3,25977,Enamine,Advanced,EN300-1612266,62.6,EUR,10,0.9,CN(CC#N)C(=O)Cl,2025-10-07,1,1,1,{'Ester_Schotten-Baumann'},{905},{15058}
285950,OC1CCCc2ccccc21,JAAJQSRLGAYGKZ-UHFFFAOYSA-N,1.0,14.8,25859,Enamine,Functional - BRC,EN300-216467,19.0,EUR,10,0.9,O[C@H]1CCCC=2C=CC=CC21,2025-10-07,1,1,1,{'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol'},{1562},{20144}
285951,O=C(CO)N1CCCC1,RWGVUODVPQFWCJ-UHFFFAOYSA-N,1.0,12.9,25990,Enamine,Legacy,EN300-70294,34.8,EUR,10,0.9,O=C(CO)N1CCCC1,2025-10-07,1,1,1,{'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol'},{1562},{20144}
284215,OCc1cn[nH]c1,JRMKJOOJKCAEJK-UHFFFAOYSA-N,1.0,9.8,26103,Enamine,Functional - BRC,EN300-54500,19.0,EUR,10,0.9,OCC=1C=NNC1,2025-10-07,1,1,1,{'Steglich_esterification'},{697},{35473}
284216,O=C(O)C1CC(=O)N(c2cn[nH]c2)C1,OXTYWNUUIMVAGL-UHFFFAOYSA-N,1.0,19.5,25553,Enamine,Legacy,EN300-99064,42.9,EUR,10,0.9,O=C(O)C1CC(=O)N(C1)C=2C=NNC2,2025-10-07,1,1,1,{'Steglich_esterification'},{697},{35473}
285187,COc1ccc2c(c1)CCCN2C(=O)CCl,XJPUWRWIBSSPSL-UHFFFAOYSA-N,2.0,24.0,25356,Enamine,Functional - Covalent0,EN300-24641,108.7,EUR,10,0.9,COC=1C=CC2=C(C1)CCCN2C(=O)CCl,2025-10-07,2,2,2,"{'Williamson_ether_synthesis', 'Nucleophilic_substitution_with_thiol'}","{1178, 1365}","{43016, 1132}"
285188,CC(O)Cc1ncc[nH]1,JHSNSAFVQQRHAD-UHFFFAOYSA-N,1.0,16.3,25765,Enamine,Functional,EN300-106686,205.3,EUR,10,0.9,Cl.CC(O)CC1=NC=CN1,2025-10-07,1,1,1,{'Williamson_ether_synthesis'},{1178},{43016}
284014,Clc1ccnc(N2CCCCC2)n1,DFNTXDDYVXGSLY-UHFFFAOYSA-N,1.0,19.8,25534,Enamine,HTS,EN300-126600,48.3,EUR,10,0.9,ClC=1C=CN=C(N1)N2CCCCC2,2025-10-07,1,1,1,{'S-nucleophilic_aromatic_substitution'},{671},{45943}
284175,Sc1ccccn1,WHMDPDGBKYUEMW-UHFFFAOYSA-N,1.0,11.1,26076,Enamine,Functional - BRC,EN300-21547,19.0,EUR,10,0.9,SC=1C=CC=CN1,2025-10-07,1,1,1,{'S-nucleophilic_aromatic_substitution'},{671},{45943}
283032,CC(=O)NC(C)C1CCNCC1,BPRBTTFXQRPWER-UHFFFAOYSA-N,4.0,17.0,25715,Enamine,Legacy,EN300-138915,39.0,EUR,10,0.9,CC(=O)NC(C)C1CCNCC1,2025-10-07,3,4,4,"{'Formation_of_urea_from_two_amines', 'Amidation', 'N-nucleophilic_aromatic_substitution'}","{570, 1363, 796, 1157}","{8952, 50762, 4100, 48055}"
283958,NCCc1cccnc1,NAHHNSMHYCLMON-UHFFFAOYSA-N,1.0,12.2,26039,Enamine,Functional - BRC,EN300-29225,19.0,EUR,10,0.9,NCCC=1C=CC=NC1,2025-10-07,1,1,1,{'Formation_of_urea_from_two_amines'},{570},{48055}
