compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
283835,CC(S)C(=O)O,PMNLUUOXGOOLSP-UHFFFAOYSA-N,1.0,10.6,151406,Stock,,EN300-20156,0.0,,0.0,0.9,,2025-10-16,1,1,1,{'Amidation'},{18682},{5989}
285705,CCC=C1CCNC1,ZSIXFAYVZOLAHC-UHFFFAOYSA-N,1.0,11.1,26079,Enamine,Legacy,EN300-1244016,33.0,EUR,10.0,0.9,CCC=C1CCNC1,2025-10-07,1,1,1,{'Amidation'},{18682},{5989}
284591,O=C(O)c1ccc2c(c1)NS(=O)(=O)C2,WOYVITVQQNYCEQ-UHFFFAOYSA-N,9.0,21.3,151369,Stock,,EN300-5416524,0.0,,0.0,0.9,,2025-10-16,1,9,9,{'Steglich_esterification'},"{2048, 2017, 2019, 2051, 2053, 1995, 2003, 2004, 2047}","{290145, 290146, 290115, 290117, 290149, 290151, 12009, 290101, 290102}"
290020,CC(O)c1cncc(F)c1,OPMTZWDRLGAXNM-UHFFFAOYSA-N,1.0,50.0,113912,Enamine,EU stock,EN300-267642,165.0,EUR,2.0,,CC(O)c1cncc(F)c1,2025-09-29,1,1,1,{'Steglich_esterification'},{1995},{12009}
282946,Cn1nc(C(=O)O)c2cc(F)ccc21,MZEJUCPSOXTCSZ-UHFFFAOYSA-N,60.0,100.0,49962,Enamine,Global catalog,EN300-1725142,114.0,EUR,10.0,,Cn1nc(C(=O)O)c2cc(F)ccc21,2025-09-29,1,60,60,{'Amidation'},"{9091, 9092, 9093, 9094, 9095, 9099, 9101, 9103, 9104, 9105, 9106, 9107, 9108, 9248, 9540, 1861, 1862, 1863, 9543, 9544, 9547, 1868, 9165, 9548, 9039, 9040, 9041, 9042, 9550, 9552, 9553, 9554, 9558, 9559, 9560, 9050, 9562, 1884, 9563, 9564, 9566, 9567, 1889, 9568, 9187, 9060, 9573, 9063, 9064, 9065, 1898, 1899, 1900, 9066, 9575, 9584, 9585, 9589, 1912, 9595}","{299264, 299265, 299266, 299267, 250891, 299790, 191887, 299407, 299793, 299794, 299797, 299798, 299800, 299802, 299803, 299804, 299808, 289825, 299809, 299810, 299812, 299813, 289830, 299814, 299816, 299817, 299818, 299823, 299825, 289846, 299834, 289851, 299324, 299835, 299198, 299199, 299200, 299201, 299839, 289860, 289861, 289862, 299845, 299209, 289874, 299219, 299346, 299222, 299223, 299224, 299225, 299250, 299251, 299252, 299253, 299254, 299258, 299260, 299262, 299263}"
282967,CC(N)Cc1cocn1,UNZJZHNXWNIIIJ-UHFFFAOYSA-N,66.0,100.0,88566,Enamine,Global catalog,EN300-46897099,320.0,EUR,10.0,,CC(N)Cc1cocn1.Cl.Cl,2025-09-29,1,66,66,{'Amidation'},"{14080, 13954, 13955, 14085, 13958, 14088, 13961, 14091, 14095, 13970, 13973, 14105, 13979, 13983, 14112, 13986, 13989, 14117, 14118, 13992, 13998, 14128, 14001, 14131, 14004, 14006, 14134, 14008, 14137, 14010, 14140, 14015, 14143, 14018, 14146, 14020, 14021, 14148, 1863, 14024, 14152, 1866, 14156, 1870, 1873, 14034, 1879, 1880, 14041, 14169, 14043, 14046, 14176, 14049, 14051, 14055, 1896, 14060, 13935, 14064, 13938, 14069, 14070, 13945, 14074, 13950}","{306433, 306308, 306436, 306311, 306439, 306313, 306314, 306441, 306317, 306445, 191887, 306449, 306327, 306334, 306462, 306336, 306339, 289828, 306469, 306342, 289832, 306344, 289835, 306348, 289841, 289842, 306353, 306228, 306357, 306231, 306362, 306363, 306238, 306367, 289858, 306243, 306373, 306247, 306248, 306378, 306251, 306381, 306254, 306427, 306384, 306388, 306263, 306266, 306398, 306272, 306276, 306405, 306279, 306282, 306410, 306411, 306285, 306291, 306421, 306294, 306424, 306297, 306299, 306301, 306430, 306303}"
282956,Cc1ocnc1CCN,PCFQXPHLIDJWIJ-UHFFFAOYSA-N,58.0,100.0,51649,Enamine,Global catalog,EN300-7493904,292.0,EUR,10.0,,Cc1ocnc1CCN.Cl,2025-09-29,1,58,58,{'Amidation'},"{14082, 13959, 14087, 13962, 14090, 13965, 14093, 13968, 14097, 13971, 13974, 13977, 13980, 13981, 14109, 13984, 14114, 13987, 14076, 14116, 13990, 14121, 13995, 13996, 13999, 14002, 14133, 14136, 14012, 14013, 14142, 14145, 1861, 14022, 14023, 1864, 14151, 14154, 14155, 1869, 14032, 1874, 14036, 1878, 14038, 14040, 1882, 14172, 14048, 1891, 14053, 14057, 14059, 13939, 13942, 14072, 13948, 14079}","{306305, 306306, 306435, 306438, 250891, 306315, 306316, 306444, 306447, 306448, 306325, 306329, 306331, 306333, 306465, 289826, 306341, 289831, 306346, 289836, 306350, 289840, 306352, 289844, 306232, 306235, 289853, 306365, 306241, 306369, 306372, 306375, 306252, 306380, 306255, 306383, 306258, 306386, 306261, 306390, 306264, 306267, 306270, 306273, 306274, 306402, 306277, 306407, 306280, 306409, 306283, 306414, 306288, 306289, 306292, 306295, 306426, 306429}"
289508,O=C(O)C(F)n1cc(Br)cn1,MEHNVKKDIXEVTN-UHFFFAOYSA-N,1.0,50.0,148548,Enamine,EU stock,EN300-4338650,218.0,EUR,2.0,,O=C(O)C(F)n1cc(Br)cn1,2025-09-29,1,1,1,{'Amidation'},{1677},{289510}
289509,NCCN1CCC(NS(=O)(=O)C2CC2)CC1,KWULACQSSCHSLU-UHFFFAOYSA-N,1.0,100.0,68903,Enamine,Global catalog,EN300-694927,326.0,EUR,10.0,,NCCN1CCC(NS(=O)(=O)C2CC2)CC1,2025-09-29,1,1,1,{'Amidation'},{1677},{289510}
289693,Cn1ncc2ccc(C=O)cc21,YVMQGPATHPKGOU-UHFFFAOYSA-N,2.0,100.0,74647,Enamine,Global catalog,EN300-4274866,18.0,EUR,10.0,,Cn1ncc2ccc(C=O)cc21,2025-09-29,1,2,2,{'Reductive_amination'},"{1789, 1790}","{289721, 289722}"
289719,Cn1ccc(-c2ccc(CN)cc2)n1,ABWRSDPFKICMIH-UHFFFAOYSA-N,26.0,50.0,150478,Enamine,EU stock,EN300-25898489,54.0,EUR,2.0,,Cl.Cl.Cn1ccc(-c2ccc(CN)cc2)n1,2025-09-29,1,26,26,{'Reductive_amination'},"{1793, 1795, 1797, 1799, 1802, 1804, 1806, 1807, 1809, 1812, 1814, 1816, 1818, 1819, 1822, 1824, 1826, 1828, 1829, 1831, 1833, 1835, 1838, 1840, 1789, 1791}","{289721, 289723, 289725, 289727, 289729, 289731, 289734, 289736, 289738, 289739, 289741, 289744, 289746, 289748, 289750, 289751, 289754, 289756, 289758, 289760, 289761, 289763, 289765, 289767, 289770, 289772}"
289720,Cn1nccc1-c1ccc(CN)cc1,DAJPQXIHISNGPV-UHFFFAOYSA-N,26.0,50.0,143057,Enamine,EU stock,EN300-45684307,190.0,EUR,2.0,,Cl.Cl.Cn1nccc1-c1ccc(CN)cc1,2025-09-29,1,26,26,{'Reductive_amination'},"{1792, 1794, 1796, 1798, 1800, 1801, 1803, 1805, 1808, 1810, 1811, 1813, 1815, 1817, 1820, 1821, 1823, 1825, 1827, 1830, 1832, 1834, 1836, 1837, 1839, 1790}","{289722, 289724, 289726, 289728, 289730, 289732, 289733, 289735, 289737, 289740, 289742, 289743, 289745, 289747, 289749, 289752, 289753, 289755, 289757, 289759, 289762, 289764, 289766, 289768, 289769, 289771}"
289694,Cc1c(C=O)ccc2cnn(C)c12,UHWDMTXTOAGTAQ-UHFFFAOYSA-N,2.0,100.0,91940,Enamine,Global catalog,EN300-28653388,310.0,EUR,10.0,,Cc1c(C=O)ccc2cnn(C)c12,2025-09-29,1,2,2,{'Reductive_amination'},"{1792, 1791}","{289723, 289724}"
289695,Cn1ncc2ccc(C(=O)O)cc21,DNMTXRJELGPOGW-UHFFFAOYSA-N,2.0,100.0,76233,Enamine,Global catalog,EN300-191295,18.0,EUR,10.0,,Cn1ncc2ccc(C(=O)O)cc21,2025-09-29,1,2,2,{'Reductive_amination'},"{1793, 1794}","{289725, 289726}"
289696,Cc1c2ccc(C=O)cc2nn1C,QDRUBOKIOFAONW-UHFFFAOYSA-N,2.0,100.0,84744,Enamine,Global catalog,EN300-7415548,103.0,EUR,10.0,,Cc1c2ccc(C=O)cc2nn1C,2025-09-29,1,2,2,{'Reductive_amination'},"{1795, 1796}","{289728, 289727}"
289697,Cn1cc2ccc(C(=O)O)cc2n1,NVLCMLWKXVOTAJ-UHFFFAOYSA-N,2.0,50.0,125097,Enamine,EU stock,EN300-7406641,31.0,EUR,2.0,,Cn1cc2ccc(C(=O)O)cc2n1,2025-09-29,1,2,2,{'Reductive_amination'},"{1797, 1798}","{289729, 289730}"
289698,CCn1cc2ccc(C(=O)O)cc2n1,KYKMMPQNLANWGO-UHFFFAOYSA-N,2.0,100.0,66787,Enamine,Global catalog,EN300-27081224,448.0,EUR,10.0,,CCn1cc2ccc(C(=O)O)cc2n1,2025-09-29,1,2,2,{'Reductive_amination'},"{1800, 1799}","{289731, 289732}"
289699,COC(=O)c1ccc2cnn(C)c2c1,RPHJVNKZUSDUDA-UHFFFAOYSA-N,2.0,100.0,103959,Enamine,Global catalog,EN300-215407,18.0,EUR,10.0,,COC(=O)c1ccc2cnn(C)c2c1,2025-09-29,1,2,2,{'Reductive_amination'},"{1801, 1802}","{289733, 289734}"
289700,Cn1nc2cc(C(=O)O)ccc2c1Br,WQVBEUHSEJGFHE-UHFFFAOYSA-N,2.0,50.0,149003,Enamine,EU stock,EN300-19493896,177.0,EUR,2.0,,Cn1nc2cc(C(=O)O)ccc2c1Br,2025-09-29,1,2,2,{'Reductive_amination'},"{1803, 1804}","{289736, 289735}"
289701,Cn1ncc2ccc(C(=O)O)c(Cl)c21,JDKJJFWVZVATSV-UHFFFAOYSA-N,2.0,100.0,88489,Enamine,Global catalog,EN300-26869805,425.0,EUR,10.0,,Cn1ncc2ccc(C(=O)O)c(Cl)c21,2025-09-29,1,2,2,{'Reductive_amination'},"{1805, 1806}","{289737, 289738}"
289702,Cn1ncc2c(O)cc(C(=O)O)cc21,BJFLDJZPVCRZIL-UHFFFAOYSA-N,2.0,100.0,34577,Enamine,Global catalog,EN300-187938,320.0,EUR,10.0,,Cn1ncc2c(O)cc(C(=O)O)cc21,2025-09-29,1,2,2,{'Reductive_amination'},"{1808, 1807}","{289739, 289740}"
289703,CCn1ncc2ccc(C(=O)O)cc21,OFVGRGYMHGBPDQ-UHFFFAOYSA-N,2.0,100.0,39365,Enamine,Global catalog,EN300-265448,103.0,EUR,10.0,,CCn1ncc2ccc(C(=O)O)cc21,2025-09-29,1,2,2,{'Reductive_amination'},"{1809, 1810}","{289741, 289742}"
289704,Cc1nn(C)c2cc(C(=O)O)ccc12,CPLFRBGIKHNEKO-UHFFFAOYSA-N,2.0,100.0,103015,Enamine,Global catalog,EN300-24218156,264.0,EUR,10.0,,Cc1nn(C)c2cc(C(=O)O)ccc12,2025-09-29,1,2,2,{'Reductive_amination'},"{1811, 1812}","{289744, 289743}"
289705,Cc1c(C(=O)O)ccc2cnn(C)c12,CIOZYJXMOYDMTP-UHFFFAOYSA-N,2.0,100.0,89371,Enamine,Global catalog,EN300-28737041,425.0,EUR,10.0,,Cc1c(C(=O)O)ccc2cnn(C)c12,2025-09-29,1,2,2,{'Reductive_amination'},"{1813, 1814}","{289745, 289746}"
