target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C15058,1,,,,OCc1ccccn1,CN(CC#N)C(=O)Cl,CN(CC#N)C(=O)OCc1ccccn1,Ester_Schotten-Baumann,,,
C2514,1,,,,OB(O)C1CCCC1,O=C1Nc2ccc(I)cc2C1=O,O=C1Nc2ccc(C3CCCC3)cc2C1=O,Sp3-sp2_Suzuki_coupling,,,
C54541,1,,,,O=C1CCCNC1,CNCC1CCOC1,CN(CC1CCOC1)C1CCCNC1,Reductive_amination,,,
C43016,1,,,,COc1ccc2c(c1)CCCN2C(=O)CCl,CC(O)Cc1ncc[nH]1,COc1ccc2c(c1)CCCN2C(=O)COC(C)Cc1ncc[nH]1,Williamson_ether_synthesis,,,
C50762,1,,,,CC(=O)NC(C)C1CCNCC1,Clc1nccc(N2CCCC2)n1,CC(=O)NC(C)C1CCN(c2nccc(N3CCCC3)n2)CC1,N-nucleophilic_aromatic_substitution,,,
C45943,1,,,,Clc1ccnc(N2CCCCC2)n1,Sc1ccccn1,c1ccc(Sc2ccnc(N3CCCCC3)n2)nc1,S-nucleophilic_aromatic_substitution,,,
C12946,1,,,,OC(CCCl)c1ccccc1,Nc1ccnc(-c2ccccn2)n1,OC(CCNc1ccnc(-c2ccccn2)n1)c1ccccc1,Amine_alkylation,,,
C35473,1,,,,OCc1cn[nH]c1,O=C(O)C1CC(=O)N(c2cn[nH]c2)C1,O=C(OCc1cn[nH]c1)C1CC(=O)N(c2cn[nH]c2)C1,Steglich_esterification,,,
C48055,1,,,,CC(=O)NC(C)C1CCNCC1,NCCc1cccnc1,CC(=O)NC(C)C1CCN(C(=O)NCCc2cccnc2)CC1,Formation_of_urea_from_two_amines,,,
C64811,1,,,,Nc1ccc(N2CCCCC2)cn1,COC(=O)c1ccc2c(c1)CCN2,O=C(Nc1ccc(N2CCCCC2)cn1)c1ccc2c(c1)CCN2,Ester_amidation,,,
C15036,1,,,,O=S(=O)(Cl)c1cccnc1,N#CCCN,N#CCCNS(=O)(=O)c1cccnc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,
C686,1,,,,CC=O,OB(O)c1cccc2[nH]ncc12,CC(NCC(n1cccn1)C(F)(F)F)c1cccc2[nH]ncc12,Petasis-borono_Mannich_reaction,,,NCC(n1cccn1)C(F)(F)F
C8912,1,,,,Oc1ccc2c(c1)CCCN2,CC1(CO)CCCCN1,CC1(COc2ccc3c(c2)CCCN3)CCCCN1,Mitsunobu_aryl_ether_synthesis,,,
C55819,1,,,,SCCN1CCCCC1,ClCc1nnc(C2CCOCC2)o1,C1CCN(CCSCc2nnc(C3CCOCC3)o2)CC1,Nucleophilic_substitution_with_thiol,,,
C4781,1,,,,OB(O)c1cc[nH]n1,IC1=CCCC1,C1=C(c2cc[nH]n2)CCC1,Sp2-sp2_Suzuki_coupling,,,
C2619,1,,,,CC(C)(C)OC(=O)N1CCCC(C2CCCNC2)C1,,C1CNCC(C2CCCNC2)C1,N-Boc_deprotection,,,
C93118,1,,,,O=C(O)c1cccc2cc[nH]c12,CC(NC1CC1)C1CC1,CC(C1CC1)N(C(=O)c1cccc2cc[nH]c12)C1CC1,Amidation,,,
C20144,1,,,,OC1CCCc2ccccc21,O=C(CO)N1CCCC1,O=C(COC1CCCc2ccccc21)N1CCCC1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,
C5539,1,,,,CCN=C=O,C=C1CC2CCC(C1)N2,C=C1CC2CCC(C1)N2C(=O)NCC,Isocyanate_to_urea,,,
C7655,1,,,,CCCI,NC1CC2(C1)N=N2,CCCS(=O)(=O)NC1CC2(C1)N=N2,Formation_of_sulfonamide_from_halide_-_Shavnya_reaction,,,
