smiles,hit1,hit2
CC(CC(=O)NCC1(F)CC2CCC(C1)N2C(=O)OC(C)(C)C)N1CCCC1=O,A0528a,A4445b
CC(C)Cc1nnc2c(C(=O)OC(C)c3ccnc(Cl)c3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)c3ccncc3Br)cccn12,A1293a,A3194a
Cc1cc(C(C)OC(=O)c2cccn3c(CC(C)C)nnc23)ccn1,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)c3ccncc3Cl)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(CN)c3ccncc3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)c3ccncc3F)cccn12,A1293a,A3194a
CCC(OC(=O)c1cccn2c(CC(C)C)nnc12)c1ccncc1,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(CF)c3ccncc3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(c3ccncc3)C(C)N)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)(CN)c3ccncc3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)(C)c3ccnc(Cl)c3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC3CCOc4cnccc43)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)c3cc(Br)ncc3F)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)c3c(F)cncc3F)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)(C)c3ccncc3O)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)(C)c3ccnc(Br)c3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)(C)c3ccnc(N)c3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C(=O)[O-])c3ccncc3)cccn12,A1293a,A3194a
Cc1cncc(Cl)c1C(C)OC(=O)c1cccn2c(CC(C)C)nnc12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(CF)c3ccnc(Cl)c3)cccn12,A1293a,A3194a
CCC(OC(=O)c1cccn2c(CC(C)C)nnc12)c1ccnc(Cl)c1,A1293a,A3194a
C=C(C#N)C(OC(=O)c1cccn2c(CC(C)C)nnc12)c1ccncc1,A1293a,A3194a
Cc1cc(C(CF)OC(=O)c2cccn3c(CC(C)C)nnc23)cc(Cl)n1,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)(C(=O)[O-])c3ccncc3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(c3ccnc(Cl)c3)C(F)F)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)(c3ccncc3)C(F)F)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC3(c4ccncc4)CC(N)C3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(c3ccncc3)C(F)(F)F)cccn12,A1293a,A3194a
COC(=O)C(C)(OC(=O)c1cccn2c(CC(C)C)nnc12)c1ccncc1,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(c3ccnc(Cl)c3)C(F)(F)F)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(C)c3ccnc(C(F)(F)F)c3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(c3ccnc(Br)c3)C(F)(F)F)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(CC3CC3)c3ccnc(Cl)c3)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(c3cc(Cl)nc(Cl)c3)C(F)(F)F)cccn12,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC(c3ccncc3)C3CCCCN3)cccn12,A1293a,A3194a
CCOC(=O)C(N)C(OC(=O)c1cccn2c(CC(C)C)nnc12)c1ccncc1,A1293a,A3194a
CC(C)Cc1nnc2c(C(=O)OC3(c4ccncc4Br)CN(C(=O)OC(C)(C)C)C3)cccn12,A1293a,A3194a
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2Cl)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(Cl)n2)CC1,A0469a,A4031b
Cc1cccc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)n1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(F)cn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(Br)cn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2F)CC1,A0469a,A4031b
Cc1cccnc1N1CCN(C(=O)C(C)Sc2nc3ccccc3s2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)NN1CCN(c2ccccn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(Cl)cn2)CC1,A0469a,A4031b
Cc1ccnc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)c1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(F)n2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(=O)[nH]2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(I)cn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2O)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccccn2)C(=O)C1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(O)cn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cc(Cl)ccn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccccn2)C(C)C1,A0469a,A4031b
Cc1ccc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)nc1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(Br)n2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncc(Cl)cc2Cl)CC1,A0469a,A4031b
COc1cccnc1N1CCN(C(=O)C(C)Sc2nc3ccccc3s2)CC1,A0469a,A4031b
Cc1cccc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)C(C)C2)n1,A0469a,A4031b
COc1ccc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)nc1,A0469a,A4031b
COc1ccnc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)c1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2C#N)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(C#N)n2)CC1,A0469a,A4031b
CCc1ccc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)nc1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncc(Cl)cc2F)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(F)cn2)CC1C,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(Cl)c[n+]2[O-])CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(C#N)cn2)CC1,A0469a,A4031b
Cc1cc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)ncc1Br,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncc(Cl)cc2Br)CC1,A0469a,A4031b
Cc1cc(Cl)cnc1N1CCN(C(=O)C(C)Sc2nc3ccccc3s2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(Br)cn2)C(=O)C1,A0469a,A4031b
Cc1cc(Br)cnc1N1CCN(C(=O)C(C)Sc2nc3ccccc3s2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cc(C#N)ccn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)NCc1ccnc(N2CCN(C)CC2)c1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc([N+](=O)[O-])cn2)CC1,A0469a,A4031b
CCOc1cccnc1N1CCN(C(=O)C(C)Sc2nc3ccccc3s2)CC1,A0469a,A4031b
CCOc1cccc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)n1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2[N+](=O)[O-])CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(C(N)=O)cn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)NCc1ccc(N2CCN(C)CC2)nc1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cc(C#N)cc(Cl)n2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2C(N)=O)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncc(Cl)cc2C#N)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)NCc1cccnc1N1CCN(C)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2nccc3sccc23)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2nc(F)c(F)cc2F)CC1,A0469a,A4031b
Cc1ccnc(N2CCN(C(=O)C(C)Sc3nc4ccccc4s3)CC2)c1C#N,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2Cl)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(Cl)n2)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2F)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(Br)cn2)CC1,A0469a,A4031b
Cc1cccc(N2CCN(C(=O)C(Sc3nc4ccccc4s3)C(C)C)CC2)n1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(F)cn2)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(=O)[nH]2)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(F)n2)CC1,A0469a,A4031b
Cc1ccnc(N2CCN(C(=O)C(Sc3nc4ccccc4s3)C(C)C)CC2)c1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(Cl)cn2)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)NN1CCN(c2ccccn2)CC1,A0469a,A4031b
Cc1cccnc1N1CCN(C(=O)C(Sc2nc3ccccc3s2)C(C)C)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cccc(Br)n2)CC1,A0469a,A4031b
Cc1ccc(N2CCN(C(=O)C(Sc3nc4ccccc4s3)C(C)C)CC2)nc1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccccn2)C(C)C1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cc(Cl)ccn2)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(O)cn2)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccccn2)C(=O)C1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2O)CC1,A0469a,A4031b
CC(C)C(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ccc(I)cn2)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2ncccc2C(F)(F)F)CC1,A0469a,A4031b
CC(Sc1nc2ccccc2s1)C(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,A0469a,A4031b
CC(CN1CCN(c2ccccn2)CC1)NC(=O)C(C)Sc1nc2ccccc2s1,A0469a,A4031b
