compound_id,pose_id,smiles,reaction_name_step1,reactant_step1,reactant2_step1,reactant3_step1,product_step11,hit1,hit2,hit3,hit4,hit5,hit6,hit7,hit8,template,compound_set
47020,1043,C[C@H](NC(=O)NCc1ccnc(N2CCCCC2)c1)C(=O)N1CCCCC1,Formation_of_urea_from_two_amines,NCc1ccnc(N2CCCCC2)c1,CC(N)C(=O)N1CCCCC1,,CC(NC(=O)NCc1ccnc(N2CCCCC2)c1)C(=O)N1CCCCC1,A3868a,A0875a,,,,,,,A3868a,C47020
53713,1740,CCC(=O)N1CCCN(C(=O)CCN2CCOCC2)CC1,Amidation,CCC(=O)N1CCCNCC1,O=C(O)CCN1CCOCC1,,CCC(=O)N1CCCN(C(=O)CCN2CCOCC2)CC1,A4237a,A1779a,,,,,,,A4237a,C53713
73035,2235,O=C(NCc1nnc2n1CCCC2)c1cncc(N2CCCC2)n1,Amidation,O=C(O)c1cncc(N2CCCC2)n1,NCc1nnc2n1CCCC2,,O=C(NCc1nnc2n1CCCC2)c1cncc(N2CCCC2)n1,A0239a,A4855a,,,,,,,A0239a,C73035
48641,2325,CC[C@@H](NC(=O)Nc1cc(CCOC)ccn1)c1cccnc1,Formation_of_urea_from_two_amines,CCC(N)c1cccnc1,COCCc1ccnc(N)c1,,CCC(NC(=O)Nc1cc(CCOC)ccn1)c1cccnc1,A2629a,A3201a,,,,,,,A2629a,C48641
31471,5840,O=C1CCCN1CCC(=O)N1[C@@H]2CC[C@H]1C[C@@H](F)C2,Amidation,O=C(O)CCN1CCCC1=O,FC1CC2CCC(C1)N2,,O=C1CCCN1CCC(=O)N1C2CCC1CC(F)C2,A0528a,A4445b,,,,,,,A4445b,C31471
75387,6186,C[C@H](NC(=O)c1ccc2c(c1)CCN2)c1ncccc1Cl,Amidation,O=C(O)c1ccc2c(c1)CCN2,CC(N)c1ncccc1Cl,,CC(NC(=O)c1ccc2c(c1)CCN2)c1ncccc1Cl,A3436a,A1778a,,,,,,,A3436a,C75387
51171,12395,C[C@H](NS(=O)(=O)C[C@@H]1CCCNC1)c1nnc2ccccn12,Formation_of_sulfonamide_from_halide_-_Shavnya_reaction,BrCC1CCCNC1,CC(N)c1nnc2ccccn12,,CC(NS(=O)(=O)CC1CCCNC1)c1nnc2ccccn12,A1293a,A3194a,,,,,,,A3194a,C51171
104497,12401,CC(C)Cc1nnc2c(C(=O)O[C@@H](C)c3ccncc3)cccn12,Steglich_esterification,CC(O)c1ccncc1,CC(C)Cc1nnc2c(C(=O)O)cccn12,,CC(C)Cc1nnc2c(C(=O)OC(C)c3ccncc3)cccn12,A1293a,A3194a,,,,,,,A3194a,C104497
56319,13396,c1cc(NC[C@H]2CCNC2)nc(C2CC2)c1,Amine_alkylation,Nc1cccc(C2CC2)n1,BrCC1CCNC1,,c1cc(NCC2CCNC2)nc(C2CC2)c1,A2629a,A4855a,,,,,,,A2629a,C56319
51690,15897,C[C@H](NC(=O)[C@@H]1CCCNC1)[C@@H]1C[C@@H]1C,Amidation,O=C(O)C1CCCNC1,CC(N)C1CC1C,,CC1CC1C(C)NC(=O)C1CCCNC1,A3181b,A1145a,A4214b,,,,,,A3181b,C51690
