target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C141599,1,,,,COC(=O)c1cc(C)ncc1Br,CNN,COC(=O)c1cc(C)ncc1N(C)N,N-nucleophilic_aromatic_substitution,,
C309865,1,,,,Cc1cccc(=O)n1CCCCN,Cc1nc2ccc(O)cn2c1C(=O)O,Cc1nc2ccc(O)cn2c1C(O)NCCCCn1c(C)cccc1=O,Reductive_amination,,
C204781,1,,,,NCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCc2cocn2)c2ccccc21,Amidation,,
C107,1,,,,NCCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,
C314444,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,OCCOCC1CO1,O=C(OCCOCC1CO1)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C314445,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,NC1C(=O)OCC1O,NC1C(=O)OCC1OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C314446,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,O=C1CCOCC1O,O=C(OC1COCCC1=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C314447,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,CC1(C)COCC1O,CC1(C)COCC1OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C205775,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCCn1cncn1,Cn1nc(C(=O)NCCn2cncn2)c2cc(F)ccc21,Amidation,,
C314448,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,OC1COCC12CC2,O=C(OC1COCC12CC2)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C266892,1,,,,NCCc1cocn1,Cc1ccccc1C(=O)O,Cc1ccccc1C(=O)NCCc1cocn1,Amidation,,
C195109,1,,,,CC(=O)O,NC(=O)NC1CCNC1,CC(=O)N1CCC(NC(N)=O)C1,Amidation,,
C314458,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,COCCOCC(C)O,COCCOCC(C)OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C314460,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,CC1(C)COC(=O)C1O,CC1(C)COC(=O)C1OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C314464,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,COC(=O)C(O)CC#N,COC(=O)C(CC#N)OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C47019,1,,,,NCC(O)CN1CCCCC1,CCCN1CCCC(C(=O)O)C1,CCCN1CCCC(C(=O)NCC(O)CN2CCCCC2)C1,Amidation,,
C314477,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,OC1COCC1C(F)F,O=C(OC1COCC1C(F)F)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C45979,1,,,,O=S(=O)(C1CCCNC1)N1CCc2ccccc21,CC(F)(F)CO,CC(F)(F)CN1CCCC(S(=O)(=O)N2CCc3ccccc32)C1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C314478,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,OC1COCC1C1CC1,O=C(OC1COCC1C1CC1)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C314480,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,CCOC1CCCC1O,CCOC1CCCC1OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C16361,1,,,,O=C(O)c1ccnc(-n2ccnc2)c1,NCCc1cc[nH]n1,O=C(NCCc1cc[nH]n1)c1ccnc(-n2ccnc2)c1,Amidation,,
C310126,1,,,,O=C(O)COC1CCC(=O)NC1=O,CC(C)(N)c1ncc(Br)cn1,CC(C)(NC(=O)COC1CCC(=O)NC1=O)c1ncc(Br)cn1,Amidation,,
C314487,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,OCCCOCC1CO1,O=C(OCCCOCC1CO1)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C310128,1,,,,O=C(O)COC1CCC(=O)NC1=O,CCC(N)c1ncc(Br)cn1,CCC(NC(=O)COC1CCC(=O)NC1=O)c1ncc(Br)cn1,Amidation,,
C310131,1,,,,NC(c1ncc(Br)cn1)C1CC1,O=C(O)COC1CCC(=O)NC1=O,O=C1CCC(OCC(=O)NC(c2ncc(Br)cn2)C2CC2)C(=O)N1,Amidation,,
C310134,1,,,,O=C(O)COC1CCC(=O)NC1=O,NC1(c2ncc(Br)cn2)CCCC1,O=C1CCC(OCC(=O)NC2(c3ncc(Br)cn3)CCCC2)C(=O)N1,Amidation,,
C124499,1,,,,COCC(C)N,CCSc1cc(C(=O)O)ccn1,CCSc1cc(C(=O)NC(C)COC)ccn1,Amidation,,
C314489,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,CC(O)C12CC(CO1)C2,CC(OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1)C12CC(CO1)C2,Steglich_esterification,,
C314490,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,O=C1CC(O)C(CBr)O1,O=C1CC(OC(=O)C2CCN(S(=O)(=O)N3CCCCC3)CC2)C(CBr)O1,Steglich_esterification,,
C314491,1,,,,O=C(O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,CC(C)(O)COCCN,CC(C)(COCCN)OC(=O)C1CCN(S(=O)(=O)N2CCCCC2)CC1,Steglich_esterification,,
C45999,1,,,,O=C(O)c1ccc2c(c1)CCN2,NCC1CCN(C2CCOCC2)CC1,O=C(NCC1CCN(C2CCOCC2)CC1)c1ccc2c(c1)CCN2,Amidation,,
