compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
282932,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,2.0,18.5,25609,Enamine,Advanced,EN300-37274749,73.8,EUR,10,0.9,Cl.Cl.NCCC1=COC=N1,2025-10-07,1,2,2,{'Amidation'},"{177, 99}","{107, 266892}"
282943,Cn1nc(C(=O)O)c2ccccc21,OVVDFORZEGKEJM-UHFFFAOYSA-N,2.0,100.0,40927,Enamine,Global catalog,EN300-129568,18.0,EUR,10,,Cn1nc(C(=O)O)c2ccccc21,2025-09-29,1,2,2,{'Amidation'},"{98, 99}","{107, 204781}"
286014,O=C(O)CCC1CCCCN1,AYRHHRXKZJGDSA-UHFFFAOYSA-N,1.0,19.4,25558,Enamine,Legacy,EN300-119737,42.6,EUR,10,0.9,Cl.O=C(O)CCC1CCCCN1,2025-10-07,1,1,1,{'Amidation'},{1611},{1373}
286015,N#CCNCC#N,BSRDNMMLQYNQQD-UHFFFAOYSA-N,1.0,100.0,102889,Enamine,Global catalog,EN300-21125,18.0,EUR,10,,N#CCNCC#N,2025-09-29,1,1,1,{'Amidation'},{1611},{1373}
284939,NCC1CCCCN1,RHPBLLCTOLJFPH-UHFFFAOYSA-N,1.0,18.7,25603,Enamine,Advanced,EN300-343980,74.3,EUR,10,0.9,Cl.Cl.NC[C@H]1CCCCN1,2025-10-07,1,1,1,{'Amidation'},{1615},{1418}
286019,CCC=C(C)C(=O)O,JJYWRQLLQAKNAD-UHFFFAOYSA-N,1.0,100.0,63308,Enamine,Global catalog,EN300-34638,18.0,EUR,10,,CCC=C(C)C(=O)O,2025-09-29,1,1,1,{'Amidation'},{1615},{1418}
285933,O=C(O)C=Cc1cocn1,QNLZFVHPBRIIKI-UHFFFAOYSA-N,1.0,13.9,25930,Enamine,Functional,EN300-1589262,160.5,EUR,10,0.9,O=C(O)/C=C/C1=COC=N1,2025-10-07,1,1,1,{'Amidation'},{1553},{1613}
285934,CC(CCN)[S+](C)[O-],ZFDQZKLMDYFXPU-UHFFFAOYSA-N,2.0,13.5,25956,Enamine,Legacy,EN300-111187,35.5,EUR,10,0.9,CC(CCN)S(C)=O,2025-10-07,1,2,2,{'Amidation'},"{1553, 4747}","{294296, 1613}"
285090,CC(N)C1CC1,IXCXVGWKYIDNOS-UHFFFAOYSA-N,3.0,100.0,37062,Enamine,Global catalog,EN300-233791,18.0,EUR,10,,C[C@@H](N)C1CC1.Cl,2025-09-29,1,3,3,{'Amidation'},"{1481, 1348, 1606}","{4256, 25347, 1719}"
285793,NC(=O)c1cccc(C(=O)O)n1,MUTVEWJASOPKGU-UHFFFAOYSA-N,1.0,16.6,25737,Enamine,Legacy,EN300-130656,38.7,EUR,10,0.9,NC(=O)C=1C=CC=C(N1)C(=O)O,2025-10-07,1,1,1,{'Amidation'},{1481},{1719}
284310,O=C(O)Cc1ncc[nH]1,WUJUYHMGDPTLMG-UHFFFAOYSA-N,1.0,16.3,25758,Enamine,Legacy,EN300-220527,38.3,EUR,10,0.9,Cl.O=C(O)CC1=NC=CN1,2025-10-07,1,1,1,{'Amidation'},{1210},{2306}
285248,NCC[S+]([O-])CC(F)(F)F,DTVVONWNPPOAMF-UHFFFAOYSA-N,29.0,50.0,114088,Enamine,EU stock,EN300-269942,161.0,EUR,2,,Cl.NCCS(=O)CC(F)(F)F,2025-09-29,1,29,29,{'Amidation'},"{1210, 11221, 11222, 11223, 11224, 11225, 11226, 11227, 11228, 11229, 11230, 11231, 11232, 11233, 11234, 11235, 11236, 11237, 11238, 11239, 11240, 11241, 11242, 11243, 11244, 11245, 11246, 11247, 11248}","{301952, 301953, 2306, 301954, 301955, 301956, 301957, 301958, 301959, 301960, 301933, 301934, 301935, 301936, 301937, 301938, 301939, 301940, 301941, 301942, 301943, 301944, 301945, 301946, 301947, 301948, 301949, 301950, 301951}"
283732,CC(C)NC1CCNCC1,GINABUAPACIWCA-UHFFFAOYSA-N,1.0,14.2,25909,Enamine,Legacy,EN300-62678,36.2,EUR,10,0.9,CC(C)NC1CCNCC1,2025-10-07,1,1,1,{'Amidation'},{1300},{2404}
285406,CC(C)=CCCC(C)CC(=O)O,GJWSUKYXUMVMGX-UHFFFAOYSA-N,1.0,100.0,45138,Enamine,Global catalog,EN300-111384,18.0,EUR,10,,CC(C)=CCCC(C)CC(=O)O,2025-09-29,1,1,1,{'Amidation'},{1300},{2404}
284637,CC(C)C(=O)O,KQNPFQTWMSNSAP-UHFFFAOYSA-N,1.0,100.0,65812,Enamine,Global catalog,EN300-19272,18.0,EUR,10,,CC(C)C(=O)O,2025-09-29,1,1,1,{'Amidation'},{1612},{2418}
286016,CC(C)NC1CCCNC1,XAXUUHPCEVNZFT-UHFFFAOYSA-N,1.0,14.2,25915,Enamine,HTS,EN300-61495,40.2,EUR,10,0.9,CC(C)NC1CCCNC1,2025-10-07,1,1,1,{'Amidation'},{1612},{2418}
284056,O=C(O)Cc1ccn[nH]1,NTVKSUPEUFXUGS-UHFFFAOYSA-N,1.0,50.0,139006,Enamine,EU stock,EN300-71405,18.0,EUR,2,,Cl.O=C(O)Cc1ccn[nH]1,2025-09-29,1,1,1,{'Amidation'},{1028},{3782}
284437,CC(N)C1CCN(CC(F)(F)F)CC1,BUKCQFLBXVFHIQ-UHFFFAOYSA-N,30.0,50.0,132712,Enamine,EU stock,EN300-154732,195.0,EUR,2,,CC(N)C1CCN(CC(F)(F)F)CC1.Cl.Cl,2025-09-29,1,30,30,{'Amidation'},"{1028, 14606, 14607, 14608, 14609, 14617, 14618, 14619, 14623, 14625, 14626, 14629, 14633, 19883, 19884, 19885, 14638, 19887, 816, 14642, 19890, 19892, 19893, 19896, 14649, 19897, 14651, 19901, 14655, 14661}","{307200, 307204, 307210, 47627, 315067, 315068, 315069, 315071, 315074, 315076, 315077, 3782, 315080, 315081, 315085, 307155, 307156, 307157, 307158, 307166, 307167, 307168, 307172, 307174, 307175, 307178, 307182, 307187, 307191, 307198}"
283032,CC(=O)NC(C)C1CCNCC1,BPRBTTFXQRPWER-UHFFFAOYSA-N,1.0,17.0,25715,Enamine,Legacy,EN300-138915,39.0,EUR,10,0.9,CC(=O)NC(C)C1CCNCC1,2025-10-07,1,1,1,{'Amidation'},{1157},{4100}
284195,O=C(O)c1ncc[nH]1,KYWMCFOWDYFYLV-UHFFFAOYSA-N,1.0,100.0,38756,Enamine,Global catalog,EN300-97870,18.0,EUR,10,,O=C(O)c1ncc[nH]1,2025-09-29,1,1,1,{'Amidation'},{1157},{4100}
285394,O=C(O)C1CCc2ccccc2CC1,FGVCREOLYLRJCU-UHFFFAOYSA-N,4.0,19.0,25582,Enamine,Legacy,EN300-313304,41.8,EUR,10,0.9,O=C(O)C1CCC2=CC=CC=C2CC1,2025-10-07,1,4,4,{'Amidation'},"{15654, 15631, 1606, 15630}","{4256, 308750, 308726, 308727}"
284054,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,1.0,100.0,77094,Enamine,Global catalog,EN300-19540,18.0,EUR,10,,CCC(=O)O,2025-09-29,1,1,1,{'Amidation'},{886},{4708}
