,smiles,inchi_key,error_type,error_message,retro_tool,db_search_tool,1_r1_smiles,1_r2_smiles,1_reaction,compound_set,elab_single_reactant,hit1,hit2,num_placed,num_successful,route_uuid,template,to_hippo,total_num_products_enumstereo,total_num_unique_products,hit3,hit4,hit5,hit6
0,CCCS(=O)(=O)NC1CCN(C(=O)[C@@H](F)n2cccn2)CC1,OEOUTLNRPVGOPE-UHFFFAOYSA-N,,,aizynthfinder,hippo,CCCS(=O)(=O)NC1CCNCC1,O=C(O)C(F)n1cccn1,Amidation,C12352,0.0,A0719a,A3436a,24.0,0.0,c0b57bd6ea349f9ef3ed11c430c3112d,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3436a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C12352/OEOUTLNRPVGOPE-UHFFFAOYSA-N/OEOUTLNRPVGOPE-UHFFFAOYSA-N_c0b57bd6ea349f9ef3ed11c430c3112d_to_hippo.pkl.gz,24.0,6.0,,,,
0,CC(C)(NC(=O)[C@H]1CCNc2ccccc21)C1CCNCC1,XIOYKRXGPYNPFZ-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)C1CCNc2ccccc21,CC(C)(N)C1CCNCC1,Amidation,C124015,0.0,A0586a,A0875a,1574.0,0.0,1391d0ac6455e48996b5571dd92dc0f1,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A0586a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C124015/XIOYKRXGPYNPFZ-UHFFFAOYSA-N/XIOYKRXGPYNPFZ-UHFFFAOYSA-N_1391d0ac6455e48996b5571dd92dc0f1_to_hippo.pkl.gz,1574.0,344.0,,,,
0,C[C@H](C(=O)N1CCC(OCCCN(C)C)CC1)[C@@H]1CCC(=O)N1,MQHOJDGABPALRL-UHFFFAOYSA-N,OSError,File error: Bad input file /opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/c01_elabs_syndirella_inspiration_hits.sdf,,,,,,C9987,,A0528a,A4445a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4445a_apo-desolv.pdb,,,,,,,
1,C[C@H](C(=O)N1CCC(OCCCN(C)C)CC1)[C@@H]1CCC(=O)N1,MQHOJDGABPALRL-UHFFFAOYSA-N,OSError,File error: Bad input file /opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/c01_elabs_syndirella_inspiration_hits.sdf,,,,,,C9987,,A0528a,A4445a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4445a_apo-desolv.pdb,,,,,,,
2,C[C@H](C(=O)N1CCC(OCCCN(C)C)CC1)[C@@H]1CCC(=O)N1,MQHOJDGABPALRL-UHFFFAOYSA-N,ScaffoldPlacementError,Scaffold could not be successfully placed.,,,,,,C9987,,A0528a,A4445a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4445a_apo-desolv.pdb,,,,,,,
3,C[C@H](C(=O)N1CCC(OCCCN(C)C)CC1)[C@@H]1CCC(=O)N1,MQHOJDGABPALRL-UHFFFAOYSA-N,,,aizynthfinder,hippo,CN(C)CCCOC1CCNCC1,CC(C(=O)O)C1CCC(=O)N1,Amidation,C9987,0.0,A0528a,A4445a,96.0,0.0,5cbb1718d952b7295d9b447c94356cfa,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4445a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C9987/MQHOJDGABPALRL-UHFFFAOYSA-N/MQHOJDGABPALRL-UHFFFAOYSA-N_5cbb1718d952b7295d9b447c94356cfa_to_hippo.pkl.gz,96.0,17.0,,,,
0,COc1ccc2c(c1)[C@H](NC(=O)[C@@H]1CCCCCN1)CCN2,JWMDCIUJPJCIMA-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)C1CCCCCN1,COc1ccc2c(c1)C(N)CCN2,Amidation,C1142,0.0,A4786a,A0586a,336.0,0.0,5f42d96aaf8d702f57e76b28123239ca,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4786a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C1142/JWMDCIUJPJCIMA-UHFFFAOYSA-N/JWMDCIUJPJCIMA-UHFFFAOYSA-N_5f42d96aaf8d702f57e76b28123239ca_to_hippo.pkl.gz,336.0,26.0,,,,
0,C[C@@H](C(=O)Nc1ccc2nnc(C3CCC3)n2c1)n1cccc1,MRPNTPLWNNFLQF-UHFFFAOYSA-N,,,aizynthfinder,hippo,Nc1ccc2nnc(C3CCC3)n2c1,CC(C(=O)O)n1cccc1,Amidation,C10379,0.0,A4333a,A1293a,44.0,0.0,d6767432d8ec88855c9795332c69a501,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A4333a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C10379/MRPNTPLWNNFLQF-UHFFFAOYSA-N/MRPNTPLWNNFLQF-UHFFFAOYSA-N_d6767432d8ec88855c9795332c69a501_to_hippo.pkl.gz,44.0,23.0,,,,
0,CC(C)[C@@H](NC(=O)C[C@H]1CCCCN1)c1nnc2ccccn12,MLNMURZXNDQHPB-UHFFFAOYSA-N,,,aizynthfinder,hippo,O=C(O)CC1CCCCN1,CC(C)C(N)c1nnc2ccccn12,Amidation,C10333,0.0,A5091a,A1293a,448.0,0.0,0fac5e51dba9d957711be5854f6be0f3,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A5091a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C10333/MLNMURZXNDQHPB-UHFFFAOYSA-N/MLNMURZXNDQHPB-UHFFFAOYSA-N_0fac5e51dba9d957711be5854f6be0f3_to_hippo.pkl.gz,448.0,44.0,,,,
0,CN(Cc1nnc2ccccn12)C(=O)NC[C@H]1CCCCN1,OTLOOYMQZJZQNU-UHFFFAOYSA-N,,,aizynthfinder,hippo,CNCc1nnc2ccccn12,NCC1CCCCN1,Formation_of_urea_from_two_amines,C10335,0.0,A3194a,A1293a,10000.0,0.0,49e36e6a83557c9a7a522ebe06efae1b,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/templates/A3194a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/a71ev2a/cycle_01/syndirella/elabs/a71ev2a_c01_elabs_C10335/OTLOOYMQZJZQNU-UHFFFAOYSA-N/OTLOOYMQZJZQNU-UHFFFAOYSA-N_49e36e6a83557c9a7a522ebe06efae1b_to_hippo.pkl.gz,36488.0,5029.0,,,,
