smiles,template,compound_set,hit1,hit2,hit3,hit4,hit5,hit6,hit7,hit8,hit9,hit10,hit11,hit12,hit13,hit14,hit15,hit16,hit17,hit18,hit19,hit20,hit21,hit22,hit23,hit24,hit25,hit26,hit27
O=C(Cc1cocn1)Nc1ccc2c(c1)C(F)CC2,A5666a,openbind_a71ev2a_c1_scaffolds,A5151a,A5512a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(O)(C=O)NCc2cocn2)c2[nH]ccc12,A5666a,openbind_a71ev2a_c1_scaffolds,A0487a,A4940a,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(C)=O)cc1-c1n[nH]cc1CN,A5666a,openbind_a71ev2a_c1_scaffolds,A0501a,A4456a,,,,,,,,,,,,,,,,,,,,,,,,,
CNNc1ccccc1-c1n[nH]c(C)c1CO,A5666a,openbind_a71ev2a_c1_scaffolds,A0501a,A4524a,,,,,,,,,,,,,,,,,,,,,,,,,
CN1CCc2cc(F)c(OC(=O)N3CCCC(C(N)=O)C3)cc2C1CCOc1ccc(CNCc2ccc(C#N)cc2)cc1,A5666a,openbind_a71ev2a_c1_scaffolds,A0501b,A4214a,A4214b,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)C1CCCN(C(=O)NC2CN(CS)NC23CCCC2(CCC2)N3)C1,A5666a,openbind_a71ev2a_c1_scaffolds,A0514a,A4310a,,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1cc(C)ncc1N(C)N,A5666a,openbind_a71ev2a_c1_scaffolds,A0514a,A4331a,,,,,,,,,,,,,,,,,,,,,,,,,
CCNCc1ccc(OC=O)cn1,A5666a,openbind_a71ev2a_c1_scaffolds,A0514a,A4346a,,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1ccncc1N,A5666a,openbind_a71ev2a_c1_scaffolds,A0514a,A4368a,,,,,,,,,,,,,,,,,,,,,,,,,
CC1CCC(C(N)=O)CN1C(=O)Nc1cn(CS)nc1C(=O)NC1CCC1,A5666a,openbind_a71ev2a_c1_scaffolds,A0528a,A3940a,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)c1ccc2c(c1NC(C)=O)[NH+]([O-])C=C2,A5666a,openbind_a71ev2a_c1_scaffolds,A0528a,A5104a,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)OC1CCN(S(C)(=O)=O)CC1,A0207a,openbind_a71ev2a_c1_scaffolds,A0540a,A0228a,,,,,,,,,,,,,,,,,,,,,,,,,
NCc1ccc2c3c(cccc13)CN2,A0207a,openbind_a71ev2a_c1_scaffolds,A0586a,A0188a,A0229b,,,,,,,,,,,,,,,,,,,,,,,,
CNCS(=O)(=O)C(=O)c1ccc(CN)cc1,A0207a,openbind_a71ev2a_c1_scaffolds,A0305a,A0229b,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncc(CNC(=O)C2CCC2)cc1OC1CCN(C)C1=O,A0207a,openbind_a71ev2a_c1_scaffolds,A0487a,A0237a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncc(CNC(=O)C2CCC2)c(C)c1NC(=O)CC#N,A0207a,openbind_a71ev2a_c1_scaffolds,A0528a,A0237a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(C)CS(N)(=O)=O)c(CNC(=O)C2CCC2)cn1,A0207a,openbind_a71ev2a_c1_scaffolds,A0237a,A0387a,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(=NNC(NC(=O)C1CCC1)c1ccc(C)nc1)NO,A0207a,openbind_a71ev2a_c1_scaffolds,A0237a,A0884a,,,,,,,,,,,,,,,,,,,,,,,,,
CC(CC1(C(=O)C2CCC2)Cc2ccc(CO)nc2N1)C(F)(F)F,A0207a,openbind_a71ev2a_c1_scaffolds,A0237a,A1169a,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=NC(C#Cc2[nH]nc3ccccc23)(c2ccccc2)C(=O)C1,A0207a,openbind_a71ev2a_c1_scaffolds,A0486a,A0239a,,,,,,,,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)NC(CS(N)(=O)=O)c1ccc2c(c1)OCO2,A0207a,openbind_a71ev2a_c1_scaffolds,A0450a,A0351a,,,,,,,,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)NCc1cc2c(cc1NC(=O)CC(C)C(F)(F)F)OC(C)O2,A0207a,openbind_a71ev2a_c1_scaffolds,A0351a,A0365a,,,,,,,,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)NCc1ccc2c(c1C(=O)N1CC(O)C1)OCO2,A0207a,openbind_a71ev2a_c1_scaffolds,A0351a,A4570a,,,,,,,,,,,,,,,,,,,,,,,,,
NC(Nc1ccn(CO)n1)c1ccccc1,A0207a,openbind_a71ev2a_c1_scaffolds,A0229a,A0359a,,,,,,,,,,,,,,,,,,,,,,,,,
COC1CCC2(CC(NCc3ccccc3)NN2C)C2=C1C(=O)C(=O)N2,A0207a,openbind_a71ev2a_c1_scaffolds,A0554a,A0365a,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(CNc2n[nH]c3c2SCC3)cc1,A0207a,openbind_a71ev2a_c1_scaffolds,A0365a,A4650a,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1C(CCS)C(=O)c1nn(C)cc1N,A0207a,openbind_a71ev2a_c1_scaffolds,A0365a,A5249a,,,,,,,,,,,,,,,,,,,,,,,,,
COCC(=O)Nc1c(C)cc(C)cc1CNCCc1cocn1,A0207a,openbind_a71ev2a_c1_scaffolds,A0528a,A0387a,,,,,,,,,,,,,,,,,,,,,,,,,
COCC(O)(Nc1c(C)cc(C)cc1C)C1CCCO1,A0207a,openbind_a71ev2a_c1_scaffolds,A0387a,A5258a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc2nc(C)c(O)n2c1,A0207a,openbind_a71ev2a_c1_scaffolds,A0437a,A4826b,,,,,,,,,,,,,,,,,,,,,,,,,
COCC1CCC2NC(C)C(=O)N2C1,A0207a,openbind_a71ev2a_c1_scaffolds,A0437a,A4873b,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(C(C)C)c1,A0207a,openbind_a71ev2a_c1_scaffolds,A0451a,A0719a,A2454a,A2513a,,,,,,,,,,,,,,,,,,,,,,,
Fc1ccc(CC2CCCNC2)c2nc[nH]c12,A0922a,openbind_a71ev2a_c1_scaffolds,A1140a,A4786a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)C1(Cl)NCCCC1S(N)(=O)=O)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A3188a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(CS)c(C)c1CC(=O)NC(CNC(=O)N1CCCC(C(F)F)C1Cl)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A3189a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(CS)c(C)c1CC(=O)NC(CNC(=O)C1(Cl)NCCCC1CF)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A3193a,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(N)C1(F)CCCNC1C(=O)NCC(NC(=O)Cc1c(C)nn(C)c1C)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A3201a,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(N)C1CCCNC1C(=O)NCC(NC(=O)Cc1c(C)nn(C)c1C)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A0566a,A0365a,A0884a,A1346a,A2304a,A2846a,A3280a,A3305a,A3403a,A3436a,A3450a,A3612a,A3616b,A3618a,A3568a,A3901a,A3968a,A3982a,A4018a,A4306a,A4313a,A4316a,A4319a,A4320a,A4321a,A4321b,A4365b
C=C(N)C1CC(C)CNC1C(=O)NCC(NC(=O)Cc1c(C)nn(C)c1C)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A3986a,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(N)C1CCCNC1C(=O)NCC(NC(Cc1c(C)nn(C)c1C)=NCC)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A4291a,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)C1NCCCC1C(=C)N)c1ccc2ccccc2c1,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A4334a,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(N)C1CCCNC1C(=O)NCC(NC(=O)Cc1c(C)nn(C)c1C)c1ccc2c(c1)CC1(CC2)CNCCC1NC=O,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A4343a,A4343b,,,,,,,,,,,,,,,,,,,,,,,,
C=C(N)C1CCC(=O)N2Cc3c(c(C)nn3C)CC(=O)NC(c3ccc4ccccc4c3)CNC(=O)C12,A0922a,openbind_a71ev2a_c1_scaffolds,A1346a,A4381a,,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(NC(=O)CC(C)C(F)(F)F)n(CNCCc2cccc(OC)c2-c2nnco2)n1,A0922a,openbind_a71ev2a_c1_scaffolds,A1445a,A4343a,A4343b,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(NC(=O)CC(C)C(F)(F)F)n(C=C(CO)Nc2c(C)cc(C)cc2C)n1,A0922a,openbind_a71ev2a_c1_scaffolds,A1445a,A4237a,,,,,,,,,,,,,,,,,,,,,,,,,
CNC(O)(O)c1nn(C)c2ccc(F)cc12,A2290a,openbind_a71ev2a_c1_scaffolds,A2290a,A2351a,,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)c1nn(C)c2cc(NCc3cc(C)no3)c(O)cc12,A2290a,openbind_a71ev2a_c1_scaffolds,A2290a,A3175a,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C1CCOC1)C(O)(O)c1nn(C)c2ccccc12,A2290a,openbind_a71ev2a_c1_scaffolds,A2290a,A3178a,,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)c1nn(C)c2ccc(Nc3ccn(C)n3)cc12,A2290a,openbind_a71ev2a_c1_scaffolds,A2290a,A3279a,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C(=O)NCc2cocn2)c2ccccc21,A2290a,openbind_a71ev2a_c1_scaffolds,A2290a,A3403a,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,A2290a,openbind_a71ev2a_c1_scaffolds,A2290a,A3436a,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1ccc2c(c1)c(C(=O)NCC1Cc3ccccc3CN1)nn2C,A2290a,openbind_a71ev2a_c1_scaffolds,A0554a,A2293a,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2cc(F)ccc21,A2290a,openbind_a71ev2a_c1_scaffolds,A0884a,A2293a,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C(=O)N(N)CCn2cncn2)c2ccccc21,A2290a,openbind_a71ev2a_c1_scaffolds,A2293a,A3189a,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2cccc(O)c21,A2290a,openbind_a71ev2a_c1_scaffolds,A2293a,A3201a,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C(N=O)NCC2Cc3ccccc3CN2)c2ccccc21,A2290a,openbind_a71ev2a_c1_scaffolds,A2293a,A3207a,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C2(N)CCCC(O)C2)c2c(CNO)c(F)ccc21,A2290a,openbind_a71ev2a_c1_scaffolds,A2293a,A3616b,A4559b,A4963b,,,,,,,,,,,,,,,,,,,,,,,
Cn1nc(C2NCC3Cc4ccccc4C3C3CCCN2C3)c2ccccc21,A2290a,openbind_a71ev2a_c1_scaffolds,A2293a,A4295a,A4303a,,,,,,,,,,,,,,,,,,,,,,,,
CNC1CCC(C(N)=O)CC1(CO)CO,A2290a,openbind_a71ev2a_c1_scaffolds,A2293a,A4214a,,,,,,,,,,,,,,,,,,,,,,,,,
CNc1cccc2c1c(C1NCC3Cc4ccccc4C(N)(O)C34CCN1C4)nn2C,A2290a,openbind_a71ev2a_c1_scaffolds,A2293a,A4777a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc2c1c(NCN(CO)Cc1cn[nH]c1)nn2C,A2290a,openbind_a71ev2a_c1_scaffolds,A2304a,A4451a,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2c(cc1F)c(C(O)(O)NC#N)nn2C,A2290a,openbind_a71ev2a_c1_scaffolds,A2304a,A4798a,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)N1CCOCC1,A2290a,openbind_a71ev2a_c1_scaffolds,A2513a,A3194a,,,,,,,,,,,,,,,,,,,,,,,,,
