target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C139485,1,,,,O=C(O)Cc1cocn1,Nc1ccc2c(c1)C(F)CC2,O=C(Cc1cocn1)Nc1ccc2c(c1)C(F)CC2,Amidation,,
C140978,1,,,,NCc1c[nH]nc1Br,COc1ccc(C(C)=O)cc1B1OC(C)(C)C(C)(C)O1,COc1ccc(C(C)=O)cc1-c1n[nH]cc1CN,Sp2-sp2_Suzuki_coupling,,
C140988,1,,,,Cc1[nH]nc(B2OC(C)(C)C(C)(C)O2)c1CO,CNNc1ccccc1Br,CNNc1ccccc1-c1n[nH]c(C)c1CO,Sp2-sp2_Suzuki_coupling,,
C141599,1,,,,COC(=O)c1cc(C)ncc1Br,CNN,COC(=O)c1cc(C)ncc1N(C)N,N-nucleophilic_aromatic_substitution,,
C15,1,,,,Nc1cnccc1C(=O)O,CO,COC(=O)c1ccncc1N,Steglich_esterification,,
C224597,1,,,,OCn1ccc(Br)n1,NC(N)c1ccccc1,NC(Nc1ccn(CO)n1)c1ccccc1,N-nucleophilic_aromatic_substitution,,
C224826,1,,,,O=Cc1ccccc1,Nc1n[nH]c2c1SCC2,c1ccc(CNc2n[nH]c3c2SCC3)cc1,Reductive_amination,,
C193943,1,,,,Cc1cccc(Br)c1,CC(C)B1OC(C)(C)C(C)(C)O1,Cc1cccc(C(C)C)c1,Sp3-sp2_Suzuki_coupling,,
C270367,1,,,,Fc1ccc(Br)c2nc[nH]c12,CC1(C)OB(CC2CCCNC2)OC1(C)C,Fc1ccc(CC2CCCNC2)c2nc[nH]c12,Sp3-sp2_Suzuki_coupling,,
C204769,1,,,,Cn1ccc(N)n1,CNC(=O)c1nn(C)c2ccc(Br)cc12,CNC(=O)c1nn(C)c2ccc(Nc3ccn(C)n3)cc12,Buchwald-Hartwig_amination,,
C204781,1,,,,NCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCc2cocn2)c2ccccc21,Amidation,,
C107,1,,,,NCCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,
C205051,1,,,,NCC1Cc2ccccc2CN1,CC(=O)c1ccc2c(c1)c(C(=O)O)nn2C,CC(=O)c1ccc2c(c1)c(C(=O)NCC1Cc3ccccc3CN1)nn2C,Amidation,,
C205067,1,,,,NCC1Cc2ccccc2CN1,Cn1nc(C(=O)O)c2cc(F)ccc21,Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2cc(F)ccc21,Amidation,,
C209253,1,,,,NNCCn1cncn1,Cn1nc(C(=O)Cl)c2ccccc21,Cn1nc(C(=O)N(N)CCn2cncn2)c2ccccc21,Amide_Schotten-Baumann_with_amine,,
C205099,1,,,,NCC1Cc2ccccc2CN1,Cn1nc(C(=O)O)c2cccc(O)c21,Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2cccc(O)c21,Amidation,,
C206766,1,,,,CCC(C)=O,C1COCCN1,CCC(C)N1CCOCC1,Reductive_amination,,
C205775,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCCn1cncn1,Cn1nc(C(=O)NCCn2cncn2)c2cc(F)ccc21,Amidation,,
C209218,1,,,,NCCn1cncn1,Cc1ccc2c(c1)c(C(=O)O)nn2C,Cc1ccc2c(c1)c(C(=O)NCCn1cncn1)nn2C,Amidation,,
C209837,1,,,,CC1CCC(C(N)=O)CN1,Cn1cc2c(CC(=O)O)cccc2n1,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc2nn(C)cc12,Amidation,,
C209478,1,,,,NCCn1cncn1,COc1cccc2c1c(C(=O)O)nn2C,COc1cccc2c1c(C(=O)NCCn1cncn1)nn2C,Amidation,,
C250249,1,,,,Cc1ocnc1CCN,CC1CC(C=O)c2ccccc21,Cc1ocnc1CCNCC1CC(C)c2ccccc21,Reductive_amination,,
C266892,1,,,,NCCc1cocn1,Cc1ccccc1C(=O)O,Cc1ccccc1C(=O)NCCc1cocn1,Amidation,,
C264727,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,Cn1cnc(CCN)c1,Cn1cnc(CCNC(=O)c2nn(C)c3ccc(F)cc23)c1,Amidation,,
C138541,1,,,,N,NC(=O)N1CCCC(C(=O)O)C1,NC(=O)C1CCCN(C(N)=O)C1,Amidation,,
C192018,1,,,,CC(N)Cc1cocn1,C#CC(=O)c1nn(C)c2ccccc12,C#CC(NC(C)Cc1cocn1)c1nn(C)c2ccccc12,Reductive_amination,,
C211420,1,,,,NC(=O)C1CCNC1,COc1cccc(SC)c1C(=O)C(=O)O,COc1cccc(SC)c1C(=O)C(=O)N1CCC(C(N)=O)C1,Amidation,,
C264563,1,,,,NC(=O)C1CCCNC1,CCc1ccc(C#N)c(OC)c1N,CCc1ccc(C#N)c(OC)c1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C176894,1,,,,NC(=O)C1CCCNC1,COc1ccc(Br)cc1C(=O)C(=O)O,COc1ccc(Br)cc1C(=O)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
