name gnina_score gnina_score_min smina_score_min min_rmsd 
P534287 5.477 5.610 -6.226 0.773
P534288 6.147 5.939 -6.927 1.113
P534290 5.218 5.128 -5.535 0.637
P534291 5.582 5.402 -5.661 0.634
P534292 5.370 5.191 -6.257 0.721
P534297 5.740 5.555 -4.574 1.768
P534298 5.377 5.499 -6.681 0.754
P534299 5.986 6.013 -6.742 0.533
P534300 5.899 5.845 -6.231 0.502
P534301 5.805 5.836 -6.417 0.830
P534302 6.089 6.109 -6.865 0.897
P534303 5.875 5.936 -6.092 0.525
P534307 4.743 4.791 -4.852 0.983
P534310 4.893 4.826 -5.573 1.647
P534311 6.042 5.914 -7.521 0.454
P534322 5.934 5.982 -6.286 0.476
P534323 5.675 5.661 -5.397 0.301
P534324 5.547 5.287 -6.042 0.695
P534325 5.886 5.968 -6.284 0.626
P534326 5.704 5.533 -6.035 0.608
P534327 6.311 6.553 -7.459 0.775
P534328 5.077 4.965 -4.990 0.871
P534329 5.861 5.812 -6.874 0.290
P534333 4.710 4.871 -4.715 3.524
P534338 4.757 4.900 -5.026 2.168
P534340 5.661 5.457 -6.525 1.443
P534341 5.789 5.711 -5.730 0.514
P534342 4.519 5.025 -4.661 1.427
P534345 5.951 5.831 -5.952 0.580
P534347 5.399 5.624 -5.508 0.490
P534348 6.008 6.099 -7.475 0.544
P534349 5.944 6.050 -6.113 0.501
P534354 5.964 5.854 -6.954 0.621
P534355 6.165 5.970 -4.805 0.661
P534356 5.771 5.852 -4.932 0.574
P534358 5.106 5.080 -3.979 1.584
P534368 5.183 5.158 -4.625 0.738
P534373 4.828 4.927 -5.221 0.569
P534374 6.079 6.105 -6.273 0.400
P534375 5.886 6.079 -6.785 0.641
P534376 5.138 4.921 -4.944 1.103
P534377 6.081 6.118 -6.135 0.704
P534379 5.667 5.805 -6.169 0.492
P534382 6.229 6.241 -7.406 0.553
P534383 6.043 5.883 -7.474 0.916
P534384 4.931 5.110 -5.052 0.604
P534389 5.073 5.037 -4.841 1.653
P534394 5.143 5.120 -6.288 0.504
P534396 5.191 4.972 -5.055 0.863
P534397 6.297 6.316 -6.761 0.471
P534398 5.998 6.042 -6.987 0.485
P534400 5.582 5.614 -6.696 1.211
P534401 6.080 6.158 -6.409 0.467
P534404 5.684 5.563 -5.517 0.709
P534406 6.153 6.079 -7.008 0.518
P534407 5.877 6.035 -6.061 0.637
P534408 6.249 6.292 -6.571 0.435
P534411 5.935 6.033 -5.848 0.661
P534412 6.115 6.152 -6.228 0.476
P534413 6.315 6.345 -7.416 0.423
P534414 6.188 6.016 -6.025 0.658
P534415 6.239 6.380 -6.460 0.553
P534417 5.829 5.643 -6.401 0.694
P534418 5.553 5.207 -5.630 0.482
P534419 5.876 5.887 -7.616 0.565
P534431 5.216 5.219 -6.037 0.659
P534432 6.105 6.202 -7.619 0.582
P534436 6.279 6.287 -6.925 0.377
P534440 5.973 6.049 -6.208 0.788
P534441 5.811 6.071 -6.322 0.629
P534443 6.090 6.164 -6.303 0.434
P534444 5.837 5.680 -5.460 0.731
P534445 5.811 5.618 -6.739 0.620
P534446 5.995 5.824 -5.058 0.745
P534447 5.502 5.186 -6.592 1.207
P534448 5.548 5.432 -6.278 0.730
P534450 5.170 4.983 -5.100 0.811
P534452 5.442 5.571 -5.739 0.766
P534459 4.810 5.565 -5.842 2.460
P534460 6.278 6.328 -7.258 0.385
P534461 6.160 6.016 -3.992 2.579
P534466 6.189 5.937 -6.357 0.714
P534468 5.991 6.311 -7.157 1.163
P534469 5.892 5.843 -5.512 2.603
P534470 5.710 5.562 -6.935 0.484
P534471 5.548 5.549 -5.280 0.384
P534473 6.245 6.204 -7.155 0.850
P534474 5.942 5.795 -7.634 0.211
P534476 6.062 6.098 -3.198 0.584
P534477 5.321 5.684 -5.816 1.077
P534478 5.928 5.946 -6.858 0.369
P534480 5.684 5.756 -6.151 0.331
P534483 5.897 5.989 -6.684 0.429
P534484 5.734 5.936 -6.310 0.772
P534485 5.579 5.787 -6.631 0.400
P534486 5.720 5.518 -6.224 1.223
P534488 6.066 5.994 -6.114 0.970
P534489 5.716 5.814 -6.898 0.520
P534491 5.973 6.031 -5.640 0.640
P534494 5.761 5.854 -7.504 0.527
P534495 6.045 6.236 -7.675 0.525
P534496 6.066 6.281 -7.097 0.310
P534497 5.654 5.441 -5.887 0.816
P534499 6.042 6.154 -6.811 0.765
P534500 5.677 5.931 -6.419 0.407
P534501 5.837 5.929 -5.907 0.594
P534502 5.983 6.013 -5.698 0.608
P534503 5.833 5.763 -6.191 0.324
P534505 5.646 5.772 -5.920 0.413
P534506 5.766 6.069 -6.576 0.700
P534507 5.492 5.541 -6.519 0.437
P534508 6.029 6.136 -6.486 0.604
P534509 5.877 5.896 -6.215 0.151
P534510 5.825 5.832 -6.983 0.186
P534511 5.928 6.033 -5.532 0.547
P534513 5.628 5.580 -5.907 0.469
P534515 6.065 5.907 -5.753 1.092
P534516 5.810 5.554 -6.896 1.673
P534517 5.765 5.760 -5.759 0.469
P534518 6.136 6.164 -7.765 0.529
P534521 5.723 6.048 -6.293 0.595
P534522 5.647 5.624 -7.288 0.365
P534523 5.509 5.320 -6.320 1.860
P534526 5.442 5.673 -6.932 0.247
P534527 5.593 5.710 -6.234 0.449
P534528 6.196 6.118 -6.825 0.325
P534529 5.741 5.515 -3.969 0.594
P534530 5.883 6.095 -6.752 0.544
P534531 5.943 6.043 -7.034 0.426
P534532 5.810 5.655 -6.175 1.760
P534533 5.459 5.222 -4.062 0.936
P534535 5.363 5.689 -6.474 0.457
P534536 6.219 6.294 -7.698 0.359
P534537 5.556 5.677 -6.842 0.415
P534538 6.136 6.131 -6.505 0.669
P534539 5.869 5.937 -7.683 0.378
P534540 6.085 6.222 -7.062 0.316
P534541 5.872 5.983 -6.326 0.351
P534542 5.984 5.920 -6.655 0.599
P534543 6.410 6.600 -7.418 0.565
P534544 6.224 6.387 -6.695 0.450
P534545 6.130 6.241 -6.597 0.496
P534546 5.958 5.961 -6.733 0.446
P534547 6.022 6.183 -7.037 0.537
P534548 5.924 6.013 -7.842 0.615
P534549 6.086 6.206 -7.178 0.788
P534550 6.252 6.286 -7.280 0.589
P534551 5.814 5.893 -6.296 0.338
P534553 5.859 5.928 -6.248 0.274
P534554 5.902 6.102 -6.473 0.622
P534555 5.460 5.709 -6.726 0.258
P534556 6.528 6.594 -8.213 0.352
P534557 6.100 6.046 -5.322 1.176
P534558 5.479 5.222 -4.872 1.259
P534559 5.862 6.014 -7.566 0.348
P534560 5.398 5.295 -7.112 0.652
P534561 6.453 6.496 -7.713 0.524
P534562 6.581 6.710 -8.254 0.475
P534563 6.290 6.313 -6.890 0.362
P534565 6.425 6.387 -8.191 0.459
P534566 6.161 6.138 -7.893 0.226
P534567 6.256 6.248 -7.766 0.460
P534569 6.459 6.410 -7.702 0.233
P534570 6.373 6.401 -6.904 0.373
P534572 5.987 5.993 -7.948 0.280
P534573 6.038 6.031 -7.861 0.222
P534575 6.305 6.275 -8.179 0.464
P534577 6.357 6.314 -7.694 0.233
P534579 5.829 5.852 -7.962 0.303
P534580 6.112 6.118 -7.756 0.430
P534581 6.367 6.346 -8.395 0.263
P534583 6.217 6.241 -7.964 0.461
