target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C350381,1,,,,Cn1cc(C(=O)O)c2ccc(Br)cc21,CCC(C)N,CCC(C)NC(=O)c1cn(C)c2cc(Br)ccc12,Amidation,,
C350383,1,,,,ClC1CNC1,Cn1cc(C(=O)O)c2cccc(Cl)c21,Cn1cc(C(=O)N2CC(Cl)C2)c2cccc(Cl)c21,Amidation,,
C350386,1,,,,Cn1cc(C(=O)O)c2cc(F)ccc21,CC(N)CF,CC(CF)NC(=O)c1cn(C)c2ccc(F)cc12,Amidation,,
C350389,1,,,,C=C(Br)CN,Cn1cc(C(=O)O)c2cc(F)ccc21,C=C(Br)CNC(=O)c1cn(C)c2ccc(F)cc12,Amidation,,
C350399,1,,,,Cn1cc(C(=O)O)c2cc(F)ccc21,NN1CCC1,Cn1cc(C(=O)NN2CCC2)c2cc(F)ccc21,Amidation,,
C350400,1,,,,CC(S)CN,Cn1cc(C(=O)O)c2ccc(Br)cc21,CC(S)CNC(=O)c1cn(C)c2cc(Br)ccc12,Amidation,,
C350401,1,,,,Cn1cc(C(=O)O)c2ccc(Br)cc21,CCCCN,CCCCNC(=O)c1cn(C)c2cc(Br)ccc12,Amidation,,
C350403,1,,,,Cn1cc(C(=O)O)c2cccc(Cl)c21,NCCNO,Cn1cc(C(=O)NCCNO)c2cccc(Cl)c21,Amidation,,
C350407,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,FC1CNC1,Cn1cc(C(=O)N2CC(F)C2)c2cc(Br)ccc21,Amidation,,
C350409,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC(Cl)CN,CC(Cl)CNC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C350417,1,,,,C#CC(C)N,Cn1cc(C(=O)O)c2cc(Br)ccc21,C#CC(C)NC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C350419,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC(N)CCl,CC(CCl)NC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C350423,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC1CCN1,CC1CCN1C(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C350426,1,,,,CC(N)CS,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC(CS)NC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C350428,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,NCC(F)Cl,Cn1cc(C(=O)NCC(F)Cl)c2cc(Br)ccc21,Amidation,,
C350430,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,CC(F)CN,CC(F)CNC(=O)c1cn(C)c2ccc(Br)cc12,Amidation,,
C350431,1,,,,NCC=CCl,Cn1cc(C(=O)O)c2cc(Br)ccc21,Cn1cc(C(=O)NCC=CCl)c2cc(Br)ccc21,Amidation,,
C350437,1,,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,NN1CCC1,Cn1cc(C(=O)NN2CCC2)c2cc(Br)ccc21,Amidation,,
