compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_products,num_downstream_reaction_types,num_downstream_reactions,num_downstream (Amidation),num_downstream (Williamson_ether_synthesis),downstream_product_ids,downstream_reaction_types,downstream_reaction_ids
327628,CCn1cc(C(=O)O)c2ccccc21,TWVUTEBEOYXQDC-UHFFFAOYSA-N,26.0,26.0,,Enamine,,Z147652446,39.0,EUR,,,CCn1cc(C(=O)O)c2ccccc21,2025-12-09,26,1,26,26.0,,"{349952, 349451, 349454, 349976, 349979, 349980, 349983, 349984, 349988, 349989, 349990, 349994, 349997, 350001, 350008, 350010, 350014, 350018, 349669, 349543, 349671, 349675, 349676, 286704, 349822, 349823}",{'Amidation'},"{84096, 84097, 84098, 84102, 84105, 84109, 84116, 84118, 84122, 84126, 83776, 83650, 83778, 83782, 83783, 83929, 83930, 84059, 84067, 83558, 83561, 84084, 84087, 84088, 84091, 84092}"
349395,COCCN,ASUDFOJKTJLAIK-UHFFFAOYSA-N,14.0,14.0,,Enamine,,Z104472220,19.599999999999998,EUR,,,COCCN,2025-12-09,14,1,14,14.0,,"{441027, 350533, 350310, 440586, 441181, 350618, 286704, 351229, 440730, 350228, 440953, 349658, 350333, 441242}",{'Amidation'},"{84641, 84418, 84067, 108614, 85337, 84336, 109209, 83765, 84726, 108758, 108981, 84441, 109270, 109055}"
349341,Cn1cc(C(=O)O)c2ccc(Cl)cc21,UMVCXQBKCZPXCR-UHFFFAOYSA-N,38.0,38.0,,Enamine,,Z1269230304,57.0,EUR,,,Cn1cc(C(=O)O)c2ccc(Cl)cc21,2025-12-09,38,1,38,38.0,,"{350593, 350596, 350598, 350606, 350609, 350610, 350613, 350616, 350617, 350618, 350620, 350624, 350625, 350628, 350641, 350643, 350644, 350648, 350652, 350653, 349503, 349509, 350661, 350662, 349517, 349524, 349528, 349529, 349530, 349532, 349428, 350581, 350582, 350585, 350586, 350587, 350589, 350591}",{'Amidation'},"{84736, 84749, 84751, 84752, 84756, 84760, 84761, 83610, 83616, 84769, 84770, 83624, 83631, 83635, 83636, 83637, 83639, 83535, 84689, 84690, 84693, 84694, 84695, 84697, 84699, 84701, 84704, 84706, 84714, 84717, 84718, 84721, 84724, 84725, 84726, 84728, 84732, 84733}"
349375,N#CN,XZMCDFZZKTWFGF-UHFFFAOYSA-N,7.0,10.0,9446,Enamine,,Z104475754,14.0,EUR,,,N#CN,2025-12-09,7,1,7,7.0,,"{349637, 439220, 349428, 349495, 440345, 440346, 349431}",{'Amidation'},"{83744, 83535, 107248, 83538, 83602, 108373, 108374}"
349343,Cn1cc(C(=O)O)c2ccc(Br)cc21,KYUKAQJZFKJZBZ-UHFFFAOYSA-N,32.0,32.0,,Enamine,,Z1269177951,48.0,EUR,,,Cn1cc(C(=O)O)c2ccc(Br)cc21,2025-12-09,32,1,32,32.0,,"{349569, 350337, 350338, 349573, 350327, 349597, 350367, 349602, 350372, 350377, 350379, 350381, 350261, 350262, 350400, 350273, 350401, 349636, 350278, 350294, 350296, 350297, 350298, 350301, 350303, 350304, 350320, 350321, 349431, 350330, 350331, 350333}",{'Amidation'},"{84480, 84485, 84487, 84489, 84369, 84370, 84508, 84381, 84509, 83743, 84386, 84402, 84404, 84405, 84406, 84409, 84411, 84412, 84428, 84429, 83538, 84435, 84438, 84439, 84441, 83676, 84445, 84446, 83680, 83704, 84475, 83709}"
327619,Cn1cc(C(=O)O)c2cc(Br)ccc21,WQZLFFJMRKTCMU-UHFFFAOYSA-N,36.0,36.0,,Enamine,,Z1269172653,50.4,EUR,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,2025-12-09,36,1,36,36.0,,"{349444, 350469, 349446, 349447, 349448, 350470, 350473, 350474, 349459, 349464, 350488, 350532, 350533, 350407, 350536, 350409, 350537, 350539, 350544, 350417, 350419, 350549, 350423, 350551, 350426, 350428, 350430, 350431, 350437, 350439, 350441, 350443, 350444, 350573, 350446, 350447}",{'Amidation'},"{84640, 84641, 84515, 84644, 84517, 84645, 84647, 84652, 84525, 84527, 84657, 84531, 84659, 84534, 84536, 84538, 84539, 84545, 84547, 84549, 84551, 84552, 84681, 84554, 84555, 83551, 83553, 83554, 83555, 84577, 84578, 84581, 84582, 83566, 83571, 84596}"
349376,NCCI,DIOZLZOUTWUWIQ-UHFFFAOYSA-N,11.0,11.0,,Enamine,,Z1198167649,31.9,EUR,,,NCCI,2025-12-09,11,1,11,11.0,,"{349569, 349444, 440357, 349607, 351592, 440840, 349610, 438767, 349494, 441209, 350847}",{'Amidation'},"{108385, 83714, 85700, 83717, 108868, 106795, 83601, 109237, 84955, 83676, 83551}"
349377,NC1CC1,HTJDQJBWANPRPF-UHFFFAOYSA-N,15.0,15.0,,Enamine,,Z104495514,21.0,EUR,,,NC1CC1,2025-12-09,15,1,15,15.0,,"{349537, 349573, 349446, 349926, 349608, 349449, 349609, 439947, 440359, 440839, 349486, 351566, 440873, 441207, 349532}",{'Amidation'},"{83680, 83553, 84033, 83715, 83556, 83716, 108387, 107975, 108867, 83593, 85674, 108901, 109235, 83639, 83644}"
285925,CCCN,WGYKZJWCGVVSQN-UHFFFAOYSA-N,15.0,15.0,,Enamine,,Z104478446,21.0,EUR,,,CCCN,2025-12-09,15,1,15,15.0,,"{440352, 349893, 352134, 349447, 349576, 349545, 352040, 440845, 440880, 349874, 349591, 349530, 350045, 441210, 349471}",{'Amidation'},"{84000, 83554, 83683, 83652, 86148, 86242, 108873, 108908, 83981, 83698, 83637, 109238, 84153, 83578, 108380}"
349380,CC(C)N,JJWLVOIRVHMVIS-UHFFFAOYSA-N,23.0,23.0,,Enamine,,Z104472116,32.199999999999996,EUR,,,CC(C)N,2025-12-09,23,1,23,23.0,,"{349570, 439938, 349448, 349578, 350858, 440847, 439062, 349847, 350874, 349597, 440350, 439970, 349866, 440881, 349491, 350907, 349884, 351558, 438866, 349543, 349547, 349934, 441211}",{'Amidation'},"{83973, 83598, 106894, 85015, 83991, 85666, 109239, 107966, 83650, 83654, 84041, 108875, 107090, 108378, 83677, 107998, 83555, 83685, 84966, 108909, 83954, 84982, 83704}"
349348,Cn1cc(C(=O)O)c2cccc(Br)c21,YUZSHCRKAFZOHD-UHFFFAOYSA-N,22.0,22.0,,Enamine,,Z1269154703,72.6,EUR,,,Cn1cc(C(=O)O)c2cccc(Br)c21,2025-12-09,22,1,22,22.0,,"{349568, 349697, 349704, 349449, 349482, 349491, 349498, 349644, 349645, 349772, 349774, 349776, 349779, 349781, 349783, 349792, 349794, 349797, 349800, 349803, 349806, 349820}",{'Amidation'},"{83589, 83598, 83605, 83751, 83752, 83879, 83881, 83883, 83886, 83888, 83890, 83899, 83901, 83904, 83907, 83910, 83913, 83927, 83675, 83804, 83811, 83556}"
349382,NCCCl,VKPPFDPXZWFDFA-UHFFFAOYSA-N,12.0,12.0,,Enamine,,Z2738634070,104.39999999999999,EUR,,,NCCCl,2025-12-09,12,1,12,12.0,,"{349472, 438753, 439939, 350852, 439971, 350887, 349577, 349451, 440846, 438802, 440888, 440351}",{'Amidation'},"{84960, 108379, 84995, 83684, 83558, 107999, 108874, 106830, 108916, 83579, 106781, 107967}"
349378,N#CCN,DFNYGALUNNFWKJ-UHFFFAOYSA-N,15.0,15.0,,Enamine,,Z197510780,21.0,EUR,,,N#CCN,2025-12-09,15,1,15,15.0,,"{440354, 349636, 349592, 439942, 438808, 349930, 440844, 440877, 349454, 439058, 441204, 439895, 349528, 439961, 440827}",{'Amidation'},"{107970, 84037, 108872, 83561, 108905, 107086, 109232, 83635, 83699, 106836, 107923, 107989, 108855, 108382, 83743}"
286479,NCCS,UFULAYFCSOUIOV-UHFFFAOYSA-N,23.0,23.0,,Enamine,,Z275142110,32.199999999999996,EUR,,,NCCS,2025-12-09,23,1,23,23.0,,"{441216, 440835, 350853, 440838, 349836, 438929, 349459, 349588, 350881, 349602, 349859, 349478, 350902, 349879, 349498, 349628, 349503, 351553, 349506, 438755, 349939, 440315, 439933}",{'Amidation'},"{83585, 83986, 85010, 83605, 83735, 83610, 85661, 83613, 106783, 108343, 107961, 109244, 108863, 108866, 106957, 84046, 84989, 84961, 83943, 83566, 83695, 83709, 83966}"
284953,C=CCN,VVJKKWFAADXIJK-UHFFFAOYSA-N,12.0,12.0,,Enamine,,Z104476318,16.799999999999997,EUR,,,C=CCN,2025-12-09,12,1,12,12.0,,"{439969, 349571, 352131, 351557, 349579, 349548, 349868, 349935, 440848, 440882, 349524, 349464}",{'Amidation'},"{85665, 83686, 83655, 83975, 84042, 108876, 108910, 83631, 83571, 107997, 83678, 86239}"
349346,Cn1cc(C(=O)O)c2cc(Cl)ccc21,CDFMDRWHWBBKJX-UHFFFAOYSA-N,40.0,40.0,,Enamine,,Z1269148000,184.0,EUR,,,Cn1cc(C(=O)O)c2cc(Cl)ccc21,2025-12-09,40,1,40,40.0,,"{350346, 350225, 350227, 350228, 350102, 350104, 350105, 350106, 350360, 350110, 349470, 349472, 350112, 349471, 350115, 349478, 350119, 349480, 350121, 350122, 350123, 350125, 349486, 350127, 350131, 349494, 350134, 350136, 350137, 350138, 350140, 350142, 350143, 350145, 350146, 350158, 350160, 350165, 350167, 350170}",{'Amidation'},"{83585, 83587, 84227, 84229, 84230, 84231, 83593, 84233, 84235, 84239, 83601, 84242, 84244, 84245, 83578, 84246, 84248, 84250, 84251, 84253, 84254, 84266, 84268, 84273, 84275, 84278, 84454, 84333, 84335, 84336, 84210, 84212, 84213, 84214, 84468, 83577, 84218, 83579, 84220, 84223}"
349379,C#CCN,JKANAVGODYYCQF-UHFFFAOYSA-N,11.0,11.0,,Enamine,,Z104496084,15.399999999999999,EUR,,,C#CCN,2025-12-09,11,1,11,11.0,,"{349568, 440353, 439941, 439973, 349613, 440878, 350898, 440852, 441208, 349529, 349470}",{'Amidation'},"{107969, 108001, 83720, 108906, 85006, 108880, 83636, 109236, 83577, 83675, 108381}"
349381,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,6.0,10.0,9452,Enamine,,Z104473700,14.0,EUR,,,NCCO,2025-12-09,6,1,6,6.0,,"{349861, 349480, 349482, 350867, 439899, 439963}",{'Amidation'},"{83968, 107991, 83587, 83589, 84975, 107927}"
349350,Cn1cc(C(=O)O)c2cc(F)cc(F)c21,AQJLXVZFCHDZBT-UHFFFAOYSA-N,36.0,36.0,,Enamine,,Z2732962653,234.0,EUR,,,Cn1cc(C(=O)O)c2cc(F)cc(F)c21,2025-12-09,36,1,36,36.0,,"{351009, 349859, 349861, 349862, 351015, 349865, 349866, 351017, 349868, 351019, 351022, 349874, 351027, 351029, 349495, 351033, 351035, 351037, 351038, 351042, 351044, 351173, 351174, 351047, 351048, 351049, 351050, 351176, 351177, 351055, 351183, 351057, 351184, 351185, 351060, 351192}",{'Amidation'},"{83968, 83969, 85123, 83972, 83973, 85125, 83975, 85127, 85130, 83981, 85135, 85137, 83602, 85141, 85143, 85145, 85146, 85150, 85152, 85281, 85282, 85155, 85156, 85157, 85158, 85284, 85285, 85163, 85291, 85165, 85292, 85293, 85168, 85300, 85117, 83966}"
286477,NCCBr,IZQAUUVBKYXMET-UHFFFAOYSA-N,11.0,11.0,,Enamine,,Z1213715457,16.5,EUR,,,NCCBr,2025-12-09,11,1,11,11.0,,"{349509, 349862, 349581, 440335, 349937, 440850, 440884, 350871, 349500, 441214, 439039}",{'Amidation'},"{83616, 83969, 83688, 108363, 84044, 108878, 108912, 84979, 83607, 109242, 107067}"
349344,Cn1cc(C(=O)O)c2cccc(Cl)c21,AFXNENVQFFBDJU-UHFFFAOYSA-N,26.0,26.0,,Enamine,,Z1269236253,119.6,EUR,,,Cn1cc(C(=O)O)c2cccc(Cl)c21,2025-12-09,26,1,26,26.0,,"{350208, 350209, 350214, 350215, 350219, 350230, 350235, 350240, 350241, 350245, 350246, 350249, 350636, 350383, 349500, 350403, 349537, 350177, 350181, 349545, 349547, 349548, 349549, 350190, 350192, 350206}",{'Amidation'},"{84353, 84354, 84357, 84744, 84491, 83607, 84511, 83644, 84285, 84289, 83652, 83654, 83655, 83656, 84298, 84300, 84314, 84316, 84317, 84322, 84323, 84327, 84338, 84343, 84348, 84349}"
349349,Cn1c(Cl)c(C(=O)O)c2ccccc21,AQPMLAXHNBHLTF-UHFFFAOYSA-N,11.0,11.0,,Enamine,,Z1269229155,51.7,EUR,,,Cn1c(Cl)c(C(=O)O)c2ccccc21,2025-12-09,11,1,11,11.0,,"{350465, 349506, 350702, 350481, 350450, 350451, 350452, 350675, 350454, 350455, 350463}",{'Amidation'},"{84573, 84810, 84589, 84558, 84559, 84560, 84783, 84562, 84563, 84571, 83613}"
