compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
327619,Cn1cc(C(=O)O)c2cc(Br)ccc21,WQZLFFJMRKTCMU-UHFFFAOYSA-N,18.0,18.0,,Enamine,,Z1269172653,25.2,EUR,,,Cn1cc(C(=O)O)c2cc(Br)ccc21,2025-12-09,1,18,18,{'Amidation'},"{84640, 84545, 84577, 84549, 84581, 84551, 84582, 84647, 84554, 84652, 84525, 83566, 84527, 84657, 84659, 84534, 84539, 83551}","{349444, 350437, 350469, 350532, 350441, 350473, 350443, 350474, 350539, 350446, 350544, 350417, 349459, 350419, 350549, 350551, 350426, 350431}"
349376,NCCI,DIOZLZOUTWUWIQ-UHFFFAOYSA-N,8.0,10.0,9447,Enamine,,Z1198167649,29.0,EUR,,,NCCI,2025-12-09,1,8,8,{'Amidation'},"{108385, 83714, 108868, 83717, 83601, 84955, 83676, 83551}","{349569, 349444, 440357, 349607, 440840, 349610, 349494, 350847}"
286479,NCCS,UFULAYFCSOUIOV-UHFFFAOYSA-N,8.0,10.0,7979,Enamine,,Z275142110,14.0,EUR,,,NCCS,2025-12-09,1,8,8,{'Amidation'},"{108866, 85661, 84046, 83566, 84989, 83986, 83709, 83966}","{350881, 349602, 349859, 351553, 440838, 349939, 349459, 349879}"
349346,Cn1cc(C(=O)O)c2cc(Cl)ccc21,CDFMDRWHWBBKJX-UHFFFAOYSA-N,13.0,13.0,,Enamine,,Z1269148000,59.8,EUR,,,Cn1cc(C(=O)O)c2cc(Cl)ccc21,2025-12-09,1,13,13,{'Amidation'},"{84233, 84235, 84268, 84333, 83601, 84242, 84275, 84212, 84244, 84214, 84468, 84250, 84220}","{350112, 350125, 350127, 350160, 350225, 350167, 349494, 350134, 350104, 350136, 350106, 350360, 350142}"
286477,NCCBr,IZQAUUVBKYXMET-UHFFFAOYSA-N,5.0,10.0,7374,Enamine,,Z1213715457,15.0,EUR,,,NCCBr,2025-12-09,1,5,5,{'Amidation'},"{83616, 83969, 108878, 108912, 83607}","{349509, 349862, 440850, 440884, 349500}"
349344,Cn1cc(C(=O)O)c2cccc(Cl)c21,AFXNENVQFFBDJU-UHFFFAOYSA-N,7.0,10.0,9418,Enamine,,Z1269236253,46.0,EUR,,,Cn1cc(C(=O)O)c2cccc(Cl)c21,2025-12-09,1,7,7,{'Amidation'},"{84289, 84357, 84327, 84298, 83607, 84285, 84317}","{350177, 350209, 350181, 350249, 350219, 350190, 349500}"
349341,Cn1cc(C(=O)O)c2ccc(Cl)cc21,UMVCXQBKCZPXCR-UHFFFAOYSA-N,21.0,21.0,,Enamine,,Z1269230304,31.5,EUR,,,Cn1cc(C(=O)O)c2ccc(Cl)cc21,2025-12-09,1,21,21,{'Amidation'},"{84749, 84751, 84752, 84756, 84760, 84761, 83616, 84769, 84770, 83635, 84690, 84695, 84699, 84701, 84706, 84714, 84721, 84724, 84728, 84732, 84733}","{350593, 350598, 350606, 350613, 350616, 350620, 350624, 350625, 350641, 350643, 350644, 350648, 350652, 350653, 349509, 350661, 350662, 349528, 350582, 350587, 350591}"
349378,N#CCN,DFNYGALUNNFWKJ-UHFFFAOYSA-N,6.0,10.0,9449,Enamine,,Z197510780,14.0,EUR,,,N#CCN,2025-12-09,1,6,6,{'Amidation'},"{108872, 107086, 109232, 83635, 107989, 83743}","{349636, 440844, 439058, 441204, 349528, 439961}"
349343,Cn1cc(C(=O)O)c2ccc(Br)cc21,KYUKAQJZFKJZBZ-UHFFFAOYSA-N,22.0,22.0,,Enamine,,Z1269177951,33.0,EUR,,,Cn1cc(C(=O)O)c2ccc(Br)cc21,2025-12-09,1,22,22,{'Amidation'},"{84480, 84485, 84489, 84370, 84381, 84509, 83743, 84386, 84402, 84404, 84405, 84406, 84409, 84411, 84412, 84428, 84435, 84438, 84439, 83676, 84445, 83709}","{349569, 350337, 349602, 350372, 350377, 350381, 350262, 350273, 350401, 349636, 350278, 350294, 350296, 350297, 350298, 350301, 350303, 350304, 350320, 350327, 350330, 350331}"
349347,Cn1cc(C(=O)O)c2c(Br)cccc21,OVDSJGOKFLYESB-UHFFFAOYSA-N,25.0,25.0,,Enamine,,Z1269216373,97.5,EUR,,,Cn1cc(C(=O)O)c2c(Br)cccc21,2025-12-09,1,25,25,{'Amidation'},"{83717, 83845, 83720, 83854, 83856, 83857, 83863, 83864, 83866, 83746, 83755, 83757, 83760, 83761, 83766, 83797, 83799, 83677, 83814, 83816, 83820, 83823, 83825, 83698, 83834}","{349570, 349707, 349709, 349713, 349716, 349718, 349591, 349727, 349610, 349738, 349613, 349747, 349749, 349750, 349756, 349757, 349759, 349639, 349648, 349650, 349653, 349654, 349659, 349690, 349692}"
349380,CC(C)N,JJWLVOIRVHMVIS-UHFFFAOYSA-N,4.0,10.0,9451,Enamine,,Z104472116,14.0,EUR,,,CC(C)N,2025-12-09,1,4,4,{'Amidation'},"{108909, 83677, 84982, 85015}","{440881, 349570, 350907, 350874}"
285925,CCCN,WGYKZJWCGVVSQN-UHFFFAOYSA-N,3.0,10.0,7964,Enamine,,Z104478446,14.0,EUR,,,CCCN,2025-12-09,1,3,3,{'Amidation'},"{83698, 86148, 83981}","{352040, 349874, 349591}"
349345,Cn1cc(C(=O)O)c2ccc(F)cc21,JRJYKVAPLCOTMQ-UHFFFAOYSA-N,12.0,12.0,,Enamine,,Z1255392835,39.599999999999994,EUR,,,Cn1cc(C(=O)O)c2ccc(F)cc21,2025-12-09,1,12,12,{'Amidation'},"{84256, 83714, 84674, 84618, 84626, 84661, 84598, 83768, 83771, 84604, 84670, 84639}","{349664, 350496, 350562, 350531, 350148, 350566, 349607, 350510, 350518, 350553, 350490, 349661}"
349379,C#CCN,JKANAVGODYYCQF-UHFFFAOYSA-N,1.0,1.0,3273,Enamine,,Z104496084,14.0,EUR,,,C#CCN,2025-12-09,1,1,1,{'Amidation'},{83720},{349613}
349384,CC(N)CCl,OYNBQOGMGPCEHG-UHFFFAOYSA-N,15.0,15.0,,Enamine,,Z1203579108,70.5,EUR,,,CC(N)CCl,2025-12-09,1,15,15,{'Amidation'},"{83746, 109155, 84102, 85415, 108778, 84460, 85293, 85998, 84527, 109070, 108979, 84661, 85269, 108600, 109307}","{349639, 441127, 349994, 351307, 440750, 350352, 351185, 351890, 350419, 441042, 440951, 350553, 351161, 440572, 441279}"
349348,Cn1cc(C(=O)O)c2cccc(Br)c21,YUZSHCRKAFZOHD-UHFFFAOYSA-N,6.0,10.0,9422,Enamine,,Z1269154703,33.0,EUR,,,Cn1cc(C(=O)O)c2cccc(Br)c21,2025-12-09,1,6,6,{'Amidation'},"{83811, 83879, 83751, 83883, 83890, 83899}","{349792, 349704, 349644, 349772, 349776, 349783}"
349387,NCCNO,JVKAWJASTRPFQY-UHFFFAOYSA-N,17.0,17.0,,Enamine,,Z1203580375,314.5,EUR,,,NCCNO,2025-12-09,1,17,17,{'Amidation'},"{109058, 83751, 85319, 108775, 85130, 85930, 84721, 86227, 84244, 109205, 86550, 83768, 109274, 109019, 85341, 84445, 86687}","{350337, 351233, 352579, 441030, 351211, 349644, 440747, 351022, 351822, 350613, 352119, 350136, 441177, 352442, 349661, 441246, 440991}"
286863,C#CC(C)N,ZZRMYOZQUCUWFT-UHFFFAOYSA-N,9.0,10.0,7982,Enamine,,Z1198169459,14.0,EUR,,,C#CC(C)N,2025-12-09,1,9,9,{'Amidation'},"{86208, 84769, 84357, 109157, 83755, 109068, 84525, 108752, 84275}","{352100, 350661, 350249, 441129, 349648, 350417, 441040, 440724, 350167}"
349389,NCCCCl,BZFKSWOGZQMOMO-UHFFFAOYSA-N,5.0,10.0,9460,Enamine,,Z2677503224,14.0,EUR,,,NCCCCl,2025-12-09,1,5,5,{'Amidation'},"{84770, 109323, 83757, 84402, 84639}","{350531, 350662, 441295, 349650, 350294}"
349392,C=CC(C)N,JDCBWJCUHSVVMN-UHFFFAOYSA-N,13.0,13.0,,Enamine,,Z1203578153,18.2,EUR,,,C=CC(C)N,2025-12-09,1,13,13,{'Amidation'},"{108232, 85418, 108781, 109166, 84751, 83760, 86001, 85266, 109073, 109295, 84406, 86711, 84126}","{350018, 440204, 351310, 440753, 441138, 350643, 441267, 349653, 351158, 351893, 441045, 350298, 352603}"
