target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C417966,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CCc1nc(CN)c[nH]1,CCc1nc(CNC(=O)c2nn(C)c3ccc(Br)cc23)c[nH]1,Amidation,,
C417967,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CC(N)c1cncn1C,CC(NC(=O)c1nn(C)c2ccc(F)cc12)c1cncn1C,Amidation,,
C417970,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCc1nc(CN)c[nH]1,CCc1nc(CNC(=O)c2nn(C)c3ccc(F)cc23)c[nH]1,Amidation,,
C417973,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,C=CC(N)c1c[nH]cn1,C=CC(NC(=O)c1nn(C)c2ccc(F)cc12)c1c[nH]cn1,Amidation,,
C417974,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,Cc1nc(CN)c(C)[nH]1,Cc1nc(CNC(=O)c2nn(C)c3ccc(F)cc23)c(C)[nH]1,Amidation,,
C417978,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,Cc1ncc(CN)n1C,Cc1ncc(CNC(=O)c2nn(C)c3ccc(F)cc23)n1C,Amidation,,
C417979,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCn1cncc1CN,CCn1cncc1CNC(=O)c1nn(C)c2ccc(F)cc12,Amidation,,
C417981,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CC(N)c1cncn1C,CC(NC(=O)c1nn(C)c2ccc(Br)cc12)c1cncn1C,Amidation,,
C417982,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,C=CC(N)c1c[nH]cn1,C=CC(NC(=O)c1nn(C)c2ccc(Br)cc12)c1c[nH]cn1,Amidation,,
C417987,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CC(N)c1cn(C)cn1,CC(NC(=O)c1nn(C)c2ccc(F)cc12)c1cn(C)cn1,Amidation,,
C417990,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1CCn2cncc21,Cn1nc(C(=O)NC2CCn3cncc32)c2cc(F)ccc21,Amidation,,
C417993,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CCn1cncc1CN,CCn1cncc1CNC(=O)c1nn(C)c2ccc(Br)cc12,Amidation,,
C417996,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CC(N)c1cn(C)cn1,CC(NC(=O)c1nn(C)c2ccc(Br)cc12)c1cn(C)cn1,Amidation,,
C417999,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NC1CCn2cncc21,Cn1nc(C(=O)NC2CCn3cncc32)c2cc(Br)ccc21,Amidation,,
C418000,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CCn1cnc(CN)c1,CCn1cnc(CNC(=O)c2nn(C)c3ccc(Br)cc23)c1,Amidation,,
C418003,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CCn1c(CN)cnc1C,CCn1c(CNC(=O)c2nn(C)c3ccc(Br)cc23)cnc1C,Amidation,,
C418005,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,COCc1nc(CN)c[nH]1,COCc1nc(CNC(=O)c2nn(C)c3ccc(Br)cc23)c[nH]1,Amidation,,
C418008,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cncn1CCF,Cn1nc(C(=O)NCc2cncn2CCF)c2cc(Br)ccc21,Amidation,,
C418010,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CC(C)n1cncc1CN,CC(C)n1cncc1CNC(=O)c1nn(C)c2ccc(Br)cc12,Amidation,,
C418011,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cncn1C1CC1,Cn1nc(C(=O)NCc2cncn2C2CC2)c2cc(Br)ccc21,Amidation,,
C418013,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CC(C)c1nc(CN)c[nH]1,CC(C)c1nc(CNC(=O)c2nn(C)c3ccc(Br)cc23)c[nH]1,Amidation,,
C418015,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cn2ccnc2[nH]1,Cn1nc(C(=O)NCc2cn3ccnc3[nH]2)c2cc(Br)ccc21,Amidation,,
C418019,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NC1CCCn2cncc21,Cn1nc(C(=O)NC2CCCn3cncc32)c2cc(Br)ccc21,Amidation,,
C418025,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CCCn1cncc1CN,CCCn1cncc1CNC(=O)c1nn(C)c2ccc(Br)cc12,Amidation,,
C418029,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,Cc1nc(C)c(C(C)N)[nH]1,Cc1nc(C)c(C(C)NC(=O)c2nn(C)c3ccc(Br)cc23)[nH]1,Amidation,,
C320930,1,,,,CNC(=O)C1CNCC(C)C1,CC1CC1(C(=O)O)c1cccs1,CNC(=O)C1CC(C)CN(C(=O)C2(c3cccs3)CC2C)C1,Amidation,,
C418031,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cn2ccsc2n1,Cn1nc(C(=O)NCc2cn3ccsc3n2)c2cc(Br)ccc21,Amidation,,
C418032,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NC1CCCc2[nH]cnc21,Cn1nc(C(=O)NC2CCCc3[nH]cnc32)c2cc(Br)ccc21,Amidation,,
C418033,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cn2c(n1)SCC2,Cn1nc(C(=O)NCc2cn3c(n2)SCC3)c2cc(Br)ccc21,Amidation,,
C418034,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,Cn1cncc1C(N)CO,Cn1cncc1C(CO)NC(=O)c1nn(C)c2ccc(Br)cc12,Amidation,,
C418035,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,Cn1cncc1C1(N)CC1,Cn1cncc1C1(NC(=O)c2nn(C)c3ccc(Br)cc23)CC1,Amidation,,
C418036,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cnc2n1CCC2,Cn1nc(C(=O)NCc2cnc3n2CCC3)c2cc(Br)ccc21,Amidation,,
C418037,1,,,,CC(C)n1cnc(CN)c1,Cn1nc(C(=O)O)c2cc(Br)ccc21,CC(C)n1cnc(CNC(=O)c2nn(C)c3ccc(Br)cc23)c1,Amidation,,
C418040,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cnc2sccn12,Cn1nc(C(=O)NCc2cnc3sccn23)c2cc(Br)ccc21,Amidation,,
C418042,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,Cc1nc(C)c(C(C)N)[nH]1,Cc1nc(C)c(C(C)NC(=O)c2nn(C)c3ccc(F)cc23)[nH]1,Amidation,,
C418045,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCCn1cncc1CN,CCCn1cncc1CNC(=O)c1nn(C)c2ccc(F)cc12,Amidation,,
C418046,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCn1c(CN)cnc1C,CCn1c(CNC(=O)c2nn(C)c3ccc(F)cc23)cnc1C,Amidation,,
C418050,1,,,,Cn1nc(C(=O)O)c2cc([N+](=O)[O-])ccc21,Cc1nc(CN)c[nH]1,Cc1nc(CNC(=O)c2nn(C)c3ccc([N+](=O)[O-])cc23)c[nH]1,Amidation,,
C418052,1,,,,Cn1cncc1CN,Cn1nc(C(=O)O)c2cc([N+](=O)[O-])ccc21,Cn1cncc1CNC(=O)c1nn(C)c2ccc([N+](=O)[O-])cc12,Amidation,,
C418053,1,,,,Cn1nc(C(=O)O)c2cc([N+](=O)[O-])ccc21,Cc1[nH]cnc1CN,Cc1[nH]cnc1CNC(=O)c1nn(C)c2ccc([N+](=O)[O-])cc12,Amidation,,
C418054,1,,,,Cn1nc(C(=O)O)c2cc([N+](=O)[O-])ccc21,NCc1c[nH]c(=O)[nH]1,Cn1nc(C(=O)NCc2c[nH]c(=O)[nH]2)c2cc([N+](=O)[O-])ccc21,Amidation,,
C418055,1,,,,CC(N)c1c[nH]cn1,Cn1nc(C(=O)O)c2cc([N+](=O)[O-])ccc21,CC(NC(=O)c1nn(C)c2ccc([N+](=O)[O-])cc12)c1c[nH]cn1,Amidation,,
C418056,1,,,,CC(N)c1c[nH]cn1,O=C(O)c1nn(C(F)(F)F)c2ccccc12,CC(NC(=O)c1nn(C(F)(F)F)c2ccccc12)c1c[nH]cn1,Amidation,,
C418057,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,NCc1c[nH]c(=O)[nH]1,O=C(NCc1c[nH]c(=O)[nH]1)c1nn(C(F)(F)F)c2ccccc12,Amidation,,
C418058,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,Cc1[nH]cnc1CN,Cc1[nH]cnc1CNC(=O)c1nn(C(F)(F)F)c2ccccc12,Amidation,,
C418060,1,,,,Cn1cncc1CN,O=C(O)c1nn(C(F)(F)F)c2ccccc12,Cn1cncc1CNC(=O)c1nn(C(F)(F)F)c2ccccc12,Amidation,,
C418062,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,Cc1nc(CN)c[nH]1,Cc1nc(CNC(=O)c2nn(C(F)(F)F)c3ccccc23)c[nH]1,Amidation,,
C418066,1,,,,Cn1nc(C(=O)O)c2cc([N+](=O)[O-])ccc21,Cn1cnc(CN)c1,Cn1cnc(CNC(=O)c2nn(C)c3ccc([N+](=O)[O-])cc23)c1,Amidation,,
C418072,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1CCCc2[nH]cnc21,Cn1nc(C(=O)NC2CCCc3[nH]cnc32)c2cc(F)ccc21,Amidation,,
C418077,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCc1cnc2sccn12,Cn1nc(C(=O)NCc2cnc3sccn23)c2cc(F)ccc21,Amidation,,
C418078,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,COCc1nc(CN)c[nH]1,COCc1nc(CNC(=O)c2nn(C)c3ccc(F)cc23)c[nH]1,Amidation,,
C418082,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCc1cn2ccsc2n1,Cn1nc(C(=O)NCc2cn3ccsc3n2)c2cc(F)ccc21,Amidation,,
C418085,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CC(C)n1cncc1CN,CC(C)n1cncc1CNC(=O)c1nn(C)c2ccc(F)cc12,Amidation,,
C418089,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCc1cn2ccnc2[nH]1,Cn1nc(C(=O)NCc2cn3ccnc3[nH]2)c2cc(F)ccc21,Amidation,,
C418093,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCc1cncn1CCF,Cn1nc(C(=O)NCc2cncn2CCF)c2cc(F)ccc21,Amidation,,
C418094,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCc1cn2c(n1)SCC2,Cn1nc(C(=O)NCc2cn3c(n2)SCC3)c2cc(F)ccc21,Amidation,,
C418099,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cnc2n1CCOC2,Cn1nc(C(=O)NCc2cnc3n2CCOC3)c2cc(Br)ccc21,Amidation,,
C418103,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cnc2n1CCCC2,Cn1nc(C(=O)NCc2cnc3n2CCCC3)c2cc(Br)ccc21,Amidation,,
C418105,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,Cc1nc2sccn2c1CN,Cc1nc2sccn2c1CNC(=O)c1nn(C)c2ccc(Br)cc12,Amidation,,
C418106,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,CC(C)(C)c1nc(CN)c[nH]1,Cn1nc(C(=O)NCc2c[nH]c(C(C)(C)C)n2)c2cc(Br)ccc21,Amidation,,
C321006,1,,,,O=C1NC(=O)C2(CCCNC2)N1,O=C(O)C1(c2cccs2)CC1,O=C1NC(=O)C2(CCCN(C(=O)C3(c4cccs4)CC3)C2)N1,Amidation,,
C418107,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1ncn2ccccc12,Cn1nc(C(=O)NCc2ncn3ccccc23)c2cc(Br)ccc21,Amidation,,
C418109,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,Cc1nc2c([nH]1)C(N)CCC2,Cc1nc2c([nH]1)C(NC(=O)c1nn(C)c3ccc(Br)cc13)CCC2,Amidation,,
C418111,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,C=CC(N)c1c[nH]cn1,C=CC(NC(=O)c1nn(C(F)(F)F)c2ccccc12)c1c[nH]cn1,Amidation,,
C418113,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,CCc1nc(CN)c[nH]1,CCc1nc(CNC(=O)c2nn(C(F)(F)F)c3ccccc23)c[nH]1,Amidation,,
C418116,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cn2cccnc2n1,Cn1nc(C(=O)NCc2cn3cccnc3n2)c2cc(Br)ccc21,Amidation,,
C418118,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,Cc1nc(CN)c(C)[nH]1,Cc1nc(CNC(=O)c2nn(C(F)(F)F)c3ccccc23)c(C)[nH]1,Amidation,,
C418121,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cn2ccccc2n1,Cn1nc(C(=O)NCc2cn3ccccc3n2)c2cc(Br)ccc21,Amidation,,
C418122,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,CC(N)c1cncn1C,CC(NC(=O)c1nn(C(F)(F)F)c2ccccc12)c1cncn1C,Amidation,,
C418126,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,CC(N)c1cn(C)cn1,CC(NC(=O)c1nn(C(F)(F)F)c2ccccc12)c1cn(C)cn1,Amidation,,
C418128,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,Cn1cnc(Br)c1CN,Cn1cnc(Br)c1CNC(=O)c1nn(C(F)(F)F)c2ccccc12,Amidation,,
C418129,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,NC1CCn2cncc21,O=C(NC1CCn2cncc21)c1nn(C(F)(F)F)c2ccccc12,Amidation,,
C418130,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,CCn1cnc(CN)c1,CCn1cnc(CNC(=O)c2nn(C(F)(F)F)c3ccccc23)c1,Amidation,,
C418131,1,,,,O=C(O)c1nn(C(F)(F)F)c2ccccc12,CCn1cncc1CN,CCn1cncc1CNC(=O)c1nn(C(F)(F)F)c2ccccc12,Amidation,,
C418132,1,,,,Cn1nc(C(=O)O)c2cc(Br)ccc21,NCc1cnc2ccccn12,Cn1nc(C(=O)NCc2cnc3ccccn23)c2cc(Br)ccc21,Amidation,,
