target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C411027,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1(CCO)CC1,Cn1nc(C(=O)NC2(CCO)CC2)c2cc(F)ccc21,Amidation,,
C411031,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,N#CCC1(N)CC1,Cn1nc(C(=O)NC2(CC#N)CC2)c2cc(F)ccc21,Amidation,,
C411035,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCC1(C)CC1N,CCC1(C)CC1NC(=O)c1nn(C)c2ccc(F)cc12,Amidation,,
C411048,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCOCC1(N)CC1,CCOCC1(NC(=O)c2nn(C)c3ccc(F)cc23)CC1,Amidation,,
C411051,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CC1(C)CC1(N)CO,Cn1nc(C(=O)NC2(CO)CC2(C)C)c2cc(F)ccc21,Amidation,,
C411058,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCC1(N)CC1(C)C,CCC1(NC(=O)c2nn(C)c3ccc(F)cc23)CC1(C)C,Amidation,,
C411062,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1(CF)CC1(F)F,Cn1nc(C(=O)NC2(CF)CC2(F)F)c2cc(F)ccc21,Amidation,,
C411063,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CC1(C)C(N)C1(F)F,Cn1nc(C(=O)NC2C(C)(C)C2(F)F)c2cc(F)ccc21,Amidation,,
C411066,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1(C(=O)CBr)CC1,Cn1nc(C(=O)NC2(C(=O)CBr)CC2)c2cc(F)ccc21,Amidation,,
C411067,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,COC(C)C1(N)CC1,COC(C)C1(NC(=O)c2nn(C)c3ccc(F)cc23)CC1,Amidation,,
C411069,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1(CCCF)CC1,Cn1nc(C(=O)NC2(CCCF)CC2)c2cc(F)ccc21,Amidation,,
C411078,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CCC(=O)C1(N)CC1,CCC(=O)C1(NC(=O)c2nn(C)c3ccc(F)cc23)CC1,Amidation,,
C411081,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CC1(N)CC12CCC2,Cn1nc(C(=O)NC2(C)CC23CCC3)c2cc(F)ccc21,Amidation,,
C411083,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CS(=O)(=O)C1(N)CC1,Cn1nc(C(=O)NC2(S(C)(=O)=O)CC2)c2cc(F)ccc21,Amidation,,
C411084,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1(CO)CC12CC2,Cn1nc(C(=O)NC2(CO)CC23CC3)c2cc(F)ccc21,Amidation,,
C411086,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NC1C2(CC2)C12CC2,Cn1nc(C(=O)NC2C3(CC3)C23CC3)c2cc(F)ccc21,Amidation,,
C411087,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,N#CC1CC12CC2N,Cn1nc(C(=O)NC2CC23CC3C#N)c2cc(F)ccc21,Amidation,,
