compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
282946,Cn1nc(C(=O)O)c2cc(F)ccc21,MZEJUCPSOXTCSZ-UHFFFAOYSA-N,343.0,343.0,,Enamine,,Z1198169925,583.1,EUR,,,Cn1nc(C(=O)O)c2cc(F)ccc21,2025-12-09,1,343,343,{'Amidation'},"{75776, 75778, 75781, 75786, 75790, 75805, 75809, 75817, 75821, 75822, 75825, 75826, 75828, 75829, 75839, 75843, 75845, 75846, 75848, 75849, 75850, 75853, 75859, 75864, 75866, 75867, 75871, 75872, 75873, 75874, 75875, 75878, 75879, 75880, 75882, 75887, 75889, 75890, 75893, 75896, 75897, 75898, 75901, 75905, 75906, 75907, 75910, 75913, 75916, 75921, 75923, 75924, 75925, 75928, 75929, 75931, 75935, 75939, 75940, 75947, 75954, 75959, 75960, 75968, 75970, 75972, 75973, 75978, 75979, 75980, 75986, 75988, 75989, 75991, 75993, 75994, 75995, 75997, 76003, 76004, 76007, 76009, 76010, 76011, 76013, 76015, 76016, 76020, 76029, 76031, 76032, 76035, 76038, 76040, 76042, 76043, 76048, 76050, 76051, 76054, 76062, 76063, 76077, 76079, 76085, 76086, 76088, 76090, 76091, 76093, 76095, 76096, 76097, 76100, 76102, 76109, 76110, 76111, 76121, 76122, 76129, 76130, 76133, 76135, 76142, 76144, 76149, 76150, 76153, 76157, 76158, 76163, 76169, 76170, 76176, 76179, 76180, 76191, 76196, 76202, 76203, 76209, 76217, 76219, 76220, 76221, 76222, 76228, 76229, 76231, 76233, 76235, 76246, 76250, 76251, 76253, 76255, 76257, 76258, 76260, 76262, 76265, 76268, 76273, 76275, 76278, 76280, 35324, 35328, 76289, 76294, 76301, 76302, 76303, 76313, 76315, 76321, 76322, 76335, 76337, 76339, 76342, 76343, 76345, 76348, 76357, 76362, 76372, 76381, 76384, 76387, 76390, 76391, 76397, 76405, 76408, 76419, 76423, 76434, 76435, 76436, 76445, 76457, 76462, 76464, 76469, 76472, 76481, 76487, 76492, 76503, 76508, 76509, 76510, 76513, 76514, 76522, 76525, 76526, 76527, 76546, 76554, 76561, 76562, 76565, 76569, 76571, 76573, 76578, 76582, 76617, 76639, 76644, 76659, 76660, 76664, 76665, 76670, 76673, 76677, 76679, 76681, 76685, 76689, 76692, 76697, 76698, 76718, 76720, 76726, 76733, 76734, 76745, 76748, 76751, 76758, 76770, 76776, 76781, 76784, 76793, 76801, 76810, 76831, 76834, 76837, 76838, 76841, 76846, 76847, 76848, 76853, 76883, 76886, 76910, 76949, 76954, 76955, 76964, 76977, 76981, 76991, 77022, 77053, 77065, 77067, 77068, 9540, 9543, 9544, 9547, 9548, 9550, 9552, 9553, 9554, 9556, 9558, 9559, 9560, 9562, 9563, 9564, 9566, 9567, 9568, 9569, 9570, 9572, 9573, 9575, 9577, 9580, 9584, 9585, 9586, 9589, 9595, 75720, 75721, 75723, 75727, 75732, 75733, 75735, 75736, 75738, 75739, 75740, 75742, 75743, 75745, 75751, 75754, 75755, 75759, 75760, 75761, 75762, 75763, 75768, 75772, 75775}","{411657, 411658, 411659, 411668, 411680, 411685, 411687, 411692, 411695, 411704, 411710, 411715, 411726, 411731, 411732, 411733, 411736, 411737, 411745, 411748, 411749, 411750, 411769, 411777, 411784, 411785, 411788, 411792, 411794, 411796, 411801, 411805, 370874, 370878, 411840, 411862, 411867, 411882, 411883, 411887, 411888, 411893, 411896, 411900, 411902, 411904, 411908, 411912, 411915, 411920, 411921, 411941, 411943, 411949, 411956, 411957, 411968, 411971, 411974, 411981, 411993, 411999, 412004, 412007, 412016, 412024, 412033, 412054, 412057, 412060, 412061, 412064, 412069, 412070, 412071, 412076, 412106, 412109, 412133, 412172, 412177, 412178, 412187, 412200, 412204, 412214, 412245, 412276, 412288, 412290, 412291, 299790, 299793, 299794, 299797, 299798, 299800, 299802, 299803, 299804, 299806, 299808, 299809, 299810, 299812, 299813, 299814, 299816, 299817, 299818, 299819, 299820, 299822, 299823, 299825, 299827, 299830, 299834, 299835, 299836, 299839, 299845, 341107, 341109, 341110, 341130, 341137, 410968, 410969, 410971, 410975, 410980, 410981, 410983, 410984, 410986, 410987, 410988, 410990, 410991, 410993, 410998, 411001, 411002, 411006, 411007, 411008, 411009, 411010, 411015, 411018, 411021, 411022, 411024, 411027, 411031, 411035, 411048, 411051, 411058, 411062, 411063, 411066, 411067, 411069, 411078, 411081, 411083, 411084, 411086, 411087, 411088, 411091, 411096, 411101, 411103, 411104, 411108, 411109, 411110, 411111, 411112, 411115, 411116, 411117, 411119, 411125, 411128, 411131, 411132, 411133, 411136, 411140, 411141, 411142, 411144, 411147, 411150, 411155, 411157, 411158, 411159, 411162, 411163, 411165, 411168, 411172, 411173, 411180, 411187, 411191, 411192, 411199, 411201, 411203, 411204, 411209, 411210, 411214, 411216, 411217, 411219, 411221, 411222, 411223, 411225, 411231, 411232, 411235, 411237, 411238, 411239, 411241, 411243, 411244, 411248, 411257, 411259, 411260, 411263, 411266, 411268, 411270, 411271, 411276, 411278, 411279, 411282, 411289, 411290, 411303, 411310, 411311, 411313, 411315, 411316, 411318, 411320, 411321, 411322, 411325, 411327, 411334, 411335, 411336, 411346, 411347, 411354, 411355, 411358, 411360, 411367, 411369, 411374, 411375, 411378, 411382, 411383, 411388, 411394, 411395, 411401, 411403, 411404, 411415, 411420, 411426, 411427, 411433, 411441, 411443, 411444, 411445, 411446, 411452, 411453, 411455, 411457, 411459, 411470, 411474, 411475, 411476, 411478, 411480, 411481, 411483, 411485, 411488, 411491, 411496, 411498, 411501, 411503, 411512, 411517, 411524, 411525, 411526, 411536, 411538, 411544, 411545, 411558, 411560, 411562, 411565, 411566, 411568, 411571, 411580, 411585, 411595, 411604, 411607, 411610, 411613, 411614, 411620, 411628, 411631, 411642, 411646}"
299736,CC(N)Cn1cncn1,ZTZDXHFMAKRNMX-UHFFFAOYSA-N,1.0,1.0,2017,Enamine,,Z271011738,14.0,EUR,,,CC(N)Cn1cncn1,2025-12-09,1,1,1,{'Amidation'},{9540},{299790}
37312,c1ncn(C2CNC2)n1,VBGWAUZHDAWVJI-UHFFFAOYSA-N,1.0,1.0,1627,Enamine,,Z1013747862,109.0,EUR,,,c1ncn(C2CNC2)n1,2025-12-09,1,1,1,{'Amidation'},{9543},{299793}
299739,NCCn1cnc(Br)n1,KRLSCRKAYAWISJ-UHFFFAOYSA-N,1.0,1.0,2020,Enamine,,Z2177427270,105.0,EUR,,,NCCn1cnc(Br)n1,2025-12-09,1,1,1,{'Amidation'},{9544},{299794}
299742,NCC1(n2cncn2)CC1,DFLPKJLOGXIREA-UHFFFAOYSA-N,1.0,1.0,2023,Enamine,,Z3287659964,102.0,EUR,,,NCC1(n2cncn2)CC1,2025-12-09,1,1,1,{'Amidation'},{9547},{299797}
299743,Brc1ncnn1C1CNC1,GRLPYOITIXLTRI-UHFFFAOYSA-N,1.0,1.0,2024,Enamine,,Z6092512667,94.0,EUR,,,Brc1ncnn1C1CNC1,2025-12-09,1,1,1,{'Amidation'},{9548},{299798}
299745,CC(N)C(C)n1cncn1,YYLBLMYFEQNWIL-UHFFFAOYSA-N,1.0,1.0,2026,Enamine,,Z803066294,17.0,EUR,,,CC(N)C(C)n1cncn1,2025-12-09,1,1,1,{'Amidation'},{9550},{299800}
299747,CCC(N)Cn1cncn1,IMMFDFZUJMHIOJ-UHFFFAOYSA-N,1.0,1.0,2028,Enamine,,Z916923320,15.0,EUR,,,CCC(N)Cn1cncn1,2025-12-09,1,1,1,{'Amidation'},{9552},{299802}
299748,N#Cc1ncn(CCN)n1,FXHMENSHCHMPQZ-UHFFFAOYSA-N,1.0,1.0,2029,Enamine,,Z1041384672,84.0,EUR,,,N#Cc1ncn(CCN)n1,2025-12-09,1,1,1,{'Amidation'},{9553},{299803}
299749,Cc1nc(C)n(CCN)n1,OIVJDIWINLEWFU-UHFFFAOYSA-N,1.0,1.0,2030,Enamine,,Z802904534,14.0,EUR,,,Cc1nc(C)n(CCN)n1,2025-12-09,1,1,1,{'Amidation'},{9554},{299804}
