target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C176,1,,,,Cn1cc2c(CC(=O)O)cccc2n1,NC(=O)C1CCNC1,Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1,Amidation,,,
C180,1,,,,NC(=O)C1CCCCNC1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CCCCC(C(N)=O)C1,Amidation,,,
C181,1,,,,NC(=O)C1CCCNC1,COc1c(C#N)cccc1CC(=O)O,COc1c(C#N)cccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C182,1,,,,NC(=O)C1CCCNC1,COc1cccc(Cl)c1CC(=O)O,COc1cccc(Cl)c1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C185,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(OC)C(=O)O,COc1ccccc1C(OC)C(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C189,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCCN1,COc1ccccc1CC(=O)N1CCNC(C(N)=O)C1,Amidation,,,
C191,1,,,,NC(=O)C1CCCNC1,COCC1(C(=O)O)CCCCO1,COCC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1,Amidation,,,
C195,1,,,,NC(=O)C1CCCNC1,COc1ccc(Cl)cc1CC(=O)O,COc1ccc(Cl)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C196,1,,,,NC(=O)C1CCCNC1,CCN(CC1CC1)C(=O)c1cccc(CC(=O)O)c1,CCN(CC1CC1)C(=O)c1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,,
C197,1,,,,NC(=O)C1CCCNC1,COc1ccc2c(n1)C(C(=O)O)CC2,COc1ccc2c(n1)C(C(=O)N1CCCC(C(N)=O)C1)CC2,Amidation,,,
C199,1,,,,NC(=O)C1CCCNC1,Nc1ncccc1CC(=O)O,NC(=O)C1CCCN(C(=O)Cc2cccnc2N)C1,Amidation,,,
C200,1,,,,NC(=O)C1CCCNC1,O=C(O)C(OCC1CCCC1)c1ccccc1,NC(=O)C1CCCN(C(=O)C(OCC2CCCC2)c2ccccc2)C1,Amidation,,,
C201,1,,,,NC(=O)C1CCCNC1,O=C(O)C(CN1CCCC1)c1ccccc1,NC(=O)C1CCCN(C(=O)C(CN2CCCC2)c2ccccc2)C1,Amidation,,,
C204,1,,,,NC(=O)C1CCCNC1,O=C(O)C(Sc1ccccc1)c1ccccc1,NC(=O)C1CCCN(C(=O)C(Sc2ccccc2)c2ccccc2)C1,Amidation,,,
C204781,1,,,,NCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCc2cocn2)c2ccccc21,Amidation,,,
C107,1,,,,NCCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,,
C205,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1cc(C(F)(F)F)ccc1Cl,NC(=O)C1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,Amidation,,,
C205067,1,,,,NCC1Cc2ccccc2CN1,Cn1nc(C(=O)O)c2cc(F)ccc21,Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2cc(F)ccc21,Amidation,,,
C206,1,,,,NC(=O)C1CNCC1C(F)(F)F,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,Amidation,,,
C213,1,,,,NC(=O)C1CCCNC1,COc1ccc(C(F)(F)F)cc1CC(=O)O,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C215,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCc2cccc(Br)c21,NC(=O)C1CCCN(C(=O)C2CCc3cccc(Br)c32)C1,Amidation,,,
C216,1,,,,NC(=O)C1CCCNC1,CSc1c(Br)cccc1CC(=O)O,CSc1c(Br)cccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C217,1,,,,NC(=O)C1CCCNC1,Cc1cc(C)c(CC(=O)O)c(=O)[nH]1,Cc1cc(C)c(CC(=O)N2CCCC(C(N)=O)C2)c(=O)[nH]1,Amidation,,,
C232,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNC2(CC2)C1,COc1ccccc1CC(=O)N1CC(C(N)=O)CC12CC2,Amidation,,,
C233,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccccc1OC(F)F,NC(=O)C1CCCN(C(=O)Cc2ccccc2OC(F)F)C1,Amidation,,,
C235,1,,,,NC(=O)C1CCCNC1,N#CCc1ccccc1CC(=O)O,N#CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,,
C205775,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCCn1cncn1,Cn1nc(C(=O)NCCn2cncn2)c2cc(F)ccc21,Amidation,,,
C238,1,,,,NC(=O)C1CCCNC1,CCc1ccccc1CC(=O)O,CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,,
