compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
202220,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,77.0,100.0,26688,Enamine,Global catalog,EN300-18610,18.0,EUR,10.0,,NC(=O)C1CCCNC1,2025-09-29,1,77,77,{'Amidation'},"{110383, 110417, 110418, 110419, 110420, 110421, 110422, 110423, 110434, 110438, 110439, 110440, 110442, 110443, 110444, 110445, 110446, 110447, 110448, 110449, 110452, 110453, 110454, 110455, 110457, 110458, 110459, 110460, 110461, 110462, 110463, 110464, 110465, 110466, 110467, 110468, 110469, 110470, 110471, 110472, 110473, 110474, 110475, 110476, 110477, 110478, 110481, 110482, 110483, 110484, 110485, 110486, 110487, 110488, 110490, 110491, 110492, 110494, 110495, 110496, 110498, 110499, 110500, 110501, 110504, 110505, 110506, 110507, 110511, 110515, 110517, 110519, 110520, 110523, 110526, 110532, 110533}","{4, 116, 117, 120, 121, 122, 123, 129, 160, 181, 182, 185, 191, 195, 196, 197, 199, 200, 201, 204, 213, 215, 216, 217, 233, 235, 238, 239, 240, 242, 244, 245, 247, 249, 250, 251, 252, 254, 255, 256, 257, 259, 261, 262, 264, 265, 280, 281, 283, 284, 285, 286, 288, 289, 292, 295, 296, 301, 303, 305, 308, 312, 313, 315, 318, 319, 320, 329, 340, 355, 366, 372, 374, 378, 392, 407, 408}"
375990,O=C(O)Cc1cccc2c1SCC2,KJHFOGZZGZUXTC-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{110383},{4}
282937,CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,2.0,,,,,,,,,,,,1,2,2,{'Amidation'},"{110384, 110392}","{24, 6}"
327588,Cn1cc(C(=O)O)c2ccccc21,HVRCLXXJIQTXHC-UHFFFAOYSA-N,2.0,,,,,,,,,,,,1,2,2,{'Amidation'},"{110384, 110414}","{110, 6}"
282920,N,QGZKDVFQNNGYKY-UHFFFAOYSA-N,5.0,,,,,,,,,,,,5,5,5,"{'Sulfonamide_synthesis_from_carboxylic_acid_and_amine', 'Amidation', 'N-nucleophilic_aromatic_substitution', 'Petasis-borono_Mannich_reaction', 'Isothiocyanate_to_thiourea'}","{110401, 110402, 110385, 110393, 110493}","{68, 300, 14, 50, 26}"
443752,COc1ccc2sc(F)nc2c1,YAIXZZARBRILEO-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'N-nucleophilic_aromatic_substitution'},{110385},{14}
443753,NCc1ccc(F)cc1,IIFVWLUQBAIPMJ-UHFFFAOYSA-N,2.0,,,,,,,,,,,,2,2,2,"{'Amidation', 'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol'}","{110386, 110389}","{16, 20}"
443754,CCn1cc(C(=O)O)cn1,BXXOXFNLGLMZSO-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{110386},{16}
357413,FC(F)I,YSLFMGDEEXOKHF-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Williamson_ether_synthesis'},{110387},{17}
443755,O=c1ccc(O)c[nH]1,CHGPEDOMXOLANF-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Williamson_ether_synthesis'},{110387},{17}
