smiles,template,compound_set,hit1
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2SCC3)C1,A5151a,openbind_a71ev2a_c2_elaborated_hits,A5151a
CNC(=O)c1cn(C)c2ccccc12,A0451a,openbind_a71ev2a_c2_elaborated_hits,A0451a
COc1ccc2sc(N)nc2c1,A0514a,openbind_a71ev2a_c2_elaborated_hits,A0514a
COc1ccc2sc(N)nc2c1,A0514b,openbind_a71ev2a_c2_elaborated_hits,A0514b
CCn1cc(C(=O)NCc2ccc(F)cc2)cn1,A0517a,openbind_a71ev2a_c2_elaborated_hits,A0517a
O=c1ccc(OC(F)F)c[nH]1,A0525a,openbind_a71ev2a_c2_elaborated_hits,A0525a
CN1CC[C@@H](Oc2cccc(F)c2)C1=O,A0528a,openbind_a71ev2a_c2_elaborated_hits,A0528a
CN1CC[C@@H](Oc2cccc(F)c2)C1=O,A0528b,openbind_a71ev2a_c2_elaborated_hits,A0528b
N#Cc1ccc(CNCc2ccc(F)cc2)cc1,A0540a,openbind_a71ev2a_c2_elaborated_hits,A0540a
CC(=O)Nc1cccc2cc[nH]c12,A0554b,openbind_a71ev2a_c2_elaborated_hits,A0554b
CC(=O)Nc1cccc2cc[nH]c12,A0554a,openbind_a71ev2a_c2_elaborated_hits,A0554a
Cn1cc(N)c(C(=O)NC2CCC2)n1,A0556a,openbind_a71ev2a_c2_elaborated_hits,A0556a
CNC(=O)c1cccc2cc[nH]c12,A0566a,openbind_a71ev2a_c2_elaborated_hits,A0566a
CN1CCCc2ccc(S(N)(=O)=O)cc21,A0586a,openbind_a71ev2a_c2_elaborated_hits,A0586a
O=C(N[C@@H]1CCCNC1)c1ccccc1,A0269a,openbind_a71ev2a_c2_elaborated_hits,A0269a
Cc1ccc(CC(=O)NC[C@@H]2CCCO2)cc1,A0608a,openbind_a71ev2a_c2_elaborated_hits,A0608a
O=C1CN(C(=O)COc2ccccc2)CCN1,A0152a,openbind_a71ev2a_c2_elaborated_hits,A0152a
O=C1CN(C(=O)COc2ccccc2)CCN1,A0152b,openbind_a71ev2a_c2_elaborated_hits,A0152b
Fc1ccccc1CNC1CCOCC1,A0194a,openbind_a71ev2a_c2_elaborated_hits,A0194a
Cc1ccc(CNC(=O)C2CCC2)cn1,A0237a,openbind_a71ev2a_c2_elaborated_hits,A0237a
CCC(=O)NCc1nnc2n1CCCC2,A0239a,openbind_a71ev2a_c2_elaborated_hits,A0239a
C[C@]1(NC(=O)C2CC2)CCS(=O)(=O)C1,A0354a,openbind_a71ev2a_c2_elaborated_hits,A0354a
COc1ccccc1NC(N)=S,A0375a,openbind_a71ev2a_c2_elaborated_hits,A0375a
COc1ccccc1NC(N)=S,A0375b,openbind_a71ev2a_c2_elaborated_hits,A0375b
COc1ccccc1NC(N)=S,A0375c,openbind_a71ev2a_c2_elaborated_hits,A0375c
COc1ccc([C@H](N)c2ccccc2)cc1,A0836a,openbind_a71ev2a_c2_elaborated_hits,A0836a
COc1ccc([C@H](N)c2ccccc2)cc1,A0836b,openbind_a71ev2a_c2_elaborated_hits,A0836b
O=C(NC1CC1)c1ccc2c(c1)OCO2,A0853a,openbind_a71ev2a_c2_elaborated_hits,A0853a
CCN(CC)C(=O)c1ccc(N)cc1,A0863a,openbind_a71ev2a_c2_elaborated_hits,A0863a
CC(=O)Nc1cccc(NC(N)=O)c1,A0884a,openbind_a71ev2a_c2_elaborated_hits,A0884a
CN(C(=O)[C@H]1CCNC1)c1ccccc1,A0911a,openbind_a71ev2a_c2_elaborated_hits,A0911a
O=C(NC1CC1)c1ccccc1O,A1292a,openbind_a71ev2a_c2_elaborated_hits,A1292a
Cc1nn(C)c(C)c1CC(=O)N[C@@H](CNC(=O)CCl)c1ccc2ccccc2c1,A1346a,openbind_a71ev2a_c2_elaborated_hits,A1346a
CCOc1ccc(C(=O)CC)cc1,A1775a,openbind_a71ev2a_c2_elaborated_hits,A1775a
Cn1nc(C(=O)NC[C@@H]2Cc3ccccc3CN2)c2ccccc21,A2293a,openbind_a71ev2a_c2_elaborated_hits,A2293a
Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,A2304a,openbind_a71ev2a_c2_elaborated_hits,A2304a
Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,A2339a,openbind_a71ev2a_c2_elaborated_hits,A2339a
CC(=O)Nc1cccc(NC(N)=O)c1,A2454a,openbind_a71ev2a_c2_elaborated_hits,A2454a
Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,A2846a,openbind_a71ev2a_c2_elaborated_hits,A2846a
Cn1nc(C(=O)NCc2c[nH]cn2)c2ccccc21,A2972a,openbind_a71ev2a_c2_elaborated_hits,A2972a
CNC(=O)c1cn(C)c2ccccc12,A3066a,openbind_a71ev2a_c2_elaborated_hits,A3066a
Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,A3175a,openbind_a71ev2a_c2_elaborated_hits,A3175a
COC[C@H](C)NC(=O)c1nn(C)c2ccccc12,A3176a,openbind_a71ev2a_c2_elaborated_hits,A3176a
Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,A3181a,openbind_a71ev2a_c2_elaborated_hits,A3181a
Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,A3181b,openbind_a71ev2a_c2_elaborated_hits,A3181b
Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,A3188a,openbind_a71ev2a_c2_elaborated_hits,A3188a
Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,A3189a,openbind_a71ev2a_c2_elaborated_hits,A3189a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,A3191a,openbind_a71ev2a_c2_elaborated_hits,A3191a
COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A3201a,openbind_a71ev2a_c2_elaborated_hits,A3201a
NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(N)c2)C1,A3207a,openbind_a71ev2a_c2_elaborated_hits,A3207a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,A3208a,openbind_a71ev2a_c2_elaborated_hits,A3208a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1,A3210a,openbind_a71ev2a_c2_elaborated_hits,A3210a
COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,A3229a,openbind_a71ev2a_c2_elaborated_hits,A3229a
Cn1nc(C(=O)NCC(F)(F)c2ccccn2)c2ccccc21,A3280a,openbind_a71ev2a_c2_elaborated_hits,A3280a
Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,A3306a,openbind_a71ev2a_c2_elaborated_hits,A3306a
COc1ccccc1CC(=O)N1CC[C@H](C(N)=O)C1,A3581a,openbind_a71ev2a_c2_elaborated_hits,A3581a
Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,A3371a,openbind_a71ev2a_c2_elaborated_hits,A3371a
C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,A3379a,openbind_a71ev2a_c2_elaborated_hits,A3379a
Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,A3403a,openbind_a71ev2a_c2_elaborated_hits,A3403a
Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,A3410a,openbind_a71ev2a_c2_elaborated_hits,A3410a
Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,A3419a,openbind_a71ev2a_c2_elaborated_hits,A3419a
O=C(NCCc1cocn1)c1ccccc1,A3435a,openbind_a71ev2a_c2_elaborated_hits,A3435a
Cn1ncc(C(=O)NCCc2cocn2)n1,A3436a,openbind_a71ev2a_c2_elaborated_hits,A3436a
C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,A3593a,openbind_a71ev2a_c2_elaborated_hits,A3593a
Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,A3606a,openbind_a71ev2a_c2_elaborated_hits,A3606a
N#C[C@H]1C[C@@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,A3521a,openbind_a71ev2a_c2_elaborated_hits,A3521a
N#C[C@H]1C[C@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,A3521b,openbind_a71ev2a_c2_elaborated_hits,A3521b
COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,A3548a,openbind_a71ev2a_c2_elaborated_hits,A3548a
Cn1cc2c(CC(=O)N3CC[C@H](C(N)=O)C3)cccc2n1,A3556a,openbind_a71ev2a_c2_elaborated_hits,A3556a
COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1,A3571a,openbind_a71ev2a_c2_elaborated_hits,A3571a
COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1,A3571b,openbind_a71ev2a_c2_elaborated_hits,A3571b
COc1c(C#N)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A3575a,openbind_a71ev2a_c2_elaborated_hits,A3575a
COc1ncccc1CC(=O)N1CCC[C@@H](C(N)=O)C1,A3849a,openbind_a71ev2a_c2_elaborated_hits,A3849a
COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1,A3858a,openbind_a71ev2a_c2_elaborated_hits,A3858a
COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1,A3858b,openbind_a71ev2a_c2_elaborated_hits,A3858b
COc1ncccc1CC(=O)N1CCC[C@@H](C(N)=O)C1,A3869a,openbind_a71ev2a_c2_elaborated_hits,A3869a
COc1ccccc1[C@H](OC)C(=O)N1CCC[C@H](C(N)=O)C1,A3883a,openbind_a71ev2a_c2_elaborated_hits,A3883a
COc1ccncc1CC(=O)N1CCC[C@@H](C(N)=O)C1,A3897a,openbind_a71ev2a_c2_elaborated_hits,A3897a
COc1ccccc1CC(=O)N1CCN[C@H](C(N)=O)C1,A3901a,openbind_a71ev2a_c2_elaborated_hits,A3901a
Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,A3914a,openbind_a71ev2a_c2_elaborated_hits,A3914a
COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A3920a,openbind_a71ev2a_c2_elaborated_hits,A3920a
COC[C@]1(C(=O)N2CCC[C@H](C(N)=O)C2)CCCCO1,A3936a,openbind_a71ev2a_c2_elaborated_hits,A3936a
COc1ccc(Cl)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,A3940a,openbind_a71ev2a_c2_elaborated_hits,A3940a
COc1cccc(Cl)c1CC(=O)N1CCC[C@H](C(N)=O)C1,A3942a,openbind_a71ev2a_c2_elaborated_hits,A3942a
CCN(CC1CC1)C(=O)c1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,A3944a,openbind_a71ev2a_c2_elaborated_hits,A3944a
COc1ccc2c(n1)[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)CC2,A3954a,openbind_a71ev2a_c2_elaborated_hits,A3954a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,A3963a,openbind_a71ev2a_c2_elaborated_hits,A3963a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,A3963b,openbind_a71ev2a_c2_elaborated_hits,A3963b
NC(=O)[C@H]1CCCN(C(=O)[C@H](OCC2CCCC2)c2ccccc2)C1,A3968a,openbind_a71ev2a_c2_elaborated_hits,A3968a
NC(=O)[C@H]1CCCN(C(=O)[C@@H](CN2CCCC2)c2ccccc2)C1,A3975a,openbind_a71ev2a_c2_elaborated_hits,A3975a
NC(=O)[C@H]1CCCN(C(=O)[C@@H](Sc2ccccc2)c2ccccc2)C1,A3986a,openbind_a71ev2a_c2_elaborated_hits,A3986a
NC(=O)[C@H]1CCCN(C(=O)[C@@H](Sc2ccccc2)c2ccccc2)C1,A3986b,openbind_a71ev2a_c2_elaborated_hits,A3986b
NC(=O)[C@H]1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,A3989a,openbind_a71ev2a_c2_elaborated_hits,A3989a
COc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H](C(F)(F)F)C1,A3990a,openbind_a71ev2a_c2_elaborated_hits,A3990a
COc1ccc(C(F)(F)F)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4028a,openbind_a71ev2a_c2_elaborated_hits,A4028a
NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1,A4202a,openbind_a71ev2a_c2_elaborated_hits,A4202a
NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1,A4202b,openbind_a71ev2a_c2_elaborated_hits,A4202b
CSc1c(Br)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4290a,openbind_a71ev2a_c2_elaborated_hits,A4290a
Cc1cc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)c(=O)[nH]1,A4291a,openbind_a71ev2a_c2_elaborated_hits,A4291a
COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC12CC2,A4317a,openbind_a71ev2a_c2_elaborated_hits,A4317a
NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2OC(F)F)C1,A4319a,openbind_a71ev2a_c2_elaborated_hits,A4319a
N#CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4321a,openbind_a71ev2a_c2_elaborated_hits,A4321a
N#CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4321b,openbind_a71ev2a_c2_elaborated_hits,A4321b
CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4331a,openbind_a71ev2a_c2_elaborated_hits,A4331a
CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4331b,openbind_a71ev2a_c2_elaborated_hits,A4331b
Cc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4333a,openbind_a71ev2a_c2_elaborated_hits,A4333a
CSc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,A4334a,openbind_a71ev2a_c2_elaborated_hits,A4334a
CSc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,A4334b,openbind_a71ev2a_c2_elaborated_hits,A4334b
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3sccc23)C1,A4341a,openbind_a71ev2a_c2_elaborated_hits,A4341a
NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(O)c2Br)C1,A4343a,openbind_a71ev2a_c2_elaborated_hits,A4343a
NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(O)c2Br)C1,A4343b,openbind_a71ev2a_c2_elaborated_hits,A4343b
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2CCC3)C1,A4344a,openbind_a71ev2a_c2_elaborated_hits,A4344a
COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4347a,openbind_a71ev2a_c2_elaborated_hits,A4347a
Cc1cnccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4350a,openbind_a71ev2a_c2_elaborated_hits,A4350a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2OCCO3)C1,A4365a,openbind_a71ev2a_c2_elaborated_hits,A4365a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2OCCO3)C1,A4365b,openbind_a71ev2a_c2_elaborated_hits,A4365b
COCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4368a,openbind_a71ev2a_c2_elaborated_hits,A4368a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2O)C1,A4372a,openbind_a71ev2a_c2_elaborated_hits,A4372a
NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2OCO3)C1,A4373a,openbind_a71ev2a_c2_elaborated_hits,A4373a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc(F)ccc2Cl)C1,A4380a,openbind_a71ev2a_c2_elaborated_hits,A4380a
NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2C(F)(F)F)C1,A4381a,openbind_a71ev2a_c2_elaborated_hits,A4381a
COc1cc(Cl)ccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A4203a,openbind_a71ev2a_c2_elaborated_hits,A4203a
COc1ccccc1[C@@H](NC(C)=O)C(=O)N1CCC[C@H](C(N)=O)C1,A4207a,openbind_a71ev2a_c2_elaborated_hits,A4207a
COc1ccccc1[C@@H](NC(C)=O)C(=O)N1CCC[C@H](C(N)=O)C1,A4207b,openbind_a71ev2a_c2_elaborated_hits,A4207b
COc1cccc(Cl)c1CC(=O)N1CCC[C@H](C(N)=O)C1,A4209a,openbind_a71ev2a_c2_elaborated_hits,A4209a
NC(=O)[C@H]1CCCN(C(=O)[C@@H](Cc2ccc(F)cc2)c2ccccc2)C1,A4237a,openbind_a71ev2a_c2_elaborated_hits,A4237a
