id,smiles,tags
498,CC(C)(CNS(=O)(=O)c1ccc2scnc2c1)C1CCCN1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure', 'openbind_a71ev2a_c1_knitwork_pure'}"
525,CC(NC(=O)C(=O)NCCc1ccc2ncsc2c1)C1CCC1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
532,O=C(c1ccc2scnc2c1)N1CCN(C2CCSCC2)CC1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
533,O=C(Cc1ccc2ncsc2c1)N1CCN(C2CCC2)CC1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
540,c1ccc2sc(N3CCN(C4CCSCC4)CC3)nc2c1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
678,O=C(OCc1ccc2cn[nH]c2c1)C1(n2cccn2)CCC1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
684,CC(OC(F)F)C(=O)Nc1n[nH]c2cccc(-n3cccn3)c12,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
686,CC(NCC(n1cccn1)C(F)(F)F)c1cccc2[nH]ncc12,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
712,c1ccc(N2C3CCC2CC3)nc1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
717,C=C1CCCN(c2ccccn2)C1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
722,c1cncc(C2SCCCS2)c1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
733,c1ccc(N2CCC3CC3C2)nc1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
736,c1ccc(N2CCCCC2)nc1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure', 'openbind_a71ev2a_c1_knitwork_pure'}"
748,c1ccc([S+]2CCCC2)nc1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
758,CC(C)(C)C=C1CCCC1C1CCCCN1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
759,CCC=C1CCN(C2CCCNC2)C1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
760,C1CN(C2CCNCC2)CC2(C1)CC2,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
765,C#CC=C1CCCC1C1CCCCN1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
787,C1CNCC(C2CCC3CC32)C1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
795,C1=CCN(C2CCNCC2)C1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
798,CC=C1CCN(C2CCCNC2)C1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
805,C1CNCC(N2CCC3(CC3)C2)C1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
872,CN(Cc1ccc2c(c1)OCO2)C(=O)C(=O)NCCC1CCCS1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
875,c1cc2c(cc1-c1n[nH]cc1CNC1CCCCC1)OCO2,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
899,O=C(CCc1ccc2c(c1)OCO2)NC1CCC1C1CCC1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
901,O=C(CCc1ccc2c(c1)OCO2)Nc1ccn(C2CCC2)n1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
934,O=C(CCC1CCNC1)NCC1CCn2cnnc2C1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure', 'openbind_a71ev2a_c1_knitwork_pure'}"
936,c1ccc(-c2nnc3n2CC(c2nc(C4CCCN4)no2)CC3)cc1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
947,CCCN(C(=O)C1CCc2nncn2C1)C1CCNC1,"{'openbind_a71ev2a_c1_scaffolds', 'openbind_a71ev2a_c1_knitwork_impure'}"
