smiles,HIPPO Compound ID (xx01zvns2b),HIPPO Compound ID (a71ev2a),HIPPO Compound ID (d68ev3c)
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,118,,
O=C(Nc1ccc2c(c1)CNC2)c1cccc2nc(C(F)(F)F)[nH]c12,136,,
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)nc2[nH]ccc12,143,,
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,161,,
CC1(C)Cc2cccc(NC(=O)c3cc(Cl)cc4c3cnn4C3CNC3)c2O1,251,,
CN1Cc2ccc(NC(=O)c3cc(Cl)cc4c3cnn4C3CNC3)cc2C1,253,,
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]cnc12,266,,
Nc1cccc2c1CN(c1ccccn1)C2,1925,,
c1c[nH]c(C2CCCCN2)n1,2308,,
CC(=O)Nc1ccc(CCN)cc1,18466,,
CCN1CCC(c2c[nH]c3ccc(C(=O)O)cc23)CC1,32113,,
CC(C)(N)c1ncc[nH]1,48693,,
CC(C)Nc1ccccn1,49019,,
CCC(N)c1ncc[nH]1,55665,,
N#CCNc1ccccn1,58852,,
Nc1cccc2nccn12,58881,,
c1cncc(C23CNCC2C3)c1,59137,,
c1cncc(C2CCNC2)c1,59142,,
c1c[nH]c(C2CCCN2)n1,60004,,
Nc1cccc2c1CC(=O)N2,61431,,
Nc1ccc2c(c1)NC(=O)C2,61463,,
Nc1ccc2c(c1)CNC2,61484,,
CC(CO)N1Cc2cccc(N)c2C1,61512,,
CC(C)(C)OC(=O)Nc1ccc2c(c1)CNC2,69459,,
Cc1ccc(C#N)cc1N,75625,,126284
Cc1cc(N)cc(Br)c1,76158,,
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH][n+]([O-])cc12,99605,,
Nc1cccc2nncn12,108185,,
CNc1cc[nH]n1,112029,,
Nc1ccc2cn[nH]c2n1,120435,,
CCC(=O)O,121245,284054,133739
CNCBr,121254,,
Cc1cccc(O)c1N,121271,,126226
O=C(O)c1cc(Cl)cc2[nH]cnc12,121286,,
Ic1ccc2c(c1)CNC2,121289,,
C1CNCCN1,121310,,
NCI,121336,,
N,121388,282920,96983
NC1CCN(c2ccccn2)C1,121392,,
C[Mg]I,121412,,
O=C(O)CO,121476,283151,97794
CNc1ccc(Br)cn1,121480,,151974
CNc1ccc(Cl)cn1,121483,,151976
CCCBr,121491,284079,
CC(=O)Nc1ccc2c(c1)CNC2,121564,,
