,xx01zvns2b,xx01zvns2b,xx01zvns2b,a71ev2a,a71ev2a,a71ev2a,d68ev3c,d68ev3c,d68ev3c
,openbind_xx01zvns2b_c2_hit_analogues_85percent,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_a71ev2a_c2_hit_analogues_85percent,openbind_a71ev2a_c2_hit_analogues_90percent,openbind_a71ev2a_c2_hit_analogues_95percent,openbind_d68ev3c_c2_hit_analogues_85percent,openbind_d68ev3c_c2_hit_analogues_90percent,openbind_d68ev3c_c2_hit_analogues_95percent
smiles,,,,,,,,,
Fc1ccc(CNc2ccc3c(c2)CNC3)c2ncccc12,True,False,False,False,False,False,False,False,False
c1ccc(N2CCCCC2)nc1,True,False,False,False,False,False,False,False,False
c1ccc2c(C3CCNCC3)ccnc2c1,True,False,False,False,False,False,False,False,False
CCCNc1nc2ccccc2[nH]1,True,True,False,False,False,False,False,False,False
CCC(N)c1nc2ccccc2[nH]1,True,False,False,False,False,False,False,False,False
c1cc(C2CCNCC2)c2cc[nH]c2c1,True,True,True,False,False,False,False,False,False
c1cc2cc(C3CCNCC3)ccc2[nH]1,True,True,False,False,False,False,False,False,False
c1ccc2ncc(N3CCNCC3)cc2c1,True,True,False,False,False,False,False,False,False
CCC(=O)Nc1nc2ccccc2[nH]1,True,False,False,False,False,False,True,False,False
CC(N)Cc1nc2ccccc2[nH]1,True,False,False,False,False,False,False,False,False
O=C1CCN(c2cccnc2)CC1,True,False,False,False,False,False,False,False,False
c1cc(N2CCNCC2)c2cc[nH]c2c1,True,False,False,False,False,False,False,False,False
c1ccc2c(C3CCNCC3)c[nH]c2c1,True,True,True,False,False,False,False,False,False
c1ccc2c(C3CCCNC3)c[nH]c2c1,True,True,True,False,False,False,False,False,False
O=C1CCN(Cc2ccncc2)CC1,True,False,False,False,False,False,False,False,False
c1ccc2c(C3CCCCN3)c[nH]c2c1,True,False,False,False,False,False,False,False,False
CC(C)Nc1nc2ccccc2s1,True,False,False,True,False,False,False,False,False
c1cc2c(s1)CCN(C1CCNC1)C2,True,False,False,False,False,False,False,False,False
