smiles,0,1
c1ccc2[nH]c(C3CCCN3)nc2c1,7gqa-a,7gq9-a
c1nc2cc(C3CSCCN3)ccc2[nH]1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CNCCS3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CCNCC3)nc2c1,7gqa-a,7gq9-a
c1nc2ccc(C3CCCCCN3)cc2[nH]1,7gqa-a,7gq9-a
c1ccc2c(c1)ncn2C1CCCNCC1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CNCC34CC4)nc2c1,7gqa-a,7gq9-a
c1nc2cc(C3CCN3)ccc2[nH]1,7gqa-a,7gq9-a
c1nc2cc(C3CNCCS3)ccc2[nH]1,7gqa-a,7gq9-a
c1ccc2[nH]c(C34CNCC3C4)nc2c1,7gqa-a,7gq9-a
c1nc2cc(N3CCCNCC3)ccc2[nH]1,7gqa-a,7gq9-a
C1=C(c2nc3ccccc3[nH]2)CNCC1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CCNC3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CCCNC3)nc2c1,7gqa-a,7gq9-a
c1ccc2c(c1)ncn2C1CCNC1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CCN3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C34CCN(CC3)C4)nc2c1,7gqa-a,7gq9-a
c1cc(C2CCNCC2)c2[nH]cnc2c1,7gqa-a,7gq9-a
c1ccc2c(c1)ncn2C1CNC1,7gqa-a,7gq9-a
c1ccc2c(c1)ncn2C1CCNCC1,7gqa-a,7gq9-a
c1ccc2[nH]c(N3CCNCC3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CCCCCN3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(N3CCCNCC3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CCCCN3)nc2c1,7gqa-a,7gq9-a
C1=C(c2nc3ccccc3[nH]2)CNC1,7gqa-a,7gq9-a
c1cc(C2CCCN2)c2nc[nH]c2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CCCNCC3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C34CC3CCCN4)nc2c1,7gqa-a,7gq9-a
c1cc(C2CCCNC2)c2nc[nH]c2c1,7gqa-a,7gq9-a
c1nc2cc(C34CNCC3C4)ccc2[nH]1,7gqa-a,7gq9-a
c1ccc2[nH]c(C34CCC(CC3)N4)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CSCCN3)nc2c1,7gqa-a,7gq9-a
c1ccc2[nH]c(C3CNC3)nc2c1,7gqa-a,7gq9-a
c1ccc2c(c1)ncn2C1CCCNC1,7gqa-a,7gq9-a
c1cc(N2CCNCC2)c2nc[nH]c2c1,7gqa-a,7gq9-a
CC(C(=O)O)n1c(C2CCCN2)nc2ccccc21,7gqa-a,7gq9-a
CC(C(=O)O)n1c(C2CCCN2)nc2cccc(F)c21,7gqa-a,7gq9-a
CC(C(=O)O)n1c(C2CCCN2)nc2cc(F)ccc21,7gqa-a,7gq9-a
CC(C(=O)O)n1c(C2CCCN2)nc2ccc(F)cc21,7gqa-a,7gq9-a
CC(=O)NC(C)C(=O)Nc1ccc2[nH]c(C3CCNCC3)nc2c1,7gqa-a,7gq9-a
O=C(CCCn1cnc2ccccc21)NCCC1CSCCN1,7gqa-a,7gq9-a
NC(CCN1CCNCC1)c1ccc2[nH]cnc2c1,7gqa-a,7gq9-a
CC(C(N)c1ccc2[nH]cnc2c1)N1CCNCC1,7gqa-a,7gq9-a
Brc1ccc2ncn(C3CCNCC3)c2c1,7gqa-a,7gq9-a
Brc1ccc2nc(C3CCCCN3)[nH]c2c1,7gqa-a,7gq9-a
Brc1ccc2nc(C3CNC3)[nH]c2c1,7gqa-a,7gq9-a
Brc1ccc2ncn(C3CCCNC3)c2c1,7gqa-a,7gq9-a
Brc1ccc2nc(C3CCNCC3)[nH]c2c1,7gqa-a,7gq9-a
Brc1ccc2nc(C3CNCCS3)[nH]c2c1,7gqa-a,7gq9-a
Brc1ccc2nc(C3CCCN3)[nH]c2c1,7gqa-a,7gq9-a
c1csc(N2CCSCC2)n1,7gny-a,7gp4-a
c1csc(N2CCCCC2)n1,7gny-a,7gp4-a
c1csc(N2CCCC3(CC3)C2)n1,7gny-a,7gp4-a
c1nc(C2CCCCC2)cs1,7gny-a,7gp4-a
c1nc(N2CCCCC2)cs1,7gny-a,7gp4-a
C1=C(c2nccs2)CCCC1,7gny-a,7gp4-a
BrC=C1CN(c2nccs2)C1,7gny-a,7gp4-a
c1csc(C2CCCCCC2)n1,7gny-a,7gp4-a
C1=CCN(c2nccs2)C1,7gny-a,7gp4-a
c1csc(N2CCCCCCC2)n1,7gny-a,7gp4-a
c1nc(N2CCCSCC2)cs1,7gny-a,7gp4-a
c1csc(N2CCC2)n1,7gny-a,7gp4-a
c1csc(C2CCCC3CC32)n1,7gny-a,7gp4-a
c1nc(C23CCC(CC2)C3)cs1,7gny-a,7gp4-a
c1csc(C2CCCCC2)n1,7gny-a,7gp4-a
c1csc(C2CSCCS2)n1,7gny-a,7gp4-a
c1ncc(C2CCCCC2)s1,7gny-a,7gp4-a
C=C1CC2CCCC(C1)N2c1nccs1,7gny-a,7gp4-a
c1csc(C2CCCC2)n1,7gny-a,7gp4-a
c1csc(C2CCSCC2)n1,7gny-a,7gp4-a
c1csc(C2CCCSCC2)n1,7gny-a,7gp4-a
c1ncc(C2CCCC2)s1,7gny-a,7gp4-a
c1csc(N2C3CCC2CC(=C2CC2)C3)n1,7gny-a,7gp4-a
c1csc(N2CCCC3CC32)n1,7gny-a,7gp4-a
c1csc(N2CC3(CC3)C2)n1,7gny-a,7gp4-a
c1csc(C2CC3(CC3)C2)n1,7gny-a,7gp4-a
c1nc(C23CCCCC2C3)cs1,7gny-a,7gp4-a
c1csc(C2CCCCCCC2)n1,7gny-a,7gp4-a
c1csc(N2CCCSCC2)n1,7gny-a,7gp4-a
c1csc(N2CCC3(CC3)C2)n1,7gny-a,7gp4-a
C1=C(c2cscn2)CCCC1,7gny-a,7gp4-a
c1csc(N2CCSC2)n1,7gny-a,7gp4-a
C=C1CN(c2nccs2)C1,7gny-a,7gp4-a
c1csc(N2CCSSCC2)n1,7gny-a,7gp4-a
c1nc(C2CCCC2)cs1,7gny-a,7gp4-a
c1csc(C2CCC3CC32)n1,7gny-a,7gp4-a
C=C1CCN(c2nccs2)C1,7gny-a,7gp4-a
c1csc(N2C3CCC2CC2(CC2)C3)n1,7gny-a,7gp4-a
c1csc(C23CCC(CC2)C3)n1,7gny-a,7gp4-a
c1csc(C2CCCCS2)n1,7gny-a,7gp4-a
c1csc(C2CCSC2)n1,7gny-a,7gp4-a
c1csc(N2C3CCC2CC3)n1,7gny-a,7gp4-a
C1=CCC(c2nccs2)CC1,7gny-a,7gp4-a
c1csc(C2CCCC3(CC3)C2)n1,7gny-a,7gp4-a
C=C1CCN(c2nccs2)CC1,7gny-a,7gp4-a
c1csc(N2CC3CC3C2)n1,7gny-a,7gp4-a
c1nc(N2CCCCCC2)cs1,7gny-a,7gp4-a
C1=CCC(c2nccs2)C1,7gny-a,7gp4-a
c1ncc(C2CCC2)s1,7gny-a,7gp4-a
C=C1CCCN(c2nccs2)C1,7gny-a,7gp4-a
c1n[nH]cc1-c1nc2c([nH]1)CCCC2,7gpz-a,7gqn-a
c1nc(-c2cc[nH]n2)c[nH]1,7gpz-a,7gqn-a
c1cc(-c2nc3c([nH]2)CCCC3)n[nH]1,7gpz-a,7gqn-a
