smiles,0,1
c1csc(-c2ccnc3nccn23)c1,7go4-b,7gpc-a
c1csc(-c2cn3cccnc3n2)c1,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)c1cccs1,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)c1csc(-c2cccs2)n1,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)c1cnc(-c2cccs2)s1,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)c1ccc(-c2cccs2)o1,7go4-b,7gpc-a
c1csc(CN(Cc2cn3cccnc3n2)Cc2cccs2)c1,7go4-b,7gpc-a
c1csc(CN(Cc2cn3cccnc3n2)Cc2cccs2)c1,7go4-b,7gpc-a
O=C(Nc1c(-c2cccs2)nc2ncccn12)c1ccccc1,7go4-b,7gpc-a
c1csc(-c2nnc(SCc3cn4cccnc4n3)o2)c1,7go4-b,7gpc-a
CN(CCC(O)c1cccs1)c1ccn2ccnc2n1,7go4-b,7gpc-a
COC(=O)CC(NC(=O)c1cnc2ncccn12)c1cccs1,7go4-b,7gpc-a
O=C(c1cn2cccnc2n1)N1CCC(=Cc2cccs2)CC1,7go4-b,7gpc-a
C(=C1CCN(c2ccnc3nccn23)CC1)c1cccs1,7go4-b,7gpc-a
COCCN(Cc1cccs1)C(=O)c1c(C)nc2ncccn12,7go4-b,7gpc-a
O=c1cc(-c2cccs2)ncn1Cc1cn2cccnc2n1,7go4-b,7gpc-a
c1csc(N2CCN(Cc3cn4cccnc4n3)CC2)c1,7go4-b,7gpc-a
O=c1onc(-c2cccs2)n1Cc1cn2cccnc2n1,7go4-b,7gpc-a
C1=C(c2cccs2)CC2CCC1N2Cc1cn2cccnc2n1,7go4-b,7gpc-a
Cc1nc2ncccn2c1-c1nc(-c2cccs2)no1,7go4-b,7gpc-a
Cc1nc2ncc(-c3cccs3)cn2c1C(=O)O,7go4-b,7gpc-a
Cc1ccn2cc(CNC(=O)COCCc3cccs3)nc2n1,7go4-b,7gpc-a
CC(OC(=O)c1cnc2ncccn12)c1nc(-c2cccs2)no1,7go4-b,7gpc-a
CC(OC(=O)c1cnc2ncccn12)c1nnc(-c2cccs2)o1,7go4-b,7gpc-a
CC(CNC(=O)c1cn2cccnc2n1)NC(=O)Cc1cccs1,7go4-b,7gpc-a
CCOC(=O)Nc1c(-c2cccs2)nc2ncccn12,7go4-b,7gpc-a
O=C(OCc1cn2cccnc2n1)C1(c2cccs2)CC1,7go4-b,7gpc-a
CC(CCNC(=O)c1cn2cccnc2n1)NC(=O)c1cccs1,7go4-b,7gpc-a
CC(Cc1cccs1)NC(=O)Nc1cnc2nccn2c1,7go4-b,7gpc-a
c1csc(CCCc2nnc(-c3cnc4ncccn34)o2)c1,7go4-b,7gpc-a
CN(CCNC(=O)c1cccs1)C(=O)c1cn2cccnc2n1,7go4-b,7gpc-a
COC(=O)c1cnc2nc(NCC(C)c3cccs3)ccn12,7go4-b,7gpc-a
O=C(NCc1cnc2nccn2c1)c1cc(-c2cccs2)on1,7go4-b,7gpc-a
O=C(NCc1cnc2nccn2c1)c1cnc(-c2cccs2)s1,7go4-b,7gpc-a
O=C(NCc1cnc2nccn2c1)c1ncoc1-c1cccs1,7go4-b,7gpc-a
O=C(Nc1nc(-c2cccs2)ns1)c1cnc2nccn2c1,7go4-b,7gpc-a
OCCC(Nc1ccnc2nccn12)c1cccs1,7go4-b,7gpc-a
OC(CCNc1ccnc2nccn12)c1cccs1,7go4-b,7gpc-a
CN(CCN(C)C(=O)c1cccs1)C(=O)c1cnc2nccn2c1,7go4-b,7gpc-a
CC(C(=O)NCc1cnc2nccn2c1)c1cccs1,7go4-b,7gpc-a
CCC(NC(=O)c1csc(-c2cccs2)n1)c1cn2cccnc2n1,7go4-b,7gpc-a
O=C(NCCS(=O)(=O)c1cccs1)c1ccn2ccnc2n1,7go4-b,7gpc-a
O=C(NCC(O)CNC(=O)c1cccs1)c1cnc2nccn2c1,7go4-b,7gpc-a
CC(CCNC(=O)c1cccs1)NC(=O)c1cnc2nccn2c1,7go4-b,7gpc-a
CN(CCNC(=O)c1cccs1)C(=O)c1cnc2ncccn12,7go4-b,7gpc-a
c1csc(CN(Cc2cn3cccnc3n2)Cc2cccs2)c1,7go4-b,7gpc-a
c1csc(CN(Cc2cn3cccnc3n2)Cc2cccs2)c1,7go4-b,7gpc-a
O=C(Nc1nc(-c2cccs2)cs1)c1cn2cccnc2n1,7go4-b,7gpc-a
O=C(Cc1cccs1)Nc1ccc(-c2cn3cccnc3n2)cc1,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)NC1(c2cccs2)CCCCC1,7go4-b,7gpc-a
c1cnc2nc(-c3ccsc3)cn2c1,7go4-b,7gpc-a
c1cc(-c2ccsc2)n2ccnc2n1,7go4-b,7gpc-a
O=C(CCNS(=O)(=O)c1ccsc1)c1cnc2ncccn12,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)c1ccc(-c2ccsc2)cc1,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)c1ccc(-c2ccsc2)nc1,7go4-b,7gpc-a
CN(Cc1ccsc1)Cc1cn2cccnc2n1,7go4-b,7gpc-a
O=C(NCC(CO)Cc1ccsc1)c1cn2cccnc2n1,7go4-b,7gpc-a
O=C(Nc1ccc(-c2ccsc2)cc1)c1cnc2nccn2c1,7go4-b,7gpc-a
c1cnc2nc(CNc3ccc(-c4ccsc4)cc3)cn2c1,7go4-b,7gpc-a
O=C(Nc1cnc2nccn2c1)c1ccc(-c2ccsc2)cc1,7go4-b,7gpc-a
O=C(NCCSCCc1ccsc1)Nc1cnc2nccn2c1,7go4-b,7gpc-a
CN(CCNC(=O)c1cn2cccnc2n1)C(=O)c1ccsc1,7go4-b,7gpc-a
Cc1cn2c(-c3ccsc3)ccnc2n1,7go4-b,7gpc-a
CCCCN(Cc1ccsc1)C(=O)c1c(C)nc2ncccn12,7go4-b,7gpc-a
Cc1ccn2cc(CNC(=O)CCCc3ccsc3)nc2n1,7go4-b,7gpc-a
Cc1cc(C)n2cc(-c3ccsc3)nc2n1,7go4-b,7gpc-a
Cc1ccn2cc(CNS(=O)(=O)Cc3ccsc3)nc2n1,7go4-b,7gpc-a
COC(=O)C(NC(=O)c1cnc2ncccn12)c1ccsc1,7go4-b,7gpc-a
CC(Cc1ccsc1)NC(=O)c1ccn2ccnc2n1,7go4-b,7gpc-a
CC(Cc1ccsc1)NC(=O)Nc1cnc2nccn2c1,7go4-b,7gpc-a
CC(CNCc1ccsc1)CNC(=O)c1cnc2nccn2c1,7go4-b,7gpc-a
O=C(Nc1ccc(-c2ccsc2)cc1)c1cnc2nccn2c1,7go4-b,7gpc-a
O=C(NCCSCCc1ccsc1)c1cnc2nccn2c1,7go4-b,7gpc-a
COC(=O)C(Cc1ccsc1)NC(=O)c1ccn2ccnc2n1,7go4-b,7gpc-a
CCC(NC(=O)c1ccsc1)c1cn2cccnc2n1,7go4-b,7gpc-a
CCN(C(=O)c1ccn2ccnc2n1)C(C)Cc1ccsc1,7go4-b,7gpc-a
CN(C)CCN(Cc1ccsc1)Cc1cnc2nccn2c1,7go4-b,7gpc-a
