target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C793,1,,,,O=C(O)c1sc(F)cc1Br,CC1(C)OB(CCC(=O)O)OC1(C)C,O=C(O)CCc1cc(F)sc1C(=O)O,Sp3-sp2_Suzuki_coupling,,,
C27587,1,,,,O=C(O)c1csc(N2CCCCC2)n1,CC(CN)[S+](C)[O-],CC(CNC(=O)c1csc(N2CCCCC2)n1)[S+](C)[O-],Amidation,,,
C38140,1,,,,CCOC(=O)C1CCNC1,O=C(O)C(O)C1CCOCC1,CCOC(=O)C1CCN(C(=O)C(O)C2CCOCC2)C1,Amidation,,,
C13421,1,,,,Nc1cnn(CC(=O)O)c1,CC(CC(=O)O)n1cccn1,CC(CC(=O)Nc1cnn(CC(=O)O)c1)n1cccn1,Amidation,,,
C29828,1,,,,NC(Cc1cnc[nH]1)C(=O)O,Cc1nc2ccccn2c1C=O,Cc1nc2ccccn2c1CNC(Cc1cnc[nH]1)C(=O)O,Reductive_amination,,,
C10168,1,,,,O=C(O)C1CCCN1,NCCc1c[nH]cn1,O=C(NCCc1c[nH]cn1)C1CCCN1,Amidation,,,
C6030,1,,,,OC1CCN(c2ccccn2)C1,COCCOC(C)C(=O)O,COCCOC(C)C(=O)OC1CCN(c2ccccn2)C1,Steglich_esterification,,,
C14644,1,,,,C1CCN(C2CCNC2)C1,CC(C)Oc1nccnc1Cl,CC(C)Oc1nccnc1N1CCC(N2CCCC2)C1,N-nucleophilic_aromatic_substitution,,,
C39995,1,,,,O=C(O)c1cc2ccc(C(F)(F)F)cc2[nH]1,NCCc1nc2ccccc2[nH]1,O=C(NCCc1nc2ccccc2[nH]1)c1cc2ccc(C(F)(F)F)cc2[nH]1,Amidation,,,
C28548,1,,,,OCc1cn2cccnc2n1,NC(c1cccnc1)C1CC1,c1cncc(C(NCc2cn3cccnc3n2)C2CC2)c1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,
C12064,1,,,,NCc1cncnc1,CNC(C)CN1CCCCC1,CC(CN1CCCCC1)N(C)C(=O)NCc1cncnc1,Formation_of_urea_from_two_amines,,,
C28736,1,,,,Cc1nc(CC(=O)O)c[nH]1,CCC(N)c1ncccn1,CCC(NC(=O)Cc1c[nH]c(C)n1)c1ncccn1,Amidation,,,
C15381,1,,,,O=C(O)Cn1cnc2ccccc21,Cc1cccc2[nH]c(N)nc12,Cc1cccc2[nH]c(NC(=O)Cn3cnc4ccccc43)nc12,Amidation,,,
C27243,1,,,,O=C(O)c1ccn2ccnc2c1,NCCCCc1ccc(Cl)s1,O=C(NCCCCc1ccc(Cl)s1)c1ccn2ccnc2c1,Amidation,,,
