compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
97085,O=C(O)c1sc(F)cc1Br,WLFVJVKRORVPLX-UHFFFAOYSA-N,1.0,50.0,4753,Enamine,EU stock,EN300-27082259,330.0,EUR,2,,O=C(O)c1sc(F)cc1Br,2025-09-29,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{57},{793}
97086,CC1(C)OB(CCC(=O)O)OC1(C)C,KOEHRDXIOARYAC-UHFFFAOYSA-N,1.0,100.0,3369,Enamine,Global catalog,EN300-1706378,766.0,EUR,10,,CC1(C)OB(CCC(=O)O)OC1(C)C,2025-09-29,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{57},{793}
97673,NCCC1CCCN1,MCULVESJRLLZOP-UHFFFAOYSA-N,2.0,100.0,2585,Enamine,Global catalog,EN300-200876,292.0,EUR,10,,Cl.Cl.NCCC1CCCN1,2025-09-29,1,2,2,{'Amidation'},"{309, 319}","{4740, 10158}"
97692,N#Cc1c(C(=O)O)[nH]c2ccccc12,REWOVIRPQVDGPH-UHFFFAOYSA-N,1.0,50.0,4137,Enamine,EU stock,EN300-344668,110.0,EUR,2,,N#Cc1c(C(=O)O)[nH]c2ccccc12,2025-09-29,1,1,1,{'Amidation'},{319},{4740}
97612,O=Cc1c[nH]nc1-c1ccc2c(c1)OCO2,KNGSJLHOXNAMTI-UHFFFAOYSA-N,1.0,50.0,3663,Enamine,EU stock,EN300-44085,73.0,EUR,2,,O=Cc1c[nH]nc1-c1ccc2c(c1)OCO2,2025-09-29,1,1,1,{'Reductive_amination'},{283},{5010}
97613,NCCn1ccc2ccccc21,BXEFQUSYBZYTAE-UHFFFAOYSA-N,1.0,100.0,2186,Enamine,Global catalog,EN300-236418,119.0,EUR,10,,NCCn1ccc2ccccc21,2025-09-29,1,1,1,{'Reductive_amination'},{283},{5010}
97554,OC1CCN(c2ccccn2)C1,JAVUBKWZTRFGDS-UHFFFAOYSA-N,1.0,50.0,3891,Enamine,EU stock,EN300-241273,77.0,EUR,2,,OC1CCN(c2ccccn2)C1,2025-09-29,1,1,1,{'Steglich_esterification'},{257},{6030}
97555,COCCOC(C)C(=O)O,JIXHYWCLUOGIMM-UHFFFAOYSA-N,1.0,50.0,4979,Enamine,EU stock,EN300-77359,51.0,EUR,2,,COCCOC(C)C(=O)O,2025-09-29,1,1,1,{'Steglich_esterification'},{257},{6030}
97614,O=C(O)COc1ccsc1,ZJKVAVOAEMCJGI-UHFFFAOYSA-N,1.0,50.0,3838,Enamine,EU stock,EN300-200379,202.0,EUR,2,,O=C(O)COc1ccsc1,2025-09-29,1,1,1,{'Amidation'},{284},{6392}
97615,COC(=O)C1CCCN1,BLWYXBNNBYXPPL-UHFFFAOYSA-N,1.0,100.0,981,Enamine,Global catalog,EN300-395313,18.0,EUR,10,,COC(=O)[C@H]1CCCN1.Cl,2025-09-29,1,1,1,{'Amidation'},{284},{6392}
97674,CC(Cc1cnc[nH]1)C(=O)O,ROVDFZZNEMZWJY-UHFFFAOYSA-N,3.0,50.0,4004,Enamine,EU stock,EN300-252697,208.0,EUR,2,,CC(Cc1cnc[nH]1)C(=O)O.Cl,2025-09-29,1,3,3,{'Amidation'},"{325, 316, 309}","{17133, 10158, 6519}"
97687,N#CCCNCc1cccnc1,QLXCYILNQJKHLM-UHFFFAOYSA-N,1.0,100.0,2277,Enamine,Global catalog,EN300-16261,18.0,EUR,10,,N#CCCNCc1cccnc1,2025-09-29,1,1,1,{'Amidation'},{316},{6519}
97579,O=C(O)Cn1cnc2ccccc21,AFHSZBKDUTWXDX-UHFFFAOYSA-N,2.0,100.0,1948,Enamine,Global catalog,EN300-00814,29.0,EUR,10,,O=C(O)Cn1cnc2ccccc21,2025-09-29,1,2,2,{'Amidation'},"{315, 270}","{6668, 15381}"
97686,Cc1[nH]ncc1CCCN,BYGCQGLHPCERCH-UHFFFAOYSA-N,1.0,50.0,3492,Enamine,EU stock,EN300-28612,28.0,EUR,2,,Cc1[nH]ncc1CCCN,2025-09-29,1,1,1,{'Amidation'},{315},{6668}
97945,CC(C)S(=O)(=O)C1CCNC1,NPQVPIJXGICUEI-UHFFFAOYSA-N,1.0,50.0,5214,Enamine,EU stock,EN300-241343,154.0,EUR,2,,CC(C)S(=O)(=O)C1CCNC1.Cl,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{432},{7379}
97962,CC(N)c1cn[nH]c1,RPDQDVLOUJVEEX-UHFFFAOYSA-N,1.0,50.0,4511,Enamine,EU stock,EN300-27113172,177.0,EUR,2,,CC(N)c1cn[nH]c1.Cl.Cl,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{432},{7379}
97837,CC(N)Cc1cnn(C)c1,UECWYYHRNMAMOT-UHFFFAOYSA-N,1.0,50.0,3876,Enamine,EU stock,EN300-232848,99.0,EUR,2,,CC(N)Cc1cnn(C)c1,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{371},{7644}
97838,Brc1ccn2ccnc2n1,QNMPFHNDEOTXNR-UHFFFAOYSA-N,1.0,50.0,4709,Enamine,EU stock,EN300-227486,151.0,EUR,2,,Brc1ccn2ccnc2n1,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{371},{7644}
97647,CC1NCCC1c1ccccc1,JZLQMGWQLRCDIE-UHFFFAOYSA-N,1.0,50.0,5176,Enamine,EU stock,EN300-102540,193.0,EUR,2,,CC1NCCC1c1ccccc1,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{296},{8782}
97648,Brc1ccnc2nccn12,OOLIAKRKTTYPHF-UHFFFAOYSA-N,2.0,100.0,1913,Enamine,Global catalog,EN300-7431853,359.0,EUR,10,,Br.Brc1ccnc2nccn12,2025-09-29,1,2,2,{'N-nucleophilic_aromatic_substitution'},"{296, 401}","{16736, 8782}"
97928,NCc1ccncc1,TXQWFIVRZNOPCK-UHFFFAOYSA-N,1.0,100.0,897,Enamine,Global catalog,EN300-19585,18.0,EUR,10,,NCc1ccncc1,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{414},{8896}
97929,Cc1ccc(C(=O)NN)s1,HMBLMUIDVHBCOW-UHFFFAOYSA-N,1.0,100.0,120,Enamine,Global catalog,EN300-55126,18.0,EUR,10,,Cc1ccc(C(=O)NN)s1,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{414},{8896}
97921,NCc1cccs1,FKKJJPMGAWGYPN-UHFFFAOYSA-N,1.0,100.0,1016,Enamine,Global catalog,EN300-20989,18.0,EUR,10,,NCc1cccs1,2025-09-29,1,1,1,{'Amidation'},{409},{9941}
97922,Cc1ccc2c(c1)C=C(C(=O)O)CO2,IOBSSLHZLHJYAQ-UHFFFAOYSA-N,1.0,50.0,4094,Enamine,EU stock,EN300-330009,165.0,EUR,2,,Cc1ccc2c(c1)C=C(C(=O)O)CO2,2025-09-29,1,1,1,{'Amidation'},{409},{9941}
97552,O=C(O)C1CCCN1,ONIBWKKTOPOVIA-UHFFFAOYSA-N,1.0,100.0,736,Enamine,Global catalog,EN300-20112,18.0,EUR,10,,O=C(O)C1CCCN1,2025-09-29,1,1,1,{'Amidation'},{256},{10168}
97553,NCCc1c[nH]cn1,NTYJJOPFIAHURM-UHFFFAOYSA-N,1.0,100.0,470,Enamine,Global catalog,EN300-78991,18.0,EUR,10,,NCCc1cnc[nH]1,2025-09-29,1,1,1,{'Amidation'},{256},{10168}
97571,NCc1cncnc1,USRYWZFLGFQQEB-UHFFFAOYSA-N,1.0,50.0,4814,Enamine,EU stock,EN300-7424124,26.0,EUR,2,,Cl.Cl.NCc1cncnc1,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{266},{12064}
97572,CNC(C)CN1CCCCC1,IQCHJZSBIAVNGG-UHFFFAOYSA-N,1.0,50.0,5383,Enamine,EU stock,EN300-75518,129.0,EUR,2,,CNC(C)CN1CCCCC1,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{266},{12064}
97544,Nc1cnn(CC(=O)O)c1,ARGNGTFXKVEQNL-UHFFFAOYSA-N,1.0,50.0,5659,Enamine,EU stock,EN300-1708817,18.0,EUR,2,,Cl.Cl.Nc1cnn(CC(=O)O)c1,2025-09-29,1,1,1,{'Amidation'},{252},{13421}
97545,CC(CC(=O)O)n1cccn1,LLMHIHGJTUQQRA-UHFFFAOYSA-N,1.0,50.0,3871,Enamine,EU stock,EN300-237849,22.0,EUR,2,,CC(CC(=O)O)n1cccn1,2025-09-29,1,1,1,{'Amidation'},{252},{13421}
14572,C1CCN(C2CCNC2)C1,HFZLSTDPRQSZCQ-UHFFFAOYSA-N,1.0,50.0,5483,Enamine,EU stock,EN300-7410824,20.0,EUR,2,,C1CCN([C@H]2CCNC2)C1.Cl.Cl,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{260},{14644}
97560,CC(C)Oc1nccnc1Cl,NRWYWIIGCAQPIV-UHFFFAOYSA-N,1.0,50.0,5263,Enamine,EU stock,EN300-127555,97.0,EUR,2,,CC(C)Oc1nccnc1Cl,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{260},{14644}
97580,Cc1cccc2[nH]c(N)nc12,JYYASXKOESRUKU-UHFFFAOYSA-N,1.0,50.0,5165,Enamine,EU stock,EN300-344957,20.0,EUR,2,,Cc1cccc2[nH]c(N)nc12,2025-09-29,1,1,1,{'Amidation'},{270},{15381}
97932,O=C(O)c1ccn2ccnc2n1,HBHVSEYJASRESX-UHFFFAOYSA-N,1.0,50.0,4583,Enamine,EU stock,EN300-6499719,215.0,EUR,2,,Cl.O=C(O)c1ccn2ccnc2n1,2025-09-29,1,1,1,{'Amidation'},{417},{15762}
97933,NCc1csc(Cl)c1,LYPVLWZGILSXRK-UHFFFAOYSA-N,1.0,50.0,5150,Enamine,EU stock,EN300-6495229,49.0,EUR,2,,Cl.NCc1csc(Cl)c1,2025-09-29,1,1,1,{'Amidation'},{417},{15762}
4934,c1cc(C2CCCNC2)ccn1,BGRLUJJHCXFDRE-UHFFFAOYSA-N,1.0,50.0,5199,Enamine,EU stock,EN300-258123,152.0,EUR,2,,Cl.Cl.c1cc(C2CCCNC2)ccn1,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{401},{16736}
97562,NCCc1nc2ccccc2[nH]1,GJEPMYMUORZPMP-UHFFFAOYSA-N,2.0,100.0,1037,Enamine,Global catalog,EN300-32051,18.0,EUR,10,,Cl.Cl.NCCc1nc2ccccc2[nH]1,2025-09-29,2,2,2,"{'Amidation', 'Formation_of_urea_from_two_amines'}","{297, 261}","{39995, 17118}"
97649,CNCc1nc(-c2ccccc2)c[nH]1,LMAVLCDHNFUPNX-UHFFFAOYSA-N,1.0,50.0,3918,Enamine,EU stock,EN300-109761,161.0,EUR,2,,CNCc1nc(-c2ccccc2)c[nH]1,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{297},{17118}
97700,Cc1cccc2c1CNCC2,UFUSUNKYIGBDOI-UHFFFAOYSA-N,1.0,50.0,5398,Enamine,EU stock,EN300-179527,97.0,EUR,2,,Cc1cccc2c1CNCC2,2025-09-29,1,1,1,{'Amidation'},{325},{17133}
