smiles,hit0,hit1
[H]c1nc(C([H])([H])[H])c([H])c([H])c1C([H])([H])N([H])C(=O)[C@]1([H])C([H])([H])[C@]([H])(N([H])c2c([H])c([H])c3nc(Cl)oc3c2[H])C1([H])[H],7gp3-a,7gqr-a
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[S@SP1H]1C([H])C1N([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H],7gp3-a,7gq1-c
[H]c1nc(C([H])([H])[H])c([H])c([H])c1C([H])([H])C1=C(C([H])([H])[H])N2[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])[C@@]1(O)C1([H])C([H])([H])C([H])([H])C1([H])[H],7gp3-a,7gpp-a
[H]c1nc([H])c([C@@]([H])(N([H])[C@](O)(N([H])C([H])([H])c2c([H])nc(C([H])([H])[H])c([H])c2[H])C2([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H])c([H])c1[H],7gp3-a,7goq-a
[H]c1nc(C([H])([H])[H])c([H])c([H])c1[C@@]1([H])N([H])C([H])([H])[C@]([H])(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@@]1([H])C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H],7gp3-a,7gpr-a
[H]c1nc(C([H])([H])[H])c([H])c([H])c1C([H])([H])N([H])C(=O)[C@]1([H])C([H])([H])[C@]([H])(N([H])c2c([H])c([H])c3nc(Cl)oc3c2[H])C1([H])[H],7gqr-a,7gp3-a
[H]c1c(N([H])OC(=O)C2([H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c2oc(Cl)nc2c1[H],7gqr-a,7gp7-a
[H]O/C(=N\C([H])([H])C([H])([H])N([H])c1c([H])c([H])c([H])c2nc(Cl)oc12)c1c([H])sc([H])c1[H],7gqr-a,7gq1-c
[H]c1c(N([H])[C@@]2([H])C([H])([H])O[C@@]([H])(C(=O)N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c2oc(Cl)nc2c1[H],7gqr-a,7gow-a
[H]c1c([H])c(N([H])/N=C(\OC([H])([H])[H])[C@@]2([H])N(C(=O)C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C2([H])[H])c2oc(Cl)nc2c1[H],7gqr-a,7gpp-a
[H]c1c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c1C(=O)ON([H])c1c([H])c([H])c2nc(Cl)oc2c1[H],7gqr-a,7gnw-a
[H]c1c([H])c([C@@]2(/C(=N/C([H])([H])N([H])c3c([H])c([H])c4nc(Cl)oc4c3[H])OC([H])([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])[H],7gqr-a,7gpr-a
[H]c1nn(C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(C(=O)ON([H])c2c([H])c([H])c3nc(Cl)oc3c2[H])c1[H],7gqr-a,7go8-a
[H]C1=NC(=O)C([H])([H])C(I)=C1/N=C(\N([H])c1c([H])c([H])c([H])c([H])c1[H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],7gp4-a,7gpw-c
[H]N1[C@](O)(N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])[H])O[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],7gp4-a,7gqi-a
[H]c1nc(-c2noc([C@@]([H])(c3c([H])c([H])c([H])c(N([H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c3[H])C([H])([H])C([H])([H])[H])n2)n(C([H])([H])[H])c1[H],7gp4-a,7goj-a
[H]C1=C([H])C([H]):N(C([H])([H])C([H])([H])C([H])([H])[H]):C(N([H])c2c([H])c([H])c([H])c([H])c2[H]):C1[C@]([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])[H],7gp4-a,7gok-b
[H]c1c([H])c([H])c(N([H])C2=N[C@]([H])(OC([H])([H])[H])C([H])([H])O[C@@]34N2C([H])([H])C([H])([H])[C@]3([H])C([H])([H])[C@]([H])(C#N)C([H])([H])C4([H])[H])c([H])c1[H],7gp4-a,7gom-a
[H]c1c([H])c([H])c(N([H])/C(=N/C([H])([H])C([H])([H])c2c([H])c([H])n3c([H])c([H])c(C([H])([H])N([H])[H])c([H])c23)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],7gp4-a,7go6-a
[H]N([H])C(=O)C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]12N([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(C#N)[C@]2([H])C([H])([H])[H],7gp4-a,7gop-a
[H]O[C@]1([H])C([H])([H])C([H])([H])[C@]2(C(=O)N([H])[C@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C2([H])[H])C1([H])[H],7gp4-a,7gos-a
[H]O[C@]12N(N([H])C3(N([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C2([H])[H],7gp4-a,7gqm-a
[H]c1c([H])c([H])c(-n2c([H])nc([C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])S(=O)(=O)N([H])[H])c2F)c([H])c1[H],7gp4-a,7gp0-b
[H]c1c([H])c([H])c(N([H])C2C(C([H])([H])C([H])([H])C([H])([H])[H])C([H])[C@H](C([H])([H])N([H])C([H])([H])[H])N2N)c([H])c1[H],7gp4-a,7gq5-b
[H]c1c([H])c([H])c(N([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])[C@]23N(C([H])([H])C([H])([H])[H])N([H])[C@@]([H])(C([H])([H])N([H])C([H])([H])[H])C3([H])[H])c([H])c1[H],7gp4-a,7go3-a
[H]c1nc([H])c(O[C@](N([H])c2c([H])c([H])c([H])c([H])c2[H])(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H])c(C([H])([H])[H])c1[H],7gp4-a,7gnz-a
[H]OC1(O)C([H])([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]23N([H])C2(S[C@]3([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],7gp4-a,7gqc-a
[H]c1c([H])c([H])c(N([H])[C@]2(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])c3c(nc([H])n3C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],7gp4-a,7gql-a
[H]N1[C@@]2([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])[C@@]2([H])C([H])([H])[C@]([H])(C([H])([H])[H])C3(C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[C@]12[H],7gp4-a,7gqj-a
[H]c1c([H])c([H])c(N([H])C2C(C([H])([H])C([H])([H])C([H])([H])[H])C([H])[C@H](C([H])([H])N([H])C([H])([H])[H])N2N)c([H])c1[H],7gp4-a,7gqp-a
[H]O[C@]([H])(N([H])N([H])[H])C([H])([H])C([H])([H])C1C([H])C([H])[C@H](C([H])([H])[C@@]([H])(F)C([H])([H])[H])OC1N([H])c1c([H])c([H])c([H])c([H])c1[H],7gp4-a,7gob-a
[H]O[C@@]1([H])n2c(nc([H])c2[H])N(N([H])c2c([H])c([H])c([H])c([H])c2[H])C2(C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H],7gp4-a,7go4-b
[H]c1c([H])c([H])c(N([H])[C@]2([H])N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C([H])([H])[H])SC2(F)F)c([H])c1[H],7gp4-a,7gq8-a
[H]c1c([H])c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],7gp4-a,7gpe-a
[H]c1n[nH]c([H])c1C(=O)O[C@](N([H])c1c([H])c([H])c([H])c([H])c1[H])(N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],7gp4-a,7gpl-a
[H]c1onc(C2(C([H])([H])C(=O)N([H])c3c([H])n(C([H])([H])N([H])c4c([H])c([H])c([H])c(N([H])C(=O)N5C([H])([H])C([H])([H])C([H])([H])C5([H])[H])c4[H])c(=O)c4c([H])c([H])c([H])c([H])c34)C([H])([H])N([H])C2([H])[H])c1[H],7gp4-a,B0878a
[H]N1C([H])([H])C([H])([H])N(S(=O)(=O)N([H])C([H])([H])C([H])([H])[C@@]2([H])N([H])N([H])C3(C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])C([H])([H])C1([H])[H],7gp4-a,B1120a
[H]c1c([H])c([H])c([C@@]2([H])c3c([H])c(F)c([H])c([H])c3OC([H])([H])N2N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],7gqb-a,7gon-a
[H]c1nc(N([H])C([H])([H])[H])nc(-c2c([H])c([H])c([H])c([H])c2[H])c1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],7gqb-a,7gp6-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gp8-a
[H]c1c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(N([H])[H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],7gqb-a,7gpu-b
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(O)c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gpw-a
[H]OC(=O)c1c([H])c([H])c([H])c([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c1[H],7gqb-a,7gq1-a
[H]OC1([H])C([H])([H])N([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])C1([H])[H],7gqb-a,7goe-a
[H]Oc1c([H])c([H])c([H])c([H])c1N([H])c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c1[H],7gqb-a,7god-a
[H]c1c([H])c([H])c([C@]([H])(c2c([H])c([H])c3c(c2[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C3([H])[H])N([H])[H])c([H])c1[H],7gqb-a,7gof-a
[H]c1c([H])c([H])c([C@]([H])(c2c([H])c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c([H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gog-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c2N([H])C([H])([H])[H])N([H])[H])c([H])c1[H],7gqb-a,7gou-a
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(c2c([H])c([H])c([H])c([H])c2C([H])([H])[H])C([H])([H])C1([H])[H],7gqb-a,7gqd-a
[H]c1c([H])c([H])c([C@]([H])(N([H])[H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]23N([H])[C@]([H])(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H])N([H])C3([H])[H])c([H])c1[H],7gqb-a,7got-a
