,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,[H]c1nc(C([H])([H])[H])c([H])c([H])c1C([H])([H])N([H])C(=O)[C@]1([H])C([H])([H])[C@]([H])(N([H])c2c([H])c([H])c3nc(Cl)oc3c2[H])C1([H])[H],,,,,0.0,25.0,1.0,1.6933343410491943,"['7gp3-a', '7gqr-a']",[],,crashed,40.0
1,,DistanceError 12.66 Å,,,,,,,,[],[],,too distant,
2,,DistanceError 29.03 Å,,,,,,,,[],[],,too distant,
3,,DistanceError 29.04 Å,,,,,,,,[],[],,too distant,
4,,DistanceError 28.27 Å,,,,,,,,[],[],,too distant,
5,,DistanceError 30.67 Å,,,,,,,,[],[],,too distant,
6,,DistanceError 28.92 Å,,,,,,,,[],[],,too distant,
7,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
8,,DistanceError 28.96 Å,,,,,,,,[],[],,too distant,
9,,DistanceError 25.88 Å,,,,,,,,[],[],,too distant,
10,,DistanceError 29.01 Å,,,,,,,,[],[],,too distant,
11,,DistanceError 27.16 Å,,,,,,,,[],[],,too distant,
12,,DistanceError 23.37 Å,,,,,,,,[],[],,too distant,
13,,DistanceError 28.98 Å,,,,,,,,[],[],,too distant,
14,,DistanceError 16.36 Å,,,,,,,,[],[],,too distant,
15,,DistanceError 19.36 Å,,,,,,,,[],[],,too distant,
16,,DistanceError 25.93 Å,,,,,,,,[],[],,too distant,
17,,DistanceError 8.40 Å,,,,,,,,[],[],,too distant,
18,,DistanceError 28.88 Å,,,,,,,,[],[],,too distant,
19,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[S@SP1H]1C([H])C1N([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H],,-220.63061746252805,25.21739628243371,245.84801374496178,1.840573803744921,21.0,0.0,2.782000780105591,"['7gp3-a', '7gq1-c']",[],10.506219879168002,too moved,34.0
20,,DistanceError 11.02 Å,,,,,,,,[],[],,too distant,
21,,DistanceError 29.11 Å,,,,,,,,[],[],,too distant,
22,,DistanceError 19.37 Å,,,,,,,,[],[],,too distant,
23,,DistanceError 24.52 Å,,,,,,,,[],[],,too distant,
24,,DistanceError 29.08 Å,,,,,,,,[],[],,too distant,
