compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
97926,NCCc1cccc2cc[nH]c12,JRWUXZQPAULKLR-UHFFFAOYSA-N,1.0,1.0,4,Enamine,,EN300-139142,36.0,EUR,,,NCCc1cccc2cc[nH]c12,2025-12-01,1,1,1,{'Amidation'},{413},{30265}
97927,NC(Cc1cc[nH]n1)C(=O)O,VOWKMMDXKYIBPG-UHFFFAOYSA-N,1.0,1.0,5,Enamine,,EN300-298326,51.0,EUR,,,Cl.Cl.NC(Cc1cc[nH]n1)C(=O)O,2025-12-01,1,1,1,{'Amidation'},{413},{30265}
97698,O=C(O)CCc1c[nH]c2ccccc12,GOLXRNDWAUTYKT-UHFFFAOYSA-N,1.0,1.0,1,Enamine,,EN300-20789,14.0,EUR,,,O=C(O)CCc1c[nH]c2ccccc12,2025-12-01,1,1,1,{'Amidation'},{324},{33797}
97699,NCCn1cc(Cl)cn1,HYMUJSKLHIXUOM-UHFFFAOYSA-N,1.0,1.0,6,Enamine,,EN300-215275,14.0,EUR,,,NCCn1cc(Cl)cn1,2025-12-01,1,1,1,{'Amidation'},{324},{33797}
97874,O=Cc1cc(-n2ccnc2)cs1,NETHONVYJZOPMN-UHFFFAOYSA-N,1.0,1.0,7,Enamine,,EN300-130429,14.0,EUR,,,O=Cc1cc(-n2ccnc2)cs1,2025-12-01,1,1,1,{'Reductive_amination'},{389},{46521}
97875,Nc1ccc2nscc2c1,CFHZGJYPGQCCJN-UHFFFAOYSA-N,1.0,1.0,8,Enamine,,EN300-128672,39.0,EUR,,,Nc1ccc2nscc2c1,2025-12-01,1,1,1,{'Reductive_amination'},{389},{46521}
98110,O=C1NC(C(=O)O)Cc2[nH]ncc21,WGJBVVVBUCXOIW-UHFFFAOYSA-N,1.0,1.0,9,Enamine,,EN300-26869898,53.0,EUR,,,O=C1N[C@H](C(=O)O)Cc2[nH]ncc21,2025-12-01,1,1,1,{'Amidation'},{444},{98112}
98111,COC(=O)C(N)Cc1cc[nH]n1,JMPPIFJTGSZMKA-UHFFFAOYSA-N,1.0,1.0,10,Enamine,,EN300-46781833,41.0,EUR,,,COC(=O)[C@H](N)Cc1cc[nH]n1.Cl.Cl,2025-12-01,1,1,1,{'Amidation'},{444},{98112}
98115,Cc1ccc2[nH]cc(CCC(=O)O)c2c1,AKIUYHHBFACIEZ-UHFFFAOYSA-N,8.0,10.0,69,Enamine,,EN300-96546,21.0,EUR,,,Cc1ccc2[nH]cc(CCC(=O)O)c2c1,2025-12-01,1,8,8,{'Amidation'},"{449, 450, 513, 1439, 626, 571, 574, 575}","{98338, 98339, 99203, 98277, 98213, 98214, 98390, 98335}"
98182,Cc1nn(CCN)cc1Cl,WPGUWNNXWVVRDQ-UHFFFAOYSA-N,20.0,20.0,,Enamine,,EN300-762683,46.0,EUR,,,Cc1nn(CCN)cc1Cl.Cl,2025-12-01,1,20,20,{'Amidation'},"{770, 797, 801, 1057, 550, 551, 941, 558, 701, 449, 454, 459, 460, 466, 473, 732, 479, 1135, 629, 502}","{98561, 98565, 98821, 98314, 98315, 98705, 98322, 98465, 98213, 98218, 98223, 98224, 98230, 98237, 98496, 98243, 98899, 98393, 98266, 98534}"
98183,Cc1c(Cl)cnn1CCN,RUAIMJXXDZJNMZ-UHFFFAOYSA-N,15.0,15.0,,Enamine,,EN300-6733867,33.0,EUR,,,Cc1c(Cl)cnn1CCN.Cl.Cl,2025-12-01,1,15,15,{'Amidation'},"{795, 450, 802, 1221, 631, 458, 746, 461, 462, 943, 465, 501, 471, 731, 541}","{98305, 98559, 98214, 98566, 98985, 98395, 98222, 98510, 98225, 98226, 98707, 98229, 98265, 98235, 98495}"
98118,O=C(O)CCc1c[nH]c2cc(Cl)ccc12,VFRNTOBLPJQBET-UHFFFAOYSA-N,4.0,10.0,71,Enamine,,EN300-1966289,57.0,EUR,,,O=C(O)CCc1c[nH]c2cc(Cl)ccc12,2025-12-01,1,4,4,{'Amidation'},"{546, 524, 454, 543}","{98288, 98218, 98307, 98310}"
98121,CC(CC(=O)O)c1c[nH]c2ccccc12,IKTJMKYSKNYTJM-UHFFFAOYSA-N,8.0,10.0,72,Enamine,,EN300-83700,15.0,EUR,,,CC(CC(=O)O)c1c[nH]c2ccccc12,2025-12-01,1,8,8,{'Amidation'},"{674, 458, 459, 653, 601, 600, 505, 1436}","{99200, 98438, 98222, 98223, 98269, 98417, 98364, 98365}"
