compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
98122,Cc1cccc2[nH]cc(CCC(=O)O)c12,NENSGINLKGHXBM-UHFFFAOYSA-N,6.0,10.0,75,Enamine,,EN300-97627,54.0,EUR,,,Cc1cccc2[nH]cc(CCC(=O)O)c12,2025-12-01,1,6,6,{'Amidation'},"{1444, 616, 617, 586, 462, 602}","{99208, 98380, 98381, 98350, 98226, 98366}"
98183,Cc1c(Cl)cnn1CCN,RUAIMJXXDZJNMZ-UHFFFAOYSA-N,10.0,10.0,73,Enamine,,EN300-6733867,22.0,EUR,,,Cc1c(Cl)cnn1CCN.Cl.Cl,2025-12-01,1,10,10,{'Amidation'},"{795, 802, 1221, 746, 462, 943, 501, 631, 731, 541}","{98305, 98559, 98566, 98985, 98510, 98226, 98707, 98265, 98395, 98495}"
98124,COc1ccc2c(CCC(=O)O)c[nH]c2c1,DKFJNGSTEWCNOY-UHFFFAOYSA-N,5.0,10.0,76,Enamine,,EN300-10841271,70.0,EUR,,,COc1ccc2c(CCC(=O)O)c[nH]c2c1,2025-12-01,1,5,5,{'Amidation'},"{641, 466, 569, 763, 764}","{98528, 98405, 98230, 98333, 98527}"
98182,Cc1nn(CCN)cc1Cl,WPGUWNNXWVVRDQ-UHFFFAOYSA-N,11.0,11.0,,Enamine,,EN300-762683,25.299999999999997,EUR,,,Cc1nn(CCN)cc1Cl.Cl,2025-12-01,1,11,11,{'Amidation'},"{801, 770, 1057, 550, 551, 797, 941, 558, 1135, 466, 701}","{98465, 98561, 98565, 98534, 98821, 98314, 98315, 98705, 98322, 98899, 98230}"
98125,CC(C)C(CC(=O)O)c1c[nH]c2ccccc12,FHQYOYXBMOXDKF-UHFFFAOYSA-N,4.0,10.0,60,Enamine,,EN300-231187,24.0,EUR,,,CC(C)C(CC(=O)O)c1c[nH]c2ccccc12,2025-12-01,1,4,4,{'Amidation'},"{752, 749, 748, 501}","{98512, 98265, 98516, 98513}"
98119,O=C(O)C1Cc2c([nH]c3ccccc23)C=N1,WTIULJWJWHZPQJ-UHFFFAOYSA-N,6.0,10.0,77,Enamine,,EN300-6737921,59.0,EUR,,,Cl.O=C(O)C1Cc2c([nH]c3ccccc23)C=N1,2025-12-01,1,6,6,{'Amidation'},"{520, 745, 659, 660, 755, 662}","{98519, 98284, 98509, 98423, 98424, 98426}"
98188,NNC(=O)Cn1cc(Cl)cn1,ZABGZJAYOAWVQP-UHFFFAOYSA-N,2.0,10.0,81,Enamine,,EN300-229525,18.0,EUR,,,NNC(=O)Cn1cc(Cl)cn1,2025-12-01,1,2,2,{'Amidation'},"{520, 772}","{98536, 98284}"
98118,O=C(O)CCc1c[nH]c2cc(Cl)ccc12,VFRNTOBLPJQBET-UHFFFAOYSA-N,3.0,10.0,71,Enamine,,EN300-1966289,57.0,EUR,,,O=C(O)CCc1c[nH]c2cc(Cl)ccc12,2025-12-01,1,3,3,{'Amidation'},"{546, 524, 543}","{98288, 98307, 98310}"
98191,CC(C(=O)NN)n1cc(Cl)cn1,ZTMYBYCUGKVPCU-UHFFFAOYSA-N,4.0,10.0,80,Enamine,,EN300-229509,19.0,EUR,,,CC(C(=O)NN)n1cc(Cl)cn1,2025-12-01,1,4,4,{'Amidation'},"{865, 1555, 524, 685}","{98288, 98449, 98629, 99319}"
98123,Cc1ccc2c(CCC(=O)O)c[nH]c2c1,BZQVNBRRLIMNAA-UHFFFAOYSA-N,4.0,10.0,74,Enamine,,EN300-96238,39.0,EUR,,,Cc1ccc2c(CCC(=O)O)c[nH]c2c1,2025-12-01,1,4,4,{'Amidation'},"{536, 1441, 612, 607}","{98376, 98371, 98300, 99205}"
