target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C98852,1,,,,O=C(O)CCc1c(-c2ccccc2)[nH]c2ccccc12,Cc1nn(CC(=O)NN)c(C)c1Cl,Cc1nn(CC(=O)NNC(=O)CCc2c(-c3ccccc3)[nH]c3ccccc23)c(C)c1Cl,Amidation,,
C98342,1,,,,CC(C)C(CC(=O)O)c1c[nH]c2ccccc12,Cc1nn(CCN)c(C)c1Cl,Cc1nn(CCNC(=O)CC(c2c[nH]c3ccccc23)C(C)C)c(C)c1Cl,Amidation,,
C98348,1,,,,CC(CC(=O)O)c1c[nH]c2ccccc12,CCC(C(=O)NN)n1cc(Cl)cn1,CCC(C(=O)NNC(=O)CC(C)c1c[nH]c2ccccc12)n1cc(Cl)cn1,Amidation,,
C98350,1,,,,Cc1cccc2[nH]cc(CCC(=O)O)c12,NCCn1cc(Cl)c(C(F)(F)F)n1,Cc1cccc2[nH]cc(CCC(=O)NCCn3cc(Cl)c(C(F)(F)F)n3)c12,Amidation,,
C98863,1,,,,O=C(O)CC(O)(c1c[nH]c2ccccc12)C(F)(F)F,Cc1nn(C(CN)C(C)C)c(C)c1Cl,Cc1nn(C(CNC(=O)CC(O)(c2c[nH]c3ccccc23)C(F)(F)F)C(C)C)c(C)c1Cl,Amidation,,
C98353,1,,,,Cc1[nH]c2ccccc2c1CCC(=O)O,CCC(CN)n1nc(C)c(Cl)c1Cl,CCC(CNC(=O)CCc1c(C)[nH]c2ccccc12)n1nc(C)c(Cl)c1Cl,Amidation,,
C98868,1,,,,Cc1ccc2[nH]c(-c3cccs3)c(CCC(=O)O)c2c1,NCCn1cc(Cl)c(C(F)(F)F)n1,Cc1ccc2[nH]c(-c3cccs3)c(CCC(=O)NCCn3cc(Cl)c(C(F)(F)F)n3)c2c1,Amidation,,
C98869,1,,,,Cc1ccc2[nH]c(-c3cccs3)c(CCC(=O)O)c2c1,Cc1nn(C(C)C(=O)NN)cc1Cl,Cc1ccc2[nH]c(-c3cccs3)c(CCC(=O)NNC(=O)C(C)n3cc(Cl)c(C)n3)c2c1,Amidation,,
C98871,1,,,,Cc1ccc2[nH]c(-c3cccs3)c(CCC(=O)O)c2c1,CCC(CN)n1nc(C)c(Cl)c1Cl,CCC(CNC(=O)CCc1c(-c2cccs2)[nH]c2ccc(C)cc12)n1nc(C)c(Cl)c1Cl,Amidation,,
C98366,1,,,,Cc1cccc2[nH]cc(CCC(=O)O)c12,CCC(CN)n1nc(C)c(Cl)c1Cl,CCC(CNC(=O)CCc1c[nH]c2cccc(C)c12)n1nc(C)c(Cl)c1Cl,Amidation,,
C98851,1,,,,O=C(O)CCc1c(-c2ccccc2)[nH]c2ccccc12,CCC(CN)n1nc(C)c(Cl)c1Cl,CCC(CNC(=O)CCc1c(-c2ccccc2)[nH]c2ccccc12)n1nc(C)c(Cl)c1Cl,Amidation,,
C98368,1,,,,Cn1cc(CCC(=O)O)c2ccccc21,CCC(C(=O)NN)n1cc(Cl)cn1,CCC(C(=O)NNC(=O)CCc1cn(C)c2ccccc12)n1cc(Cl)cn1,Amidation,,
C99360,1,,,,Cn1c2c(c3ccccc31)CC(C(=O)O)C2,Nc1c(Cl)cnn1C1CCN(Cc2ccccc2)C1,Cn1c2c(c3ccccc31)CC(C(=O)Nc1c(Cl)cnn1C1CCN(Cc3ccccc3)C1)C2,Amidation,,
C98882,1,,,,CCC(CC(=O)O)c1c[nH]c2ccccc12,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)NN,CCC(CC(=O)NNC(=O)C(C)n1nc(C(F)(F)F)c(Cl)c1C)c1c[nH]c2ccccc12,Amidation,,
C98371,1,,,,Cc1ccc2c(CCC(=O)O)c[nH]c2c1,Cc1nn(C(C)C(=O)NN)cc1Cl,Cc1ccc2c(CCC(=O)NNC(=O)C(C)n3cc(Cl)c(C)n3)c[nH]c2c1,Amidation,,
C98883,1,,,,CCC(CC(=O)O)c1c[nH]c2ccccc12,NNC(=O)Cn1nc(C(F)F)c(Cl)c1C1CC1,CCC(CC(=O)NNC(=O)Cn1nc(C(F)F)c(Cl)c1C1CC1)c1c[nH]c2ccccc12,Amidation,,
C98376,1,,,,Cc1ccc2c(CCC(=O)O)c[nH]c2c1,Cc1nn(C(CN)C(C)C)c(C)c1Cl,Cc1ccc2c(CCC(=O)NCC(C(C)C)n3nc(C)c(Cl)c3C)c[nH]c2c1,Amidation,,
C98380,1,,,,Cc1cccc2[nH]cc(CCC(=O)O)c12,Cc1nn(C(CN)C(C)C)c(C)c1Cl,Cc1nn(C(CNC(=O)CCc2c[nH]c3cccc(C)c23)C(C)C)c(C)c1Cl,Amidation,,
C98381,1,,,,Cc1cccc2[nH]cc(CCC(=O)O)c12,Cc1nn(C(C)C(=O)NN)c(C)c1Cl,Cc1nn(C(C)C(=O)NNC(=O)CCc2c[nH]c3cccc(C)c23)c(C)c1Cl,Amidation,,
C98899,1,,,,O=C(O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1cccs1,Cc1nn(CCN)cc1Cl,Cc1nn(CCNC(=O)C(Cc2c[nH]c3ccccc23)NS(=O)(=O)c2cccs2)cc1Cl,Amidation,,
C98389,1,,,,Cc1cccc2c(CCC(=O)O)c[nH]c12,Cc1nn(C(CN)C(C)C)c(C)c1Cl,Cc1nn(C(CNC(=O)CCc2c[nH]c3c(C)cccc23)C(C)C)c(C)c1Cl,Amidation,,
C98390,1,,,,Cc1ccc2[nH]cc(CCC(=O)O)c2c1,Cc1nn(C(CN)C(C)C)c(C)c1Cl,Cc1ccc2[nH]cc(CCC(=O)NCC(C(C)C)n3nc(C)c(Cl)c3C)c2c1,Amidation,,
C98395,1,,,,CC(=O)N1Cc2[nH]c3ccccc3c2CC1C(=O)O,Cc1c(Cl)cnn1CCN,CC(=O)N1Cc2[nH]c3ccccc3c2CC1C(=O)NCCn1ncc(Cl)c1C,Amidation,,
C98405,1,,,,COc1ccc2c(CCC(=O)O)c[nH]c2c1,CCC(CN)n1nc(C)c(Cl)c1Cl,CCC(CNC(=O)CCc1c[nH]c2cc(OC)ccc12)n1nc(C)c(Cl)c1Cl,Amidation,,
C98924,1,,,,O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)C=CC1=O,Cc1nn(CC(=O)NN)cc1Cl,Cc1nn(CC(=O)NNC(=O)C(Cc2c[nH]c3ccccc23)N2C(=O)C=CC2=O)cc1Cl,Amidation,,
C98417,1,,,,CC(CC(=O)O)c1c[nH]c2ccccc12,Cc1nn(C(CN)C(C)C)c(C)c1Cl,Cc1nn(C(CNC(=O)CC(C)c2c[nH]c3ccccc23)C(C)C)c(C)c1Cl,Amidation,,
C98932,1,,,,Cc1ccc2[nH]c(-c3ccc(Br)cc3)c(CCC(=O)O)c2c1,Cc1nn(CCN)c(C)c1Cl,Cc1ccc2[nH]c(-c3ccc(Br)cc3)c(CCC(=O)NCCn3nc(C)c(Cl)c3C)c2c1,Amidation,,
C98933,1,,,,COc1ccc2c(CCC(=O)O)c[nH]c2c1,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)NN,COc1ccc2c(CCC(=O)NNC(=O)C(C)n3nc(C(F)(F)F)c(Cl)c3C)c[nH]c2c1,Amidation,,
