name gnina_score gnina_score_min smina_score_min min_rmsd 
P6018 3.745 4.191 38.734 0.932
P24064 3.268 4.453 25.877 3.214
P42759 4.181 3.820 -2.648 3.969
P60973 4.668 4.539 -2.967 0.443
P60976 5.279 4.675 -4.311 1.177
P60977 4.925 4.747 -3.923 1.553
P60978 4.786 4.895 -3.919 0.879
P60979 5.232 4.733 -4.205 0.827
P60980 5.103 5.225 -4.032 2.827
P60981 5.201 4.851 -4.587 1.859
P60983 5.374 4.999 -3.801 1.797
P60984 5.102 4.891 -5.834 1.399
P60987 5.715 5.147 -3.707 1.890
P60988 5.328 4.600 -4.207 1.887
P60990 5.388 4.907 -4.924 2.356
P60992 4.824 4.727 -5.124 0.930
P60995 4.856 4.828 -2.973 0.099
P60997 5.433 5.062 -3.478 1.374
P60998 5.185 5.068 -4.601 1.804
P60999 5.274 5.106 -3.922 1.653
P61000 5.051 4.724 -6.335 2.202
P61002 6.212 5.098 -3.733 1.048
P61003 5.265 5.042 -5.479 0.675
P61007 5.075 4.939 -3.856 0.852
P61010 5.238 5.029 -5.979 1.429
P61012 4.945 5.066 -3.782 2.804
P61014 5.649 5.105 -4.254 1.958
P61016 5.930 5.545 -3.465 1.421
P61018 4.854 4.836 -2.579 1.275
P61019 5.499 5.382 -4.657 1.509
P61020 5.421 4.858 -5.061 2.380
P61021 6.006 5.314 -4.403 1.946
P61022 6.019 5.296 -4.083 1.601
P61023 5.850 5.540 -4.109 1.963
P61026 5.152 5.105 -5.297 0.782
P61029 5.541 5.063 -4.570 1.574
P61030 5.653 5.121 -4.664 2.256
P61031 5.032 5.120 -4.426 2.679
P61032 5.332 4.950 -5.204 2.097
P61033 5.661 5.025 -4.692 2.077
P61036 5.673 4.891 -5.070 2.152
P61037 4.893 5.104 -3.755 2.657
P61038 6.074 5.643 -4.374 2.071
P61039 5.972 5.440 -4.360 1.794
P61040 5.633 5.158 -4.273 0.836
P61041 5.807 5.603 -4.314 1.576
P61044 5.326 5.006 -6.071 1.647
P61045 5.387 5.287 -5.705 0.957
P61046 5.734 5.540 -4.242 1.443
P61049 5.797 5.431 -3.881 1.295
P61053 5.558 5.354 -5.639 0.906
P61057 5.659 5.308 -6.407 0.834
P61059 5.554 5.391 -5.748 1.685
P61063 5.768 5.125 -5.003 0.895
P61064 6.061 5.505 -4.788 1.592
P61067 5.698 5.238 -3.927 0.969
P61068 5.635 4.946 -4.493 1.699
P61069 5.563 5.294 -4.782 1.349
P61070 5.215 5.080 -5.452 1.703
P61073 5.533 5.144 -4.679 1.047
P61076 5.929 5.174 -5.199 0.972
P61077 6.323 5.747 -4.084 1.408
P61079 5.350 5.332 -5.743 0.832
P61080 5.638 5.247 -5.339 0.838
P61081 5.453 5.022 -5.604 2.256
P61082 5.263 5.226 -5.751 0.871
P61084 5.723 5.564 -6.657 0.420
P61085 6.006 5.454 -4.061 1.956
P61086 5.661 5.579 -3.714 1.339
P61087 5.533 5.298 -5.409 1.240
