smiles,hit1,hit2
Cc1nn(CCNC(=O)CCc2c(C)[nH]c3ccccc23)cc1Cl,7gp2-a,7goy-a
Cc1[nH]c2ccccc2c1CCC(=O)NCCn1ncc(Cl)c1C,7gp2-a,7goy-a
Cc1c(Cl)cnn1CCNC(=O)CCc1cn(C)c2ccccc12,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2cn(C)c3ccccc23)cc1Cl,7gp2-a,7goy-a
Cc1ccc2[nH]cc(CCC(=O)NCCn3cc(Cl)c(C)n3)c2c1,7gp2-a,7goy-a
Cc1ccc2[nH]cc(CCC(=O)NCCn3ncc(Cl)c3C)c2c1,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2c[nH]c3c(C)cccc23)cc1Cl,7gp2-a,7goy-a
Cn1c2c(c3ccccc31)CC(C(=O)N1CCn3ncc(Cl)c31)C2,7gp2-a,7goy-a
Cc1cccc2c(CCC(=O)NCCn3ncc(Cl)c3C)c[nH]c12,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2c[nH]c3cc(Cl)ccc23)cc1Cl,7gp2-a,7goy-a
Cc1c(Cl)cnn1CCNC(=O)CCc1c[nH]c2cc(Cl)ccc12,7gp2-a,7goy-a
O=C(C1Cc2c([nH]c3ccccc23)C=N1)N1CCn2ncc(Cl)c21,7gp2-a,7goy-a
CCC(CC(=O)N1CCn2ncc(Cl)c21)c1c[nH]c2ccccc12,7gp2-a,7goy-a
Cc1c(Cl)cnn1CCNC(=O)CC(C)c1c[nH]c2ccccc12,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CC(C)c2c[nH]c3ccccc23)cc1Cl,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2c[nH]c3cccc(C)c23)cc1Cl,7gp2-a,7goy-a
Cc1ccc2c(CCC(=O)NCCn3ncc(Cl)c3C)c[nH]c2c1,7gp2-a,7goy-a
Cc1cccc2[nH]cc(CCC(=O)NCCn3ncc(Cl)c3C)c12,7gp2-a,7goy-a
Cc1ccc2c(CCC(=O)NCCn3cc(Cl)c(C)n3)c[nH]c2c1,7gp2-a,7goy-a
Cn1c2c(c3ccccc31)CC(C(=O)N1CCn3ncc(Cl)c3C1)C2,7gp2-a,7goy-a
COc1ccc2c(CCC(=O)NCCn3ncc(Cl)c3C)c[nH]c2c1,7gp2-a,7goy-a
COc1ccc2c(CCC(=O)NCCn3cc(Cl)c(C)n3)c[nH]c2c1,7gp2-a,7goy-a
Cc1ccc2[nH]cc(CCC(=O)NCCn3nc(C)c(Cl)c3C)c2c1,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2ccc(C)cc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1ccc2[nH]cc(CCC(=O)NNC(=O)Cn3cc(Cl)cn3)c2c1,7gp2-a,7goy-a
Cn1c2c(c3ccccc31)CC(C(=O)N1CC(n3cc(Cl)cn3)C1)C2,7gp2-a,7goy-a
Cc1c(Cl)cnn1CCNC(=O)C1Cc2c([nH]c3ccccc23)C=N1,7gp2-a,7goy-a
O=C(C1Cc2c([nH]c3ccccc23)C=N1)N1CCn2ncc(Cl)c2C1,7gp2-a,7goy-a
Cc1nn(CCNC(=O)C2Cc3c([nH]c4ccccc34)C=N2)cc1Cl,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2c[nH]c3cc(Cl)ccc23)c(C)c1Cl,7gp2-a,7goy-a
O=C(C1Cc2c([nH]c3ccccc23)C=N1)N1CC(n2cc(Cl)cn2)C1,7gp2-a,7goy-a
Cc1cccc2c(CCC(=O)NNC(=O)Cn3cc(Cl)cn3)c[nH]c12,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2c(C)cccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2c[nH]c3c(C)cccc23)c(C)c1Cl,7gp2-a,7goy-a
CCC(CC(=O)NCCn1cc(Cl)c(C)n1)c1c[nH]c2ccccc12,7gp2-a,7goy-a
O=C(CCc1c[nH]c2cc(Cl)ccc12)NNC(=O)Cn1cc(Cl)cn1,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2cc(Cl)ccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c(C)[nH]c2ccccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1[nH]c2ccccc2c1CCC(=O)N1CCC(n2cc(Cl)cn2)C1,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2c(C)[nH]c3ccccc23)c(C)c1Cl,7gp2-a,7goy-a
Cc1cccc2[nH]cc(CCC(=O)NNC(=O)Cn3cc(Cl)cn3)c12,7gp2-a,7goy-a
CCC(CC(=O)NCCn1ncc(Cl)c1C)c1c[nH]c2ccccc12,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CC(C)c2c[nH]c3ccccc23)c(C)c1Cl,7gp2-a,7goy-a
CC(C)C(CC(=O)N1CCn2ncc(Cl)c21)c1c[nH]c2ccccc12,7gp2-a,7goy-a
CC(CC(=O)NNC(=O)Cn1cc(Cl)cn1)c1c[nH]c2ccccc12,7gp2-a,7goy-a
CCC(CNC(=O)CC(C)c1c[nH]c2ccccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cn1cc(CCC(=O)NNC(=O)Cn2cc(Cl)cn2)c2ccccc21,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2cn(C)c3ccccc23)c(C)c1Cl,7gp2-a,7goy-a
CCC(CNC(=O)CCc1cn(C)c2ccccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2cc(C)ccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1ccc2c(CCC(=O)NCCn3nc(C)c(Cl)c3C)c[nH]c2c1,7gp2-a,7goy-a
Cc1ccc2c(CCC(=O)NNC(=O)Cn3cc(Cl)cn3)c[nH]c2c1,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CCc2c[nH]c3cccc(C)c23)c(C)c1Cl,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2cccc(C)c12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1ccc2c(CCC(=O)NNC(=O)C(C)n3cc(Cl)cn3)c[nH]c2c1,7gp2-a,7goy-a
Cc1ccc2c(CCC(=O)NNC(=O)Cn3cc(Cl)c(C)n3)c[nH]c2c1,7gp2-a,7goy-a
Cc1c(Cl)cnn1CCNC(=O)CC(c1c[nH]c2ccccc12)C(C)C,7gp2-a,7goy-a
Cc1nn(CCNC(=O)CC(c2c[nH]c3ccccc23)C(C)C)cc1Cl,7gp2-a,7goy-a
Cc1[nH]c2ccccc2c1CCC(=O)NNC(=O)C(C)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CCc2c(C)[nH]c3ccccc23)cc1Cl,7gp2-a,7goy-a
CC(CC(=O)NNC(=O)C(C)n1cc(Cl)cn1)c1c[nH]c2ccccc12,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CC(C)c2c[nH]c3ccccc23)cc1Cl,7gp2-a,7goy-a
COc1ccc2c(CCC(=O)NNC(=O)Cn3cc(Cl)cn3)c[nH]c2c1,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2cc(OC)ccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
COCCn1cc(CCC(=O)N2CCn3ncc(Cl)c32)c2ccccc21,7gp2-a,7goy-a
Cc1[nH]c2ccccc2c1CC(F)(F)C(=O)NCCn1ncc(Cl)c1C,7gp2-a,7goy-a
Cc1nn(CCNC(=O)C(F)(F)Cc2c(C)[nH]c3ccccc23)cc1Cl,7gp2-a,7goy-a
Cc1ccc2[nH]cc(CCC(=O)NNC(=O)C(C)n3cc(Cl)cn3)c2c1,7gp2-a,7goy-a
Cc1ccc2[nH]cc(CCC(=O)NNC(=O)Cn3cc(Cl)c(C)n3)c2c1,7gp2-a,7goy-a
O=C(C1Cc2c([nH]c3ccccc23)C=N1)N1CCC(n2cc(Cl)cn2)C1,7gp2-a,7goy-a
CCC(CNC(=O)C1Cc2c([nH]c3ccccc23)C=N1)n1cc(Cl)cn1,7gp2-a,7goy-a
Cn1c2c(c3ccccc31)CC(C(=O)N1CCC(n3cc(Cl)cn3)C1)C2,7gp2-a,7goy-a
COc1ccc2c(CCC(=O)NCCn3nc(C)c(Cl)c3C)c[nH]c2c1,7gp2-a,7goy-a
Cc1cccc2c(CCC(=O)NNC(=O)C(C)n3cc(Cl)cn3)c[nH]c12,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CCc2c[nH]c3c(C)cccc23)cc1Cl,7gp2-a,7goy-a
O=C(Cn1cc(Cl)cn1)NNC(=O)C1Cc2c([nH]c3ccccc23)C=N1,7gp2-a,7goy-a
CC(C)C(CC(=O)N1CCn2ncc(Cl)c21)c1c[nH]c2ccc(Br)cc12,7gp2-a,7goy-a
Cc1nn(CCNC(=O)C2Cc3c([nH]c4ccccc34)C=N2)c(C)c1Cl,7gp2-a,7goy-a
CC(C)C(CC(=O)N1CCn2ncc(Cl)c21)c1c[nH]c2cc(Br)ccc12,7gp2-a,7goy-a
CC(C(=O)NNC(=O)CCc1c[nH]c2cc(Cl)ccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CCc2c[nH]c3cc(Cl)ccc23)cc1Cl,7gp2-a,7goy-a
CCC(CC(=O)NNC(=O)Cn1cc(Cl)cn1)c1c[nH]c2ccccc12,7gp2-a,7goy-a
CCC(CC(=O)NCC(CC)n1cc(Cl)cn1)c1c[nH]c2ccccc12,7gp2-a,7goy-a
CCC(CC(=O)NCCn1nc(C)c(Cl)c1C)c1c[nH]c2ccccc12,7gp2-a,7goy-a
CC(C(=O)NNC(=O)CCc1cn(C)c2ccccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CCc2cn(C)c3ccccc23)cc1Cl,7gp2-a,7goy-a
Cc1cccc2[nH]cc(CCC(=O)NNC(=O)C(C)n3cc(Cl)cn3)c12,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CCc2c[nH]c3cccc(C)c23)cc1Cl,7gp2-a,7goy-a
CC(=O)N1Cc2[nH]c3ccccc3c2CC1C(=O)N1CCn2ncc(Cl)c21,7gp2-a,7goy-a
CNC(=O)C(Cn1cc(Cl)cn1)NC(=O)CC(C)c1c[nH]c2ccccc12,7gp2-a,7goy-a
Cc1nn(CCNC(=O)C(Cc2c[nH]c3ccccc23)NC(N)=O)cc1Cl,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2cc(C)ccc12)n1nc(C)c(Cl)c1Cl,7gp2-a,7goy-a
CCC(C(=O)NNC(=O)CCc1c[nH]c2cc(C)ccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CCc2cn(C)c3ccccc23)c(C)c1Cl,7gp2-a,7goy-a
CCC(CNC(=O)CCc1cn(C)c2ccccc12)n1nc(C)c(Cl)c1Cl,7gp2-a,7goy-a
CCC(C(=O)NNC(=O)CCc1c[nH]c2cccc(C)c12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1c(Cl)cnn1CCNC(=O)CC(c1c[nH]c2c(Br)cccc12)C(C)C,7gp2-a,7goy-a
Cc1nn(CC(=O)NNC(=O)CCc2c[nH]c3cc(Cl)ccc23)c(C)c1Cl,7gp2-a,7goy-a
CCC(CNC(=O)CCc1c[nH]c2cc(Cl)ccc12)n1nc(C)c(Cl)c1Cl,7gp2-a,7goy-a
CCC(C(=O)NNC(=O)CCc1c[nH]c2cc(Cl)ccc12)n1cc(Cl)cn1,7gp2-a,7goy-a
Cc1nn(C(C)C(=O)NNC(=O)CCc2c[nH]c3cc(Cl)ccc23)cc1Cl,7gp2-a,7goy-a
O=C(CCc1c[nH]c2cc(Cl)ccc12)NCCn1cc(Cl)c(C(F)(F)F)n1,7gp2-a,7goy-a
