,smiles,inchi_key,error_type,error_message,retro_tool,db_search_tool,1_r1_smiles,1_r2_smiles,1_reaction,elab_single_reactant,hit1,num_placed,num_successful,route_uuid,template,to_hippo,total_num_products_enumstereo,total_num_unique_products,compound_set,hit2,hit3,hit4
0,<rdkit.Chem.rdchem.Mol object at 0x7f60fc64af10>,KROAYLUXSSWQAI-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction N-nucleophilic_aromatic_substitution in mol c1cc(C2CCCNC2)ccn1 and Brc1ccnc2nccn12,aizynthfinder,hippo,c1cc(C2CCCNC2)ccn1,Brc1ccnc2nccn12,N-nucleophilic_aromatic_substitution,0.0,,,,3e4548bb46a5fd32a3d5da3a9b1b700f,,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f52d1ffef10>,DIAOTMXFEKFWKS-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Amidation in mol Nc1cnn(CC(=O)O)c1 and CC(CC(=O)O)n1cccn1,aizynthfinder,hippo,Nc1cnn(CC(=O)O)c1,CC(CC(=O)O)n1cccn1,Amidation,0.0,,,,6d971159dc5a5570648d16fac1aa446c,,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f340bb51ee0>,PDTZHWIYSPFLPG-UHFFFAOYSA-N,ReactionError,The reactants do not match the reaction SMARTS in reaction Amidation in mol CC(Cc1cnc[nH]1)C(=O)O and Cc1cccc2c1CNCC2.,aizynthfinder,hippo,CC(Cc1cnc[nH]1)C(=O)O,Cc1cccc2c1CNCC2,Amidation,0.0,,,,da0fbc1f1a1869812595803e6a927d36,,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f8d281daf10>,NZYNFQSCGBAHER-UHFFFAOYSA-N,ReactionError,The reactants do not match the reaction SMARTS in reaction Formation_of_urea_from_two_amines in mol NCCc1nc2ccccc2[nH]1 and CNCc1nc(-c2ccccc2)c[nH]1.,aizynthfinder,hippo,NCCc1nc2ccccc2[nH]1,CNCc1nc(-c2ccccc2)c[nH]1,Formation_of_urea_from_two_amines,0.0,,,,6d94b439971bc63812d8770bae095344,,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f856899af10>,DDLZRWRFDIOAEM-UHFFFAOYSA-N,ReactionError,The reactants do not match the reaction SMARTS in reaction N-nucleophilic_aromatic_substitution in mol C1CCN(C2CCNC2)C1 and CC(C)Oc1nccnc1Cl.,aizynthfinder,hippo,C1CCN(C2CCNC2)C1,CC(C)Oc1nccnc1Cl,N-nucleophilic_aromatic_substitution,0.0,,,,52d0e384fd8c5e8391cd937bedc6579f,,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f45bf92ae30>,BBBAAHYRRAHWRH-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Amidation in mol O=C(O)Cn1cnc2ccccc21 and Cc1cccc2[nH]c(N)nc12,aizynthfinder,hippo,O=C(O)Cn1cnc2ccccc21,Cc1cccc2[nH]c(N)nc12,Amidation,0.0,,,,51350d3998e2c96a3cf6672aee448f15,,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f455f13dee0>,OZBIAXQJPCEDIX-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Amidation in mol NCCC1CCCN1 and CC(Cc1cnc[nH]1)C(=O)O,aizynthfinder,hippo,NCCC1CCCN1,CC(Cc1cnc[nH]1)C(=O)O,Amidation,0.0,,,,d91324791d0eaeb8f709d6e1728777a3,,,,,,,,
0,<rdkit.Chem.rdchem.Mol object at 0x7f9b693e6f10>,JBKAMAAHFPNPPK-UHFFFAOYSA-N,ReactionError,The reactants do not match the reaction SMARTS in reaction Amidation in mol O=C(O)C1CCCN1 and NCCc1c[nH]cn1.,aizynthfinder,hippo,O=C(O)C1CCCN1,NCCc1c[nH]cn1,Amidation,0.0,,,,7277481581fd53d413cf9aabee1a6a0a,,,,,,,,
0,CCCOCC[C@@H](O)c1nccs1,JNWOLVOKGCREMK-UHFFFAOYSA-N,SMARTSError,Reaction name Sp2-sp2_Suzuki_coupling not found in SMARTS handler.,,,,,,,7gph-a,,,,/opt/xchem-fragalysis-2/maxwin/openbind-hippo/d68ev3c/cycle_01/syndirella/elabs/templates/7go9-a_apo-desolv.pdb,,,,C48494,7gny-a,,
0,<rdkit.Chem.rdchem.Mol object at 0x7fab0fe36f10>,UXIUBXYLYUMWDO-UHFFFAOYSA-N,ReactionError,No atoms found involved in reaction Amidation in mol O=C(O)c1cnc2n1CCS2 and Nc1cccc2c1ccn2C(F)F,aizynthfinder,hippo,O=C(O)c1cnc2n1CCS2,Nc1cccc2c1ccn2C(F)F,Amidation,0.0,,,,149c12f7ed57e529de69541dcf7851b9,,,,,,,,
