smiles,template,compound_set,hit1,hit2,hit3,hit4,hit5
OC(=NCCNc1cccc2nc(Cl)oc12)c1ccsc1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gqr-a,7gp7-a,,,
NC(c1ccccc1)c1cccc(O)c1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gqb-a,7gp8-a,,,
CCC1C(O)CC(F)C(F)C1C(N)c1ccccc1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gqb-a,7gpi-a,,,
NC(c1ccccc1)C1CCCCC12CNC(O)CC2O,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gqb-a,7go7-a,,,
NC(c1ccccc1)c1ccccc1I,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gqb-a,7go4-a,,,
Nc1ccccc1C(N)c1ccccc1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gqb-a,7gpd-a,,,
CC1=NN(c2cccc(O)c2)C(=O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7gon-a,,,
CC1=NN(c2cccc(N=S(N)(=O)c3ccccc3OC(F)F)c2)C(=O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7gou-a,,,
CC1=NN(c2c(C)cccc2C(=O)O)C(=O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7got-a,,,
CC1=NN(c2cccc(Cl)c2)C(=O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7gq5-a,,,
CC1=C(CO)CC(=O)N1c1ccccc1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7gpt-a,,,
CC1=NN(c2ccccc2I)C(=O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7go7-a,,,
CC1=NN(c2ccccc2N)C(=O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7gqa-a,,,
CC1=NN(c2cccc(C)c2NC(=O)CS(=O)(=O)c2ccccc2)C(=O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp5-a,7gpd-a,,,
CCS(=O)(=NCO)C1CCCCC1(c1ccccc1)C(F)F,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp8-a,7goe-a,,,
CCS(=O)(=O)Nc1cccc(C)c1N=O,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp8-a,7god-a,,,
CCS(=O)(=O)NC1CCCCC12CNC(CO)NO2,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp8-a,7gpc-a,,,
CCS(=O)(=O)Nc1c(F)ccc(OCC(=O)O)c1F,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp8-a,7go7-a,,,
CCS(=O)(=NCc1cccc2nncn12)NCc1ccc2c(c1)OCO2,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp9-a,B0439a,,,
CCS(=O)(=NCc1cc2nnc(N)n2cc1-c1cnccn1)NCc1ccc2c(c1)OCO2,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gp9-a,B0691a,,,
Cc1[nH]cc2c1CC(=O)N=C2C(=O)NC(C)(CO)CO,7gp3-a,openbind_d68ev3c_c1_scaffolds,7gpw-a,7gny-a,,,
Oc1ccccc1C(O)(c1ccccc1)N1CC(O)C1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7goe-a,7gqd-a,,,
CNc1ccc(C(C=O)(c2ccccc2)N2CC(O)C2)cc1O,7gp3-a,openbind_d68ev3c_c1_scaffolds,7goe-a,7gnv-a,,,
OC1CCN(Cc2ccccc2C(c2ccccc2)N2CC(O)C2)CC1,7gp3-a,openbind_d68ev3c_c1_scaffolds,7goe-a,7gpc-a,,,
