target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C1366,1,,,,NCCN=C(O)c1ccsc1,Clc1nc2cccc(Cl)c2o1,OC(=NCCNc1cccc2nc(Cl)oc12)c1ccsc1,Buchwald-Hartwig_amination,,
C1396,1,,,,N,O=C(c1ccccc1)c1cccc(O)c1,NC(c1ccccc1)c1cccc(O)c1,Reductive_amination,,
C1418,1,,,,N,O=C(c1ccccc1)c1ccccc1I,NC(c1ccccc1)c1ccccc1I,Reductive_amination,,
C1422,1,,,,N,NC(c1ccccc1)c1ccccc1Br,Nc1ccccc1C(N)c1ccccc1,Buchwald-Hartwig_amination,,
C1430,1,,,,Oc1cccc(Br)c1,CC1=NNC(=O)C1,CC1=NN(c2cccc(O)c2)C(=O)C1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C1442,1,,,,CC1=NNC(=O)C1,Cc1cccc(C(=O)O)c1Br,CC1=NN(c2c(C)cccc2C(=O)O)C(=O)C1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C1445,1,,,,CC1=NNC(=O)C1,Clc1cccc(Br)c1,CC1=NN(c2cccc(Cl)c2)C(=O)C1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C1449,1,,,,CC1=C(CO)CC(=O)N1,Brc1ccccc1,CC1=C(CO)CC(=O)N1c1ccccc1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C1452,1,,,,CC1=NNC(=O)C1,Clc1ccccc1I,CC1=NN(c2ccccc2I)C(=O)C1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C1454,1,,,,N,CC1=NN(c2ccccc2Br)C(=O)C1,CC1=NN(c2ccccc2N)C(=O)C1,Buchwald-Hartwig_amination,,
C1458,1,,,,NC(=O)CS(=O)(=O)c1ccccc1,CC1=NN(c2cccc(C)c2Br)C(=O)C1,CC1=NN(c2cccc(C)c2NC(=O)CS(=O)(=O)c2ccccc2)C(=O)C1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C1565,1,,,,O=C(O)COc1ccc(F)c(Br)c1F,CCS(N)(=O)=O,CCS(=O)(=O)Nc1c(F)ccc(OCC(=O)O)c1F,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C483,1,,,,NCc1nc2c(I)cccc2[nH]1,CCCC(=O)O,CCCC(=O)NCc1nc2c(I)cccc2[nH]1,Amidation,,
C624,1,,,,Cc1ccc(NC(=O)C2COCCO2)c(CO)c1,CC(C)(N)CO,Cc1ccc(NC(=O)C2COCCO2)c(CNC(C)(C)CO)c1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C793,1,,,,O=C(O)c1sc(F)cc1Br,CC1(C)OB(CCC(=O)O)OC1(C)C,O=C(O)CCc1cc(F)sc1C(=O)O,Sp3-sp2_Suzuki_coupling,,
C730,1,,,,N,CC(C)(C)OC(=O)c1ccc2[nH]cnc2c1,NC(=O)c1ccc2[nH]cnc2c1,Ester_amidation,,
C1111,1,,,,Cc1ccncc1I,CC(N)c1noc(-c2ccc(N)cc2)n1,Cc1ccncc1NC(C)c1noc(-c2ccc(N)cc2)n1,N-nucleophilic_aromatic_substitution,,
C3167,1,,,,NC(=O)C1COCCO1,Cn1c(CO)nc2cccc(Br)c21,Cn1c(CO)nc2cccc(NC(=O)C3COCCO3)c21,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C3182,1,,,,N,Cn1c(CO)nc2c(Br)cccc21,Cn1c(CO)nc2c(N)cccc21,Buchwald-Hartwig_amination,,
