id,smiles,C86 90percent analogue,C86 95percent analogue,openbind_d68ev3c_c2_hit_analogues_85percent,C86 85percent analogue,openbind_d68ev3c_c2_hit_analogues_90percent,openbind_d68ev3c_c2_hit_analogues_95percent,C77 85percent analogue,C77 90percent analogue,C77 95percent analogue,C76 90percent analogue,C76 95percent analogue,C76 85percent analogue,C85 90percent analogue,C85 85percent analogue,C8 85percent analogue,openbind_a71ev2a_c2_hit_analogues_85percent,C85 95percent analogue,C16 95percent analogue,C16 90percent analogue,C16 85percent analogue,C54 90percent analogue,C54 95percent analogue,C54 85percent analogue,C139 85percent analogue,C140 85percent analogue,C140 95percent analogue,C140 90percent analogue,C2 95percent analogue,C2 85percent analogue,C2 90percent analogue,C4 90percent analogue,C4 85percent analogue,C4 95percent analogue,C5 85percent analogue,C5 95percent analogue,C5 90percent analogue,C7 90percent analogue,C7 95percent analogue,C7 85percent analogue,C8 90percent analogue,C8 95percent analogue,C9 85percent analogue,C9 95percent analogue,C9 90percent analogue,C68 85percent analogue,C10 85percent analogue,C10 95percent analogue,C10 90percent analogue,C15 90percent analogue,C15 85percent analogue,C15 95percent analogue,C18 95percent analogue,C18 85percent analogue,C18 90percent analogue,C23 90percent analogue,C23 95percent analogue,C23 85percent analogue,C94 90percent analogue,C24 85percent analogue,C94 85percent analogue,C94 95percent analogue,C28 85percent analogue,C24 90percent analogue,C24 95percent analogue,C25 85percent analogue,C25 95percent analogue,C25 90percent analogue,C26 90percent analogue,C26 85percent analogue,C26 95percent analogue,C28 95percent analogue,C28 90percent analogue,C31 95percent analogue,C31 85percent analogue,C31 90percent analogue,C32 95percent analogue,C32 90percent analogue,C32 85percent analogue,C34 95percent analogue,C34 85percent analogue,C34 90percent analogue,C35 95percent analogue,C35 90percent analogue,C35 85percent analogue,C36 90percent analogue,C36 85percent analogue,C36 95percent analogue,C37 90percent analogue,C37 85percent analogue,C37 95percent analogue,C42 85percent analogue,C42 95percent analogue,C42 90percent analogue,C43 85percent analogue,C43 90percent analogue,C43 95percent analogue,C45 90percent analogue,C45 95percent analogue,C45 85percent analogue,C46 90percent analogue,C46 95percent analogue,C46 85percent analogue,C47 95percent analogue,C47 85percent analogue,C47 90percent analogue,C48 85percent analogue,C48 90percent analogue,C48 95percent analogue,C53 95percent analogue,C53 90percent analogue,C53 85percent analogue,C59 85percent analogue,C59 90percent analogue,C59 95percent analogue,C60 90percent analogue,C60 95percent analogue,C60 85percent analogue,C62 90percent analogue,C62 85percent analogue,C62 95percent analogue,C67 85percent analogue,C67 90percent analogue,C67 95percent analogue,C70 90percent analogue,C70 95percent analogue,C70 85percent analogue,C72 90percent analogue,C72 85percent analogue,C72 95percent analogue,C73 95percent analogue,C73 85percent analogue,C73 90percent analogue,C75 95percent analogue,C75 90percent analogue,C75 85percent analogue,C79 90percent analogue,C79 95percent analogue,C79 85percent analogue,C83 90percent analogue,C83 85percent analogue,C83 95percent analogue,C90 85percent analogue,C90 90percent analogue,C90 95percent analogue,C91 85percent analogue,C91 95percent analogue,C91 90percent analogue,C93 85percent analogue,C93 95percent analogue,C93 90percent analogue,C97 85percent analogue,C97 95percent analogue,C97 90percent analogue,C98 90percent analogue,C98 85percent analogue,C98 95percent analogue,C101 90percent analogue,C101 95percent analogue,C101 85percent analogue,C122 90percent analogue,C122 85percent analogue,C122 95percent analogue
3193,N#Cc1cc(F)cc(S(N)(=O)=O)c1,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19830,CCCn1cnc2ccccc21,,,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40873,CNCCn1cnc2ccccc21,,,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94919,CCNCc1c[nH]c2ccccc12,,,True,,True,True,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121994,Cn1c(CN)nc2ccccc21,,,True,,True,True,,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130160,O=C(O)c1c(O)cccc1Br,,,True,,True,True,,,,,,,,,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130164,O=C(O)c1cc(Br)ccc1O,,,True,,True,True,,,,,,,,,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130233,COc1cc(Br)ccc1C(=O)O,,,True,,True,True,,,,,,,,,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142719,O=C(O)c1sccc1CO,,,True,,True,True,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154226,Cc1sccc1C(=O)O,,,True,,True,True,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
