name gnina_score gnina_score_min smina_score_min min_rmsd 
P63542 4.793 4.548 -4.412 0.809
P63543 4.573 4.521 -5.598 0.854
P63544 4.559 4.357 -4.412 0.825
P63545 4.701 4.473 -4.417 0.809
P63546 4.972 4.873 -5.020 0.625
P63547 4.843 4.773 -5.950 1.027
P63548 4.819 4.759 -5.923 1.086
P63549 4.842 4.753 -5.735 1.035
P63550 4.745 4.716 -5.671 1.042
P63551 4.707 4.759 -5.715 1.069
P63552 4.624 4.608 -5.631 1.102
P63553 4.717 4.622 -5.303 1.153
P63554 4.751 4.781 -5.355 0.451
P63555 4.792 4.735 -5.593 0.980
P63556 4.913 4.805 -5.286 1.010
P63557 4.689 4.594 -5.223 1.253
P63558 4.756 4.707 -5.951 1.032
P63559 4.618 4.643 -5.912 1.134
P63560 4.764 4.697 -5.812 0.961
P63561 4.765 4.722 -5.769 0.969
P63562 4.682 4.583 -5.484 1.008
P63563 4.513 4.548 -5.876 1.062
P63564 4.627 4.493 -6.026 0.998
P63565 4.833 4.918 -5.973 1.000
P63566 4.644 4.482 -5.509 1.157
P63567 4.776 4.642 -5.599 1.084
P63568 4.829 4.675 -5.807 1.103
P63569 4.947 4.997 -5.939 1.005
P63570 4.616 4.697 -5.764 0.893
P63571 4.724 4.798 -5.921 1.021
P63572 4.782 4.630 -5.786 1.098
P63573 4.524 4.555 -5.894 1.027
P63574 4.442 4.405 -5.592 1.109
P63575 4.551 4.403 -4.962 1.207
P63576 4.570 4.529 -5.619 1.031
P63577 4.608 4.602 -5.882 1.050
P63578 4.646 4.607 -5.875 1.048
P63579 4.380 4.496 -6.023 1.043
P63580 4.387 4.439 -5.871 1.066
P63581 4.526 4.501 -5.779 1.174
P63582 4.533 4.417 -6.028 0.933
P63583 4.356 4.368 -5.987 0.990
P63584 4.461 4.410 -5.819 1.021
P63585 4.337 4.252 -5.692 0.999
P63586 4.366 4.421 -6.247 1.022
P63587 4.349 4.391 -6.225 1.057
P63588 4.976 4.926 -5.559 0.980
P63589 4.956 4.958 -5.533 0.989
P63590 4.836 4.813 -5.310 0.976
P63591 4.965 4.968 -5.322 1.032
P63592 4.802 4.624 -5.482 1.011
P63593 4.564 4.498 -5.986 0.992
P63594 4.238 4.343 -6.134 0.787
P63595 4.354 4.419 -6.219 1.041
P63596 4.521 4.466 -5.988 1.151
P63597 4.461 4.468 -5.661 1.139
P63598 4.615 4.598 -5.733 1.145
P63599 4.586 4.400 -5.554 1.062
P63600 4.621 4.520 -5.820 1.073
P63601 4.330 4.200 -5.748 1.126
P63602 4.444 4.479 -5.906 1.062
P63603 4.582 4.623 -5.978 1.039
P63604 4.752 4.591 -5.501 1.044
P63605 4.545 4.574 -5.840 0.747
P63606 4.311 4.288 -6.045 1.097
P63607 4.319 4.235 -6.024 0.990
P63608 4.791 4.722 -5.447 0.797
P63609 4.390 4.338 -5.452 1.178
P63610 4.481 4.464 -5.573 1.352
P63611 4.545 4.474 -5.438 1.321
P63612 4.422 4.342 -5.267 1.289
P63613 4.453 4.399 -5.535 1.209
P63614 4.596 4.526 -5.569 1.382
P63615 4.358 4.273 -5.450 1.260
P63616 4.424 4.370 -5.665 1.367
P63617 4.521 4.475 -5.680 1.344
P63618 4.675 4.433 -4.805 0.673
P63619 4.521 4.517 -5.833 1.218
P63620 4.444 4.449 -5.588 1.136
P63621 4.717 4.558 -5.834 1.070
P63622 4.677 4.555 -5.822 1.088
P63623 4.536 4.441 -5.466 1.067
P63624 4.628 4.500 -5.634 1.114
P63625 4.561 4.471 -5.645 1.101
P63626 4.674 4.628 -5.851 1.157
P63627 4.592 4.479 -5.801 1.095
P63628 5.054 5.011 -5.517 1.010
P63629 5.057 5.036 -5.573 0.972
P63630 4.746 4.748 -5.293 0.922
P63631 4.962 4.963 -5.576 0.969
P63632 4.898 4.871 -5.351 1.069
P63633 5.118 5.023 -4.694 0.462
P63634 4.730 4.713 -5.769 1.014
P63635 4.841 4.782 -5.755 1.048
P63636 4.714 4.736 -4.556 0.588
P63637 4.711 4.687 -5.354 0.444
P63638 4.734 4.725 -5.546 1.023
P63639 4.639 4.614 -5.558 0.924
P63640 4.732 4.707 -5.757 1.066
P63641 4.579 4.298 -5.557 1.064
P63642 4.566 4.193 -5.343 1.108
P63643 4.550 4.767 -5.537 1.274
P63644 4.960 4.938 -5.210 1.607
P63645 4.990 5.063 -5.096 1.331
P63646 4.879 4.850 -4.989 1.536
P63647 4.979 4.958 -5.045 1.018
P63648 4.699 4.645 -4.398 0.565
P63649 4.759 4.713 -5.741 1.002
P63650 4.612 4.594 -5.749 1.047
P63651 4.486 4.448 -4.408 0.530
P63652 4.293 4.196 -5.376 1.294
P63653 4.569 4.302 -5.368 0.985
P63654 4.550 4.598 -6.225 1.121
P63655 4.560 4.312 -5.138 0.546
P63656 4.446 4.497 -5.957 1.154
P63657 4.484 4.207 -5.417 1.044
P63658 4.456 4.234 -5.402 0.969
P63659 4.553 4.291 -5.567 1.076
P63660 4.724 4.619 -5.897 1.056
P63661 4.614 4.538 -5.642 1.014
P63662 4.546 4.561 -5.821 1.034
P63663 4.380 4.380 -5.911 1.001
P63664 4.602 4.535 -5.917 1.037
P63665 5.024 5.022 -5.125 1.578
P63666 4.341 4.435 -6.137 1.214
P63667 4.797 4.832 -4.928 1.471
P63668 4.929 4.910 -5.663 0.986
P63669 4.519 4.417 -5.951 1.013
P63670 4.558 4.433 -5.074 0.714
P63671 4.882 4.767 -5.372 0.411
P63672 4.850 4.785 -5.343 0.296
P63673 4.822 4.642 -5.545 1.045
P63674 4.928 4.929 -5.428 1.053
P63675 4.636 4.545 -5.122 0.562
P63676 4.951 4.837 -5.352 0.637
P63677 4.769 4.630 -5.789 1.138
P63678 4.913 4.903 -5.626 0.998
P63679 4.858 4.977 -5.077 1.363
P63680 4.998 4.919 -4.947 1.796
P63681 4.956 4.893 -4.781 1.258
P63682 4.854 4.771 -5.230 0.801
P63683 4.487 4.434 -5.893 1.056
P63684 4.577 4.537 -5.971 1.075
P63685 4.488 4.499 -5.889 1.180
P63686 5.004 5.097 -5.950 0.880
P63687 4.765 4.760 -5.645 0.907
P63688 4.748 4.767 -5.605 0.868
P63689 4.750 4.755 -5.363 1.107
P63690 4.769 4.593 -5.501 1.632
P63691 4.451 4.344 -5.519 1.317
P63692 4.686 4.701 -5.891 1.106
P63693 4.662 4.630 -5.391 1.522
P63694 4.767 4.596 -5.108 1.305
P63695 4.839 4.784 -5.373 1.219
P63696 4.926 4.700 -5.423 1.307
P63697 5.079 5.142 -6.126 0.950
P63698 4.911 5.071 -6.022 0.941
P63699 4.727 4.618 -5.316 1.270
P63700 4.545 4.330 -6.267 1.075
P63701 4.489 4.430 -6.255 1.157
P63702 4.375 4.209 -5.718 1.140
P63703 4.497 4.340 -6.017 1.038
P63704 4.644 4.430 -3.954 0.465
P63705 4.660 4.412 -3.945 0.444
P63706 4.945 4.681 -5.941 1.126
P63707 4.981 4.815 -5.401 0.964
P63708 4.989 5.077 -6.192 0.960
P63709 4.630 4.656 -5.575 0.957
P63710 4.614 4.523 -6.163 1.070
P63711 5.004 4.836 -6.080 1.085
P63712 5.020 4.897 -6.012 1.022
P63713 4.927 4.988 -6.092 1.098
P63714 5.063 4.897 -5.747 1.057
P63715 4.999 5.074 -5.970 0.953
P63716 5.089 5.161 -6.200 1.014
P63717 4.822 5.035 -6.308 0.862
P63718 4.901 4.746 -6.070 1.072
P63719 5.011 5.100 -6.198 1.009
P63720 4.475 4.395 -5.925 1.191
P63721 4.671 4.355 -6.005 1.144
P63722 4.908 4.886 -6.022 1.046
P63723 4.769 4.767 -5.136 1.342
P63724 4.904 4.865 -5.800 1.061
P63725 4.861 4.808 -5.682 0.557
P63726 4.963 4.943 -5.594 1.122
P63727 4.442 4.178 -5.815 0.667
P63728 4.314 4.177 -6.004 1.050
P63729 4.450 4.198 -6.003 1.122
P63730 4.923 4.907 -5.927 0.812
P63731 4.685 4.781 -6.086 1.210
P63732 4.767 4.821 -6.298 1.128
P63733 4.639 4.696 -6.284 1.135
P63734 4.948 4.942 -6.303 1.003
P63735 4.937 4.948 -6.545 1.033
P63736 4.808 4.854 -6.120 0.590
P63737 4.855 4.897 -6.056 1.072
P63738 4.626 4.696 -6.088 0.648
P63739 4.857 4.877 -6.249 1.027
P63740 4.886 4.881 -6.259 1.067
P63741 5.042 4.950 -5.991 1.068
P63742 4.663 4.658 -5.772 1.003
P63743 4.821 4.564 -5.918 1.124
P63744 4.872 4.635 -5.105 1.509
P63745 4.600 4.646 -6.285 1.038
P63746 4.742 4.817 -6.029 0.964
P63747 4.728 4.816 -5.839 0.965
P63748 4.886 4.875 -5.555 1.329
P63749 4.578 4.544 -6.407 1.128
P63750 4.766 4.685 -6.283 1.024
P63751 4.797 4.807 -5.793 1.061
P63752 4.784 4.787 -5.802 0.887
P63753 4.820 4.565 -5.785 1.326
P63754 4.484 4.416 -6.085 1.164
P63755 4.951 5.034 -6.048 1.212
P63756 4.776 4.673 -6.001 1.048
P63757 4.502 4.497 -6.052 1.029
P63758 5.079 4.863 -5.359 0.394
P63759 4.637 4.560 -6.334 1.060
P63760 4.865 4.827 -5.295 1.354
P63761 4.496 4.397 -6.016 1.008
P63762 4.622 4.604 -6.371 1.155
P63763 4.289 4.199 -5.939 1.264
P63764 4.406 4.526 -6.562 1.099
P63765 4.616 4.528 -6.178 1.064
P63766 4.714 4.692 -6.338 1.161
P63767 4.346 4.325 -5.951 1.383
P63768 4.558 4.470 -6.177 1.202
P63769 4.845 4.876 -6.062 0.952
P63770 4.899 4.881 -5.529 1.331
P63771 4.759 4.749 -5.291 1.072
P63772 4.660 4.625 -6.386 1.138
P63773 4.688 4.667 -6.383 1.121
P63774 4.545 4.490 -6.013 0.956
P63775 4.630 4.578 -6.278 1.032
P63776 4.792 4.719 -6.296 1.023
P63777 4.530 4.547 -6.113 1.281
P63778 4.926 4.819 -6.093 1.035
P63779 4.830 4.851 -6.122 1.076
P63780 4.707 4.636 -5.741 0.429
P63781 4.783 4.839 -5.674 1.089
P63782 4.915 4.979 -5.857 1.041
P63783 4.997 5.013 -6.091 1.082
P63784 4.975 4.941 -5.514 1.347
P63785 4.552 4.389 -5.410 1.328
P63786 4.682 4.668 -6.294 1.060
P63787 4.551 4.613 -6.556 0.992
P63788 4.521 4.620 -6.670 0.985
P63789 4.649 4.642 -6.113 1.039
P63790 4.723 4.680 -6.405 1.123
P63791 4.552 4.391 -5.987 1.078
P63792 4.614 4.580 -6.242 1.191
P63793 4.904 4.882 -6.202 0.631
P63794 4.583 4.609 -6.315 0.945
P63795 4.464 4.349 -5.806 1.073
P63796 4.431 4.210 -5.933 1.206
P63797 4.542 4.651 -6.681 1.030
P63798 4.846 4.744 -6.422 1.101
P63799 4.809 4.806 -6.392 1.195
P63800 4.564 4.359 -5.657 1.208
P63801 4.525 4.417 -5.808 1.025
P63802 4.736 4.736 -6.315 1.001
P63803 4.758 4.699 -6.328 1.020
P63804 4.419 4.442 -6.205 1.021
P63805 5.054 4.953 -5.256 0.495
P63806 4.762 4.784 -5.843 1.162
P63807 4.650 4.434 -5.752 1.249
P63808 4.832 4.811 -5.806 1.128
