target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C128871,1,,,,O=C(O)C1(S(=O)(=O)c2ccc(Br)cc2)CCCC1,Cc1c(N)cccc1Cl,Cc1c(Cl)cccc1NC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CCCC1,Amidation,,
C150626,1,,,,O=C(O)Cn1cn[nH]c1=O,Clc1ccc(C2CCN2)cc1,O=C(Cn1cn[nH]c1=O)N1CCC1c1ccc(Cl)cc1,Amidation,,
C150630,1,,,,O=C(O)Cn1cn[nH]c1=O,Brc1ccc(C2CCN2)cc1,O=C(Cn1cn[nH]c1=O)N1CCC1c1ccc(Br)cc1,Amidation,,
C150647,1,,,,Cc1nnc2n1C(C(=O)O)CC2,c1ccc(C2CCN2)cc1,Cc1nnc2n1C(C(=O)N1CCC1c1ccccc1)CC2,Amidation,,
C150754,1,,,,O=C(O)Cn1c(=O)[nH][nH]c1=O,Brc1ccc(C2CCN2)cc1,O=C(Cn1c(=O)[nH][nH]c1=O)N1CCC1c1ccc(Br)cc1,Amidation,,
C150814,1,,,,CC(C)C(C(=O)O)n1cnnc1,Clc1ccc(C2CCN2)cc1,CC(C)C(C(=O)N1CCC1c1ccc(Cl)cc1)n1cnnc1,Amidation,,
C150816,1,,,,CC(C)C(C(=O)O)n1cnnc1,Brc1ccc(C2CCN2)cc1,CC(C)C(C(=O)N1CCC1c1ccc(Br)cc1)n1cnnc1,Amidation,,
C150871,1,,,,CCCc1nnc(S)n1CC(=O)O,CC1NC1c1ccccc1,CCCc1nnc(S)n1CC(=O)N1C(C)C1c1ccccc1,Amidation,,
C150872,1,,,,CCCc1nnc(S)n1CC(=O)O,c1ccc(C2CCN2)cc1,CCCc1nnc(S)n1CC(=O)N1CCC1c1ccccc1,Amidation,,
C168224,1,,,,O=C(O)Cn1cc(I)c(=O)[nH]c1=O,NCc1cc(Br)ccc1F,O=C(Cn1cc(I)c(=O)[nH]c1=O)NCc1cc(Br)ccc1F,Amidation,,
C168234,1,,,,O=C(O)Cn1cc(I)c(=O)[nH]c1=O,NCc1cc(Br)ccc1Br,O=C(Cn1cc(I)c(=O)[nH]c1=O)NCc1cc(Br)ccc1Br,Amidation,,
C150909,1,,,,CC(C)(C)C(C(=O)O)n1cnnc1,CC1NC1c1ccccc1,CC1C(c2ccccc2)N1C(=O)C(n1cnnc1)C(C)(C)C,Amidation,,
C150936,1,,,,O=C(O)C1CCCc2nncn21,Clc1ccc(C2CCN2)cc1,O=C(C1CCCc2nncn21)N1CCC1c1ccc(Cl)cc1,Amidation,,
C150939,1,,,,O=C(O)C1CCCc2nncn21,Brc1ccc(C2CCN2)cc1,O=C(C1CCCc2nncn21)N1CCC1c1ccc(Br)cc1,Amidation,,
C150962,1,,,,O=C(O)C1CCCc2nncn21,Fc1cccc(C2CCN2)c1,O=C(C1CCCc2nncn21)N1CCC1c1cccc(F)c1,Amidation,,
C150978,1,,,,O=C(O)C1CCCc2nncn21,Fc1ccccc1C1CCN1,O=C(C1CCCc2nncn21)N1CCC1c1ccccc1F,Amidation,,
C150985,1,,,,O=C(O)C1CCCc2nncn21,CC1CNC1c1ccccc1,CC1CN(C(=O)C2CCCc3nncn32)C1c1ccccc1,Amidation,,
C150994,1,,,,Cc1nnc2n1C(C(=O)O)CC2,Nc1cccc2c1CNC2=O,Cc1nnc2n1C(C(=O)Nc1cccc3c1CNC3=O)CC2,Amidation,,
C150995,1,,,,Cc1nnc2n1C(C(=O)O)CC2,Clc1ccc(C2CCN2)cc1,Cc1nnc2n1C(C(=O)N1CCC1c1ccc(Cl)cc1)CC2,Amidation,,
