compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
99449,O=C(O)c1ccncc1S,FRRCVAYPJRENEV-UHFFFAOYSA-N,20.0,20.0,,Enamine,,Z1198154402,40.0,EUR,,,O=C(O)c1ccncc1S,2025-12-09,1,20,20,{'Amidation'},"{2944, 4994, 4995, 4997, 4998, 4999, 5005, 2976, 2978, 5172, 3021, 3024, 3026, 4961, 1773, 1774, 1779, 2935, 2940, 2943}","{99719, 99720, 99725, 100881, 100886, 100889, 100890, 102940, 102941, 102943, 102944, 102945, 102951, 100922, 100924, 103118, 100967, 100970, 100972, 102907}"
99530,Cc1cc(Br)c(F)cc1N,BRAZFTXACIZDRP-UHFFFAOYSA-N,17.0,17.0,,Enamine,,Z1269166743,23.799999999999997,EUR,,,Cc1cc(Br)c(F)cc1N,2025-12-09,1,17,17,{'Amidation'},"{2336, 2689, 2281, 2346, 2601, 1773, 2221, 2383, 2672, 2322, 2165, 1975, 2136, 2650, 2588, 2717, 1822}","{100227, 100292, 100547, 99719, 100167, 100329, 100618, 100268, 100111, 99921, 100082, 100596, 100534, 100663, 99768, 100282, 100635}"
99524,Cc1c(N)cc(F)cc1Br,DSYSVUWIAUMZDQ-UHFFFAOYSA-N,19.0,19.0,,Enamine,,Z1269194247,26.599999999999998,EUR,,,Cc1c(N)cc(F)cc1Br,2025-12-09,1,19,19,{'Amidation'},"{2690, 2312, 2587, 2338, 2602, 2219, 2732, 2733, 2362, 2376, 1868, 2135, 2649, 2267, 1893, 2280, 1774, 2671, 2164}","{100226, 99720, 100617, 100110, 100636, 100258, 100533, 100284, 100548, 100165, 100678, 100679, 100308, 100322, 99814, 100081, 100595, 100213, 99839}"
99529,Cc1ccc(F)c(Br)c1N,QWAYQUHVVUYSHD-UHFFFAOYSA-N,26.0,26.0,,Enamine,,Z1868459318,44.199999999999996,EUR,,,Cc1ccc(F)c(Br)c1N,2025-12-09,1,26,26,{'Amidation'},"{2571, 30477, 2708, 30229, 2716, 2337, 2211, 2607, 30397, 2111, 2371, 2117, 30153, 30538, 30288, 2130, 30419, 2644, 29656, 2275, 29926, 2666, 2027, 2159, 1779, 29693}","{100612, 99973, 100105, 129547, 129932, 99725, 129682, 129813, 129050, 100517, 129320, 100654, 100662, 100283, 100157, 129087, 100553, 129871, 129623, 100057, 100317, 100063, 100076, 100590, 100221, 129791}"
99455,O=C(O)c1ccncc1I,MJSNRTLYWDXHAQ-UHFFFAOYSA-N,15.0,15.0,,Enamine,,Z1269217659,21.0,EUR,,,O=C(O)c1ccncc1I,2025-12-09,1,15,15,{'Amidation'},"{2880, 3106, 3395, 1796, 2884, 3308, 3309, 3372, 3183, 3374, 3219, 3481, 3515, 3260, 1822}","{99742, 101254, 101255, 101318, 101129, 101320, 101165, 101427, 101461, 101206, 99768, 100826, 101052, 101341, 100830}"
99534,Cc1cc(F)cc(N)c1C,SEJGGCYSNFHMMP-UHFFFAOYSA-N,13.0,13.0,,Enamine,,Z2311015944,50.699999999999996,EUR,,,Cc1cc(F)cc(N)c1C,2025-12-09,1,13,13,{'Amidation'},"{2593, 2659, 1796, 2285, 2351, 2225, 2291, 2388, 2327, 2681, 2170, 2684, 2141}","{100231, 100297, 100171, 100237, 100334, 100273, 100627, 100116, 100630, 100087, 100539, 100605, 99742}"
99457,Cc1cc(C(=O)O)c(Cl)cn1,GARAUIFEOTVPAO-UHFFFAOYSA-N,17.0,17.0,,Enamine,,Z1255459201,23.799999999999997,EUR,,,Cc1cc(C(=O)O)c(Cl)cn1,2025-12-09,1,17,17,{'Amidation'},"{5859, 6564, 5861, 5867, 5836, 1868, 1869, 6540, 5840, 6544, 5845, 6581, 1881, 6618, 1851, 5853, 5854}","{103813, 103782, 99814, 99815, 104486, 103786, 104490, 103791, 104527, 99827, 104564, 99797, 103799, 103800, 103805, 104510, 103807}"
99531,CCc1ccc(F)cc1N,FCUKQQYXNBXCOK-UHFFFAOYSA-N,10.0,10.0,5006,Enamine,,Z1551948514,129.0,EUR,,,CCc1ccc(F)cc1N,2025-12-09,1,10,10,{'Amidation'},"{1891, 2697, 2730, 2447, 2321, 2673, 2323, 2137, 1851, 2589}","{100643, 100676, 100393, 100267, 100619, 100269, 100083, 99797, 100535, 99837}"
99525,Nc1cc(F)ccc1CO,XZXFGEIRYBKMMR-UHFFFAOYSA-N,5.0,10.0,5000,Enamine,,Z1198159868,14.0,EUR,,,Nc1cc(F)ccc1CO,2025-12-09,1,5,5,{'Amidation'},"{1894, 2375, 2344, 1869, 2719}","{99840, 100321, 100290, 99815, 100665}"
99527,Cc1c(N)cc(F)cc1F,FKRCKCKSZRUPHS-UHFFFAOYSA-N,12.0,12.0,,Enamine,,Z1203653259,22.799999999999997,EUR,,,Cc1c(N)cc(F)cc1F,2025-12-09,1,12,12,{'Amidation'},"{2721, 2277, 2342, 2693, 1896, 2378, 2668, 2605, 2161, 2132, 2356, 1881}","{100288, 99842, 100324, 100639, 100614, 100551, 100107, 100078, 100302, 99827, 100667, 100223}"
