target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C121892,1,,,,COC(=O)C1(Cl)CC1C(=O)O,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,COC(=O)C1(Cl)CC1C(=O)NC1(c2n[nH]c(-c3cccs3)n2)CCC1,Amidation,,,,,,,,
C165279,1,,,,O=C(O)C(F)(F)Cl,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C(F)(F)Cl,Amidation,,,,,,,,
C121895,1,,,,O=C1CCC(C(Cl)C(=O)O)N1,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,O=C1CCC(C(Cl)C(=O)NC2(c3n[nH]c(-c4cccs4)n3)CCC2)N1,Amidation,,,,,,,,
C121896,1,,,,O=C(O)C1(Cl)CC12CCOCC2,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,O=C(NC1(c2n[nH]c(-c3cccs3)n2)CCC1)C1(Cl)CC12CCOCC2,Amidation,,,,,,,,
C165296,1,,,,CC(C)CC(Cl)C(=O)O,NCc1ccc2cc[nH]c2n1,CC(C)CC(Cl)C(=O)NCc1ccc2cc[nH]c2n1,Amidation,,,,,,,,
C165297,1,,,,CC(F)(F)C(C)(Cl)C(=O)O,NCc1ccc2cc[nH]c2n1,CC(F)(F)C(C)(Cl)C(=O)NCc1ccc2cc[nH]c2n1,Amidation,,,,,,,,
C165298,1,,,,CC(=O)C1CC1(Cl)C(=O)O,NCc1ccc2cc[nH]c2n1,CC(=O)C1CC1(Cl)C(=O)NCc1ccc2cc[nH]c2n1,Amidation,,,,,,,,
C165299,1,,,,CC(C)C1OC1(Cl)C(=O)O,NCc1ccc2cc[nH]c2n1,CC(C)C1OC1(Cl)C(=O)NCc1ccc2cc[nH]c2n1,Amidation,,,,,,,,
C121901,1,,,,O=C(O)C(Cl)c1ccccc1Cl,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,O=C(NC1(c2n[nH]c(-c3cccs3)n2)CCC1)C(Cl)c1ccccc1Cl,Amidation,,,,,,,,
C165300,1,,,,O=C(O)C1(Cl)CCCCC1,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C1(Cl)CCCCC1,Amidation,,,,,,,,
C121903,1,,,,CCOC(=O)C1(Cl)CC1C(=O)O,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,CCOC(=O)C1(Cl)CC1C(=O)NC1(c2n[nH]c(-c3cccs3)n2)CCC1,Amidation,,,,,,,,
C121904,1,,,,O=C1CCCC(C(Cl)C(=O)O)N1,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,O=C1CCCC(C(Cl)C(=O)NC2(c3n[nH]c(-c4cccs4)n3)CCC2)N1,Amidation,,,,,,,,
C121905,1,,,,CN1C(=O)CCC1C(Cl)C(=O)O,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,CN1C(=O)CCC1C(Cl)C(=O)NC1(c2n[nH]c(-c3cccs3)n2)CCC1,Amidation,,,,,,,,
C121906,1,,,,CCOC(=O)CCC(Cl)C(=O)O,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,CCOC(=O)CCC(Cl)C(=O)NC1(c2n[nH]c(-c3cccs3)n2)CCC1,Amidation,,,,,,,,
C121907,1,,,,O=C(O)C(F)(Cl)c1ccccc1,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,O=C(NC1(c2n[nH]c(-c3cccs3)n2)CCC1)C(F)(Cl)c1ccccc1,Amidation,,,,,,,,
C121908,1,,,,O=C(O)C(Cl)c1ccc(Cl)c(Cl)c1,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,O=C(NC1(c2n[nH]c(-c3cccs3)n2)CCC1)C(Cl)c1ccc(Cl)c(Cl)c1,Amidation,,,,,,,,
C121909,1,,,,CC(C)(C)OC(=O)C1CC1(Cl)C(=O)O,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,CC(C)(C)OC(=O)C1CC1(Cl)C(=O)NC1(c2n[nH]c(-c3cccs3)n2)CCC1,Amidation,,,,,,,,
C165282,1,,,,O=C(O)C1(Cl)CC1,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C1(Cl)CC1,Amidation,,,,,,,,
C121911,1,,,,CC(C)(C)OC(=O)NCCC(Cl)C(=O)O,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,CC(C)(C)OC(=O)NCCC(Cl)C(=O)NC1(c2n[nH]c(-c3cccs3)n2)CCC1,Amidation,,,,,,,,
C165301,1,,,,O=C(O)C1(Cl)CC12CCC2,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C1(Cl)CC12CCC2,Amidation,,,,,,,,
C165308,1,,,,O=C1CCC(C(Cl)C(=O)O)N1,NCc1ccc2cc[nH]c2n1,O=C1CCC(C(Cl)C(=O)NCc2ccc3cc[nH]c3n2)N1,Amidation,,,,,,,,
C165309,1,,,,O=C(O)C1(Cl)CC12CCOCC2,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C1(Cl)CC12CCOCC2,Amidation,,,,,,,,
C165310,1,,,,O=C(O)C(Cl)c1ccccc1F,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C(Cl)c1ccccc1F,Amidation,,,,,,,,
C165311,1,,,,O=C(O)C(Cl)c1cccc(Cl)c1,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C(Cl)c1cccc(Cl)c1,Amidation,,,,,,,,
C165312,1,,,,O=C(O)C(Cl)c1cccc(Br)c1,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C(Cl)c1cccc(Br)c1,Amidation,,,,,,,,
C165306,1,,,,CN1CCC(Cl)(C(=O)O)CC1,NCc1ccc2cc[nH]c2n1,CN1CCC(Cl)(C(=O)NCc2ccc3cc[nH]c3n2)CC1,Amidation,,,,,,,,
C165314,1,,,,O=C(O)C(Cl)c1ccccc1Cl,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C(Cl)c1ccccc1Cl,Amidation,,,,,,,,
C165303,1,,,,O=C(O)C1(Cl)CC2CCC1O2,NCc1ccc2cc[nH]c2n1,O=C(NCc1ccc2cc[nH]c2n1)C1(Cl)CC2CCC1O2,Amidation,,,,,,,,
