compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
97794,O=C(O)CO,AEMRFAOFKBGASW-UHFFFAOYSA-N,5.0,10.0,3506,Enamine,,Z104473274,14.0,EUR,,,O=C(O)CO,2025-12-09,2,6,5,"{'Mitsunobu_aryl_ether_synthesis', 'Williamson_ether_synthesis'}","{67744, 14596, 15273, 14925, 15574, 15357}","{113315, 113964, 113747, 112986, 113663}"
174674,Oc1ccc(F)cc1,RHMPLDJJXGPMEX-UHFFFAOYSA-N,5.0,10.0,6870,Enamine,,Z104473826,14.0,EUR,,,Oc1ccc(F)cc1,2025-12-09,2,6,5,"{'Mitsunobu_aryl_ether_synthesis', 'Williamson_ether_synthesis'}","{67744, 14596, 15273, 14925, 15574, 15357}","{113315, 113964, 113747, 112986, 113663}"
112001,CCOC(=O)C(F)(F)I,HGWXXIZVRRTDKT-UHFFFAOYSA-N,1.0,1.0,1027,Enamine,,Z1269161235,14.0,EUR,,,CCOC(=O)C(F)(F)I,2025-12-09,2,2,1,"{'Williamson_ether_synthesis', 'Mitsunobu_aryl_ether_synthesis'}","{67744, 14596}",{112986}
112002,CC(I)C(=O)OC(C)(C)C,NNKTXCWMWMHUAZ-UHFFFAOYSA-N,1.0,1.0,1062,Enamine,,Z7754661021,15.0,EUR,,,CC(I)C(=O)OC(C)(C)C,2025-12-09,2,2,1,"{'Williamson_ether_synthesis', 'Mitsunobu_aryl_ether_synthesis'}","{67744, 14925}",{113315}
112005,COC(=O)C=C(I)C(=O)OC,GQHRPPYYGGNCEQ-UHFFFAOYSA-N,1.0,1.0,1768,Enamine,,Z57107759,29.0,EUR,,,COC(=O)C=C(I)C(=O)OC,2025-12-09,2,2,1,"{'Williamson_ether_synthesis', 'Mitsunobu_aryl_ether_synthesis'}","{67744, 15273}",{113663}
112003,COC(=O)C(I)CS(C)(=O)=O,DQRRWOOELPZVKH-UHFFFAOYSA-N,1.0,1.0,1766,Enamine,,Z9145510735,25.0,EUR,,,COC(=O)C(I)CS(C)(=O)=O,2025-12-09,2,2,1,"{'Williamson_ether_synthesis', 'Mitsunobu_aryl_ether_synthesis'}","{67744, 15357}",{113747}
112004,CC1=C(I)C(=O)OC(C)(C)O1,BXEJDKOVKRAGSM-UHFFFAOYSA-N,1.0,1.0,1767,Enamine,,Z2568516558,15.0,EUR,,,CC1=C(I)C(=O)OC(C)(C)O1,2025-12-09,2,2,1,"{'Williamson_ether_synthesis', 'Mitsunobu_aryl_ether_synthesis'}","{67744, 15574}",{113964}
121813,CC(Cl)C(=O)O,GAWAYYRQGQZKCR-UHFFFAOYSA-N,1.0,1.0,184,Enamine,,Z147646840,14.0,EUR,,,CC(Cl)C(=O)O,2025-12-09,1,1,1,{'Amidation'},{22756},{121862}
121861,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,PNDHTPJMGQHXBH-UHFFFAOYSA-N,39.0,39.0,,Enamine,,Z1436309890,694.2,EUR,,,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,2025-12-09,1,39,39,{'Amidation'},"{22784, 22785, 22786, 22789, 22790, 22795, 22797, 22798, 22799, 22800, 22801, 22802, 22803, 22805, 22756, 22757, 22758, 22759, 22760, 22761, 22762, 22763, 22764, 22765, 22766, 22767, 22769, 22770, 22771, 22772, 22773, 22774, 22775, 22776, 22777, 22778, 22779, 22780, 22782}","{121862, 121863, 121864, 121865, 121866, 121867, 121868, 121869, 121870, 121871, 121872, 121873, 121875, 121876, 121877, 121878, 121879, 121880, 121881, 121882, 121883, 121884, 121885, 121886, 121888, 121890, 121891, 121892, 121895, 121896, 121901, 121903, 121904, 121905, 121906, 121907, 121908, 121909, 121911}"
121814,O=C(O)C(F)Cl,JBIKZDFUXGHTHD-UHFFFAOYSA-N,2.0,10.0,3787,Enamine,,Z1201620690,14.0,EUR,,,O=C(O)C(F)Cl,2025-12-09,1,2,2,{'Amidation'},"{64049, 22757}","{165276, 121863}"
