id,smiles,tags
99601,O=C(c1ccncc1Br)N1CCc2ccc(F)cc21,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99602,Cc1c(Br)cc(F)cc1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99603,O=C(Nc1cc(F)ccc1CO)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99604,Cc1cc(O)c(F)cc1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99605,Cc1c(F)cc(F)cc1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99606,N#Cc1ccc(F)cc1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99607,Cc1ccc(F)c(Br)c1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99608,O=C(c1ccnc(S)c1)N1CCc2ccc(F)cc21,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99609,Cc1c(Br)cc(F)cc1NC(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99610,Cc1cc(Br)c(F)cc1NC(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99611,Cc1cc(Br)c(F)cc1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99612,CCc1ccc(F)cc1NC(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99613,C#Cc1ccc(F)cc1NC(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99614,O=Cc1ccc(F)cc1NC(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99615,Cc1cc(F)cc(NC(=O)c2ccnc(Cl)c2)c1C,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99616,Cc1cc(F)c(F)cc1NC(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99617,Cc1ccc(F)cc1N(C)C(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99618,CCc1ccc(F)cc1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99619,Cc1ccc(F)cc1N(C)C(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99620,C#Cc1ccc(F)cc1NC(=O)c1ccnc(S)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99621,O=C(c1ccnc(Cl)c1)N1CCc2ccc(F)cc21,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
99622,Cc1ccc(F)c(Br)c1NC(=O)c1ccnc(Cl)c1,"{'openbind_d68ev3c_c2_elabs', 'syndirella_product'}"
