target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C1,1,,,,O=C(O)C1CCC1,Cc1ccc(CN)cn1,Cc1ccc(CNC(=O)C2CCC2)cn1,Amidation,,
C11,1,,,,CC(=O)O,OCC1CNCC1c1ccccc1,CC(=O)N1CC(CO)C(c2ccccc2)C1,Amidation,,
C19,1,,,,O=C1CNCCN1,O=C(O)c1ccccc1C(F)(F)F,O=C1CN(C(=O)c2ccccc2C(F)(F)F)CCN1,Amidation,,
C23,1,,,,O=C(O)C1CCCO1,CN1CCNCC1,CN1CCN(C(=O)C2CCCO2)CC1,Amidation,,
C25,1,,,,CC(=O)O,COC(=O)C1CCC(C)N1,COC(=O)C1CCC(C)N1C(C)=O,Amidation,,
C27,1,,,,Cc1nsc(F)n1,CC1NCCOC1C,Cc1nsc(N2CCOC(C)C2C)n1,N-nucleophilic_aromatic_substitution,,
C28,1,,,,NC(=O)c1ccccc1,C1CC2CN2C1,O=C(NC1CCCNC1)c1ccccc1,Aziridine_+_amine_coupling,,
C35,1,,,,O=C(O)c1c[nH]nn1,Cc1ccccc1I,Cc1ccccc1-n1cc(C(=O)O)nn1,Iodo_N-arylation,,
C38,1,,,,Cc1cc(Cl)nc(CO)n1,C1CCNCC1,Cc1cc(N2CCCCC2)nc(CO)n1,Buchwald-Hartwig_amination,,
C39,1,,,,N,Cc1nsc(N(C)CC(=O)O)c1C#N,Cc1nsc(N(C)CC(N)=O)c1C#N,Amidation,,
C40,1,,,,O=C(O)C1CC1,CC(N)c1cccnc1,CC(NC(=O)C1CC1)c1cccnc1,Amidation,,
C46,1,,,,CCCC(=O)O,NCc1nc2ccccc2[nH]1,CCCC(=O)NCc1nc2ccccc2[nH]1,Amidation,,
C47,1,,,,O=C(Nc1cc(F)ccc1Br)c1ccncc1,CB(O)O,Cc1ccc(F)cc1NC(=O)c1ccncc1,Sp3-sp2_Suzuki_coupling,,
C49,1,,,,Cc1cc(C(=O)O)no1,COC(=O)CN,COC(=O)CNC(=O)c1cc(C)on1,Amidation,,
C50,1,,,,O=C(O)C1COCCO1,Nc1ccccn1,O=C(Nc1ccccn1)C1COCCO1,Amidation,,
C51,1,,,,N,O=C(O)c1ccccc1OC(F)F,NS(=O)(=O)c1ccccc1OC(F)F,Sulfonamide_synthesis_from_carboxylic_acid_and_amine,,
C57,1,,,,NC1CCC(=O)NC1,O=C(O)c1cscn1,O=C1CCC(NC(=O)c2cscn2)CN1,Amidation,,
C61,1,,,,CC(C)(N)CO,Cc1ccsc1C=O,Cc1ccsc1CNC(C)(C)CO,Reductive_amination,,
C76,1,,,,CCN,O=Cc1cccc2[nH]ccc12,CCNCc1cccc2[nH]ccc12,Reductive_amination,,
C82,1,,,,O=C(O)c1cn[nH]c1,C1CCNC1,O=C(c1cn[nH]c1)N1CCCC1,Amidation,,
C89,1,,,,O,O=C(NC1CC1)c1ccccc1Br,O=C(NC1CC1)c1ccccc1O,Buchwald-Hartwig_(thio)etherification,,
C94,1,,,,OCC1CCNCC1,O=C(O)c1ccccc1,O=C(c1ccccc1)N1CCC(CO)CC1,Amidation,,
C97,1,,,,O=C(O)CO,Oc1ccc(F)cc1,O=C(O)COc1ccc(F)cc1,Mitsunobu_aryl_ether_synthesis,,
C99,1,,,,OC1CCNCC1,O=Cc1ccsc1,OC1CCN(Cc2ccsc2)CC1,Reductive_amination,,
C101,1,,,,O=C(O)c1cn[nH]c1,CCO,CCOC(=O)c1cn[nH]c1,Steglich_esterification,,
C104,1,,,,O=Cc1cn[nH]c1,FC(F)(F)c1cccc(N2CCNCC2)c1,FC(F)(F)c1cccc(N2CCN(Cc3cn[nH]c3)CC2)c1,Reductive_amination,,
C108,1,,,,Nc1nnc2ccc(Br)cn12,COc1ccc(B(O)O)cc1OC,COc1ccc(-c2ccc3nnc(N)n3c2)cc1OC,Sp2-sp2_Suzuki_coupling,,
C109,1,,,,CNCc1ccccc1,O=C(O)Cn1cnnc1,CN(Cc1ccccc1)C(=O)Cn1cnnc1,Amidation,,
C111,1,,,,O=C(O)Cc1cccc2c1OCO2,Nc1ccc(=O)[nH]c1,O=C(Cc1cccc2c1OCO2)Nc1ccc(=O)[nH]c1,Amidation,,
C112,1,,,,O=Cc1conc1Br,CN(C)S(=O)(=O)C1CCNC1,CN(C)S(=O)(=O)C1CCN(Cc2conc2Br)C1,Reductive_amination,,
C114,1,,,,NCc1ccccc1,O=C(O)Cn1ccc(=O)[nH]c1=O,O=C(Cn1ccc(=O)[nH]c1=O)NCc1ccccc1,Amidation,,
C115,1,,,,OCc1ccc(C2CCCNC2)cc1,O=C(O)Cn1cnnc1,O=C(Cn1cnnc1)N1CCCC(c2ccc(CO)cc2)C1,Amidation,,
C118,1,,,,O=C(O)Cc1ccn[nH]1,Nc1cccc2c1CCNC2,O=C(Cc1ccn[nH]1)Nc1cccc2c1CCNC2,Amidation,,
C129,1,,,,Clc1cccc2nncn12,SCc1ccncc1,c1cc(SCc2ccncc2)n2cnnc2c1,S-nucleophilic_aromatic_substitution,,
C136,1,,,,O=C(O)CCl,NCc1ccc2cc[nH]c2n1,O=C(CCl)NCc1ccc2cc[nH]c2n1,Amidation,,
C138,1,,,,NC1(c2n[nH]c(-c3cccs3)n2)CCC1,O=C(O)CCl,O=C(CCl)NC1(c2n[nH]c(-c3cccs3)n2)CCC1,Amidation,,
C140,1,,,,O=C(O)CCl,c1cc2c(s1)CCNC2,O=C(CCl)N1CCc2sccc2C1,Amidation,,
C149,1,,,,NC(=O)CS(=O)(=O)c1ccccc1,Cc1ccccc1B(O)O,Cc1ccccc1NC(=O)CS(=O)(=O)c1ccccc1,"Chan-Lam_coupling_of_amides,_sulfonamides,_and_imides",,
