compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
121927,O=C(O)C1CCC1,TXWOGHSRPAYOML-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67722},{1}
174645,Cc1ccc(CN)cn1,NZPFQOXRHLUPRT-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67722},{1}
97151,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.0,100.0,7176,Enamine,Global catalog,EN300-18074,18.0,EUR,10.0,,CC(=O)O,2025-09-29,1,2,2,{'Amidation'},"{67723, 67726}","{25, 11}"
174646,OCC1CNCC1c1ccccc1,MMDOXIYRYUVGPQ-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67723},{11}
174647,O=C1CNCCN1,IWELDVXSEVIIGI-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67724},{19}
174648,O=C(O)c1ccccc1C(F)(F)F,FBRJYBGLCHWYOE-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67724},{19}
121963,O=C(O)C1CCCO1,UJJLJRQIPMGXEZ-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67725},{23}
174649,CN1CCNCC1,PVOAHINGSUIXLS-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67725},{23}
174650,COC(=O)C1CCC(C)N1,FZBQCOBVXDOWIT-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67726},{25}
174651,Cc1nsc(F)n1,ZMSBUMGMSLSPMU-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'N-nucleophilic_aromatic_substitution'},{67727},{27}
174652,CC1NCCOC1C,LTJFPCBECZHXNS-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'N-nucleophilic_aromatic_substitution'},{67727},{27}
174653,NC(=O)c1ccccc1,KXDAEFPNCMNJSK-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Aziridine_+_amine_coupling'},{67728},{28}
174654,C1CC2CN2C1,QRDSDKAGXMWBID-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Aziridine_+_amine_coupling'},{67728},{28}
174655,O=C(O)c1c[nH]nn1,GTODOEDLCNTSLG-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Iodo_N-arylation'},{67729},{35}
174656,Cc1ccccc1I,RINOYHWVBUKAQE-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Iodo_N-arylation'},{67729},{35}
174657,Cc1cc(Cl)nc(CO)n1,GFNAELFDXMUWSU-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Buchwald-Hartwig_amination'},{67730},{38}
174658,C1CCNCC1,NQRYJNQNLNOLGT-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Buchwald-Hartwig_amination'},{67730},{38}
96983,N,QGZKDVFQNNGYKY-UHFFFAOYSA-N,2.0,,,,,,,,,,,,2,2,2,"{'Sulfonamide_synthesis_from_carboxylic_acid_and_amine', 'Amidation'}","{67737, 67731}","{51, 39}"
174659,Cc1nsc(N(C)CC(=O)O)c1C#N,KEJMLMATSUENJA-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67731},{39}
174660,O=C(O)C1CC1,YMGUBTXCNDTFJI-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67732},{40}
174661,CC(N)c1cccnc1,IQVQNBXPYJGNEA-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67732},{40}
97071,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67733},{46}
174662,NCc1nc2ccccc2[nH]1,UCOSRTUSVXHIMK-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67733},{46}
174663,O=C(Nc1cc(F)ccc1Br)c1ccncc1,ZWFALNNDCHLXPB-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{67734},{47}
174664,CB(O)O,KTMKRRPZPWUYKK-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{67734},{47}
174665,Cc1cc(C(=O)O)no1,BNMPIJWVMVNSRD-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67735},{49}
174666,COC(=O)CN,KQSSATDQUYCRGS-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67735},{49}
98032,O=C(O)C1COCCO1,VGBAYGFELCUXBS-UHFFFAOYSA-N,1.0,50.0,10435,Enamine,EU stock,EN300-36158,28.0,EUR,2.0,,O=C(O)C1COCCO1,2025-09-29,1,1,1,{'Amidation'},{67736},{50}
174667,Nc1ccccn1,ICSNLGPSRYBMBD-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67736},{50}
174668,O=C(O)c1ccccc1OC(F)F,AGDOJFCUKQMLHD-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Sulfonamide_synthesis_from_carboxylic_acid_and_amine'},{67737},{51}
97212,NC1CCC(=O)NC1,APDCFRUAEFSNPV-UHFFFAOYSA-N,1.0,50.0,10576,Enamine,EU stock,EN300-62191,18.0,EUR,2.0,,Cl.NC1CCC(=O)NC1,2025-09-29,1,1,1,{'Amidation'},{67738},{57}
174669,O=C(O)c1cscn1,HMVYYTRDXNKRBQ-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67738},{57}
97080,CC(C)(N)CO,CBTVGIZVANVGBH-UHFFFAOYSA-N,1.0,100.0,7197,Enamine,Global catalog,EN300-19785,18.0,EUR,10.0,,CC(C)(N)CO,2025-09-29,1,1,1,{'Reductive_amination'},{67739},{61}
174670,Cc1ccsc1C=O,BSQKBHXYEKVKMN-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Reductive_amination'},{67739},{61}
97124,CCN,QUSNBJAOOMFDIB-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Reductive_amination'},{67740},{76}
173271,O=Cc1cccc2[nH]ccc12,JFDDFGLNZWNJTK-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Reductive_amination'},{67740},{76}
97590,O=C(O)c1cn[nH]c1,IMBBXSASDSZJSX-UHFFFAOYSA-N,2.0,100.0,8038,Enamine,Global catalog,EN300-41863,18.0,EUR,10.0,,O=C(O)c1cn[nH]c1,2025-09-29,2,2,2,"{'Amidation', 'Steglich_esterification'}","{67746, 67741}","{82, 101}"
174671,C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67741},{82}
96994,O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Buchwald-Hartwig_(thio)etherification'},{67742},{89}
174672,O=C(NC1CC1)c1ccccc1Br,NRICRLWCYABOSB-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Buchwald-Hartwig_(thio)etherification'},{67742},{89}
98054,OCC1CCNCC1,XBXHCBLBYQEYTI-UHFFFAOYSA-N,1.0,100.0,9816,Enamine,Global catalog,EN300-36949,18.0,EUR,10.0,,OCC1CCNCC1,2025-09-29,1,1,1,{'Amidation'},{67743},{94}
174673,O=C(O)c1ccccc1,WPYMKLBDIGXBTP-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Amidation'},{67743},{94}
97794,O=C(O)CO,AEMRFAOFKBGASW-UHFFFAOYSA-N,1.0,100.0,6840,Enamine,Global catalog,EN300-19242,18.0,EUR,10.0,,O=C(O)CO,2025-09-29,1,1,1,{'Mitsunobu_aryl_ether_synthesis'},{67744},{97}
174674,Oc1ccc(F)cc1,RHMPLDJJXGPMEX-UHFFFAOYSA-N,1.0,,,,,,,,,,,,1,1,1,{'Mitsunobu_aryl_ether_synthesis'},{67744},{97}
97029,OC1CCNCC1,HDOWRFHMPULYOA-UHFFFAOYSA-N,1.0,100.0,6455,Enamine,Global catalog,EN300-16598,18.0,EUR,10.0,,OC1CCNCC1,2025-09-29,1,1,1,{'Reductive_amination'},{67745},{99}
