smiles,template,compound_set,hit1
Cc1ccc(CNC(=O)C2CCC2)cn1,7gp3-a,openbind_d68ev3c_c2_elaborated_hits,7gp3-a
CC(=O)N1C[C@H](CO)[C@H](c2ccccc2)C1,7gpu-a,openbind_d68ev3c_c2_elaborated_hits,7gpu-a
CC(=O)N1C[C@H](CO)[C@H](c2ccccc2)C1,7gpu-b,openbind_d68ev3c_c2_elaborated_hits,7gpu-b
O=C1CN(C(=O)c2ccccc2C(F)(F)F)CCN1,7gpj-a,openbind_d68ev3c_c2_elaborated_hits,7gpj-a
CN1CCN(C(=O)[C@H]2CCCO2)CC1,7gow-a,openbind_d68ev3c_c2_elaborated_hits,7gow-a
COC(=O)[C@@H]1CC[C@H](C)N1C(C)=O,7gpp-a,openbind_d68ev3c_c2_elaborated_hits,7gpp-a
Cc1nsc(N2CCO[C@H](C)[C@H]2C)n1,7goh-a,openbind_d68ev3c_c2_elaborated_hits,7goh-a
O=C(N[C@@H]1CCCNC1)c1ccccc1,7goi-a,openbind_d68ev3c_c2_elaborated_hits,7goi-a
Cc1ccccc1-n1cc(C(=O)O)nn1,7gp1-a,openbind_d68ev3c_c2_elaborated_hits,7gp1-a
Cc1cc(N2CCCCC2)nc(CO)n1,7goo-a,openbind_d68ev3c_c2_elaborated_hits,7goo-a
Cc1nsc(N(C)CC(N)=O)c1C#N,7gop-a,openbind_d68ev3c_c2_elaborated_hits,7gop-a
C[C@H](NC(=O)C1CC1)c1cccnc1,7goq-a,openbind_d68ev3c_c2_elaborated_hits,7goq-a
CCCC(=O)NCc1nc2ccccc2[nH]1,7got-a,openbind_d68ev3c_c2_elaborated_hits,7got-a
Cc1ccc(F)cc1NC(=O)c1ccncc1,7gov-a,openbind_d68ev3c_c2_elaborated_hits,7gov-a
COC(=O)CNC(=O)c1cc(C)on1,7goy-b,openbind_d68ev3c_c2_elaborated_hits,7goy-b
COC(=O)CNC(=O)c1cc(C)on1,7goy-a,openbind_d68ev3c_c2_elaborated_hits,7goy-a
O=C(Nc1ccccn1)[C@H]1COCCO1,7goz-a,openbind_d68ev3c_c2_elaborated_hits,7goz-a
NS(=O)(=O)c1ccccc1OC(F)F,7gp0-a,openbind_d68ev3c_c2_elaborated_hits,7gp0-a
NS(=O)(=O)c1ccccc1OC(F)F,7gp0-b,openbind_d68ev3c_c2_elaborated_hits,7gp0-b
O=C1CC[C@@H](NC(=O)c2cscn2)CN1,7gny-a,openbind_d68ev3c_c2_elaborated_hits,7gny-a
Cc1ccsc1CNC(C)(C)CO,7gpc-a,openbind_d68ev3c_c2_elaborated_hits,7gpc-a
CCNCc1cccc2[nH]ccc12,7go0-a,openbind_d68ev3c_c2_elaborated_hits,7go0-a
O=C(c1cn[nH]c1)N1CCCC1,7go9-a,openbind_d68ev3c_c2_elaborated_hits,7go9-a
O=C(NC1CC1)c1ccccc1O,7gqe-a,openbind_d68ev3c_c2_elaborated_hits,7gqe-a
O=C(c1ccccc1)N1CCC(CO)CC1,7gqk-a,openbind_d68ev3c_c2_elaborated_hits,7gqk-a
O=C(O)COc1ccc(F)cc1,7gpa-a,openbind_d68ev3c_c2_elaborated_hits,7gpa-a
OC1CCN(Cc2ccsc2)CC1,7gpk-b,openbind_d68ev3c_c2_elaborated_hits,7gpk-b
OC1CCN(Cc2ccsc2)CC1,7gpk-a,openbind_d68ev3c_c2_elaborated_hits,7gpk-a
