smiles,0,1
c1ccc2c(c1)ncn2-n1cccc1,Z0846b,Z0422a
c1coc(-c2nc3ccccc3[nH]2)c1,Z0846b,Z0422a
c1ccc2[nH]c(-c3ccoc3)nc2c1,Z0846b,Z0422a
c1ccc2[nH]c(-c3ccsc3)nc2c1,Z0846b,Z0422a
c1ccc2[nH]c(-n3cccc3)nc2c1,Z0846b,Z0422a
c1ccc(-c2nc3ccccc3[nH]2)cc1,Z0846b,Z0422a
c1ccn(-c2ccc3[nH]cnc3c2)c1,Z0846b,Z0422a
c1cc2c(c(-c3ccc4nc[nH]c4c3)c1)CCC2,Z0846b,Z0422a
c1ccc(-n2cnc3ccccc32)cc1,Z0846b,Z0422a
CC(C)(Oc1ccccc1)C(=O)OCc1nc2ccccc2[nH]1,Z0846b,Z0422a
Cc1nc2ccccc2n1CCC(=O)NC(C)C(=O)NCc1ccccc1,Z0846b,Z0422a
CNC(=O)C(Cc1ccccc1)NC(=O)CCn1c(C)nc2ccccc21,Z0846b,Z0422a
Cc1nc2ccccc2n1CCC(=O)NC(C)C(=O)NCc1ccco1,Z0846b,Z0422a
CC(C(=O)O)(c1ccccc1)n1cnc2ccccc21,Z0846b,Z0422a
CN(CCNC(=O)CCc1nc2ccccc2[nH]1)c1ccccc1,Z0846b,Z0422a
Cn1cnc2cc(C(N)CCOCc3ccccc3)ccc21,Z0846b,Z0422a
O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1-c1nc2ccccc2[nH]1,Z0846b,Z0422a
O=C(CCS(=O)(=O)c1ccccc1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,Z0846b,Z0422a
O=C1Cc2cc(C(=O)CSc3nc4ccccc4n3-c3ccccc3)ccc2N1,Z0846b,Z0422a
CSc1ccc2nc(-c3ccnc(-c4ccccc4)n3)[nH]c2c1,Z0846b,Z0422a
CC(C)C(CNCc1ccc2c(c1)ncn2C)c1ccccc1,Z0846b,Z0422a
CCC(c1ccccc1)C(N)C(=O)Nc1cccc2[nH]cnc12,Z0846b,Z0422a
CCOC(C(=O)Nc1nc2ccccc2[nH]1)c1ccccc1,Z0846b,Z0422a
CCOC(C(=O)Nc1nc2ccccc2n1CC)c1ccccc1,Z0846b,Z0422a
CCOC(C(=O)Nc1nc2c(F)cccc2[nH]1)c1ccccc1,Z0846b,Z0422a
CCCn1c(NC(=O)C(OCC)c2ccccc2)nc2ccccc21,Z0846b,Z0422a
O=C(CCn1cnc2ccccc21)NN=Cc1ccccc1,Z0846b,Z0422a
OCc1cccc2c1ncn2-c1ccccc1,Z0846b,Z0422a
Cn1c(-c2ccccc2)nc2c(CO)cccc21,Z0846b,Z0422a
Cc1nc2c(CO)cccc2n1-c1ccccc1,Z0846b,Z0422a
CC(=O)NC(C)C(=O)Nc1ccc2[nH]c(-c3ccco3)nc2c1,Z0846b,Z0422a
CC(=O)NC(C)C(=O)Nc1ccc2[nH]c(-c3ccoc3)nc2c1,Z0846b,Z0422a
COc1ccc2nc(SC(C)C(=O)c3ccco3)[nH]c2c1,Z0846b,Z0422a
COc1ccc2nc(SC(C)C(=O)c3ccc4c(c3)CCC4)[nH]c2c1,Z0846b,Z0422a
COc1ccc2nc(SC(C)C(=O)c3ccccc3)[nH]c2c1,Z0846b,Z0422a
CC(Sc1nc2ccccc2n1-c1ccccc1)C(=O)N1CCCC1,Z0846b,Z0422a
CC(Sc1nc2ccccc2n1C)C(=O)c1ccccc1,Z0846b,Z0422a
CC(Sc1nc2ccccc2n1-c1ccccc1)C(=O)N1CCNC1=O,Z0846b,Z0422a
CC(Oc1ccccc1)C(=O)NCc1c(F)ccc2[nH]cnc12,Z0846b,Z0422a
CN(Cc1nc2ccccc2[nH]1)C(C(=O)O)c1ccccc1,Z0846b,Z0422a
O=C(O)CN(Cc1nc2c(F)cccc2[nH]1)Cc1ccco1,Z0846b,Z0422a
O=C(O)CN(Cc1ccccc1)Cc1nc2cc(Cl)ccc2[nH]1,Z0846b,Z0422a
CC(=O)CCSc1nc2ccccc2n1CCc1ccccc1,Z0846b,Z0422a
CC(C)(C)OC(C(=O)NCCc1nc2ccccc2[nH]1)c1ccccc1,Z0846b,Z0422a
CC(CNCc1ccccc1)NC(=O)c1cccc2ncn(C)c12,Z0846b,Z0422a
CC(NC(=O)Cc1ccccc1)C(C)NC(=O)c1cccc2ncn(C)c12,Z0846b,Z0422a
CC(C)C(O)C(C)C(=O)Nc1ccc2[nH]c(-c3ccco3)nc2c1,Z0846b,Z0422a
O=C(CCCn1cnc2ccccc21)NCCc1ccsc1,Z0846b,Z0422a
CC(NC(=O)CCCn1cnc2ccccc21)c1ccco1,Z0846b,Z0422a
O=C(CCCn1cnc2ccccc21)NCCc1ccccc1,Z0846b,Z0422a
C1=C(c2nccs2)CNC1,Z0673b,Z0827a
c1ncc(N2CCNCCC23CC3)s1,Z0673b,Z0827a
c1nc(N2CCNCC2)cs1,Z0673b,Z0827a
c1nc(C2CSCCN2)cs1,Z0673b,Z0827a
c1csc(C2NCCCS2)n1,Z0673b,Z0827a
C1=CCC(c2cncs2)NC1,Z0673b,Z0827a
c1csc(C2CCCCCN2)n1,Z0673b,Z0827a
c1ncc(N2CCNC3CC32)s1,Z0673b,Z0827a
c1csc(C23CCN(CC2)CC3)n1,Z0673b,Z0827a
c1ncc(C2CCNCC2)s1,Z0673b,Z0827a
c1nc(C2NCCS2)cs1,Z0673b,Z0827a
c1ncc(C2CSCCN2)s1,Z0673b,Z0827a
C1=CC(c2cscn2)NC1,Z0673b,Z0827a
c1csc(C2CCCN2)n1,Z0673b,Z0827a
c1csc(C2NCCS2)n1,Z0673b,Z0827a
c1ncc(C2CCCCCN2)s1,Z0673b,Z0827a
c1nc(C2CCN2)cs1,Z0673b,Z0827a
c1ncc(C2NCCCS2)s1,Z0673b,Z0827a
c1ncc(C2NCC3CC32)s1,Z0673b,Z0827a
c1nc(N2CCNC3CC32)cs1,Z0673b,Z0827a
c1nc(C2CCCCNC2)cs1,Z0673b,Z0827a
c1ncc(N2CCNCC2)s1,Z0673b,Z0827a
c1csc(N2CCCNCC2)n1,Z0673b,Z0827a
C1=CCC(c2cscn2)NC1,Z0673b,Z0827a
c1csc(C2CSCCN2)n1,Z0673b,Z0827a
c1csc(C2CCN2)n1,Z0673b,Z0827a
c1nc(C2CNCCS2)cs1,Z0673b,Z0827a
C1=C(c2cscn2)CNC1,Z0673b,Z0827a
c1ncc(C2CCCNCC2)s1,Z0673b,Z0827a
C1=CCC(c2nccs2)NC1,Z0673b,Z0827a
c1csc(N2CCNC3CC32)n1,Z0673b,Z0827a
C1=C(c2nccs2)CNCC1,Z0673b,Z0827a
C1=CC(c2nccs2)NC1,Z0673b,Z0827a
C1=C(c2cncs2)CCNC1,Z0673b,Z0827a
C1=C(c2nccs2)CCNC1,Z0673b,Z0827a
c1csc(N2CCNCCC23CC3)n1,Z0673b,Z0827a
C1=C(c2cscn2)C2(CC2)NC1,Z0673b,Z0827a
c1nc(C2CCNCC2)cs1,Z0673b,Z0827a
c1nc(C2NCCCCS2)cs1,Z0673b,Z0827a
c1nc(C2CCCCCN2)cs1,Z0673b,Z0827a
c1csc(C23CNCC2C3)n1,Z0673b,Z0827a
c1csc(N2CCNCC2)n1,Z0673b,Z0827a
c1ncc(C2CCN2)s1,Z0673b,Z0827a
c1nc(N2CCNCCC23CC3)cs1,Z0673b,Z0827a
c1ncc(N2CCNCC23CC3)s1,Z0673b,Z0827a
C1=C(c2cncs2)CNCC1,Z0673b,Z0827a
c1csc(C2CNC2)n1,Z0673b,Z0827a
c1csc(C2CCNCC2)n1,Z0673b,Z0827a
c1ncc(C23CNCC2C3)s1,Z0673b,Z0827a
c1csc(C2CNCCS2)n1,Z0673b,Z0827a
c1ccc2c(-c3cscn3)c[nH]c2c1,Z0673b,Z0827a
c1ccc2[nH]c(-c3cncs3)cc2c1,Z0673b,Z0827a
c1ccc2[nH]c(-c3cscn3)cc2c1,Z0673b,Z0827a
c1ccc2[nH]c(-c3nccs3)cc2c1,Z0673b,Z0827a
c1ccc2c(-c3nccs3)c[nH]c2c1,Z0673b,Z0827a
CN(Cc1nccs1)C(=O)C(N)Cc1c[nH]c2ccccc12,Z0673b,Z0827a
NCC(O)c1csc(-c2c[nH]c3ccccc23)n1,Z0673b,Z0827a
CC(NCc1cscn1)C(C)NC(=O)Cc1c[nH]c2ccccc12,Z0673b,Z0827a
CCCN(CCNC(=O)c1cscn1)Cc1ccc2cc[nH]c2c1,Z0673b,Z0827a
CCOC(=O)Nc1nc(CC(=O)NCCc2c[nH]c3ccccc23)cs1,Z0673b,Z0827a
O=C(CCc1cncs1)N1CCC(c2c[nH]c3ccccc23)CC1,Z0673b,Z0827a
O=C(Nc1ncc(C2CCOC2)s1)c1cc2occc2[nH]1,Z0673b,Z0827a
O=C(Nc1ncc(C2CCOC2)s1)c1ccc2cc[nH]c2c1,Z0673b,Z0827a
C=CCN(C(=O)COc1ccccc1)c1nc(-c2c[nH]c3ccccc23)cs1,Z0673b,Z0827a
O=C(Nc1nc(-c2cnco2)cs1)c1cc2occc2[nH]1,Z0673b,Z0827a
O=C(Nc1nc(-c2cnco2)cs1)c1cc2ccccc2[nH]1,Z0673b,Z0827a
O=C(Nc1nc(-c2cnco2)cs1)c1cccc2cc[nH]c12,Z0673b,Z0827a
O=C(Cc1c[nH]c2ccccc12)NCC(O)CNCc1cscn1,Z0673b,Z0827a
CC(C)c1nc(CNC(Cc2c[nH]c3ccccc23)C(=O)O)cs1,Z0673b,Z0827a
CN(C(=O)c1cc2occc2[nH]1)C(CNCc1cscn1)C1CC1,Z0673b,Z0827a
CN(CCNC(=O)c1nccs1)C(=O)c1cccc2cc[nH]c12,Z0673b,Z0827a
Cc1csc(CNC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)n1,Z0673b,Z0827a
CCc1csc(CC(=O)N(CC)Cc2c[nH]c3ccccc23)n1,Z0673b,Z0827a
CCOC(=O)c1ncsc1-c1cc2[nH]ccc2s1,Z0673b,Z0827a
O=C(OCCc1cc2ccccc2[nH]1)c1cscn1,Z0673b,Z0827a
CCOC(=O)c1csc(NCCCc2c[nH]c3ccccc23)n1,Z0673b,Z0827a
CCOC(=O)c1csc(NC(=O)CCc2c[nH]c3ccccc23)n1,Z0673b,Z0827a
CCOC(=O)c1csc(NCc2cc3ccccc3[nH]2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(NCc2cccc3cc[nH]c23)n1,Z0673b,Z0827a
CCOC(=O)c1csc(N(C)Cc2cccc3cc[nH]c23)n1,Z0673b,Z0827a
O=C(OCCc1cc2ccccc2[nH]1)c1csc(C2CC2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(N2CCC(c3c[nH]c4ccccc34)CC2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(C(C)NCc2ccc3cc[nH]c3c2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(NC(=O)CCCc2c[nH]c3ccccc23)n1,Z0673b,Z0827a
CCOC(=O)c1csc(CNC(=O)c2ccc3cc[nH]c3c2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(NC(=O)c2cc3sccc3[nH]2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(NC(=O)c2cccc3cc[nH]c23)n1,Z0673b,Z0827a
CCOC(=O)c1csc(CCNCc2cccc3cc[nH]c23)n1,Z0673b,Z0827a
CCOC(=O)c1csc(CCNC(=O)c2cc3[nH]ccc3s2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(C(C#N)C(=O)c2cccc3cc[nH]c23)n1,Z0673b,Z0827a
CCOC(=O)c1csc(C(C#N)C(=O)c2cc3ccsc3[nH]2)n1,Z0673b,Z0827a
CCOC(=O)c1csc(NC(=O)Cc2c[nH]c3ccccc23)n1,Z0673b,Z0827a
O=C(OCCc1cc2ccccc2[nH]1)c1csc(C(F)(F)F)n1,Z0673b,Z0827a
O=C(NCCN(C(=O)c1cncs1)C1CC1)c1cc2sccc2[nH]1,Z0673b,Z0827a
c1ccc2c(-c3csc(Cc4cn5ccccc5n4)n3)c[nH]c2c1,Z0673b,Z0827a
Cc1csc(C(=O)N(C)Cc2ccc3cc[nH]c3c2)n1,Z0673b,Z0827a
CN(Cc1cc2ccccc2[nH]1)C(=O)c1nc(C2CC2)cs1,Z0673b,Z0827a
CN(Cc1ccc2cc[nH]c2c1)C(=O)c1nc(Cl)cs1,Z0673b,Z0827a
CN(Cc1ccc2cc[nH]c2c1)C(=O)c1ncc(Br)s1,Z0673b,Z0827a
CN(Cc1cc2ccccc2[nH]1)C(=O)c1ncc(C(F)F)s1,Z0673b,Z0827a
CCC(CC)N(CCCl)C(=O)c1cscn1,Z0673a,Z0719a
CCCN(CC(F)(F)F)C(=O)CCc1cncs1,Z0673a,Z0719a
CCNC(=O)C=Cc1cncs1,Z0673a,Z0719a
CC=CCCC(=O)NC(C)(CC)c1nccs1,Z0673a,Z0719a
CC(=O)CCCCCCNC(=O)C(C)(C)c1nccs1,Z0673a,Z0719a
CC(CCBr)CCNC(=O)c1cncs1,Z0673a,Z0719a
CC(C)S(=N)(=O)Cc1nccs1,Z0673a,Z0719a
CC(c1cncs1)N(C)C=O,Z0673a,Z0719a
CC(NC(=O)CC#N)c1nccs1,Z0673a,Z0719a
CCN(CC(C)(C)C)C(=O)c1cscn1,Z0673a,Z0719a
CN(CC(C)(F)F)C(=O)C(C)(C)c1nccs1,Z0673a,Z0719a
CN(Cc1cncs1)C(=O)CCCSC(C)(C)C,Z0673a,Z0719a
CC(C)CN(CC(F)(F)F)C(=O)CCc1nccs1,Z0673a,Z0719a
CCN(CC)C(=O)Cc1cncs1,Z0673a,Z0719a
CCCCC(CCC)NC(=O)C(C)(C)c1cscn1,Z0673a,Z0719a
C#CC(CNC(=O)Cc1cncs1)CC(C)(C)C,Z0673a,Z0719a
CSC(C)CCC(=O)NC(C)c1cncs1,Z0673a,Z0719a
CC(NC(=O)CC(F)(F)C(F)F)c1cncs1,Z0673a,Z0719a
CCCCCCC(C)C(=O)NC(C)c1cscn1,Z0673a,Z0719a
C#CC(C)(C)C(=O)NC(C)c1cscn1,Z0673a,Z0719a
