target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C62668,1,,,,Cc1ccc(N)c2cccnc12,O=C(O)c1cccc2scnc12,Cc1ccc(NC(=O)c2cccc3scnc23)c2cccnc12,Amidation,,,
C61598,1,,,,O=Cc1ccc2c(c1)CNC2,CCCCN,CCCCNCc1ccc2c(c1)CNC2,Reductive_amination,,,
C67555,1,,,,O=C1CC(C(=O)O)CCN1,Nc1nnc(C2CCNC2)[nH]1,O=C1CC(C(=O)Nc2nnc(C3CCNC3)[nH]2)CCN1,Amidation,,,
C59954,1,,,,CC(=O)O,NCC12CCCN1CCC2,CC(=O)NCC12CCCN1CCC2,Amidation,,,
C69956,1,,,,NC1Cc2cscc2C1,COC(=O)c1cnc2c(C=O)cccn12,COC(=O)c1cnc2c(CNC3Cc4cscc4C3)cccn12,Reductive_amination,,,
C56722,1,,,,CC(O)C(=O)O,Nc1nccs1,CC(O)C(=O)Nc1nccs1,Amidation,,,
C64151,1,,,,O=C(O)c1cccc2nccn12,Cc1nc(CCN)c[nH]1,Cc1nc(CCNC(=O)c2cccc3nccn23)c[nH]1,Amidation,,,
C63174,1,,,,CC(N)c1cccc2cccnc12,O=C(O)c1noc2c1CNCC2,CC(NC(=O)c1noc2c1CNCC2)c1cccc2cccnc12,Amidation,,,
C66225,1,,,,CC=O,OB(O)c1cscn1,CSCCN(C)C(C)c1cscn1,Petasis-borono_Mannich_reaction,,,CNCCSC
C70444,1,,,,Brc1nc2ccccc2[nH]1,NCc1cccc(OCC(N)=O)c1,NC(=O)COc1cccc(CNc2nc3ccccc3[nH]2)c1,N-nucleophilic_aromatic_substitution,,,
C58144,1,,,,CNCc1ccc2cc[nH]c2c1,C=CCC(C)C(=O)O,C=CCC(C)C(=O)N(C)Cc1ccc2cc[nH]c2c1,Amidation,,,
C61950,1,,,,O=C(O)c1ccnc2c1CNC2,CNC(=O)Cc1cccc(N)c1,CNC(=O)Cc1cccc(NC(=O)c2ccnc3c2CNC3)c1,Amidation,,,
C61266,1,,,,CC(C)N,Brc1cnccn1,CC(C)Nc1cnccn1,N-nucleophilic_aromatic_substitution,,,
C61575,1,,,,O=Cc1ccc2c(c1)CNC2,CNCC(F)(F)F,CN(Cc1ccc2c(c1)CNC2)CC(F)(F)F,Reductive_amination,,,
C7770,1,,,,CNCc1c[nH]cn1,O=C(O)Cn1cccn1,CN(Cc1c[nH]cn1)C(=O)Cn1cccn1,Amidation,,,
C68932,1,,,,CC1(C)OB(C2CCCNC2)OC1(C)C,Brc1ccc2[nH]c3c(c2c1)CCCC3,c1cc2[nH]c3c(c2cc1C1CCCNC1)CCCC3,Sp3-sp2_Suzuki_coupling,,,
C62267,1,,,,CCC(=O)O,Nc1ccsn1,CCC(=O)Nc1ccsn1,Amidation,,,
C53862,1,,,,CC(C)(C)OC(=O)N1CCNCC1c1cccnc1,,c1cncc(C2CNCCN2)c1,N-Boc_deprotection,,,
C66393,1,,,,O=Cc1cccc2[nH]ccc12,Nc1ccc2c(c1)CN(CC(F)(F)F)C2,FC(F)(F)CN1Cc2ccc(NCc3cccc4[nH]ccc34)cc2C1,Reductive_amination,,,
C59572,1,,,,Fc1cccc2c1CNC2,O=C(O)c1ccc2n[nH]c(=O)n2c1,O=C(c1ccc2n[nH]c(=O)n2c1)N1Cc2cccc(F)c2C1,Amidation,,,
C63038,1,,,,Nc1cncs1,C#CCOC(C)C(=O)O,C#CCOC(C)C(=O)Nc1cncs1,Amidation,,,
C60777,1,,,,O=C(O)C1CCNC1,CC(C)(N)COc1ncccc1Br,CC(C)(COc1ncccc1Br)NC(=O)C1CCNC1,Amidation,,,
C61309,1,,,,O=C(O)Cc1cccc2c1CCNC2,COCC1(CN)CCC1,COCC1(CNC(=O)Cc2cccc3c2CCNC3)CCC1,Amidation,,,
C71544,1,,,,O=c1[nH]ncn1C1CCNCC1,O=Cc1c[nH]c2cc(Cl)ccc12,O=c1[nH]ncn1C1CCN(Cc2c[nH]c3cc(Cl)ccc23)CC1,Reductive_amination,,,
C62788,1,,,,O=C(O)c1ccc2nc(C(F)(F)F)cn2c1,NCc1cnco1,O=C(NCc1cnco1)c1ccc2nc(C(F)(F)F)cn2c1,Amidation,,,
C62695,1,,,,Nc1ccc2cn[nH]c2n1,O=C(O)c1nc2ccccc2s1,O=C(Nc1ccc2cn[nH]c2n1)c1nc2ccccc2s1,Amidation,,,
C58690,1,,,,CCCN,Brc1nc2ccccc2s1,CCCNc1nc2ccccc2s1,N-nucleophilic_aromatic_substitution,,,
C64241,1,,,,c1ccc2[nH]c(C3CCNCC3)cc2c1,C=CCNC(=O)CO,C=CCNC(=O)CN1CCC(c2cc3ccccc3[nH]2)CC1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,
C62280,1,,,,O=C1CCNCCN1,O=C(O)c1cc(C(O)C(F)(F)F)ccn1,O=C1CCN(C(=O)c2cc(C(O)C(F)(F)F)ccn2)CCN1,Amidation,,,
C67471,1,,,,CC=O,OB(O)c1cccc2cn[nH]c12,CC(NCc1cnc2ccccc2c1)c1cccc2cn[nH]c12,Petasis-borono_Mannich_reaction,,,NCc1cnc2ccccc2c1
C64652,1,,,,Clc1ccnc2ccsc12,C1CNCCNC1,c1cc(N2CCCNCC2)c2sccc2n1,N-nucleophilic_aromatic_substitution,,,
C60764,1,,,,CC(C)(N)CO,O=C(O)C1NCC2CC21,CC(C)(CO)NC(=O)C1NCC2CC21,Amidation,,,
C61607,1,,,,C#CCNC,O=Cc1ccc2c(c1)CNC2,C#CCN(C)Cc1ccc2c(c1)CNC2,Reductive_amination,,,
C64791,1,,,,O=C(O)c1cccc2cc[nH]c12,COc1ccc(CC(C)(N)CO)cc1,COc1ccc(CC(C)(CO)NC(=O)c2cccc3cc[nH]c23)cc1,Amidation,,,
C68003,1,,,,NCc1cccc2nccn12,CN(C)CCN1CCC(C=O)CC1,CN(C)CCN1CCC(CNCc2cccc3nccn23)CC1,Reductive_amination,,,
C63241,1,,,,CC1(C)OB(c2ccc3nc[nH]c3c2)OC1(C)C,Brc1nccc2ncncc12,c1cc2ncncc2c(-c2ccc3nc[nH]c3c2)n1,Sp2-sp2_Suzuki_coupling,,,
C59624,1,,,,CN1CCn2nc(N)cc2C1,O=C(O)c1nccc2c1CNCC2,CN1CCn2nc(NC(=O)c3nccc4c3CNCC4)cc2C1,Amidation,,,
