compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
61484,Nc1ccc2c(c1)CNC2,YTIFSHPDDSIFRO-UHFFFAOYSA-N,12.0,50.0,86312,Enamine,EU stock,EN300-106689,106.0,EUR,2,,Cl.Cl.Nc1ccc2c(c1)CNC2,2025-09-29,3,12,12,"{'Amidation', 'Ester_amidation', 'Formation_of_urea_from_two_amines'}","{933, 1419, 3051, 1229, 2029, 3339, 4751, 2481, 1714, 4939, 4412, 2079}","{193, 27833, 5576, 137, 268, 14892, 101237, 18613, 119, 20760, 99513, 18682}"
123049,O=C(O)c1cc(F)cc2[nH]nnc12,UWHVJZFOXUBOHX-UHFFFAOYSA-N,1.0,50.0,83470,Enamine,EU stock,EN300-176585,171.0,EUR,2,,O=C(O)c1cc(F)cc2[nH]nnc12,2025-09-29,1,1,1,{'Amidation'},{933},{119}
123935,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,XHAIAECRXLKZMJ-UHFFFAOYSA-N,1.0,50.0,92087,Enamine,EU stock,EN300-7536798,299.0,EUR,2,,Cc1nc2c(C(=O)O)cc(Cl)cc2[nH]1,2025-09-29,1,1,1,{'Amidation'},{1419},{137}
121747,NCc1cccc(N)c1,ZDBWYUOUYNQZBM-UHFFFAOYSA-N,1.0,100.0,31312,Enamine,Global catalog,EN300-62713,18.0,EUR,10,,NCc1cccc(N)c1,2025-09-29,1,1,1,{'Amidation'},{2113},{171}
124196,O=C1Cc2c(cccc2C(=O)O)N1,ALXJUSWINGKGAW-UHFFFAOYSA-N,2.0,50.0,100238,Enamine,EU stock,EN300-223399,18.0,EUR,2,,O=C1Cc2c(cccc2C(=O)O)N1,2025-09-29,1,2,2,{'Amidation'},"{2113, 2003}","{171, 173}"
124822,NCCc1cccc(N)c1,LJQFYBCLMVVNAQ-UHFFFAOYSA-N,1.0,50.0,90664,Enamine,EU stock,EN300-118066,22.0,EUR,2,,NCCc1cccc(N)c1,2025-09-29,1,1,1,{'Amidation'},{2003},{173}
122834,N#Cc1c[nH]c2c(C(=O)O)cccc12,FDASYGXNFLWEMM-UHFFFAOYSA-N,1.0,50.0,94006,Enamine,EU stock,EN300-1590558,65.0,EUR,2,,N#Cc1c[nH]c2c(C(=O)O)cccc12,2025-09-29,1,1,1,{'Amidation'},{3051},{193}
128069,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,AJKLRBSMVKYPMF-UHFFFAOYSA-N,2.0,100.0,65406,Enamine,Global catalog,EN300-6481671,448.0,EUR,10,,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,2025-09-29,1,2,2,{'Ester_amidation'},"{4418, 4412}","{39979, 268}"
129128,O=C(O)C=Cc1cccnc1,VUVORVXMOLQFMO-UHFFFAOYSA-N,1.0,100.0,46534,Enamine,Global catalog,EN300-321405,18.0,EUR,10,,O=C(O)/C=C/c1cccnc1,2025-09-29,1,1,1,{'Amidation'},{5036},{453}
129129,NCC(=O)N1CCc2sccc2C1,NRRHFNCSXNXKHA-UHFFFAOYSA-N,1.0,50.0,81827,Enamine,EU stock,EN300-65130,129.0,EUR,2,,Cl.NCC(=O)N1CCc2sccc2C1,2025-09-29,1,1,1,{'Amidation'},{5036},{453}
