compound_id,amount,quote_id,quoted_amount,price,lead_time,smiles,soak_db_count,catalog_id
117,1,,,,,O=C(Nc1ccc2c(c1)CNCCO2)c1cc(Cl)cc2[nH]ncc12,3,
119,1,,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]nnc12,2,
120,1,,,,,CNC(=O)C(Nc1ccc2c(c1)C(=O)OC2)c1cc(Cl)cc2[nH]ncc12,1,
137,1,,,,,Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc2[nH]1,2,
156,1,,,,,N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,2,
164,1,,,,,COc1cc(-c2cc(NC(=O)c3cc(F)cc4[nH]ncc34)cc3c2CNC3)ccn1,1,
170,1,,,,,O=C(NCC(F)F)C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2nc[nH]c12,1,
171,1,,,,,NCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,1,
173,1,,,,,NCCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,3,
175,1,,,,,O=C(NCC(F)F)C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2ccccc12,2,
182,1,,,,,O=C(Nc1cnc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,1,
184,1,,,,,CSc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,8,
186,1,,,,,CC(C)Oc1ccc(Cl)cc1C(Nc1ccc2c(c1)CNC2)C(=O)NCC(F)F,1,
189,1,,,,,O=C1Cc2c(cccc2C(=O)Nc2ccc3c(n2)CNC3)N1,1,
193,1,,,,,N#Cc1c[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cccc12,1,
209,1,,,,,O=C1Cc2cc(C(=O)Oc3ccc4c(c3)CNC4)ccc2N1,6,
212,1,,,,,NC(=O)c1c[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc12,2,
217,1,,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1cnn2C1CNC1,1,
226,1,,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2c1cnn2C1CNC1,3,
231,1,,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)c2[nH]cc(C3CCNCC3)c2c1,1,
237,1,,,,,O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2nn(C3CNC3)cc12,2,
239,1,,,,,O=C(NCC(F)F)C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2cccnc12,1,
248,1,,,,,CN1CCC(c2cccc(NC(=O)c3cc(Cl)cc4c3cnn4C3CNC3)c2)CC1,1,
249,1,,,,,O=C(Nc1ccc(F)cc1N1CCCC1=O)c1cc(Cl)cc2c1cnn2C1CNC1,4,
253,1,,,,,CN1Cc2ccc(NC(=O)c3cc(Cl)cc4c3cnn4C3CNC3)cc2C1,3,
254,1,,,,,O=C(Nc1cc(F)cc(N2CCCC2)c1)c1cc(Cl)cc2c1cnn2C1CNC1,1,
261,1,,,,,O=C(Nc1ccc2c(c1)CN(CC(F)F)C2)c1cc(Cl)cc2c1cnn2C1CNC1,2,
268,1,,,,,Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)CNC4)cc12,6,
269,1,,,,,COc1ccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3n2C2CNC2)nn1,1,
278,1,,,,,O=C(Nc1ncccn1)c1cc(F)cc2c1cnn2C1CNC1,2,
355,1,,,,,COC(=O)Cc1nccn1C1CCCNC1,0,
359,1,,,,,Cn1cnc(C(C)(F)C2CCCNC2)c1,0,
453,1,7,5.0,45.0,10.0,O=C(C=Cc1cccnc1)NCC(=O)N1CCc2sccc2C1,0,C453 Enamine:Legacy:Z968678916 5.0mg @ 90% = €45.00 EUR (10 days) O=C(C=CC=1C=CC=NC1)NCC(=O)N2CCC=3SC=CC3C2
497,1,385,5.0,121.0,20.0,O=C(Nc1ccn2ccnc2c1)c1cc2c(s1)CCNC2,0,C497 Enamine:sRDB:Z8843088650 5.0mg @ 90% = €121.00 EUR (20 days) O=C(NC=1C=CN2C=CN=C2C1)C3=CC=4CNCCC4S3
621,1,,,,,CCC(Nc1ccccc1OCCF)c1ccncc1,0,
626,1,,,,,COCc1ccc(NCC(C)c2ccncc2)nc1,0,
698,1,511,5.0,182.0,20.0,Cc1ncsc1C(=O)NC(C)(C)CCNC(=O)c1cncnc1,0,C698 Enamine:mRDB:Z9898710136 5.0mg @ 90% = €182.00 EUR (20 days) CC=1N=CSC1C(=O)NC(C)(C)CCNC(=O)C=2C=NC=NC2
771,1,389,5.0,121.0,20.0,O=C(NCc1ccc2c(c1)CNC2)Nc1nc2ccccc2s1,0,C771 Enamine:sRDB:Z9898710140 5.0mg @ 90% = €121.00 EUR (20 days) O=C(NCC=1C=CC=2CNCC2C1)NC3=NC=4C=CC=CC4S3
775,1,390,5.0,121.0,20.0,c1ccc2c(-c3ccc(C4CC4)nc3)ccnc2c1,0,C775 Enamine:sRDB:Z9898710143 5.0mg @ 90% = €121.00 EUR (20 days) C=1C=CC=2C(=CC=NC2C1)C=3C=CC(=NC3)C4CC4
780,1,,,,,FCCc1nc(-c2ccccn2)nn1-c1ccnc2ccccc12,0,
784,1,175,5.0,121.0,20.0,CCc1ccnc(C(=O)Nc2ccnc3ccccc23)c1,0,C784 Enamine:sRDB:Z1692796320 5.0mg @ 90% = €121.00 EUR (20 days) CCC=1C=CN=C(C1)C(=O)NC=2C=CN=C3C=CC=CC23
816,1,,,,,N#Cc1cccnc1N1CC2CN(c3ccnc4ccccc34)CC2C1,0,
824,1,178,5.0,121.0,20.0,CN(C(=O)c1ccnc(C2CC2)c1)c1cccc2cccnc12,0,C824 Enamine:sRDB:Z1984741427 5.0mg @ 90% = €121.00 EUR (20 days) CN(C(=O)C=1C=CN=C(C1)C2CC2)C=3C=CC=C4C=CC=NC34
