smiles,hit0,hit1
[H]c1c([H])c2c(c([H])c1N([H])[H])N([H])C([H])([H])C21C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],Z0490a,Z0844a
[H]c1c([H])c(OC(F)(F)F)c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z1682a
[H]Oc1nc2c([H])c([H])c([H])c(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])c2n1C([H])([H])C([H])([H])[H],Z0490a,Z2048a
[H]C1=C(C2([H])C([H])([H])C([H])([H])N([C@]3(C([H])([H])[H])n4c([H])nc5c([H])c([H])c([H])c(c54)N([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])C(=O)N=N1,Z0490a,Z2971a
[H]c1c(N([H])[H])c([H])c2nc([H])n(C([H])([H])C([H])([H])C([H])([H])[H])c2c1[H],Z0490a,Z0051a
[H]c1c([H])c([H])c2c(nc3n2C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])N3[H])c1[H],Z0490a,Z0089a
[H]OC([H])([H])C(c1nc2c([H])c(Cl)c([H])c([H])c2n1C([H])([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Z0490a,Z0101a
[H]c1c([H])c([H])c2c(c1[H])N([H])C([H])([H])[C@@]21C([H])([H])N([H])C([H])([H])C([H])([H])C1([H])[H],Z0490a,Z0182a
[H]c1c([H])c([H])c2c(c1[H])N([H])C([H])([H])[C@@]21C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H],Z0490a,Z0227a
[H]c1c([H])c([H])c2c(c1[H])N([H])[C@@]1(N2C([H])([H])C([H])([H])[H])N([H])C([H])([H])C([H])([H])C1([H])[H],Z0490a,Z0229a
[H]c1c([H])c([H])c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z0386a
[H]c1c([H])c([S@@](=O)(=NN([H])c2c([H])c([H])c([H])c3nc([H])n(C([H])([H])C([H])([H])[H])c23)C([H])([H])[H])c([H])c([H])c1N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],Z0490a,Z0404a
[H]c1c([H])c([H])c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z0422a
[H]c1c([H])c([H])c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z0425a
[H]c1c([H])c([H])c2c(c1[H])N([H])C([H])([H])C21C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],Z0490a,Z0429a
[H]c1c([H])c([H])c2c(nc([H])n2C([H])([H])C([H])([H])[H])c1[H],Z0490a,Z0435a
[H]c1c([H])c2c3c(c1[H])C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])N2[H],Z0490a,Z0455a
[H]C1=C([H])C2=c3c([H])c([H])c([H])c([H])c3=NC2=C([H])C1=O,Z0490a,Z0465a
